id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
f8524536d4b09a0c8ccc0197ec9d7bde,szczecin,blockOfFlats,63.0,3.0,4.0,10.0,1980.0,53.3789332,14.6252957,6.53,9.0,0.118,1.389,0.628,0.105,1.652,,0.413,condominium,concreteSlab,,yes,yes,yes,no,yes,415000.0
a8efd3561b9767b6a8cd4438bcc8a568,szczecin,tenement,53.0,2.0,1.0,2.0,1904.0,53.3789332,14.6252957,6.53,9.0,0.118,1.389,0.628,0.105,1.652,,0.413,condominium,brick,premium,yes,no,no,no,yes,350000.0
3b338e2f55c7b0f70ccc4941d9e196b9,szczecin,blockOfFlats,56.4,3.0,11.0,12.0,1980.0,53.3765,14.6603,8.4,18.0,0.256,0.375,0.271,0.194,0.111,,0.243,condominium,concreteSlab,,no,yes,yes,no,yes,440000.0
87d5dbb7b4dcb84dbb23a11bbb6f1e79,gdynia,,38.0,2.0,9.0,10.0,1960.0,54.5174,18.53548,0.48,64.0,0.538,0.663,0.366,0.424,0.254,0.316,0.115,condominium,,,no,yes,yes,no,yes,469000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
85a18d8df28c7f93ab7d2e3a50502d3f,krakow,blockOfFlats,42.7,2.0,4.0,4.0,1960.0,50.0954,19.9429,4.47,12.0,0.309,0.682,0.399,0.382,0.233,1.61,0.28,condominium,brick,low,no,yes,no,no,yes,475000.0
65e1d942301564d000766914c574ffbb,krakow,apartmentBuilding,55.57,3.0,2.0,4.0,2022.0,50.04226,19.964604,2.36,11.0,0.43,0.709,0.371,0.515,0.136,1.596,0.55,condominium,brick,,no,yes,yes,no,no,994703.0
ed81a89b9e4e63f1bcc9bbeb1f7e302d,krakow,blockOfFlats,48.0,2.0,3.0,6.0,2017.0,50.0237192,19.9193589,3.77,15.0,0.368,0.429,0.614,0.354,0.327,2.258,0.362,condominium,,,yes,no,yes,no,no,634500.0
490d2d4ff83d588791c66365217496f2,krakow,,62.35,3.0,1.0,4.0,1919.0,50.0632,19.92906,1.1,92.0,0.073,0.397,0.395,0.15,0.022,0.279,0.087,condominium,,,no,no,no,no,yes,1371700.0
fdd12e2f9d547fe5a5ce2f7347984e9e,krakow,blockOfFlats,133.5,4.0,4.0,4.0,,50.0298,19.9173,3.21,21.0,0.24,0.162,0.134,0.351,0.143,1.581,0.166,condominium,brick,,yes,yes,no,yes,no,1190000.0
89de91cc1446928960bbb10c50bc182a,krakow,blockOfFlats,70.0,4.0,2.0,11.0,1965.0,50.060219,19.965497,2.01,13.0,0.352,0.116,0.197,0.115,0.228,0.557,0.083,cooperative,,,no,yes,yes,no,yes,858000.0
e7479a27afff8db66bdb8b00d14b8e98,krakow,blockOfFlats,57.9,3.0,,2.0,2010.0,50.0960413,20.0538934,9.4,8.0,0.143,1.992,0.326,0.096,0.068,2.574,0.245,condominium,brick,,no,yes,no,no,yes,648000.0
c5c75f72116c518dd76f76d98d7fcb11,krakow,blockOfFlats,57.8,2.0,5.0,6.0,1992.0,50.0865299,19.926055,3.58,18.0,0.176,0.678,0.325,0.149,0.615,0.429,0.036,cooperative,,,no,no,yes,no,no,620000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
