name,highway,latitude,longitude
Matejki 02,bus_stop,54.3748025,18.6130546
Siedlicka 02,bus_stop,54.3700324,18.6113412
Oliwa 08,bus_stop,54.4100682,18.5655736
Oliwa 07,bus_stop,54.409299,18.5670206
Oliwa 06,bus_stop,54.4093671,18.5674509
Sopocka 01,bus_stop,54.4300324,18.4786398
Stary Rynek Oliwski 02,bus_stop,54.4090154,18.5555801
Stary Rynek Oliwski 01,bus_stop,54.4087226,18.5579384
Barniewicka 01,bus_stop,54.4341847,18.4674324
Jaśkowa Dolina 04,bus_stop,54.3776017,18.6080913
"Gdańsk, Dworzec PKS",bus_stop,54.3570336,18.6430378
Zacna,bus_stop,54.350615,18.5632
Wołkowyska,bus_stop,54.3507051,18.5699448
Zacna,bus_stop,54.3507362,18.560429
Zakopiańska,bus_stop,54.3488419,18.6186115
Siedlce 06,bus_stop,54.3485631,18.6065945
Brama Wyżynna 05,bus_stop,54.3505177,18.6464771
Emaus,bus_stop,54.347459,18.6043154
Odrzańska,bus_stop,54.3451525,18.6257767
Grabowskiego,bus_stop,54.3415877,18.6209568
Westerplatte 01,bus_stop,54.4060682,18.6770638
Jarowa 02,bus_stop,54.3640448,18.6118421
Otwarta 01,bus_stop,54.3559833,18.6036245
Ergo Arena 03,bus_stop,54.425749,18.5810174
Damroki,bus_stop,54.3386413,18.5642424
Damroki,bus_stop,54.3389874,18.5637512
Niegowska 01,bus_stop,54.301418,18.631458
Niegowska 02,bus_stop,54.3028042,18.6308156
Jelitkowo Kapliczna 03,bus_stop,54.4214943,18.602087
Opacka,bus_stop,54.4152458,18.5663689
Olimpijska 01,bus_stop,54.3055948,18.5811215
Hokejowa 01,bus_stop,54.3096336,18.5880535
Niepołomicka,bus_stop,54.3201977,18.5950848
Niepołomicka,bus_stop,54.3203605,18.5951574
Liliowa,bus_stop,54.3154873,18.5909718
Hokejowa 02,bus_stop,54.3104986,18.5888105
Liliowa,bus_stop,54.3152406,18.5912402
Os. Świętokrzyskie 02,bus_stop,54.313701,18.5709557
Os. Świętokrzyskie 01,bus_stop,54.3137024,18.5713093
Os. Świętokrzyskie 03,bus_stop,54.3141125,18.5698545
Wieżycka,bus_stop,54.3181082,18.5868277
Wieżycka,bus_stop,54.3180519,18.5870315
Orunia Górna 01,bus_stop,54.3252011,18.6183106
Orląt Lwowskich 01,bus_stop,54.3230323,18.602804
Orląt Lwowskich 02,bus_stop,54.3232162,18.6027922
Platynowa 01,bus_stop,54.3272868,18.611177
Platynowa 02,bus_stop,54.32674,18.609335
Migowo,bus_stop,54.3528673,18.5757575
Budapesztańska,bus_stop,54.3558684,18.5781167
Migowo,bus_stop,54.3528634,18.5764836
Cmentarz Łostowicki,bus_stop,54.340128,18.6010441
Emaus,bus_stop,54.3471592,18.6020843
Jasień - Działki,bus_stop,54.3446173,18.5412659
Przywidzka 01,bus_stop,54.3252337,18.5493709
Jaworzniaków 01,bus_stop,54.3180455,18.5687402
Siedlicka 01,bus_stop,54.3701034,18.6125013
Równa,bus_stop,54.3241882,18.6408971
Beniowskiego 01,bus_stop,54.4094603,18.5790338
Beniowskiego 02,bus_stop,54.4093871,18.5769186
Aksamitna 01,bus_stop,54.3585239,18.6520686
Plac Solidarności 04,bus_stop,54.3593792,18.6474933
Muzeum II Wojny Światowej 02,bus_stop,54.3576184,18.658978
Muzeum II Wojny Światowej 01,bus_stop,54.3574023,18.6592595
Rybaki Górne 01,bus_stop,54.35812,18.6558094
Dworzec Główny 18,bus_stop,54.3550126,18.6450921
Dworzec Główny,bus_stop,54.3545412,18.6457351
Dworzec Główny 11,bus_stop,54.3549434,18.6458366
Dworzec Główny 12,bus_stop,54.355429,18.6451907
Dworzec Główny 05,bus_stop,54.3554768,18.645975
Dworzec Główny 14,bus_stop,54.3553188,18.6451659
Dworzec Główny 08,bus_stop,54.3563046,18.6454222
Hucisko 03,bus_stop,54.3516832,18.6441882
Hucisko 04,bus_stop,54.3519911,18.6446492
Stanowisko 2,bus_stop,54.3557966,18.6424924
Stanowisko 3,bus_stop,54.3558633,18.6424974
Stanowisko 4,bus_stop,54.3559299,18.6425024
Stanowisko 6,bus_stop,54.3559965,18.6425074
Stanowisko 7,bus_stop,54.3560631,18.6425124
Uranowa 01,bus_stop,54.32612,18.6204055
Krzemowa 01,bus_stop,54.3245923,18.6180233
Ptasia,bus_stop,54.3301395,18.6265912
Ptasia 02,bus_stop,54.3303328,18.6280048
Łostowice Świętokrzyska 06,bus_stop,54.3233149,18.6062608
Łostowice Świętokrzyska 04,bus_stop,54.3226175,18.6060778
Budapesztańska,bus_stop,54.3556917,18.5788329
Wołkowyska,bus_stop,54.3512228,18.5683071
Jasieńska,bus_stop,54.3494359,18.5524497
Kilińskiego,bus_stop,54.3853853,18.6031809
Strzelnica (n/ż) 01,bus_stop,54.365022,18.5891965
Sobótki 01,bus_stop,54.3744013,18.6054375
Na Wzgórzu - Teatr Leśny 02,bus_stop,54.3703184,18.5970691
Wileńska 01,bus_stop,54.3618179,18.5947353
Falista (n/ż),bus_stop,54.3679034,18.5932706
Strzelnica (n/ż) 02,bus_stop,54.3654649,18.5889255
Jaśkowa Dolina 03,bus_stop,54.378573,18.6065733
Jaśkowa Dolina 05,bus_stop,54.3778514,18.6066497
Kilińskiego,bus_stop,54.3860769,18.6048664
Galeria Bałtycka 07,bus_stop,54.3832371,18.5992228
Na Wzgórzu - Teatr Leśny 01,bus_stop,54.3706457,18.5980302
Falista (n/ż),bus_stop,54.3676172,18.5929564
Sobótki 02,bus_stop,54.374744,18.6054755
Piecewska,bus_stop,54.3582602,18.5873046
Piecewska,bus_stop,54.3583786,18.5869065
Kręta 02,bus_stop,54.3670164,18.6128344
Kręta 01,bus_stop,54.3667563,18.6129123
Schuberta - Nowolipie 01 (n/ż),bus_stop,54.3497485,18.5982515
Nadwodna 01,bus_stop,54.4227741,18.5640067
Sobieszewska 02,bus_stop,54.3470111,18.8158727
Wyczółkowskiego 01,bus_stop,54.3570946,18.619912
Zaspa SKM,bus_stop,54.3893066,18.5943619
Zaspa SKM,bus_stop,54.3895555,18.5945039
Radiowa 02,bus_stop,54.3900247,18.4755466
Radiowa 01,bus_stop,54.3898146,18.4761334
Spadochroniarzy 02,bus_stop,54.3856847,18.4706043
Staw Wróbla 01,bus_stop,54.3504812,18.5565928
Spadochroniarzy 01,bus_stop,54.3870717,18.4718925
Staw Wróbla 02,bus_stop,54.350223,18.5549602
Dobrowolskiego 02,bus_stop,54.3606762,18.5895781
Oliwa PKP 04,bus_stop,54.411094,18.572231
Dobrowolskiego 01,bus_stop,54.360538,18.5899689
Potokowa 01,bus_stop,54.3746463,18.5688171
Piekarnicza,bus_stop,54.3521332,18.5919148
Przytulna,bus_stop,54.3484042,18.533372
Wagnera 02,bus_stop,54.3559241,18.6126014
Wagnera 01,bus_stop,54.3557327,18.6135447
Kurpińskiego 01,bus_stop,54.3552455,18.5969534
Kurpińskiego 02,bus_stop,54.3552486,18.5965058
Pomorskie Szkoły Rzemiosł 01,bus_stop,54.3609449,18.6099335
Pomorskie Szkoły Rzemiosł 02,bus_stop,54.3619946,18.6110698
Podwale Grodzkie,bus_stop,54.3535147,18.6443403
Szczęśliwa 01,bus_stop,54.3491619,18.5282969
Węzeł Karczemki,bus_stop,54.3473122,18.5279351
Węzeł Karczemki,bus_stop,54.347314,18.5285308
Życzliwa,bus_stop,54.3451131,18.5362918
Życzliwa,bus_stop,54.3458873,18.5333819
Jarowa 01,bus_stop,54.3646105,18.6122662
Szpital Zakaźny 01,bus_stop,54.363791,18.6162605
Szpital Zakaźny 02,bus_stop,54.3647149,18.6167081
Sandomierska 01,bus_stop,54.3324064,18.6349343
Sandomierska 02,bus_stop,54.3324072,18.6343475
Zaroślak 02,bus_stop,54.3418024,18.6423116
Platynowa 03,bus_stop,54.3262979,18.6112396
Marsa,bus_stop,54.4201008,18.4783789
Marsa,bus_stop,54.4208912,18.4787118
Zakopiańska,bus_stop,54.3490247,18.6170456
Tarasy (Bema),bus_stop,54.3507336,18.6320264
Płocka,bus_stop,54.3291068,18.5985354
Płocka,bus_stop,54.3288664,18.5999921
Wilanowska,bus_stop,54.3364995,18.598086
Wilanowska,bus_stop,54.3371022,18.5996355
Przemyska 03,bus_stop,54.3333944,18.5962053
Przemyska 06,bus_stop,54.3319478,18.595255
Kielecka 02,bus_stop,54.3337071,18.5908934
Płocka,bus_stop,54.3292466,18.5977934
Płocka,bus_stop,54.3290205,18.5999373
Przemyska 05,bus_stop,54.3327753,18.5943799
Kielecka 01,bus_stop,54.333915,18.5921593
Urząd Miejski 02,bus_stop,54.3513538,18.6392328
Emaus,bus_stop,54.346671,18.6029349
Emaus,bus_stop,54.3482367,18.6028821
Osiedle Jary,bus_stop,54.3355167,18.6010655
Rogalińska 01,bus_stop,54.330888,18.6006959
Rogalińska 02,bus_stop,54.3312304,18.6004393
Górki Wschodnie 02,bus_stop,54.3507992,18.7908162
Górki Wschodnie 01,bus_stop,54.3503766,18.7930659
Świętokrzyska 01,bus_stop,54.3243905,18.6058572
Zaroślak 04,bus_stop,54.3417892,18.6414876
Stare Szkoty 01,bus_stop,54.3359328,18.6366766
Brama Oruńska 01,bus_stop,54.33978,18.6404764
Brama Oruńska 02,bus_stop,54.3394053,18.6395555
Stare Szkoty 02,bus_stop,54.3356246,18.6360404
Żabi Kruk,bus_stop,54.3467736,18.651723
Żabi Kruk,bus_stop,54.3463387,18.6515428
Rafineria 01,bus_stop,54.3440569,18.7219152
Tarcice 01,bus_stop,54.3523503,18.7085232
Tarcice 02,bus_stop,54.3511358,18.7107134
Błonia,bus_stop,54.3511607,18.7040104
Węzeł Elbląska 01,bus_stop,54.3490393,18.6907052
Błonia 01,bus_stop,54.3514256,18.7038803
Michałki 02,bus_stop,54.3470281,18.7176581
Michałki 01,bus_stop,54.3472037,18.7180275
Rafineria 02,bus_stop,54.3431058,18.7233573
Węzeł Elbląska 02,bus_stop,54.348915,18.6921523
Mostek 01,bus_stop,54.3493758,18.6744034
Miałki Szlak 01,bus_stop,54.3493066,18.6801813
Mostek 02,bus_stop,54.3489444,18.6736551
Miałki Szlak 02,bus_stop,54.348833,18.6842572
Pohulanka,bus_stop,54.3484978,18.6372097
Pólnicy,bus_stop,54.3405029,18.559231
Jelitkowo 06,bus_stop,54.4234443,18.5937418
Jelitkowo 05,bus_stop,54.4231096,18.5939799
Suchanino 01,bus_stop,54.3540993,18.6073337
Nad Jarem 02,bus_stop,54.3550036,18.6153833
Suchanino 02,bus_stop,54.3547918,18.6074632
Nad Jarem 01,bus_stop,54.3537461,18.6143377
Owczarnia 01,bus_stop,54.4129094,18.4812123
Owczarnia 02,bus_stop,54.4141323,18.48023
Barniewicka 03,bus_stop,54.4342272,18.4677417
Jednorożca,bus_stop,54.4236287,18.4785783
Jednorożca,bus_stop,54.4241563,18.47889
Niedziałkowskiego 02,bus_stop,54.4303144,18.4620314
Nowa 02,bus_stop,54.4325472,18.4711695
Odyseusza,bus_stop,54.4314673,18.4840024
Sopocka 04,bus_stop,54.4279268,18.4787752
Sopocka 02,bus_stop,54.4300329,18.4762741
Barniewicka 02,bus_stop,54.4342271,18.4660891
Wrzeszcz PKP 05,bus_stop,54.3813639,18.6041706
Wrzeszcz PKP 04,bus_stop,54.381343,18.6043415
Wrzeszcz PKP 03,bus_stop,54.3812658,18.6044571
Wrzeszcz PKP,bus_stop,54.3812328,18.604678
Wrzeszcz PKP 01,bus_stop,54.3808589,18.6065484
Lenartowicza 01,bus_stop,54.3580216,18.6867702
Zimna,bus_stop,54.3607576,18.7098158
Agrarna 01,bus_stop,54.3762812,18.5097348
Klukowo 04,bus_stop,54.3893757,18.4825471
Klukowo 03,bus_stop,54.389333,18.4827851
Kontenerowa 01,bus_stop,54.380426,18.6966824
Kontenerowa 02,bus_stop,54.3803737,18.6950685
