name,amenity,leisure,latitude,longitude
Mostownia,theatre,,54.3762725,18.6140401
Zdrofit,,fitness_centre,54.322531,18.5530604
Teatr Leśny,theatre,,54.3723948,18.5952211
Taurus,,fitness_centre,54.4286561,18.4682956
Dance Atelier Barbara Materka - Szkoła Tańca,,dance,54.3931171,18.5839181
Soszyńska Dance Academy,,dance,54.3832268,18.606135
Tone Zone,,fitness_centre,54.3829779,18.6043432
,,water_park,54.427475,18.5955227
My Gim,,fitness_centre,54.4324141,18.4799601
Zdrofit,,fitness_centre,54.3773431,18.6080527
CityFit,,fitness_centre,54.3493813,18.6432606
Joga Park,,fitness_centre,54.3820625,18.6080731
Arkon Squash & Gym,,fitness_centre,54.4060097,18.5762307
Zdrofit,,fitness_centre,54.3515255,18.5944642
Akademos - Klub fitness,,fitness_centre,54.4201981,18.5621832
Zdrofit,,fitness_centre,54.411898,18.6019866
Fred Astaire,,dance,54.3779745,18.6057893
Speed4Fit,,fitness_centre,54.3507934,18.5337901
Zdrofit,,fitness_centre,54.4095755,18.5908878
Calypso,,fitness_centre,54.3564256,18.6491961
,theatre,,54.4073701,18.5979907
Janoka Joga,,fitness_centre,54.3512328,18.5505027
Studio Figura,,fitness_centre,54.3575022,18.5880741
Mama Joga,,fitness_centre,54.4067503,18.5776032
,,fitness_centre,54.4069762,18.621576
,,fitness_centre,54.4086439,18.6203295
,,fitness_centre,54.4065565,18.6243222
,,fitness_centre,54.4016169,18.6329036
,,fitness_centre,54.3461533,18.6428622
Total Fitnes,,fitness_centre,54.3903819,18.5875583
Strong Schab Fitness,,fitness_centre,54.4154059,18.5984266
Joga Studio nad Motławą,,fitness_centre,54.3570591,18.6653965
Gymbee,,fitness_centre,54.3466069,18.6024765
Garden Clinic Healthcare & Fitness,,fitness_centre,54.3589662,18.5826476
Studio Sylwetki Forfit,,fitness_centre,54.3397723,18.6210002
Elewator,,fitness_centre,54.4073009,18.5742268
Meon EMS,,fitness_centre,54.3822748,18.5863074
Scena Teatralna NOT,theatre,,54.3553503,18.6506801
Zdrofit,,fitness_centre,54.3555465,18.6143214
Zdrofit,,fitness_centre,54.3567913,18.6491758
Fit Point,,fitness_centre,54.3485417,18.5900109
U7 Bowling,,fitness_centre,54.3826617,18.6062838
,stage,dance,54.3726367,18.6044642
Zdrofit,,fitness_centre,54.3901035,18.6105253
Fitness Magnum,,fitness_centre,54.3304191,18.5571943
BlueFit,,fitness_centre,54.4049424,18.6255305
All for body,,fitness_centre,54.4017146,18.579411
Fitimpuls,,fitness_centre,54.3885679,18.5967435
All Time Fitness,,fitness_centre,54.3279236,18.6148354
Chinchilla Joga,,fitness_centre,54.347637,18.5793288
City Pilates,,fitness_centre,54.3530128,18.5508475
ReStart Studio,,fitness_centre,54.4085103,18.558841
Stadion Żużlowy im. Zbigniewa Podleckiego,,stadium,54.34605020333953,18.671568848921893
Teatr Wybrzeże,theatre,,54.35127512164629,18.64866214593507
Polska Filharmonia Bałtycka im. Fryderyka Chopina,theatre,,54.352483212768014,18.65974630157083
,,stadium,54.38168730603014,18.624819481375432
Stadion Miejski,,stadium,54.36795927691061,18.62085590742335
MKS Atleta,,fitness_centre,54.402308299999994,18.59767175
Teatr Miniatura,theatre,,54.37499436147947,18.617999323868688
,,stadium,54.4024658,18.605449500000006
Polsat Plus Arena Gdańsk,,stadium,54.38992067404459,18.640395808174286
Ergo Arena,,stadium,54.42653077641597,18.580524868239227
,,stadium,54.37397707770707,18.63477388179275
,,stadium,54.41830211800625,18.56353577540482
Just GYM,,fitness_centre,54.3530580512131,18.524319780788716
Amfiteatr,theatre,,54.33860350000001,18.612120100000002
Amfiteatr Orana,theatre,,54.3210100472809,18.62341774763664
,,water_park,54.411979849999994,18.6287572
,theatre,,54.41594564384,18.576751926109214
,,stadium,54.41697974646821,18.560497937205835
,theatre,,54.41593140852569,18.593637019026268
Gdański Stadion Lekkoatletyczny i Rugby,,stadium,54.391125379524475,18.58264802888779
,theatre,,54.38809854999999,18.578237549999994
Opera Bałtycka,theatre,,54.37267489291547,18.625513838588834
Gdański Teatr Szekspirowski,theatre,,54.34785643000192,18.648003155820437
