name,highway,longitude,latitude
Żeromskiego/Transportowa,bus_stop,23.1299327,53.1131059
Gajowa/Zagórna,bus_stop,23.1220228,53.1530615
Gajowa/Jarzębinowa,bus_stop,23.1160894,53.1550691
Wasilków/Kościelna,bus_stop,23.2061226,53.1993061
Klepacze/Pętla,bus_stop,23.0682281,53.1063796
Popiełuszki/Boboli,bus_stop,23.084629,53.1286706
Armii Krajowej/Szkoła,bus_stop,23.0895803,53.1321484
Wysockiego/Cmentarz Miejski,bus_stop,23.185929,53.1592188
Kopernika/Osiedle Bema,bus_stop,23.143059,53.1224053
Kopernika/Depowa,bus_stop,23.1385286,53.1247508
Pułaskiego/Wspólna,bus_stop,23.1346317,53.1095161
Pułaskiego/Wspólna,bus_stop,23.1336198,53.1096739
Dubois/Pawilon,bus_stop,23.1248154,53.1074723
Pułaskiego/Przedszkole,bus_stop,23.1254286,53.1094079
Pułaskiego/Szkoła,bus_stop,23.138404,53.1094979
Kawaleryjska/Uniwersytet Muzyczny,bus_stop,23.1470278,53.1102717
Poleska/Czysta,bus_stop,23.1510823,53.139952
Mickiewicza/Grottgera,bus_stop,23.172178,53.1237953
Mickiewicza/Uniwersytet Medyczny,bus_stop,23.1676021,53.1297873
Popiełuszki/al. Niepodległości,bus_stop,23.086848,53.1284923
Boboli/Cmentarz,bus_stop,23.0839786,53.1323948
Wyszyńskiego/Stołeczna,bus_stop,23.1400127,53.1310725
Wyszyńskiego/Bema,bus_stop,23.1456936,53.1253383
Wyszyńskiego/Młynowa,bus_stop,23.1440901,53.127614
Wyszyńskiego/Urząd Marszałkowski,bus_stop,23.138557,53.1316638
Poleska/Szkoła,bus_stop,23.1614365,53.1425313
Jurowiecka/Sklep Łowiecki,bus_stop,23.1588989,53.1405155
Jagienki/Ciepła,bus_stop,23.1686903,53.1412765
Jagienki/Wąska,bus_stop,23.1684521,53.141622
Jurowiecka/Ciepła,bus_stop,23.1614044,53.1383127
1000-lecia PP/Zakłady Graficzne,bus_stop,23.1576735,53.1437046
Poleska/Jurowiecka,bus_stop,23.1573359,53.1411868
Towarowa/Dworzec Fabryczny,bus_stop,23.187154,53.1383875
Towarowa/Kraszewskiego,bus_stop,23.1817216,53.1404741
Raginisa/Wysockiego,bus_stop,23.1867345,53.1498033
Włościańska/Brzostowskiego,bus_stop,23.2088333,53.1339938
Piasta/Przejazd,bus_stop,23.2045711,53.1332387
Wysockiego/Raginisa,bus_stop,23.1860027,53.1503905
Kalinowskiego/Teatr Lalek,bus_stop,23.152331,53.1312647
Częstochowska/Piłsudskiego,bus_stop,23.151799,53.135457
Traugutta/Dworzec Fabryczny,bus_stop,23.1841888,53.1411744
Traugutta/Wasilkowska,bus_stop,23.180678,53.142349
Traugutta/Wasilkowska,bus_stop,23.1796977,53.1429691
Kapralska/Pionierska,bus_stop,23.1858859,53.1425639
Gajowa/Zagórna,bus_stop,23.1206943,53.15405
Zaścianki/Afrykańska,bus_stop,23.2440499,53.1255938
Zaścianki/Cerkiew,bus_stop,23.2383163,53.1259491
