name,amenity,leisure,tourism,longitude,latitude
,,,,18.0371164,53.1633765
Schron bojowy Przedmościa Bydgoskiego (2 CKM),,,attraction,17.8627904,53.1787576
Schron obserwacyjny Przedmościa Bydgoskiego,,,attraction,17.8566214,53.180598
Schron bojowy Przedmościa Bydgoskiego (2 CKM),,,attraction,17.8582303,53.1823951
Schron bojowy Przedmościa Bydgoskiego (1 CKM),,,attraction,17.8574027,53.1795876
Schron bojowy Przedmościa Bydgoskiego (2 CKM),,,attraction,17.8567337,53.1811804
,,,,17.9896687,53.1265842
,,,,17.9888315,53.1265955
,,,,17.9898227,53.1271433
,,,,17.9894455,53.1272367
WSG,ferry_terminal,,attraction,17.9947059,53.1279427
,,,,18.0147429,53.1160498
,,,,18.0149725,53.1159312
,,,,18.0155382,53.115989
,,,,18.0156761,53.1161182
,,,,18.0153789,53.1159277
,,,,18.0147931,53.1169639
,,,,18.0146622,53.1162153
,,,,18.01543,53.1171645
,,,,18.0156014,53.1171128
,,,,18.0151718,53.1171689
,,,,18.0149399,53.1170973
,,,,18.0157756,53.1169704
,,,,18.001969,53.1229366
,,,,18.0016117,53.123032
,,,,17.9982508,53.1246307
,,,,18.012187,53.1236798
,,,,17.9479945,53.1330143
,,,,17.9517537,53.1306057
,,,,17.9506781,53.1322442
,,,,17.9499033,53.1325871
,,,,17.952485,53.1318707
Poker Club,casino,,,18.010414,53.1323169
Dworzec Autobusowy,ferry_terminal,,attraction,18.0185814,53.1213241
,,,,18.0631538,53.1175339
,,,,18.0631675,53.1173644
,,,,18.0631165,53.1178662
,,,,18.0630214,53.118804
,,,,18.0648631,53.1180223
,,,,18.0645609,53.1178487
,,,,18.0663622,53.1194608
,,,,18.0641237,53.1199524
,,,,18.0651924,53.1197874
,,,,18.0651035,53.1199374
,,,,18.0945914,53.124481
Kinoteatr,cinema,,,18.0207172,53.1402445
Rybi Rynek,ferry_terminal,,attraction,18.0027273,53.1228736
,,,,18.0116477,53.1237469
Wyspa Młyńska,ferry_terminal,,attraction,17.9963239,53.1234512
Astoria,ferry_terminal,,attraction,17.9917671,53.1306182
Cafe Kino,cinema,,,17.9989927,53.1210025
Tramwaj na Długiej,,,attraction,18.0008606,53.1208424
Sens Club,nightclub,,,18.001497,53.1205888
Przechodzący przez rzekę,,,attraction,18.0016974,53.1232905
Siłownia Pure Fitness by Jatomi,,sports_centre,,18.0038461,53.1249043
"Centrum Wspinaczkowe ""Spider""",,sports_centre,,18.004952,53.1368675
Wieżyczka czołgu,,,attraction,17.9670803,53.1369106
,,,,17.947404,53.1313689
,,,,18.0507613,53.1159527
,,,,18.0079821,53.1303593
Słoneczny Młyn,ferry_terminal,,attraction,18.0328346,53.1200593
Łuczniczka,ferry_terminal,,attraction,18.0227287,53.1206046
Parowóz TKp1-46,,,attraction,17.9881703,53.1340653
,,,,18.0018188,53.1227442
Kino Orzeł,cinema,,,17.997584,53.1273149
Cinema City,cinema,,,18.0181101,53.1253022
,,,,18.0107607,53.1238153
,,,,18.0106725,53.1235958
Śluza miejska,,,attraction,17.995909,53.1267325
Park Linowy,,sports_centre,,18.0262595,53.1534137
,,,attraction,18.2264176,53.0840997
,,,attraction,18.216973,53.0980731
,,,attraction,18.1202983,53.1113624
,,,attraction,17.9951117,53.1231642
,,,attraction,18.002004,53.1234748
,,,attraction,17.9986841,53.1235509
,,,attraction,18.1320036,53.1262475
,,,attraction,17.9958234,53.1266495
,,,attraction,17.9851697,53.1326496
,,,attraction,18.1727119,53.1482091
,,,attraction,18.17271,53.1482112
,,,attraction,18.1727083,53.1482131
,,,attraction,18.1727066,53.1482149
Fitness 24 Seven,,sports_centre,,18.0526428,53.1264369
Twenty Club Bydgoszcz,nightclub,,,18.0002263,53.1215644
,,,,18.0617719,53.1182555
,,,,18.0608031,53.1184681
Głaz narzutowy,,,attraction,18.0405007,53.098905
,,,,18.0668089,53.1221529
,,,,18.0235968,53.1196697
,,,attraction,17.9964386,53.1263512
infinity club,nightclub,,,17.9954837,53.121433
Amfiteatr,theatre,,,18.0050614,53.1251178
,,,,18.0255858,53.1230686
"Dom Kultury ""Orion"" B.S.M.",community_centre,,,17.9696884,53.1206112
"Klub ""Arka"" B.S.M.",community_centre,,,17.9990106,53.1125538
,,,,18.0584534,53.1097315
,,,,18.1230011,53.1503197
,,,,18.1224106,53.1503191
,,,,17.9391177,53.1309981
Łoś,,,attraction,18.0318761,53.1622166
Daniel,,,attraction,18.032425,53.1628284
Sarna,,,attraction,18.0327575,53.1630759
Żubr,,,attraction,18.0333659,53.1631456
Ryś,,,attraction,18.0349518,53.1630649
Wilk,,,attraction,18.0354393,53.1629776
,,,,18.1219371,53.1499353
,,,,18.0069696,53.1198767
,,,,18.1226676,53.1503194
Kino Jeremi,cinema,,,18.1311814,53.1511564
Park Kultury w Bydgoszczy,community_centre,,,17.9952085,53.1226354
Sala koncertowa Akademii Muzycznej w Bydgoszczy,concert_hall,,,18.010496,53.127417
Bitcoin Embassy,casino,,,18.008209,53.123499
,,,,18.1566383,53.1660169
,,,,17.9967783,53.1310709
,,,,17.9957359,53.1310878
,,,,17.9958138,53.1309846
,,,,18.0754105,53.1876151
Tramwaj Duwag M8C,,,attraction,17.9893411,53.1333499
Mistrz Twardowski,,,attraction,18.0012055,53.1220747
Grey Club,nightclub,,,18.0041839,53.1244701
Zakład? Klubokawiarnia,nightclub,,,18.0078471,53.1272729
Galeria Sztuki Alix,,,gallery,17.9982659,53.1213223
Klub Kancelaria,nightclub,,,17.9991286,53.120914
,,,,18.004995,53.1314599
Neon Pasamon,,,attraction,18.0339036,53.121617
Elixir,nightclub,,,18.0014002,53.1227496
Galeria Wspólna,,,gallery,17.9995914,53.1214801
,,,,17.9898753,53.1142878
,,,,17.9902667,53.1144623
Tężnia solankowa,,,attraction,18.22836,53.0827327
Ośrodek Wsparcia i Integracji „Jagódka”,community_centre,,,17.9465601,53.0822361
,,,,17.9895481,53.1336061
Polska w Miniaturze,,,attraction,18.2329945,53.0799247
Kino 5D,cinema,,,18.2341818,53.0800677
Juratubing,,track,attraction,18.2348818,53.0800693
Fordońska Piwnica Artmuza 5,arts_centre,,,18.1224988,53.1501814
,,,,18.1301831,53.1456594
Śluza miejska,,,attraction,17.9958941,53.1267315
,,,,18.1120112,53.1487287
,,,,18.1119627,53.1487908
,,,,18.11157,53.1492956
Pływające kaczki,,,attraction,18.2347278,53.081391
Statek piracki,,,attraction,18.2350888,53.0813557
Euro-bungee,,,attraction,18.2349346,53.0802575
Karuzela łańcuchowa,,,attraction,18.2344114,53.0811289
,,,attraction,18.2345379,53.0811969
Dmuchane zamki,,,attraction,18.2350349,53.0803732
Paszcza T-Rexa,,,attraction,18.2344656,53.0797126
Family Coaster,,,attraction,18.235532,53.0810887
Ciuchcia,,,attraction,18.2350868,53.0805447
Gokarty,,,attraction,18.2349479,53.080943
,,,,18.0621341,53.1174069
,,,,17.9186889,53.1418991
,,,,17.9187641,53.1419171
,,,,17.9186125,53.1420477
Mini-tężnia solankowa,,,attraction,18.0009587,53.1113739
,,,attraction,17.9022531,53.1483315
,,,,18.1296565,53.1463221
,,,,17.9487563,53.1312799
,,,,17.9490845,53.1327786
,,,,17.9486726,53.13115
,,,,17.9398051,53.1312286
