name,railway,longitude,latitude
Trzciniec,station,17.9480419,53.0858024
Bydgoszcz Wschód,station,18.0838582,53.1278962
Bydgoszcz Bielawy,halt,18.0532565,53.1318249
Bydgoszcz Łęgnowo,station,18.1126399,53.1071543
Bydgoszcz Brdyujście,halt,18.1109012,53.1334401
Bydgoszcz Politechnika,halt,18.1376313,53.1408643
Bydgoszcz Fordon,halt,18.1578364,53.1464952
Ostromecko,halt,18.2145142,53.1438519
Rynkowo Wiadukt,halt,18.0053934,53.152055
Pawłówek,halt,17.8568233,53.1522354
Bydgoszcz Zachód,halt,17.9487156,53.1361284
Solec Kujawski,station,18.2258941,53.0782444
Bydgoszcz Główna,station,17.991601,53.1352905
Bydgoszcz Błonie,halt,17.9516345,53.1183445
Bydgoszcz Leśna,halt,18.030854,53.1443446
Bydgoszcz Osowa Góra,halt,17.9121481,53.1481642
