name,amenity,longitude,latitude
,school,19.0818761,50.8930659
Zespół Szkół im. Bolesława Prusa w Częstochowie,school,19.1530592,50.7841454
Zespół Szkół Muzycznych,school,19.1166033,50.8156901
,,19.1069833,50.8144146
,,19.1312889,50.8094484
,,19.1100022,50.8156268
,,19.1092782,50.8163967
,,19.1092802,50.8164375
,,19.1078914,50.8048993
,,19.1089443,50.7994549
,,19.1085142,50.7994687
,,19.1244034,50.8408761
,,19.1342538,50.8461394
,,19.1215243,50.8212395
,school,19.1499761,50.8048129
,school,19.1526501,50.8063149
,school,19.1506957,50.8059391
,school,19.1519693,50.8065907
,school,19.1075273,50.8213715
,,19.1044223,50.8078298
,,19.1100912,50.8166299
,,19.1080339,50.8164118
,,19.1079208,50.814436
,,19.1099138,50.7992701
,,19.1244108,50.8412715
,,19.1215536,50.8414374
,,19.1373225,50.8356396
,,19.1369671,50.8358565
,,19.1233835,50.8402991
,,19.123123,50.8404636
,,19.1357197,50.8450006
,,19.1339154,50.8451597
,,19.1339034,50.8455309
,,19.1118006,50.8075581
,,19.1035259,50.8040635
,,19.1027587,50.8039999
,,19.1029093,50.8041358
,,19.10271,50.8038428
,,19.1039829,50.8039988
,,19.104406,50.8039505
,,19.1077068,50.8053108
,,19.1078554,50.8049694
,,19.1073542,50.8052955
,,19.1069502,50.8052776
,,19.0664571,50.832083
,,19.0666129,50.8323104
,,19.0664161,50.83262
,,19.0660729,50.8328443
,,19.065515,50.8331232
,,19.1069906,50.8052791
,,19.1213544,50.8394062
,,19.1208728,50.8394004
,,19.1312112,50.8508148
,,19.131366,50.8507534
Zespół Szkół Ekonomicznych,school,19.097855438332555,50.80488104297805
Zespół Szkół Samochodowo-Budowlanych,school,19.101193827742726,50.80346711038782
VII Liceum Ogólnokształcące im. Mikołaja Kopernika,school,19.111391804593104,50.807748103584466
Techniczne Zakłady Naukowe,school,19.107416003726605,50.81543801497683
IV Liceum Ogólnokształcące im. Henryka Sienkiewicza,school,19.108539474090875,50.81297887566373
Szkoła Sióstr Zmartwychwstanek,school,19.107455595933992,50.812681048273134
IX Liceum Ogólnokształcące im. Cypriana Kamila Norwida,school,19.120182696424838,50.81677825761504
,school,19.099535487205976,50.786437494812866
I Liceum Ogólnokształcące im. Juliusza Słowackiego,school,19.12022229848477,50.81344365453063
,school,19.118069397199754,50.89433433025441
,school,19.152091708075417,50.77193096523896
V Liceum Ogólnokształcące,school,19.128524870395548,50.80670803392107
,school,19.154235143903367,50.78194089323641
Specjalny Ośrodek Szkolno-Wychowawczy nr 5,school,19.10407803741688,50.80368413438901
Szkoła im. świętego Jana de La Salle,school,19.103108583112157,50.80374134113694
,school,19.10741977906811,50.80078494604962
II Liceum Ogólnokształcące im. Romualda Traugutta,school,19.115307050871547,50.81854311630564
Zespół Szkół Zawodowych Specjalnych,school,19.125569844973967,50.81697005426416
Zespół Szkół Przemysłu Mody i Reklamy im. W.S. Reymonta,school,19.127735241376772,50.80043606899975
Zespół Szkół Technicznych imienia Jana Pawła II,school,19.102234601386208,50.817657731470895
VI Liceum Ogólnokształcące im. Jarosława Dąbrowskiego,school,19.15317875741667,50.78329992708559
VIII Liceum Ogólnokształcące Samorządowe,school,19.122041817319086,50.82141779706322
