name,amenity,leisure,tourism,longitude,latitude
,,,,18.5661219,54.43055
,,,,18.5662419,54.4325394
,,,,18.5765487,54.4481843
,,,,18.5619131,54.4493521
,,,,18.5616968,54.4499726
,,,,18.5643121,54.4492818
Teatr Atelier im. Agnieszki Osieckiej,theatre,,,18.5682767,54.4485486
Sfinks,nightclub,,,18.5671262,54.448551
Klub Atelier,nightclub,,,18.5683284,54.4484464
Soho Klubogaleria,nightclub,,,18.567118,54.4444927
Mostownia,theatre,,,18.6140401,54.3762725
Multikino,cinema,,,18.567537,54.4450708
Pomnik Obrońców Wybrzeża,,,attraction,18.6669686,54.4067012
Ezo Night Club,nightclub,,,18.6503243,54.3495849
Szaniec Jezuicki,,,attraction,18.6321898,54.3363059
,,,,18.6591969,54.3520709
,,,,18.6411381,54.3544124
A3,,,,18.5796405,54.4263431
Wychowani na Traugutta,,,artwork,18.6259827,54.3684268
,,,,18.6468481,54.3540445
NH Fitness,,sports_centre,,18.5773252,54.3022714
,,,,18.5398137,54.4091728
,,,artwork,18.6307705,54.4040686
Świetlica Wiejska,community_centre,,,18.4376902,54.3471543
"Dąb szypułkowy ""Dewajtis""",,,attraction,18.4891913,54.4452972
"Żywotnik olbrzymi ""Kępa żywotnika""",,,attraction,18.4917565,54.4443844
Aikido - Shoshin Dojo Gdańsk,,sports_centre,,18.5970315,54.3925274
A,,,,18.6601115,54.352279
Teatr Leśny,theatre,,,18.5952211,54.3723948
,,,,18.5706441,54.4238898
Galeria Sulmin,,,gallery,18.4684225,54.3133274
,,,,18.6573855,54.3505886
Siłownia,,sports_centre,,18.6253614,54.3272175
,,,,18.5978202,54.403682
Ekspozycja Zewnętrzna,,,attraction,18.6369585,54.3860121
A1,,,,18.5796799,54.4262893
B3,,,,18.5800851,54.427015
C3,,,,18.58139,54.4267466
,,,,18.6525158,54.3545078
,,,,18.6448871,54.3554022
Historyczna brama nr 2 Stoczni Gdańskiej,,,attraction,18.6498296,54.3605933
,,,,18.6255371,54.3964458
Diabelski Kamień,,,attraction,18.5099776,54.3931388
Wyjście,,,,18.5354194,54.4142199
Prawe stanowisko baterii leśnej 1911,,,attraction,18.7421699,54.3696128
Schron baterii leśnej 1911,,,attraction,18.7383632,54.3703941
,,,,18.6313635,54.3698803
Brama 2,,,,18.6250439,54.3684272
,,,,18.6266073,54.3721433
Kolonia Artystów,cafe,,gallery,18.6118322,54.3769815
Muszla koncertowa,theatre,,,18.5691714,54.4462021
Kamienna Twarz,,,attraction,18.5102333,54.4053927
Schron,,,attraction,18.7068462,54.3789054
Dawna skocznia narciarska - próg,,,attraction,18.5581884,54.3854141
Grodzisko Otomin,,,attraction,18.5043081,54.3142096
Świetlica Krytyki Politycznej w Trójmieście,community_centre,,,18.638556,54.3516175
Klubogaleria Bunkier,nightclub,,,18.6547003,54.3544947
Parlament,nightclub,,,18.6498358,54.3511359
,,,,18.652248,54.3499224
Głaz Borkowskiego,,,attraction,18.5697271,54.3829214
Helios,cinema,,,18.5871432,54.4041758
,,amusement_arcade,,18.6149105,54.3761945
Dawna skocznia narciarska - szczyt,,,attraction,18.5575708,54.3854067
Dawna skocznia narciarska - podnóże,,,attraction,18.559156,54.3854349
,,,,18.4848124,54.3866687
Koral,,amusement_arcade,,18.6695804,54.3493148
Miejsce wydobycia bursztynu,,,attraction,18.521006,54.2941257
,,,,18.5758017,54.4258933
Serum,nightclub,,,18.6266861,54.3736582
Tiger Gym,,sports_centre,,18.6119695,54.337846
Good Luck Club,,sports_centre,,18.5557792,54.3394678
Brama 4,,,,18.6174761,54.3656012
Dwór Krzyżowniki,,,attraction,18.5987057,54.3465081
Tramwaj Konstal 105Na,,,attraction,18.6571198,54.3403722
,,,,18.6475115,54.3497977
,,sports_centre,,18.5785318,54.3577447
Fun Arena,,sports_centre,,18.6421756,54.3894245
Stary Maneż,community_centre,,,18.5889158,54.380678
CrossCore CrossFit & Fight Gym,,sports_centre,,18.5920403,54.3900965
So!Salsa,,sports_centre,,18.6484375,54.3648573
Gdański Klub Kyokushin Karate,,sports_centre,,18.6165503,54.3834307
Salsa Club - Szkoła Tańca,,sports_centre,,18.5725939,54.4174768
Gdański Klub Kyokushin Karate,,sports_centre,,18.6516896,54.357747
C1,,,,18.5814608,54.4265894
D3,,,,18.5809644,54.4260466
Kondory,,,attraction,18.538397,54.4121933
Szarytka morska,,,attraction,18.5335486,54.412818
Słoń afrykański,,,attraction,18.5334715,54.412171
Gepard grzywiasty,,,attraction,18.5339223,54.409414
Pingwin przylądkowy,,,attraction,18.5328918,54.4131991
Oddział Reumatologiczny,clinic,,attraction,18.5696349,54.4447578
,,,,18.5365711,54.4142291
Wielbłąd jednogarbny,,,attraction,18.5358784,54.4169316
Barasinga bagienna,,,attraction,18.5336798,54.4159637
,,,,18.6263359,54.3727926
Ściana Wspinaczkowa Elewator,,sports_centre,,18.5742129,54.4072916
Kuc szetlandzki,,,attraction,18.5382667,54.4093289
Lew angolski,,,attraction,18.5399486,54.4100841
Żyrafa ugandyjska,,,attraction,18.5355986,54.4099812
Zebra pręgonoga,,,attraction,18.5363485,54.4099204
Surykatka szara,,,attraction,18.534912,54.409589
Mangustolisek afrykański,,,attraction,18.5336834,54.4141477
Pelikan różowy,,,attraction,18.5372363,54.4105282
Crackhouse,nightclub,,,18.6456489,54.3648058
,,,,18.6466061,54.3499221
,,,,18.6462823,54.3419431
,,,,18.6462347,54.3417552
,,,,18.6464715,54.342086
B90,nightclub,,,18.648474,54.3645609
Dąb zwycięstwa,,,attraction,18.6002894,54.3720798
City Fit,,sports_centre,,18.571475,54.403435
,,,,18.5707064,54.4005778
Kamienna Śluza,,,attraction,18.6519551,54.3389845
,,,attraction,18.6601294,54.3472941
,,,attraction,18.6586781,54.3506969
,,,attraction,18.6586784,54.3506981
,,,attraction,18.6586786,54.3506992
