name,amenity,longitude,latitude
Bajeczne Przedszkola,kindergarten,18.5506999,54.3427741
Przedszkole Niepubliczne Bajkoland,kindergarten,18.5732062,54.3517583
Morskie Przedszkole Niepubliczne,kindergarten,18.5972842,54.3326083
Przedszkole,kindergarten,18.5902802,54.3962371
Chrześcijańskie Przedszkole Montessori nr 2,kindergarten,18.6007855,54.3257583
Przedszkole Tygryskowa Kraina,kindergarten,18.5586746,54.3488274
"Przedszkole niepubliczne ""Little Harvard""",kindergarten,18.575979,54.4048997
Przedszkolandia,kindergarten,18.4062521,54.391269
Przedszkole Niepubliczne Językowo – Muzyczne Calineczka,kindergarten,18.605303,54.3768597
Niepubliczne Przedszkole Lew Leon,kindergarten,18.620545,54.3760001
Przedszkole Specjalne Nr 72 o Profilu Terapeutycznym,kindergarten,18.5933336,54.4116454
Publiczne Pozytywne Przedszkole nr 7,kindergarten,18.5423695,54.3338377
Przedszkole nr 73 w Gdańsku,kindergarten,18.6028627,54.3534451
Punkt Przedszkolny Słowiańska Wieża,kindergarten,18.6007285,54.4106215
Przedszkole Niepubliczne Marchewka,kindergarten,18.5506996,54.3512182
Przedszkole MoreLove,kindergarten,18.5973682,54.4098118
Przedszkole publiczne Octopus,kindergarten,18.4783906,54.4309174
Przedszkole Martolandia,kindergarten,18.5821252,54.3491467
Leśny Żłobek i Przedszkole,kindergarten,18.5824706,54.3638556
"Przedszkole Niepubliczne ""Sokrates""",school,18.6253598,54.3503047
Nadmorskie Przedszkole Montessori,kindergarten,18.589851,54.422224
Przedszkole Fahrenheita,kindergarten,18.5669532,54.3489965
Wymarzone Przedszkole,kindergarten,18.6468606,54.4004946
Publiczne Pozytywne Przedszkole nr 9,kindergarten,18.4914934,54.3575218
Przedszkole nr 13,kindergarten,18.5962835,54.3946819
Przedszkole Misia Wojtka,kindergarten,18.5905319,54.3599806
Przedszkole Niepubliczne Królestwo Fantazji,kindergarten,18.5958459,54.3670367
Przedszkole Mali Przyjaciele,kindergarten,18.5868166,54.3330518
Przedszkole I Żłobek Koliber,kindergarten,18.5828795,54.365672
Publiczne Pozytywne Przedszkole nr 1,kindergarten,18.6091702,54.3828786
Przedszkole nr 76 Radosny Zakątek,kindergarten,18.62126134245957,54.341954722868344
Przedszkole nr 85 Wesoły Ul,kindergarten,18.622897530596187,54.340732404176784
Przedszkole Nr 1,kindergarten,18.675089272147588,54.398319144085164
"Przedszkole nr 1 ""Tęczowa Jedyneczka""",kindergarten,18.675136369150827,54.398193652485695
Przedszkole Niepubliczne Sióstr Benedyktynek Misjonarek,kindergarten,18.62956004456932,54.409102749345834
Przedszkole Nr 32,kindergarten,18.65600199109738,54.351381528550306
Przedszkole Horyzoncik,kindergarten,18.57676810438134,54.30153743057526
Przedszkole nr 75,kindergarten,18.59095170644247,54.36196443420495
Zespół Szkolno - Przedszkolny nr 2 w Gdańsku,school,18.602972364461746,54.35332822189747
Przedszkole nr 58,kindergarten,18.71289538951816,54.36233753181975
Zespół Szkolno-Przedszkolny nr 1 w Gdańsku,school,18.59361581621958,54.41144181996005
"Przedszkole ""Leśny Domek""",kindergarten,18.555560764321186,54.41588930714379
Przedszkole Niepubliczne w Oliwie,kindergarten,18.556591919498786,54.41024327619698
Przedszkole nr 33,kindergarten,18.62634675219346,54.38341267446255
Przedszkole nr 62,kindergarten,18.59524152632772,54.402030456570884
"Przedszkole nr 31 ""Słoneczko""",kindergarten,18.66448897372159,54.35006904231558
Zespół Szkolno - Przedszkolny w Borkowie,school,18.595667858066264,54.29803050124991
Przedszkole nr 39,kindergarten,18.562387122769707,54.41185107996626
"Szkoła Podstawowa i Przedszkole ""Olimpijczyk""",school,18.583699337622086,54.31961497031365
Przedszkole nr 34 im. Marii Konopnickiej,kindergarten,18.593441252884006,54.412053937655955
"Przedszkole nr 51 ""Jacek i Agatka""",kindergarten,18.593244444408974,54.41636894524478
"Przedszkole nr 54 ""Fantazja""",kindergarten,18.590369025128304,54.41455915798942
Przedszkole nr 68,kindergarten,18.568531619029056,54.32826943402426
Publiczne Pozytywne Przedszkole nr 3,kindergarten,18.63248134284025,54.323930729839816
Przedszkole nr 59,kindergarten,18.59343948291882,54.4074112240123
Przedszkole nr 83,kindergarten,18.5888169978325,54.31993241230593
Przedszkole nr 48 z oddziałami integracyjnymi w Gdańsku,kindergarten,18.58903380464146,54.418280296196585
Przedszkole nr 4 „Gwarny Dworek”,kindergarten,18.610331819294487,54.367572904819056
Przedszkole nr 80,kindergarten,18.60170780647701,54.31178126264233
Przedszkole Fantazja,kindergarten,18.563019091069666,54.33024284062812
Przedszkole nr 49 Miś,kindergarten,18.5860178419721,54.40797703763945
Przedszkole niepubliczne Stokrotka,kindergarten,18.57994941922351,54.4029945429222
Przedszkole nr 7,kindergarten,18.610973425578145,54.378730126525696
Przedszkole nr 23,kindergarten,18.666046842060837,54.39987173016231
"Przedszkole nr 5 ""Róża Wiatrów""",kindergarten,18.60760967497147,54.396191246487376
Publiczne Pozytywne Przedszkole nr 12 w Gdańsku,kindergarten,18.594029336736714,54.39027183956835
Przedszkole nr 35,kindergarten,18.65162103393281,54.35814516633669
Chrześcijańska Szkoła Podstawowa i Przedszkole Montessori,kindergarten,18.59070023498782,54.41338471432178
Przedszkole,kindergarten,18.578352198380795,54.40096861396128
Przedszkole nr 60 im. Jana Brzechwy,kindergarten,18.58327810246119,54.42313748815994
"Przedszkole nr 46 ""Muszelka""",kindergarten,18.66094846754628,54.3438310978529
"Przedszkole nr 64 ""Kubuś Puchatek""",kindergarten,18.576769920092232,54.42390132259873
Przedszkole nr 10,kindergarten,18.56646221860096,54.439397034591046
Przedszkole nr 63,kindergarten,18.591078726996482,54.39442896970975
Przedszkole nr 66,kindergarten,18.591546395873458,54.39666137111431
Przedszkole nr 67,kindergarten,18.62847312993336,54.403306661563306
Przedszkole nr 15 Niezapominajka,kindergarten,18.61187864287903,54.38069697418238
