name,amenity,longitude,latitude
Szkoła Podstawowa nr 33 im. Stefana Banacha w Gdańsku,school,18.4790736,54.4209492
Szkoła Podstawowa nr 5 im. Jana Pawła II,school,18.6045206,54.4023481
Morska  Szkoła Podstawowa im.Aleksandra Doby w Gdańsku,school,18.5971177,54.3324116
Katolicka Szkoła Podstawowa im. Św. Wojciecha,school,18.5915156,54.3565313
Szkoła Podstawowa Mistrzostwa Sportowego nr 94,school,18.6738275,54.3525221
Szkoła Podstawowa nr 42 w Gdańsku,school,18.6028627,54.3535085
Szkoła Podstawowa nr 3,school,18.6222678,54.3403776
Szkoła Podstawowa nr 70 z Oddziałami Sportowymi,school,18.5743712,54.3879163
"Niepubliczna Szkoła Podstawowa ""Sokrates""",school,18.6256426,54.3503372
Szkoła Podstawowa nr 18,school,18.6447963,54.4052405
Sportowa Szkoła Podstawowa nr 75 z Oddziałami Mistrzostwa Sportowego im. Janusza Kusocińskiego,school,18.5732251,54.4195351
Szkoła Podstawowa nr 92,school,18.5957712,54.395084
Szkoła Podstawowa Montessori w Kowalach,school,18.5611466,54.3122088
Szkoła Podstawowa nr 67 im. kapitana żeglugi wielkiej Tadeusza Ziółkowskiego,school,18.650370944130554,54.34460607963876
Szkoła Podstawowa nr 8,school,18.607654426616527,54.33914194637231
Szkoła Podstawowa nr 55,school,18.671316414748375,54.39927749331725
Szkoła Podstawowa nr 57 im. gen. Władysława Andersa,school,18.652791625328586,54.35776686138305
Szkoła Podstawowa nr 14 im. ks. Grzegorza Piramowicza,school,18.618811629391875,54.34818207483447
Szkoła Podstawowa nr 72 im. Obrońców Westerplatte,school,18.72004205950583,54.36081987890877
Szkoła Podstawowa Specjalna nr 26,school,18.65903294842174,54.35523620281023
Szkoła Podstawowa nr 50 im. Emilii Plater,school,18.655463345002516,54.35283916269111
Szkoła Podstawowa nr 86 im. prof. Jerzego Sampa,school,18.58918728722339,54.31638980221249
Szkoła Podstawowa nr 12,school,18.58430843202831,54.324785387185784
Szkoła Podstawowa nr 43,school,18.61468607561588,54.356764270448764
Szkoła Podstawowa nr 58 im. Kazimierza Sołtysika w Gdańsku,school,18.62738406729714,54.35196395292145
Szkoła Podstawowa im. Adama Mickiewicza w Chwaszczynie,school,18.417518761663978,54.44007731850823
Szkoła Podstawowa nr 19 im. Zasłużonych Ludzi Morza,school,18.62570508661684,54.32656178923363
Szkoła Podstawowa nr 11 im. Na Bursztynowym Szlaku,school,18.71219581937916,54.36166295223281
Szkoła Podstawowa Nr 69 im. generała Stanisława Sosabowskiego,school,18.629909498476632,54.37854467808758
Szkoła Podstawowa nr 46,school,18.579256685097562,54.40371751075491
Szkoła Podstawowa nr 48 w Gdańsku,school,18.6089529685297,54.39556530752588
Szkoła Podstawowa Nr 24,school,18.617304877064115,54.38477333792752
Szkoła Podstawowa nr 85 im. Zrzeszenia Kaszubsko-Pomorskiego,school,18.561191170236093,54.343580516231235
Szkoła Podstawowa Nr 81,school,18.467361148994616,54.43044567587863
Szkoła Podstawowa nr 59,school,18.669495187045417,54.341009253004394
Szkoła Podstawowa Nr 44 im. Adama Mickiewicza,school,18.59797877538087,54.41085500432996
Szkoła Podstawowa nr 35 z Oddziałami Sportowymi im. Jana Parandowskiego,school,18.56795690231197,54.404356064407494
Szkoła Podstawowa nr 52 im. Tadeusza Kościuszki,school,18.62526945590822,54.38699902309218
Szkoła Podstawowa nr 23,school,18.55533176254117,54.412002859408254
Szkoła Podstawowa nr 80 im. Budowniczych Portu Północnego,school,18.600680529635653,54.402400597193534
Szkoła Podstawowa nr 79,school,18.593467835575215,54.406407800280576
Szkoła Podstawowa nr 10 w Gdańsku,school,18.563541440366762,54.395164105984904
Szkoła Podstawowa nr 61 im. Józefa Wybickiego,school,18.691023025201368,54.35855283279355
Szkoła Podstawowa nr 1 im. Mariusza Zaruskiego w Gdańsku,school,18.593393012083116,54.35876314472098
Szkoła Podstawowa nr 82,school,18.483943200932046,54.388299290094736
Szkoła Podstawowa nr 83,school,18.480275672349016,54.353457892687615
Szkoła Podstawowa nr 84,school,18.509189895750726,54.339759999767494
Szkoła Podstawowa nr 47,school,18.631411899222563,54.34199831436596
Szkoła Podstawowa nr 65 imienia Alfa Liczmańskiego,school,18.657890803882903,54.342297395273604
Szkoła Podstawowa nr 40,school,18.636916954787207,54.28381894864571
Szkoła Podstawowa nr 29,school,18.695792360789522,54.348130799784414
Publiczna Szkoła Podstawowa Hevelius,school,18.645200953758383,54.39374378968967
"Szkoła Podstawowa i Przedszkole ""Olimpijczyk""",school,18.583699337622086,54.31961497031365
Szkoła Podstawowa Nr 1 im. ks. prałata Józefa Bigusa,school,18.39961813703639,54.39571611322362
Szkoła Podstawowa nr 39,school,18.594479357248858,54.380453169264634
Szkoła Podstawowa w Kowalach,school,18.571105791250826,54.30750670546582
Szkoła Podstawowa Specjalna nr 37 w Gdańsku,school,18.574392202290017,54.41335920771346
Szkoła Podstawowa nr 89 w Gdańsku im. Tadeusza Mazowieckiego,school,18.57603636542404,54.422091042932735
Szkoła Podstawowa nr 6,school,18.56768845131832,54.3266028111575
Szkoła Podstawowa nr 15,school,18.6262942440623,54.36760728941798
Szkoła Podstawowa nr 56 imienia Andrzeja Struga,school,18.628492551795958,54.33105251810753
Szkoła Podstawowa nr 38 im. gen. Stanisława Maczka,school,18.56137880072605,54.37638949281422
Szkoła Podstawowa Nr 2,school,18.411139745767027,54.390684916935975
Szkoła Podstawowa nr 7 im. mjra Mieczysława Słabego,school,18.524180725868742,54.37142038636968
Szkoła Podstawowa nr 60,school,18.587410618055305,54.41818784598193
"Niepubliczna Szkoła Podstawowa ""Fregata""",school,18.557712460614592,54.4097216079719
Szkoła Podstawowa nr 77,school,18.584639480877815,54.42405842155356
Szkoła Podstawowa nr 27 im. Dzieci Zjednoczonej Europy,school,18.58104997461875,54.37754517610568
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 1 im. Armii Krajowej w Sopocie,school,18.559260910651066,54.436466848428125
Szkoła Podstawowa nr 20 im. Jana Grudzińskiego,school,18.6305470445225,54.40976858134296
Szkoła Podstawowa nr 49 im. ks. Bronisława Komorowskiego,school,18.61224372594459,54.38636531669431
Szkoła Podstawowa nr 17,school,18.613661609955276,54.37787305846599
I Społeczna Szkoła Podstawowa,school,18.56025518310396,54.406099310239064
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 8 im. Jana Matejki,school,18.57073747067896,54.43554030971692
Szkoła Podstawowa Nr 2,school,18.57391449469213,54.358436203539405
Szkoła Podstawowa w Przejazdowie,school,18.742521239351465,54.32404384691125
"Szkoła Podstawowa im. Danuty Siedzikówny ""Inki"" w Wiślinie",school,18.720223952110967,54.29333683254131
Szkoła Podstawowa nr 45 im. Bohaterów Westerplatte,school,18.602502237745743,54.37732153296643
Szkoła Podstawowa nr 21 im. kpt. ż. w. Karola Olgierda Borchardta,school,18.642317013762845,54.34593930994424
"Niepubliczna Szkoła Podstawowa ""Nasza Szkoła""",school,18.61269940061393,54.39115908378491
