name,railway,longitude,latitude
Sopot,station,18.5623141,54.4400569
Gdańsk Stocznia,halt,18.6417851,54.3646358
Pępowo Kartuskie,halt,18.4011499,54.3664602
Gdańsk Politechnika,halt,18.6274077,54.3741905
Rębiechowo,halt,18.4190224,54.3870599
Stara Piła,station,18.4130501,54.3264791
Gdańsk Stadion Expo,halt,18.6331559,54.387496
Gdańsk Lipce,halt,18.6359096,54.3014686
Gdańsk Orunia,halt,18.6344756,54.324252
Gdańsk Żabianka-AWFiS,halt,18.5684877,54.4207672
Sopot Wyścigi,halt,18.5652352,54.4312893
Gdańsk Zaspa,halt,18.591526,54.3897726
Gdańsk Brętowo,halt,18.5735495,54.3651261
Gdańsk Kiełpinek,halt,18.5285628,54.3553612
Gdańsk Matarnia,halt,18.5063816,54.3734866
Gdańsk Niedźwiednik,halt,18.5720769,54.378158
Gdańsk Jasień,halt,18.5502959,54.3537062
Gdańsk Śródmieście,halt,18.6443526,54.3468793
Gdańsk Główny,station,18.6441946,54.3564345
Gdańsk Wrzeszcz,station,18.6055111,54.3817696
Gdańsk Oliwa,halt,18.5718541,54.4094163
Leźno,halt,18.4593191,54.3478157
Gdańsk Kokoszki,station,18.4921682,54.3623346
Gdańsk Port Lotniczy,halt,18.4665403,54.3827282
Gdańsk Przymorze-Uniwersytet,halt,18.5766182,54.4007278
Gdańsk Osowa,station,18.4528085,54.4223889
Gdańsk Rębiechowo,halt,18.4465066,54.3874305
Gdańsk Strzyża,halt,18.5788345,54.3917534
Gdańsk Firoga,halt,18.4871284,54.3782828
Gdańsk Oliwa SKM,halt,18.5720912,54.4096245
