name,highway,longitude,latitude
Matejki 02,bus_stop,18.6130546,54.3748025
Siedlicka 02,bus_stop,18.6113412,54.3700324
Oliwa 08,bus_stop,18.5655736,54.4100682
Oliwa 07,bus_stop,18.5670206,54.409299
Oliwa 06,bus_stop,18.5674509,54.4093671
Sopocka 01,bus_stop,18.4786398,54.4300324
Stary Rynek Oliwski 02,bus_stop,18.5555801,54.4090154
Stary Rynek Oliwski 01,bus_stop,18.5579384,54.4087226
Barniewicka 01,bus_stop,18.4674324,54.4341847
Jaśkowa Dolina 04,bus_stop,18.608098,54.3776017
"Gdańsk, Dworzec PKS",bus_stop,18.6430378,54.3570336
Zacna,bus_stop,18.5632,54.350615
Wołkowyska,bus_stop,18.5699448,54.3507051
Zacna,bus_stop,18.560429,54.3507362
Zakopiańska,bus_stop,18.6186115,54.3488419
Siedlce 06,bus_stop,18.6065945,54.3485631
Brama Wyżynna 05,bus_stop,18.6464771,54.3505177
Emaus,bus_stop,18.6043154,54.347459
Odrzańska,bus_stop,18.6257767,54.3451525
Grabowskiego,bus_stop,18.6209568,54.3415877
Westerplatte 01,bus_stop,18.6773582,54.40585
Jarowa 02,bus_stop,18.6118421,54.3640448
Chwaszczyno Boczna 71,,18.4018831,54.4432368
Otwarta 01,bus_stop,18.6036245,54.3559833
Damroki 01,bus_stop,18.5642424,54.3386413
Damroki 02,bus_stop,18.5637512,54.3389874
Niegowska 01,bus_stop,18.631458,54.301418
Niegowska 02,bus_stop,18.6308156,54.3028042
Jelitkowo Kapliczna 03,bus_stop,18.602087,54.4214943
Opacka,bus_stop,18.5663689,54.4152458
Olimpijska 01,bus_stop,18.5811215,54.3055948
Hokejowa 01,bus_stop,18.5880535,54.3096336
Niepołomicka,bus_stop,18.5950848,54.3201977
Niepołomicka,bus_stop,18.5951574,54.3203605
Liliowa 02,bus_stop,18.5909604,54.3154541
Hokejowa 02,bus_stop,18.5888105,54.3104986
Liliowa 01,bus_stop,18.5912375,54.3152445
Os. Świętokrzyskie 02,bus_stop,18.5709557,54.313701
Os. Świętokrzyskie 01,bus_stop,18.5713093,54.3137024
Os. Świętokrzyskie 03,bus_stop,18.5698545,54.3141125
Kowale Osiedle Olimp 01,bus_stop,18.5662203,54.3112437
Kowale Osiedle Olimp 02,bus_stop,18.5648502,54.3109022
Kowale Starowiejska 01,bus_stop,18.5618363,54.3093622
Kowale Starowiejska 02,bus_stop,18.5602091,54.3088753
Wieżycka,bus_stop,18.5868277,54.3181082
Wieżycka,bus_stop,18.5870315,54.3180519
Orunia Górna 01,bus_stop,18.6183106,54.3252011
Orląt Lwowskich 01,bus_stop,18.602804,54.3230323
