name,power,man_made,longitude,latitude
,,,18.6292538,54.3368497
,,,18.7462406,54.3589065
,,,18.6831174,54.3633843
,,,18.6164677,54.4081806
,,,18.5912418,54.354536
,,,18.4627219,54.4427717
,,,18.6627565,54.3532195
"Stacja Uzdatniania Wody ""Dolina Radości""",,water_works,18.5239067,54.3960482
,,,18.6477036,54.3057965
,substation,,18.6027909,54.3783397
,,,18.6255371,54.3964458
,,,18.6228307,54.396578
21xTak,,,18.6449924,54.3621124
,,,18.4413735,54.3381214
,,,18.6346948,54.3792389
,,,18.5539965,54.3433752
,,,18.4873781,54.3615016
,,,18.4710967,54.3866069
,substation,,18.5563748,54.3437569
,,,18.7117142,54.3378032
,,,18.7126261,54.3383529
,,,18.579889,54.4312919
,,,18.6202069,54.3170654
,substation,,18.551653,54.3284306
,transformer,,18.5982302,54.3845364
,transformer,,18.5981618,54.3845748
,transformer,,18.5980945,54.3846126
,transformer,,18.5980315,54.3846479
,,,18.5978534,54.3848021
,,,18.6451728,54.338929
,,,18.6451837,54.3394493
Brama nr 6,,,18.7535706,54.3416647
,,,18.7465369,54.3588911
,,,18.6921427,54.3896596
,,,18.6514731,54.3319926
,,,18.5542811,54.3144086
,,,18.6133049,54.3062906
,,,18.600777,54.3862556
,substation,,18.6262064,54.3747858
,,,18.6091849,54.4096013
,,,18.6446157,54.397271
,,,18.616306,54.398389
,,,18.621385,54.3989415
,,,18.6112021,54.4095014
,,,18.5709709,54.3305991
,,,18.7344734,54.3027771
,,,18.5978737,54.3846053
,,,18.5982153,54.3844105
,,,18.5984456,54.3845505
,,,18.557978,54.427506
,,,18.558644,54.4275964
,,,18.5754593,54.404378
,,,18.6387006,54.3493973
Horyzont Przymorze,substation,,18.6022127,54.4107241
Halibut 2,substation,,18.6025245,54.4118676
,,,18.6506449,54.3393198
,,,18.6386954,54.3494305
,,,18.5939242,54.3328643
,,,18.5599596,54.3507169
,,,18.6894887,54.3391545
,,,18.491973,54.4275251
,,,18.6053263,54.4036528
,,,18.6052277,54.4038293
,,,18.6058482,54.404492
,,,18.4507436,54.4193626
,,,18.6238304,54.396815
,,,18.6430557,54.3998194
,,,18.6469897,54.304467
,,,18.6470238,54.3044733
,,,18.5850324,54.4172606
,,,18.5840325,54.3777228
,,,18.6291348,54.3616331
,,,18.6290994,54.3616806
,,,18.629164,54.3616693
,substation,,18.6163829,54.3221906
,substation,,18.6135912,54.3214469
,substation,,18.6106031,54.320158
,substation,,18.6031166,54.3086303
,substation,,18.4640983,54.4423375
Kombatantów 5,substation,,18.6089131,54.3974927
,substation,,18.6089825,54.395779
Burzyńskiego 8,substation,,18.6073942,54.3953181
,substation,,18.6054164,54.3956879
,substation,,18.6037597,54.3946291
,substation,,18.6089502,54.3923469
,substation,,18.60695,54.3927369
,substation,,18.6083269,54.3937363
Ciołkowskiego 7,substation,,18.6120558,54.3922605
,substation,,18.6091334,54.3912757
Bajana 3,substation,,18.6058757,54.3905847
Bajana 9,substation,,18.6060952,54.3896058
Nagórskiego 9,substation,,18.6042738,54.3910507
,substation,,18.6027795,54.3921657
Dywizjonu 303 33B,substation,,18.6015856,54.392546
Dywizjonu 303 33E,substation,,18.6012605,54.3915396
,substation,,18.6003547,54.3907054
Dywizjonu 303 5F,substation,,18.5993349,54.3903116
,substation,,18.6017396,54.3905359
,substation,,18.5980794,54.3892828
,substation,,18.6011402,54.3887709
,substation,,18.6030866,54.3882898
,substation,,18.6028141,54.3895049
,substation,,18.6019756,54.3874568
,,,18.6728187,54.3715209
T-1997,substation,,18.5736054,54.3910855
,substation,,18.6564984,54.3461274
Glazurowa 21,substation,street_cabinet,18.5650889,54.3067122
"Kowale, Heliosa 22",substation,street_cabinet,18.5685753,54.3073339
Stacja elektroenergetyczna 110kV Ostrów,substation,,18.650547499999995,54.37465505
Stacja elektroenergetyczna 110/15kV Chełm,substation,,18.629870229055776,54.3368601360373
Stacja elektroenergetyczna 110/15kV Czerwony Most,substation,,18.651275908591863,54.332380574460316
Stacja elektroenergetyczna 110/15kV Górki Zachodnie,substation,,18.746228254629365,54.358624365884225
Stacja elektroenergetyczna 110kV Rafineria - zdemontowana,substation,,18.7279280918306,54.34627718011681
,substation,,18.583760702902964,54.40489956285372
,substation,,18.640400403407043,54.40690329577793
,substation,,18.482855699999998,54.42493344999999
T-11-10,substation,,18.46946014628966,54.425952831178954
Stacja Ciśnień,,water_works,18.62008035844175,54.31776779245499
T-1075,substation,,18.640024476315062,54.32769640933099
Stacja elektroenergetyczna 110kV Basen Górniczy,substation,,18.67353788311228,54.3715333078245
"Stacja elektroenergetyczna ""Gdańsk Błonia"" 400/110 kV",substation,,18.709950241841465,54.338860984262965
,substation,,18.440687871991326,54.33753814369828
"Stacja uzdatniania wody ""Czarny Dwór""",,water_works,18.610280541986395,54.40985620063297
,substation,,18.66025145658915,54.35517209841298
,substation,,18.655366879495116,54.35148666406816
,substation,,18.59242806443272,54.30758952858079
,substation,,18.61116985,54.32464115
,substation,,18.57987902607332,54.30336450866775
"Stacja elektroenergetyczna ""Gdańsk I"" 400/220/110 kV",substation,,18.441271865772226,54.337595682397506
,substation,,18.40537921395658,54.34022217179713
,substation,,18.565313300000003,54.31060099999999
,substation,,18.432392699999994,54.346054300000006
,substation,,18.437786399999997,54.34871885
,substation,,18.62225505,54.32729655
Stacja elektroenergetyczna 110/15kV „Piecki”,substation,,18.591484816916985,54.35383999351481
SAUR Stacja uzdaniania wody,,water_works,18.46361409081623,54.442618665828206
,substation,,18.63017515059314,54.357658425587836
,substation,,18.632362,54.357127299999995
,,,18.598042350844555,54.384506648561995
,substation,,18.46074644631178,54.43840758122884
"Stacja elektroenergetyczna 110/15kV ""Gdańsk Port Północny""",substation,,18.69160074864973,54.389176879479905
Stacja elektroenergetyczna 110kV „Gdańsk II”,substation,,18.636155793969117,54.379481737716056
