name,amenity,longitude,latitude
,,18.5191311,54.5197704
,,18.4669321,54.5426722
,,18.4581034,54.5442519
,,18.4592032,54.5441554
,,18.5093563,54.4947951
,,18.536959,54.4824697
,,18.5367662,54.482697
,,18.5094201,54.4947852
,,18.51024,54.4946868
,,18.5056499,54.5580516
,,18.5058401,54.5584657
,,18.5377597,54.5507753
,,18.538554,54.5507885
,,18.5480282,54.5502443
,,18.5487554,54.5510423
,,18.5268872,54.5105762
Szkoła Językowa AMBIT,school,18.5121926,54.5495161
,,18.5532972,54.4931844
,,18.5045741,54.4994903
,,18.504657,54.5001967
,,18.5023712,54.5300621
,,18.5016684,54.5302453
,,18.496307,54.464526
,,18.5492322,54.5002641
,,18.5307127,54.4883086
Centrum nauki języka niemieckiego,school,18.5375444,54.5083534
,,18.55302,54.4927632
,,18.5586645,54.4798789
,,18.5474512,54.5064464
,,18.5518224,54.4931957
,,18.5519635,54.4937381
,,18.4962305,54.4642998
,,18.4937426,54.4647583
,,18.4963803,54.4647547
,,18.4628108,54.5391461
,,18.464316,54.5397103
,,18.4639053,54.5398349
,,18.5070122,54.5238348
,,18.5440333,54.510324
,,18.4551125,54.5911078
,,18.5272065,54.4843216
,,18.5270637,54.4840556
,,18.5638077,54.4811684
,,18.5624087,54.4811421
,,18.5633169,54.4811342
Państwowe Liceum Sztuk Plastycznych im. Magdaleny Abakanowicz,school,18.5568982,54.479672
,,18.4482746,54.5477781
,,18.4468198,54.5485285
,,18.5518789,54.4936639
,,18.5034868,54.5533157
,,18.5601697,54.4788181
,,18.558869,54.4799949
,,18.5597622,54.4799403
,,18.5568648,54.4799175
,,18.5055638,54.5581284
,,18.5056922,54.5582762
,,18.5197983,54.5190077
,,18.5263105,54.48483
,,18.5453706,54.5074733
,,18.5236504,54.5140616
,,18.5238529,54.5141989
II Liceum Ogólnokształcące im. Józefa Konrada Korzeniowskiego w Rumi,school,18.4173913,54.5646262
,,18.5233385,54.5183992
,,18.5313648,54.4570181
,,18.5490827,54.5005917
,,18.5495572,54.499545
,,18.549683,54.4992691
,,18.5452194,54.5093714
,,18.5551261,54.4528181
,,18.5410355,54.5233362
,,18.5415665,54.5233189
,,18.5416579,54.5225386
,,18.5499182,54.4786573
,,18.4483162,54.5477664
,,18.4469745,54.5484869
,,18.4458135,54.5488508
,,18.4559185,54.591249
,,18.4550092,54.5911012
,,18.4556443,54.5922859
,,18.4541389,54.591032
,,18.454645,54.591075
,,18.4542193,54.5919991
,,18.4547355,54.5926375
,,18.5111245,54.5591868
,,18.5278544,54.5105409
Technikum Ekonomiczne z Oddziałami Dwujęzycznymi im. rotmistrza Witolda Pileckiego,school,18.5494315,54.4824079
,,18.4217423,54.4925332
Moduł Kontenerowy szkoły w Pogórzu,school,18.4802123,54.5655998
,,18.5516232,54.4790453
,,18.5510403,54.4789126
,,18.5022026,54.531248
,,18.5023418,54.5314237
,,18.5018118,54.5307546
Szkoła Specjalna Przysposabiająca do Pracy nr 2,school,18.5283887,54.5102668
VII Sportowe Liceum Ogólnokształcące im. Józefa Wybickiego,school,18.5370684,54.5128983
Branżowa Szkoła II stopnia nr 1,school,18.5193711,54.5559863
Branżowa Szkoła I stopnia nr 2,school,18.5188293,54.5561528
Branżowa Szkoła I stopnia nr 6,school,18.5189876,54.5561076
Technikum nr 3,school,18.5192478,54.5560275
Technikum Budowlane,school,18.5191297,54.5560695
Technikum Mechaniczne nr 1,school,18.5140121,54.5249499
Technikum Budowy Okrętów,school,18.5138243,54.5250012
Branżowa Szkoła I stopnia nr 3,school,18.5136688,54.5250666
Branżowa Szkoła I stopnia nr 1,school,18.5135239,54.5251071
