name,amenity,longitude,latitude
Przedszkole Niepubliczne,kindergarten,18.4922484,54.5621677
Przedszkole Niepubliczne CHATKA PUCHATKA,kindergarten,18.4889332,54.4742105
Chatka Przedszkolaka,kindergarten,18.4712589,54.4717516
Przedszkole pw. Świętej Rodziny,kindergarten,18.5401623,54.4770053
Przedszkole Samorządowe Nr 9,kindergarten,18.538238,54.505623
Przedszkole Samorządowe Nr 15 w Gdyni,kindergarten,18.4770651,54.5374537
Przedszkole Samorządowe Nr 19,kindergarten,18.5384367,54.5027128
Przedszkole przy Parafii Najświętszej Marii Panny,kindergarten,18.5426029,54.5174607
Przedszkole nr 50,kindergarten,18.4684559,54.473049
Przedszkole Stonoga,kindergarten,18.4888724,54.4729836
Przedszkole nr 53,kindergarten,18.421294,54.4922414
"Przedszkole Niepubliczne ""Bajkoland""",kindergarten,18.4599336,54.5285058
"Przedszkole Niepubliczne ""Świat Smyka""",kindergarten,18.4660488,54.5391525
Przedszkole nr 54,kindergarten,18.4970531,54.4719921
"Dwujęzyczne Przedszkole Niepubliczne ""Nasza Planeta""",kindergarten,18.490131,54.5755972
Różowa Wieża - Przedszkole Montessori,kindergarten,18.4803411,54.5628279
"Przedszkole Niepubliczne ""Wyspa Odkrywców""",kindergarten,18.5143521,54.55065
Przedszkole niepubliczne Fundacji Dobroczyńca,kindergarten,18.4796113,54.5663455
"Przedszkole nr 4 ""Nad Potokiem""",kindergarten,18.5497015,54.4559738
Integracyjny punkt przedszkolny Tuptusie,kindergarten,18.522236,54.5502619
Przedszkole Niepubliczne Akademia Małych Odkrywców,kindergarten,18.5421717,54.4991572
Przedszkole Montesori,kindergarten,18.5521598,54.455373
Integracyjne Przedszkole Niepubliczne Zdrowy Smyk,kindergarten,18.4820254,54.5316039
Przedszkole nr 56 w Gdynii,kindergarten,18.4440444,54.5470041
Przedszkole Beauforcik,kindergarten,18.4936748,54.567183
Przedskole nr 60 w Gdyni,kindergarten,18.4918303,54.5604336
Przedszkole nr 59,kindergarten,18.4298739,54.4887612
Przedszkole nr 55,kindergarten,18.4608861,54.4713953
Przedszkole nr 57,kindergarten,18.4876567,54.4722166
Zespół Szkolno-Przedszkolny nr 1,school,18.420501622467047,54.49202885226746
Przedszkole Samorządowe nr 30,kindergarten,18.537708868439168,54.578549966178635
"Przedszkole nr 32 ""Cisowiaczki""",kindergarten,18.450822398969052,54.545141407252245
Przedszkole Samorządowe nr 31,kindergarten,18.481434047268536,54.536264543442044
Przedszkole Przytulny Kącik,kindergarten,18.492921520930775,54.586957786311736
Przedszkole Samorządowe Nr 27,kindergarten,18.472312578830056,54.540108201509774
Przedszkole Samorządowe Nr 28,kindergarten,18.517164769175952,54.49920437057719
Przedszkole Samorządowe Nr 5,kindergarten,18.548053756330848,54.480444140957744
Przedszkole Samorządowe Nr 24 im. Janusza Korczaka,kindergarten,18.542577621985583,54.493636246880726
Przedszkole nr 14,kindergarten,18.542974109222538,54.48515261718696
Zespół Szkolno Przedskolny nr 6,school,18.537258993668125,54.578361951444656
Przedszkole Samorządowe Nr 6 w Gdyni,kindergarten,18.48627627028681,54.471719784189105
Przedszkole nr 22,kindergarten,18.53969944373115,54.49875665075212
"Przedszkole nr 49 ""Bajkowy Ogród""",kindergarten,18.486014350801106,54.56153792732147
Przedszkole nr 44,kindergarten,18.505434731709492,54.471155855613894
Przedszkole Nr 26 BAJKOWA KRAINA,kindergarten,18.46765316790287,54.54158899623894
Przedszkole Samorządowe Nr 52,kindergarten,18.541967229323873,54.51015544839863
Przedszkole Samorządowe Nr 46,kindergarten,18.45090906226344,54.534222411606414
Przedszkole nr 7,kindergarten,18.53670145759063,54.51195301724828
Przedszkole nr 51,kindergarten,18.53697704643388,54.51373230353854
Przedszkole Samorządowe Nr 18 w Gdyni,kindergarten,18.516675394965734,54.549654787431194
Przedszkole Samorządowe Nr 4,kindergarten,18.523976547588767,54.51565947237793
Zespół Szkolno-Przedszkolny w Dębogórzu,school,18.45477479544626,54.591850345093086
Przedszkole Samorządowe Nr 29,kindergarten,18.49826633741473,54.553272146565526
Przedszkole Samorządowe Nr 48,kindergarten,18.504317446937083,54.55345101416207
Przedszkole Samorządowe nr 16 w Gdyni,kindergarten,18.536530588134987,54.52298189560332
Przedszkole Niepubliczne- Ochronka,kindergarten,18.54718971426257,54.550389746904884
Przedszkole nr 12 w Sopocie,kindergarten,18.538188282767816,54.457469642788176
Przedszkole Samorządowe Nr 47,kindergarten,18.505846920814903,54.56244918110341
"Przedszkole Nr 8 ""Pluszowy Misiaczek""",kindergarten,18.51691839849521,54.52290601128385
Przedszkole Anioła Stróża,kindergarten,18.419234889445068,54.48613519895202
Przedszkole Samorządowe Nr 23,kindergarten,18.530280745183887,54.48644823521303
Przedszkole Samorządowe Nr 21,kindergarten,18.457662752218297,54.52960827331645
Przedszkole nr 58,kindergarten,18.43434203489301,54.49491522810668
"Przedszkole Nr 11 ""Pod kasztanami""",kindergarten,18.540863372190447,54.550122202140194
Przedszkole Samorządowe Nr 35 „Pod Żaglami”,kindergarten,18.5292984961494,54.5531584463436
"Przedszkole Nr 42 ""Pod Modrzewiem""",kindergarten,18.520657174631786,54.55450601792165
Przedszkole nr 43,kindergarten,18.54024600262103,54.5429245761124
Niepubliczne Przedszkole Tenisowe Jaworek i Niepubliczny Żłobek Jaworek,kindergarten,18.47301086509606,54.574863159786844
Przedszkole nr 25 „Gdyńskie Perły”,kindergarten,18.545203473458393,54.510743250177256
Przedszkole nr 5,kindergarten,18.562132196209422,54.45108962840707
Iskierka. Przedszkole Niepubliczne,kindergarten,18.41135441887969,54.56051325747689
Przedszkole w Pogórzu,kindergarten,18.491707315004735,54.56792435174879
"Przedszkole i żłobek ""Wesołe Żuczki""",kindergarten,18.54780732718,54.47870583203113
Przedszkole Samorządowe Nr 13,kindergarten,18.50710562166842,54.50156092735391
Zespół Szkolno-Przedszkolny nr 1,school,18.420484175483697,54.49199832139356
Przedszkole Samorządowe nr 30,kindergarten,18.537701808302273,54.57855529639876
"Przedszkole nr 32 ""Cisowiaczki""",kindergarten,18.450834356353855,54.54513127505897
Przedszkole Samorządowe nr 31,kindergarten,18.48142653765599,54.536265131656165
Przedszkole Przytulny Kącik,kindergarten,18.492924986952364,54.58695763848002
Przedszkole Samorządowe Nr 27,kindergarten,18.472267889419047,54.540113754891415
Przedszkole Samorządowe Nr 28,kindergarten,18.51716551848636,54.49920455082031
Przedszkole Samorządowe Nr 5,kindergarten,18.54804963149553,54.48044683797255
Przedszkole Samorządowe Nr 24 im. Janusza Korczaka,kindergarten,18.54256818723834,54.493631044675574
Przedszkole nr 14,kindergarten,18.54298604530581,54.4851638449981
Zespół Szkolno Przedskolny nr 6,school,18.537270307848953,54.57837552198682
Przedszkole Samorządowe Nr 6 w Gdyni,kindergarten,18.48632770517093,54.47173956551849
Przedszkole nr 22,kindergarten,18.539699586331015,54.49875564161517
"Przedszkole nr 49 ""Bajkowy Ogród""",kindergarten,18.48601750914109,54.56153283534184
Przedszkole nr 44,kindergarten,18.505481518041723,54.47115574102051
Przedszkole Nr 26 BAJKOWA KRAINA,kindergarten,18.467650239367813,54.541587940562835
Przedszkole Samorządowe Nr 52,kindergarten,18.541981612463942,54.51016117313657
Przedszkole Samorządowe Nr 46,kindergarten,18.45083322610878,54.53422782915599
Przedszkole nr 7,kindergarten,18.536677069313033,54.511949532800685
Przedszkole nr 51,kindergarten,18.536971376738553,54.51372937209353
Przedszkole Samorządowe Nr 18 w Gdyni,kindergarten,18.51667310124672,54.549637297009795
Przedszkole Samorządowe Nr 4,kindergarten,18.523940596332686,54.515666589796595
Zespół Szkolno-Przedszkolny w Dębogórzu,school,18.454839781363003,54.59186747821449
Przedszkole Samorządowe Nr 29,kindergarten,18.498267354528252,54.55324876816579
Przedszkole Samorządowe Nr 48,kindergarten,18.504332027092982,54.553451618324495
Przedszkole Samorządowe nr 16 w Gdyni,kindergarten,18.5365077609574,54.52298134781537
Przedszkole Niepubliczne- Ochronka,kindergarten,18.547188308307373,54.55039226803446
Przedszkole nr 12 w Sopocie,kindergarten,18.538210620729757,54.457472186599325
Przedszkole Samorządowe Nr 47,kindergarten,18.505824208585842,54.56243698635463
"Przedszkole Nr 8 ""Pluszowy Misiaczek""",kindergarten,18.516814936627153,54.522925712498115
Przedszkole Anioła Stróża,kindergarten,18.41924546392012,54.486144790499814
Przedszkole Samorządowe Nr 23,kindergarten,18.530229318145675,54.486457339625694
Przedszkole Samorządowe Nr 21,kindergarten,18.4576538856993,54.529611815963065
Przedszkole nr 58,kindergarten,18.434342720058375,54.494917325201214
"Przedszkole Nr 11 ""Pod kasztanami""",kindergarten,18.54085680635192,54.55012480290861
Przedszkole Samorządowe Nr 35 „Pod Żaglami”,kindergarten,18.529284905097914,54.553169572377755
"Przedszkole Nr 42 ""Pod Modrzewiem""",kindergarten,18.520656504965242,54.554505429406454
Przedszkole nr 43,kindergarten,18.540250449937364,54.542925156940534
Niepubliczne Przedszkole Tenisowe Jaworek i Niepubliczny Żłobek Jaworek,kindergarten,18.47301900478083,54.574867645479536
