name,amenity,longitude,latitude
Szkoła Podstawowa nr 37,school,18.4213202,54.4921665
Szkoła Podstawowa nr 42,school,18.4970667,54.4723417
Szkoła Podstawowa nr 9 im. kpt. ż. w. K. O. Borchardta w Rumi,school,18.4167638,54.5647483
Szkoła Podstawowa nr 37,school,18.4289458,54.4882673
Szkoła Podstawowa dla Dorosłych,school,18.4605181,54.5375409
Katolicka Szkoła Podstawowa,school,18.5093129,54.552866
Szkoła Podstawowa Jezuitów,school,18.5255925,54.5157687
Szkoła Podstawowa nr 49 dla Dzieci Niedosłyszących,school,18.5446161,54.4985567
Szkoła Podstawowa Nr 53,school,18.5445142,54.4986766
Szkoła Podstawowa nr 47,school,18.46129,54.4713921
Szkoła Podstawowa nr 46,school,18.48822,54.4722073
Szkoła Podstawowa nr 45,school,18.4685245,54.4727964
Szkoła Podstawowa Specjalna dla Dzieci Przewlekle Chorych nr 38,school,18.5277235,54.5102855
Szkoła Podstawowa Specjalna nr 24,school,18.5271361,54.5103088
Sportowa Szkoła Podstawowa nr 14 im. Józefa Wybickiego,school,18.5370469,54.5125776
Szkoła Podstawowa nr 48 im. prof. Kazimierza Demela,school,18.453638948531168,54.50141119945477
Szkoła Podstawowa nr 29 im. Stefana Żeromskiego,school,18.48431171371714,54.53210931943763
Szkoła Podstawowa nr 40 im. kapitana żeglugi wielkiej Karola Olgierda Borchardta,school,18.45906542855296,54.5445082097314
Szkoła Podstawowa nr 40 w Gdyni im. kpt.ż.w. Karola Oldgierda Borchardta,school,18.463628918573765,54.53952382691017
Szkoła Podstawowa nr 10 im. Eugeniusza Kwiatkowskiego,school,18.47540948602871,54.53782911840478
Szkoła Podstawowa nr 12 im. gen. Mariusza Zaruskiego,school,18.509911924135192,54.494308431113154
"Szkoła Podstawowa nr 11 im. Bohaterów Załogi ORP ""Grom""",school,18.536151249871757,54.482263049001936
Szkoła Podstawowa nr 44 im. Obrońców Wybrzeża,school,18.504789386474503,54.55805782336987
Szkoła Podstawowa nr 33 im. Obrońców Kępy Oksywskiej,school,18.537903539478037,54.55120811962061
Szkoła Podstawowa nr 6 im. Antoniego Abrahama,school,18.51580989555106,54.55325661778341
Szkoła Podstawowa nr 9,school,18.531969619731044,54.45663452654482
Szkoła Podstawowa nr 23,school,18.545494845036007,54.50305774044352
Szkoła Podstawowa nr 31,school,18.446432707329546,54.54815796068968
Szkoła Podstawowa nr 34 z Oddziałami Integracyjnymi im. Leonida Teligi,school,18.5526878907167,54.49357410497257
Szkoła Podstawowa nr 35 im. kpt. Stanisława Kosko,school,18.50416945173188,54.49985410191546
Szkoła Podstawowa nr 52 im. błogosławionego księdza komandora podporucznika Władysława Miegonia,school,18.5024633691339,54.530695045795994
Szkoła Podstawowa nr 20 im. 2 Morskiego Pułku Strzelców,school,18.495012016360757,54.46453314259571
Szkoła Podstawowa nr 13 im. Lucjana Cylkowskiego,school,18.53124812721716,54.488503481221336
Szkoła Podstawowa nr 8 im. Obrońców Helu,school,18.55918577535713,54.47935037582272
Szkoła Podstawowa nr 18 im. Kornela Makuszyńskiego,school,18.544435333496093,54.50973423192108
Szkoła Podstawowa nr 28 im. Lotników Polskich,school,18.53754719391254,54.57804889085539
Szkoła Podstawowa nr 51 im. Polskich Noblistów,school,18.543086128114183,54.51193018102396
Szkoła Podstawowa nr 26 im. Żołnierzy Armii Krajowej,school,18.52293643148804,54.51434289335747
Szkoła podstawowa nr 17 im. wiceadmirała Józefa Unruga,school,18.50656927570786,54.52419589348086
Szkoła Podstawowa nr 21 im. Wojsk Obrony Powietrznej Kraju,school,18.540945221703943,54.52283696664486
Szkoła Podstawowa nr 39 im. kpt ż. w. Kazimierza Jurkiewicza,school,18.502587790135124,54.55359420094618
Katolicka Szkoła Podstawowa im. Świętej Rodziny,school,18.550365833819836,54.499509480285674
Szkoła Podstawowa Nr 1 im. Józefa Wybickiego w Rumi,school,18.40182228673641,54.57961949612779
Szkoła Podstawowa Nr 4 im. Janusza Korczaka w Rumi,school,18.40543048193177,54.56421845311726
Amerykańska Szkoła Podstawowa,school,18.526444054560432,54.48438108606784
Szkoła Podstawowa im. kontradmirała Xawerego Czernickiego w Pogórzu,school,18.479749325016872,54.56566512083085
Szkoła Podstawowa w Kosakowie,school,18.49134317608447,54.581002652288966
Szkoła Podstawowa nr 48 im. prof. Kazimierza Demela,school,18.45364467065369,54.50138839405042
Szkoła Podstawowa nr 29 im. Stefana Żeromskiego,school,18.484265278207992,54.53210005760743
Szkoła Podstawowa nr 40 im. kapitana żeglugi wielkiej Karola Olgierda Borchardta,school,18.459077008254503,54.54449414206216
Szkoła Podstawowa nr 40 w Gdyni im. kpt.ż.w. Karola Oldgierda Borchardta,school,18.46368144999818,54.539530425781955
Szkoła Podstawowa nr 10 im. Eugeniusza Kwiatkowskiego,school,18.4754304880959,54.5378452393287
Szkoła Podstawowa nr 12 im. gen. Mariusza Zaruskiego,school,18.509912612306547,54.49431567628515
"Szkoła Podstawowa nr 11 im. Bohaterów Załogi ORP ""Grom""",school,18.53615104707197,54.48226400692491
Szkoła Podstawowa nr 44 im. Obrońców Wybrzeża,school,18.50467116711763,54.55800438008491
Szkoła Podstawowa nr 33 im. Obrońców Kępy Oksywskiej,school,18.53790340502972,54.55120863047267
Szkoła Podstawowa nr 6 im. Antoniego Abrahama,school,18.51580272689151,54.55325372317815
Szkoła Podstawowa nr 9,school,18.531900629556777,54.45664007029208
Szkoła Podstawowa nr 23,school,18.545468171892765,54.5030960593678
Szkoła Podstawowa nr 31,school,18.44650550122414,54.54809331229725
Szkoła Podstawowa nr 34 z Oddziałami Integracyjnymi im. Leonida Teligi,school,18.552678843754077,54.49357823589896
Szkoła Podstawowa nr 35 im. kpt. Stanisława Kosko,school,18.504161921942877,54.49984615541179
Szkoła Podstawowa nr 52 im. błogosławionego księdza komandora podporucznika Władysława Miegonia,school,18.502475780280577,54.53069882347314
Szkoła Podstawowa nr 20 im. 2 Morskiego Pułku Strzelców,school,18.49503592044809,54.46452792826088
Szkoła Podstawowa nr 13 im. Lucjana Cylkowskiego,school,18.531304246044684,54.4884766812431
Szkoła Podstawowa nr 8 im. Obrońców Helu,school,18.559192358237468,54.479343798663145
Szkoła Podstawowa nr 18 im. Kornela Makuszyńskiego,school,18.544419175108718,54.50974711550465
Szkoła Podstawowa nr 28 im. Lotników Polskich,school,18.537546183184222,54.57805067972668
Szkoła Podstawowa nr 51 im. Polskich Noblistów,school,18.543025940569915,54.51192618993179
Szkoła Podstawowa nr 26 im. Żołnierzy Armii Krajowej,school,18.52300201251952,54.51432785612676
Szkoła podstawowa nr 17 im. wiceadmirała Józefa Unruga,school,18.506591928004443,54.52420933032852
Szkoła Podstawowa nr 21 im. Wojsk Obrony Powietrznej Kraju,school,18.541063222853232,54.52284969059011
Szkoła Podstawowa nr 39 im. kpt ż. w. Kazimierza Jurkiewicza,school,18.502587539128136,54.55358703065653
Katolicka Szkoła Podstawowa im. Świętej Rodziny,school,18.550420005853105,54.49946089569372
Szkoła Podstawowa Nr 1 im. Józefa Wybickiego w Rumi,school,18.401782603212705,54.57959255874543
Szkoła Podstawowa Nr 4 im. Janusza Korczaka w Rumi,school,18.40530425612476,54.564167262197145
Amerykańska Szkoła Podstawowa,school,18.526436244291762,54.48439290248269
Szkoła Podstawowa nr 16 im. Orła Białego,school,18.445697646813297,54.53353399367043
Szkoła Podstawowa im. kontradmirała Xawerego Czernickiego w Pogórzu,school,18.47978138729656,54.565671900630704
Szkoła Podstawowa w Kosakowie,school,18.49134016990318,54.58078954228279
