name,shop,amenity,longitude,latitude
Biedronka,supermarket,,19.0718375,50.3214798
Zenit,supermarket,,19.0223416,50.2590836
Żabka,convenience,,18.9215922,50.3464886
Żabka,convenience,,19.0226168,50.2661397
Żabka,convenience,,18.938947,50.2971934
Żabka,convenience,,18.940698,50.2995854
,convenience,,18.9377583,50.3003736
,convenience,,18.9390875,50.297574
Żabka,convenience,,18.9241275,50.3476096
,convenience,,19.0486647,50.2592221
Żabka,convenience,,18.9032665,50.3392322
,convenience,,19.0817475,50.2436906
Aga,convenience,,19.0801276,50.2408673
,,,18.9189382,50.3473384
Społem,convenience,,18.9819078,50.2102037
Rabat,supermarket,,18.9908848,50.2436898
,convenience,,18.9155752,50.3490647
Żabka,convenience,,18.9151421,50.345699
,convenience,,18.9365941,50.2260199
U Basi,convenience,,18.9030071,50.3396384
Biedronka,supermarket,,18.9762766,50.2258116
Żabka,convenience,,18.9956562,50.2343051
U Francika,convenience,,19.0693969,50.2232892
Żabka,convenience,,19.0053012,50.2791381
Delikatesy „Pod 3”,convenience,,18.9941346,50.2731524
u Kasi,convenience,,18.9207395,50.2283545
Żabka,convenience,,18.9529851,50.2314261
Żabka,convenience,,18.9597796,50.2273284
,convenience,,18.9043115,50.2421488
Fresh,convenience,,18.9678546,50.2255312
Żabka,convenience,,18.9731434,50.2807394
Żabka,convenience,,18.93123,50.2959573
Grześki Dwa,convenience,,18.9016267,50.2541049
Słoneczny,convenience,,18.9015238,50.2536241
eLDe,convenience,,18.9014468,50.253694
,convenience,,18.9152451,50.254843
Katarzynka,convenience,,18.906425,50.2724901
Społem,convenience,,19.0230303,50.2615135
Żabka,convenience,,19.0730908,50.2239087
Trans Oil,convenience,fuel,19.0566711,50.2652644
Stokrotka,supermarket,,18.9882046,50.2316682
Żabka,convenience,,19.0246172,50.2574276
,,,19.0007095,50.3015058
,,,18.9998185,50.3012478
,,,19.000857,50.3015409
Stokrotka,supermarket,,18.9762102,50.2777139
Alkohole,convenience,,18.9310302,50.3448108
Artykuły spożywcze,convenience,,18.9298348,50.3485329
,,,18.9308161,50.3452483
Delikatesy Kubik,convenience,,18.9312844,50.3447482
Delikatesy Kubik,convenience,,18.9298423,50.3490845
Szpak,convenience,,18.9298294,50.3488336
,convenience,,18.9285097,50.3280228
,,,18.9199042,50.3471863
,,,18.9201716,50.3477595
,,,18.9187787,50.3479549
,,,18.9119222,50.3451706
,,,18.9111023,50.3453216
Delikatesy na Francuskiej,convenience,,19.0271945,50.2548565
Żabka,convenience,,19.0263743,50.2515603
Home Concept,supermarket,,19.0727231,50.2764994
Sklep Firmowy Lambertz,convenience,,18.906817,50.2759414
Biedronka,supermarket,,18.9241502,50.2870308
Żabka,convenience,,18.9209743,50.2897694
Warzywniak,convenience,,18.9158511,50.2909438
Żabka,convenience,,18.997018,50.2460868
Lewiatan,convenience,,18.9362693,50.2639624
Biedronka,supermarket,,19.0060683,50.304316
24h,convenience,,18.9677669,50.2255084
Groszek,convenience,,18.9352199,50.2279969
Spożywczy,convenience,,18.9355189,50.2284004
Żabka,convenience,,18.9604586,50.2368721
Odido,convenience,,18.9694606,50.2267496
Żabka,convenience,,18.9767455,50.2319628
Żabka,convenience,,18.9834095,50.2748444
Spożywczy,convenience,,18.9066277,50.281912
Model,supermarket,,19.0799252,50.269429
Spożywczy,convenience,,18.9002821,50.2707858
Żabka,convenience,,19.075708,50.2709549
,,parking_entrance,18.967873,50.2737923
