name,railway,longitude,latitude
Bytom,station,18.9152842,50.3430235
Bytom Wąskotorowy,halt,18.9139494,50.3425779
Chorzów Stary,station,18.9569893,50.3168303
Katowice Ligota,station,18.9778134,50.2260023
Katowice Piotrowice,halt,18.9703936,50.2134532
Katowice Zawodzie,station,19.0574498,50.2572998
Świętochłowice,halt,18.9183888,50.2889563
Katowice,station,19.0171456,50.2576071
Chorzów Batory,station,18.9449635,50.278276
Katowice Załęże,halt,18.9895811,50.2638657
Katowice Szopienice Południowe,halt,19.092466,50.2589152
Chorzów Miasto,station,18.9492704,50.2984743
Chorzów Uniwersytet,halt,18.9413082,50.2928558
