name,highway,longitude,latitude
Ochojec Wapienna,bus_stop,18.9896572,50.2210272
Ochojec Sadowa,bus_stop,18.9899278,50.2161415
Piotrowice Skrzyżowanie,bus_stop,18.9742146,50.2092421
Giszowiec Karolinki,bus_stop,19.0566072,50.2267089
Siemianowice Kolonia Wojewódzka [nż],bus_stop,19.0484733,50.2928771
Zawodzie Waleriana,bus_stop,19.0473396,50.2596028
Osiedle Kukuczki Podhalańska,bus_stop,19.0489339,50.2718764
Dąbrówka Mała Centrum Handlowe,bus_stop,19.0582446,50.268453
Giszowiec Kościół,bus_stop,19.063466,50.2241659
Zawodzie Ośrodek Sportowy,bus_stop,19.0559892,50.2593059
Zawodzie Centrum Przesiadkowe,bus_stop,19.0643205,50.2596847
Giszowiec Mysłowicka,bus_stop,19.0686138,50.2265572
Giszowiec Mysłowicka,bus_stop,19.0698842,50.2260435
Giszowiec Szyb Roździeński,bus_stop,19.0757153,50.2221156
Giszowiec Radosna,bus_stop,19.0669867,50.223335
Nikiszowiec Szyb Wilson,bus_stop,19.08192,50.2499648
Kolonia Wysockiego Kulika,bus_stop,19.0734412,50.2361655
Kolonia Wysockiego Woźniaków,bus_stop,19.0699933,50.2341634
Giszowiec Przyjazna,bus_stop,19.0702916,50.2220111
Giszowiec Przyjazna,bus_stop,19.0703915,50.2215808
Janów Zamkowa,bus_stop,19.0889435,50.2422193
Nikiszowiec Kościół,bus_stop,19.0818416,50.2435778
Giszowiec Kopalnia Staszic,bus_stop,19.0489915,50.2245318
Janów Lwowska Szkoła,bus_stop,19.0894981,50.2477785
Zawodzie Waleriana,bus_stop,19.0474842,50.2597664
Zawodzie Bohaterów Monte Cassino,bus_stop,19.0532187,50.259902
Janów Zamkowa Skwer,bus_stop,19.0852477,50.2439367
Ochojec Szpital,bus_stop,18.9993349,50.2120241
Ligota Poleska,bus_stop,18.9696542,50.2230235
Janów Lwowska Szkoła,bus_stop,19.0898392,50.247866
Katowice Mariacka,bus_stop,19.0281369,50.257109
Brzeziny Śląskie EkoPark,bus_stop,18.967493,50.3457573
Brzeziny Śląskie Skrzyżowanie,bus_stop,18.9797799,50.3456516
Brzeziny Śląskie Dom Kultury [nż],bus_stop,18.9854479,50.3463439
Dąbrówka Mała Pawilon Agata,bus_stop,19.0553162,50.2679222
Nikiszowiec Kościół,bus_stop,19.0821138,50.2436924
Nikiszowiec Szpital,bus_stop,19.0800144,50.2460087
Wilhelmina Skrzyżowanie,bus_stop,19.0926413,50.2543407
Wilhelmina Skrzyżowanie,bus_stop,19.0929451,50.2542858
Wilhelmina Krakowska [nż],bus_stop,19.0807444,50.2566918
Załęże Pośpiecha,bus_stop,19.0036039,50.2637514
Rozbark Dom Kopalni,bus_stop,18.9425843,50.3426683
Katowice AWF,bus_stop,19.0043562,50.2511129
Wilhelmina Skrzyżowanie,bus_stop,19.0909804,50.2531185
Katowice Wita Stwosza,bus_stop,19.017401,50.2489601
Dąbrówka Mała Centrum Handlowe,bus_stop,19.0597531,50.2698676
Katowice Strefa Kultury NOSPR,bus_stop,19.0277676,50.2635448
Katowice Aleja Korfantego,bus_stop,19.0223668,50.2613433
Dąbrówka Mała Skrzyżowanie,bus_stop,19.0700005,50.2736133
Katowice Strefa Kultury NOSPR,bus_stop,19.0282383,50.2632605
