name,power,man_made,longitude,latitude
,,,19.0857277,50.296413
,,,18.9312599,50.2313099
,,,18.9313726,50.2301384
,,,18.9615754,50.2777382
,,,19.0005679,50.3022991
,,,18.9995158,50.3025803
,,,18.9694859,50.3145946
,,,18.9133696,50.2853405
,,,18.9093835,50.337983
,,,18.9337637,50.3456485
,,,18.9112632,50.3222449
,,,18.9119498,50.3220878
,,,18.9226666,50.3238807
,,,18.9221286,50.3238178
,,,18.9201119,50.2638803
,,,18.9188956,50.2838861
,,,18.9180676,50.2836558
,,,18.9474075,50.2717459
,,,18.9638764,50.2808609
,terminal,,18.967439,50.3102821
,terminal,,18.9674227,50.3098995
,temrinal,,18.9695953,50.3089503
,temrinal,,18.9693794,50.3089556
,,,18.9675697,50.2659233
,,,18.9903054,50.2693009
,,,18.9931989,50.238099
,,,18.9923109,50.2383027
,,,18.992638,50.2381478
,,,18.9886282,50.2436574
,,,18.988166,50.2436678
,,,18.9828658,50.1996483
,,,18.9863452,50.2472262
,,,18.9866248,50.2470602
,,,18.9324716,50.2470415
,,,18.9333472,50.2471818
,,,18.9496114,50.22611
,,,18.9487935,50.2259923
,,,19.0265209,50.3395222
,,,19.0586389,50.3503094
,,,19.0577339,50.3505238
,substation,,18.9663241,50.2617487
,,,19.042631,50.2615861
,,,18.9250623,50.2295151
,,,18.9256513,50.2295506
,,,19.0237843,50.2775152
,,,19.0241037,50.2780084
,,,19.0257418,50.2485041
,,,19.0558639,50.2639601
,terminal,,19.0217826,50.3036205
,terminal,,19.0216798,50.3036426
,,,19.0312117,50.2599666
,,,19.0312344,50.2604734
,,,19.0566719,50.2610577
,,,19.0524195,50.2904381
,,,18.9898631,50.2693734
UK17,substation,,18.909762,50.2518164
,terminal,,19.0178723,50.2039748
,,,18.9340361,50.3456229
,,,19.0955575,50.2696425
,,,19.0431318,50.2717669
,,,19.0443791,50.2242206
,,,19.0437121,50.2241726
,,,19.0592532,50.2865305
,substation,,19.0272371,50.2760323
,substation,,19.0273058,50.2746842
B008A,substation,,18.9233057,50.347712
B279,substation,,18.9327951,50.3449488
B056,substation,,18.931151,50.3440443
,substation,,18.9018007,50.3420946
B037,substation,,18.9246082,50.3448421
B028,substation,,18.9224036,50.3453197
,,,19.0267841,50.2710868
