name,amenity,longitude,latitude
,,20.0096358,50.0131072
AP Edukacja,school,19.9341099,50.0627507
Prywatne Liceum Ogólnokształcące przy Klasztorze Prezentek,school,19.9390141,50.0635002
XXV Liceum Ogólnokształcące im. Stefana Żeromskiego,school,20.0160507,50.0197476
,,20.0171744,50.0187789
Ośrodek Szkolno-wychowawczy nr 1,school,19.9282092,50.0627991
,,20.026444,50.086201
,,19.9918916,50.0463878
I Liceum Ogólnokształcące Sportowe,school,20.0346192,50.0792558
Szkoła Specjalna Przysposabiająca do Pracy nr 7,school,20.0554866,50.0688013
Technikum nr 2 im. Studenckiego Komitetu Solidarności,school,20.0474473,50.0798959
Liceum Ogólnokształcące Zgromadzenia Sióstr Augustianek im. św. Rity,school,19.9408831,50.0489274
Rzemieślnicza Branżowa Szkoła I stopnia,school,19.9572915,50.0567461
Inter Lang & Text English and German School,school,19.9288747,50.0667673
Prywatna Szkoła Muzyczna,school,19.9415697,50.0589975
Securcom - Niepubliczna Placówka Kształcenia Ustawicznego,school,20.0413027,50.0822236
Szkoła Specjalna Przysposabiająca do Pracy nr 1,school,20.041174,50.0818701
Branżowa Szkoła Specjalna I Stopnia nr 31,school,20.0412239,50.0820094
,,20.0421109,50.0822628
,,19.9335038,50.0692743
,,20.0225202,50.0753131
,,20.021977,50.0757428
,,20.0245358,50.0762757
,,20.0242804,50.0766429
,,20.0238987,50.0769321
Szkoła Muzyczna,school,19.9500642,50.045846
,,20.0318512,50.0814371
,,20.0133974,50.0687486
,,20.0139323,50.0691374
,,20.0144993,50.0694264
,,20.0244687,50.0774985
,,19.9717953,50.0920819
,,19.9638241,50.0631547
,,20.0465578,50.0726855
,,19.9251417,50.0286774
,,19.9247063,50.0271896
Ogólnokształcąca Szkoła Muzyczna I stopnia,school,20.0403668,50.0694723
Ogólnokształcąca Szkoła Muzyczna II stopnia,school,20.0407465,50.0694066
Szkoła Muzyczna I stopnia,school,20.0414879,50.069283
Szkoła Muzyczna II stopnia,school,20.041045,50.0693572
,,19.9229867,50.0307934
,,19.9236393,50.0262321
,,19.924807,50.0283733
,,20.0349756,50.0560885
,,20.0353988,50.0565581
,,20.0188683,50.1000567
,,19.9136759,50.0693825
,,19.9229232,50.0298179
,,19.9222174,50.0300352
,,20.0138259,50.0837604
,,20.0135589,50.0838854
,,20.0127764,50.0840051
,,19.9792467,50.0834474
,,20.0100751,50.0136191
,,20.0095439,50.0138553
,,20.0087993,50.0139623
,,19.9202945,50.0671548
XXXI Liceum Ogólnokształcące im. Romana Ingardena,school,19.9706582,50.0876542
TEB Technikum Kraków,school,19.9431739,50.0662643
,,19.9231654,50.0185361
,,19.9240652,50.0185369
Zespół Szkół Gastronomicznych nr 2 w Krakowie,school,19.9486552,50.0431287
,,19.7887437,50.0187811
,,19.7865573,50.0188134
,,19.7863599,50.0195402
,,19.9178759,50.085215
,,19.9176019,50.0862886
,,19.982282,50.0605338
,,20.0107882,50.0903962
,,20.0119073,50.0905029
,,20.0112025,50.0906331
,,20.0114292,50.0907753
,,20.0135382,50.0908798
,,20.0123562,50.0913289
,,19.9158477,50.0534929
,,19.7628872,50.0325292
,,19.762882,50.0326985
,,20.0065877,50.0839641
XXX Liceum Ogólnokształcące im. św. Brata Alberta - Adama Chmielowskiego,school,20.0060443,50.0836018
,,20.0180993,50.0991528
,,19.9665746,50.0828864
,,19.9662056,50.0829403
,,20.0089873,50.0903833
,,19.9994111,50.0915378
,,19.9978227,50.0918687
,,19.9994021,50.092059
,,20.0032241,50.0927541
,,20.0032288,50.0932109
Specjalny Ośrodek Szkolno-Wychowawczy nr 1 im. Jana Matejki,school,19.9296932,50.0637643
,,20.052788,50.0732996
,,20.0529304,50.0736226
,,20.0419217,50.0820908
,,20.0530111,50.0951652
,,20.0525809,50.0954447
,,20.0524702,50.0955751
,,19.9648149,50.0222025
,,19.9655314,50.0224589
,,19.9655139,50.0228898
British International School of Cracow,school,19.9291039,50.0589018
III Prywatne Liceum Ogólnokształcące,school,19.9377476,50.0642151
Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego,school,20.0771449,49.986049
Zespół Szkół im. Brata Alojzego Kosiby w Wieliczce,school,20.0773769,49.9859999
,,19.9472781,50.0537644
,,20.0271528,50.0863871
Szkoła Zasadnicza nr 30,school,19.9282082,50.0627758
,,19.9222432,50.0308366
,,19.9159989,50.0262812
,,19.8833621,50.0768424
Zespół Szkół Mechanicznych nr 1 im. Szczepana Humberta,school,19.9245553,50.061499
,,19.9891933,50.0905539
,,19.9004198,50.0112306
,,19.8992106,50.0109704
,,19.899874,50.0115115
,,19.8995073,50.0116873
,,19.9561903,50.0585593
,,19.9277487,50.0493819
,,19.924769,50.0515871
,,19.9201631,50.0470438
,,19.9227092,50.0462351
,,19.9224897,50.047271
,,19.9199597,50.0472897
,,19.9225831,50.0473585
,,19.9698281,50.0875789
,,19.9502965,50.0554121
,,19.9512797,50.0556281
,,19.931231,50.0425438
Warsztaty szkolne,school,19.9345839,50.0340638
XXIII Liceum Ogólnokształcące,school,19.9853691,50.0796525
,,19.9905385,50.0901417
,,19.9371735,50.040785
,,19.9369812,50.0410973
,,19.9367955,50.0413058
,,19.9423494,50.0363813
,,19.9465964,50.0406415
,,19.9460962,50.0414585
,,19.9457251,50.0408179
,,19.9588751,50.0435249
,,19.9552298,50.0417301
,,19.9564358,50.0419372
,,19.9551527,50.0421606
,,19.9551077,50.0418885
,,20.0054606,50.0837256
,,20.0075376,50.0834575
,,19.7934664,50.0848309
,,19.7940174,50.0859007
,,19.7540304,50.0758873
,,19.9651011,50.1194283
,,19.965701,50.1196839
,,19.9499403,49.9845017
,,19.8659863,50.0643201
Bursa dla Studentek Córek Bożej Miłości,school,19.8670333,50.0639492
,,19.8335771,50.0713053
,,19.8343126,50.0712312
,,19.8335936,50.0716227
,,19.8336019,50.0718389
,,19.8340201,50.0726124
,,19.8334504,50.0735055
,,19.8950882,50.0752753
,,19.8949905,50.0764292
,,19.8926023,50.0766304
,,19.8891776,50.0354743
,,19.8890926,50.0356943
,,19.8890194,50.0359324
,,19.9167317,50.076192
,,19.9164653,50.0757302
Technikum Komunikacyjne nr 25,school,19.9864518,50.074597
,,19.9021302,50.0852676
,,19.9029631,50.0846473
,,19.9862016,50.075027
,,19.9447558,50.1025456
,,19.9335447,50.0942055
,,19.9314139,50.0938726
,,19.9310401,50.0933011
,,19.9335889,50.0942143
,,19.9794741,50.0835881
,,20.0169706,50.0129418
,,19.9654039,50.0230584
,,19.9815926,50.0160875
,,19.9865009,50.0793275
,,20.0167825,50.0998989
,,20.017599,50.0991479
,,19.9843229,50.0795766
,,19.9863517,50.0792952
,,19.9663588,50.0065144
,,19.9649682,50.0062719
,,19.8992307,50.0738175
Publiczne Liceum Ogólnokształcące i Internat Sióstr Prezentek,school,19.9410624,50.0627229
Zespół Szkół Specjalnych Nr 3 w Uniwersyteckim Szpitalu Dziecięcym w Krakowie,school,20.0021265,50.0116536
,,19.9722429,50.0189689
,,20.0409526,50.0148581
,,20.0419945,50.0186546
,,20.0156568,50.0195559
,,20.0157175,50.0199492
,,20.0399349,50.0144468
,,20.0418361,50.015039
,,20.0418048,50.0187443
,,20.0418464,50.015014
,,19.8824868,50.0777409
,,19.9255624,50.0617618
,,19.985869,50.0742648
,,19.985736,50.0754824
,,19.9857125,50.0755363
World Around Intercultural Primary School,school,19.9335794,50.0675869
,,19.8998253,50.073999
,,19.9004472,50.0747363
,,20.0351285,50.0566603
,,19.9172142,50.053504
,,19.9175346,50.0538227
,,19.9173225,50.0540779
,,19.9904588,50.0904665
,,19.9891915,50.0905923
,,19.9885342,50.0905075
,,20.0086971,50.0791575
Zespół Szkół Specjalnych Nr 10 im. św.Mikołaja,school,19.9531789,50.0675609
UnderWonder Studio Pole Dance,school,19.9502712,50.0591271
,,20.0022728,50.0923121
,,20.0029078,50.0932463
,,19.8103545,50.0162392
,,19.8106866,50.0164831
,,19.9251372,50.0517005
Szkoła Muzyczna I stopnia Specjalnego Ośrodka Szkolno - Wychowawczego dla Dzieci Niewidomych i Słabowidzących,school,19.9251205,50.0513224
XXI Liceum Ogólnokształcące,school,20.0019873,50.0910767
Cosinus,school,19.9289345,50.0677953
,,20.0847125,50.1133708
,,19.9967601,50.0166577
,,19.9968592,50.0170792
Liceum Ogólnokształcące im. Bogdana Jańskiego,school,20.0209508,50.0798601
,,19.9866002,50.0218957
XV Liceum Ogólnokształcące im. Marii Skłodowskiej – Curie,school,19.9859548,50.0223004
,,19.9860785,50.0220591
,,19.9901759,50.0210838
,,19.9891157,50.0214302
,,19.9228985,50.0759001
Zespół Szkół Ogólnokształcących im. J. Słowackiego STO w Krakowie,school,19.9403171,50.0531493
,,20.0171178,50.0895722
,,20.0166245,50.0897464
,,20.0166144,50.0887607
I Prywatne Liceum Ogólnokształcące im. Józefa Piłsudskiego,school,19.9828387,50.0230945
,,20.0158958,50.0199418
,,19.9199839,50.0472598
,,19.9731885,50.0800629
,,19.9925778,50.0369394
,,19.9920038,50.0372731
,,20.0594927,49.9853741
,,19.961448,50.0485966
,,19.9471211,49.9937924
,,19.9466588,49.9933805
,,19.8026865,50.0463628
,,19.8027426,50.0463921
VIII Prywatne Akademickie Liceum Ogólnokształcące oddział IB,school,19.929056,50.067105
,,19.9184522,50.0014515
,,19.931229,50.0683223
,,19.9312427,50.0682938
,,19.9312568,50.0682648
,,19.9282363,50.0677105
,,19.9746484,50.0823931
Kolegium Europejskie,school,19.9426173,50.067756
,,19.9768145,50.0838357
,,19.9912109,50.0244831
,,19.9910803,50.0245095
,,19.9910301,50.024496
,,19.991009,50.0244518
,,19.9909892,50.0244324
,,19.9909582,50.0244224
Zespół Szkół Społecznych nr 5 STO,school,20.0044524,50.015103
TEB Edukacja,school,19.9420636,50.0641052
,,19.8657904,50.0639038
,,19.9847852,50.0791023
,,19.9662412,50.0057513
Centrum Edukacji Graceland,school,19.8927581,50.0078064
,,20.0122337,50.0850213
,,20.0056776,50.0826416
,,19.931259,50.0682602
,,19.9523531,50.0105705
,,19.9523772,50.0107095
Liceum ogólnokształcące z oddziałem dwujęzycznym im. Piotra Michałowskiego,school,19.9288331,50.0664528
,,19.8827512,50.0777046
Szkoła Przysposabiająca do Pracy nr 2,school,19.9296998,50.0637205
Zasadnicza Szkoła Zawodowa nr 30,school,19.9296485,50.0637359
,,20.0425431,50.0698721
,,20.0224827,50.0753196
,,19.9818239,50.0159506
,,19.9225872,50.0760439
,,19.8823386,50.0772763
,,19.7629013,50.0320537
,,19.7629074,50.0318456
,,20.0433164,50.0697309
,,20.0398265,50.0695099
,,20.0337233,50.0459505
,,20.0338617,50.0457771
,,20.0345775,50.0456265
,,19.9426219,50.0212304
,,19.9426528,50.0210717
,,19.9427316,50.0206602
,,19.9920009,50.037206
Liceum Ogólnokształcące Mistrzostwa Sportowego,school,19.9624423,50.0736792
XVII Liceum Ogólnokształcące im. Młodej Polski,school,19.8953202,50.081521
,,20.0377481,50.0810901
,,20.0383578,50.0811711
,,19.9220325,50.0724857
,,19.9218554,50.0725483
,,20.0230905,50.0191735
,,20.023134,50.019158
Gloker,school,19.9355955,50.0662772
,,19.9522969,50.0102597
,,19.9522915,50.0102436
,,19.9506841,50.0100175
,,20.0474694,50.0771811
,,20.0347049,50.080194
,,19.8971895,49.9982464
,,20.0270176,50.084821
,,20.0275314,50.0846687
,,20.0279589,50.084812
,,20.0263084,50.0858524
,,20.0225612,50.0882374
,,20.0238243,50.0887138
,,20.0082251,50.0975958
,,20.0078408,50.0984147
,,20.0071517,50.0978818
,,20.0225991,50.0883036
,,20.0239866,50.0883931
,,20.0472497,50.0814892
Chrześcijańskie Liceum Ogólnokształcące Uczeń,school,19.9018724,50.0706349
Technikum Mechaniczne nr 30,school,19.9446453,50.0536214
,,19.8970596,49.9981762
,,19.8953482,49.9979397
,,20.0422059,50.0140139
,,20.0400052,50.0146033
,,19.8954958,50.0813356
,,19.9643953,50.0991702
,,19.9280025,50.0873323
,,19.9281109,50.087345
,,20.0336954,50.0797067
,,20.0046248,50.0066486
,,20.0065568,50.0066987
,,20.0124955,50.0832958
,,20.01909,50.0810318
,,20.0469778,50.079806
,,19.9376196,50.0663233
XXVI Liceum Ogólnokształcące,school,19.9240818,50.062198
Technikum Chemiczne i Ochrony Środowiska nr 3,school,19.9244477,50.0622799
,,20.0395028,49.9831101
,,20.039803,49.9830315
,,20.0481791,50.0794329
,,20.0470936,50.0803147
,,20.0472448,50.0804592
Technikum Mechaniczne nr 15,school,19.9256159,50.0613497
Branżowa Szkoła I Stopnia nr 14,school,19.9252178,50.0612366
,,19.9651737,50.1191098
Montessori Mountain Schools,school,19.9600609,50.070943
Prywatna Szkoła Policealna Edu-Duo,school,19.9377003,50.06421
Prywatne Liceum dla Dorosłych,school,19.9377377,50.0642017
,,19.9706811,50.0787948
,,19.9763292,50.0848651
,,19.9631506,50.0631127
,,19.9408983,50.0467008
"Krakowska Spółdzielnia Pracy ""Oświata""",school,19.9409506,50.046517
,,19.9189361,50.0016315
,,19.9173765,50.0010094
,,20.0196169,50.0810828
,,19.9450426,50.1025768
,,19.9450989,50.1025788
,,19.9630079,50.0990309
,,19.9566215,50.1068534
,,19.9565884,50.1068339
Branżowa Szkoła Specjalna I stopnia nr 59,school,19.9571443,50.1060513
Młodzieżowy Ośrodek Wychowawczy dla Chłopców,school,19.9578399,50.1059259
Młodzieżowy Ośrodek Socjoterapii nr 2,school,19.9570503,50.1055392
,,20.0094627,50.0788092
,,19.9757706,50.0239539
Szkoła Tańca Skalski Dance School,school,19.9239804,50.0548419
Technikum nr 16 im. ks. dr. Jana Kaczkowskiego,school,19.9346061,50.0335778
Branżowa Szkoła I stopnia nr 3 im. Erazma Józefa Jerzmanowskiego,school,19.9346051,50.0334814
Branżowa Szkoła II stopnia nr 2,school,19.9346068,50.0333743
Prywatne Liceum Ogólnokształcące Franciszkanów w Wieliczce,school,20.0541056,49.9878128
Mała Finlandia,school,19.9550177,50.0183845
,,20.0176247,50.0118784
,,20.058371,49.9887343
,,20.0585434,49.9887173
,,20.0588157,49.9879078
,,20.0445905,50.0228536
,,19.9491219,50.0107754
,,19.9493144,50.0100827
,,19.9971457,50.0356456
,,19.9653381,50.1188281
,,19.965178,50.1194825
,,20.0595138,49.9860296
,,20.0239594,50.0770915
,,20.0189537,50.0994014
KTT Perfect Dance Kraków,school,19.9679335,50.0720269
,,20.0169242,50.0890921
,,19.9156428,50.0537611
istota,school,20.0610271,49.985748
BC Primary School,school,19.9741319,50.0463468
,,20.0182712,50.0886778
,,20.0183128,50.0888992
,,20.0178475,50.0886703
,,19.9153417,50.0693727
,,19.9299217,50.0626211
,,20.0175652,50.0129275
,,20.0941136,50.0956029
XLVII Liceum Ogólnokształcące,school,20.0479047,50.0804003
Branżowa Szkoła I Stopnia nr 2 im. Studenckiego Komitetu Solidarności,school,20.047664,50.0801764
,school,20.016444077876283,50.019384436390666
III Liceum Ogólnokształcące im. Jana Kochanowskiego,school,20.017626172966562,50.089092288069466
,,20.0083122,50.0895114
,,20.012161299103454,50.09050727857012
"Zespół Szkół Zawodowych ""HTS""",school,20.02356564635209,50.091159448019326
Publiczne Liceum Ogólnokształcące Sióstr Salezjanek im. Świętego Dominika Savio,school,20.02721933322953,50.08594948077904
Zespół Placówek Opiekuńczo - Wychowawczych nr 1,school,20.04752764782337,50.07711386204392
VIII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,school,19.955792679557902,50.059118547712266
Zespół Szkół Ogólnokształcących Sportowych nr 2,school,20.03448491788418,50.079731188174385
Liceum Ogólnokształcące nr 43 im. Zofii Chrzanowskiej,school,19.958744865309036,50.04337802621444
,,20.04515378044677,50.07586551558082
,,20.044755899372234,50.07574888215786
,,20.024010619034385,50.07619129962078
Liceum Ogólnokształcące im. Jana Matejki,school,20.057457147383563,49.98855300558631
Zespół Szkół Łączności,school,19.921499857677702,50.047003096047035
Zespół Szkół Elektrycznych nr 1,school,19.976201560040533,50.024821845341805
Specjalny Ośrodek Szkolno Wychowawczy nr 4,school,19.940781467728783,50.04667982163247
Zespół Szkół Gastronomicznych nr 1,school,20.031154289364288,50.08401173559451
Da Vinci's International Schools,school,19.970234796493152,50.078469096818345
,,20.013437373166997,50.06864739949692
,,20.0142358,50.06891775
Zespół Szkół Ekonomicznych nr 2,school,20.025174985078877,50.07721480602314
,,20.01375205,50.0684264
Zespół Państwowych Szkół Muzycznych im. Mieczysława Karłowicza,school,20.04102078832437,50.06884182334905
,,20.048077469684987,50.07222585855634
,,20.048197600000005,50.073137700000004
,,20.04685402142078,50.07284046691128
,,20.02317395,50.07643185
,,20.02362883818892,50.07561703394441
,,20.022502395282572,50.075635112897054
,,19.976804104496612,50.08400635026756
,,19.978633453375416,50.08437915951493
,,19.978177696115623,50.08353703336443
,,19.97530345912161,50.08227877559282
Publiczne Liceum Ogólnokształcące im. Królowej Apostołów,school,20.047312530328696,50.081983019562074
XIII Liceum Ogólnokształcące,school,19.963804900544947,50.06329617999103
Szkoła Gortata MG13,school,20.017271184025184,50.084376401306635
,,20.0055715468326,50.00668751991823
,,19.992527950000003,50.04535775
,,19.99084015,50.045755400000004
,,19.9919971,50.04546635
,,19.99151563781234,50.0456042018758
,,19.99213047440362,50.04620797885255
"Centrum Edukacyjne ""Radosna Nowina 2000"" w Piekarach",school,19.787967245303047,50.019841791096745
