name,amenity,longitude,latitude
Samorządowe Przedszkole nr 30,kindergarten,19.9464121,50.0933437
"Przedszkole ""Leśna Akademia""",kindergarten,20.0220875,50.0030332
"Przedszkole prywatne - ""Maja i Gucio""",kindergarten,19.8959941,49.999199
Przedszkole Samorządowe nr 58,kindergarten,19.8973881,50.0140461
Publiczne Technikum Rzemiosła i Przedsiębiorczości,school,19.9576594,50.0567973
"Przedszkole Samorządowe nr 129 - ""Skrzaty""",kindergarten,19.972773,50.0321395
Przedszkole samorzadowe nr 4,kindergarten,20.0375926,49.9879077
"Niepubliczne Przedszkole ""Nutki""",kindergarten,19.9941493,50.0417909
"Niepubliczne Przedszkole ""Baby Garden""",kindergarten,20.0152669,50.0642882
"Niepubliczne Przedszkole ""Baby Garden""",kindergarten,19.9377794,50.0943962
Samorządowe Przedszkole nr 10,kindergarten,19.9246819,50.0263579
Niepubliczne przedszkole Puchatkowo,kindergarten,20.0359683,49.9878595
Przedszkole publiczne,kindergarten,19.7676595,50.0385069
Ogród Empatii - Przedszkole Alternatywne,kindergarten,19.8786369,50.0835283
Samorządowe przedszkole nr 77 Magiczne Siódemki,kindergarten,19.9021708,50.0747207
Niepubliczne przedszkole Niebieska żabka,kindergarten,19.9271474,50.046723
Przedszkole Montessori,kindergarten,19.8979679,50.0733286
Przedszkole Sióstr Franciszkanek Świętej Klary,kindergarten,20.0113843,50.0723231
"Społeczne Przedszkole STO ""Julek""",kindergarten,19.9374473,50.067487
"Niepubliczne Przedszkole ""STACYJKOWO""",kindergarten,19.8478813,50.0880115
Samorządowe Przedszkole nr 132,kindergarten,19.9448085,49.9944845
Samorządowe przedszkole numer 57 filia,kindergarten,19.9426029,50.0415188
Samorządowe Przedszkole nr 136,kindergarten,19.9496438,49.9842424
Przedszkole Źródło,kindergarten,19.9081887,50.0855865
Przedszkole Pod Magnolią,kindergarten,20.0119598,50.103166
Przedszkole Montessori Muszelka,kindergarten,19.9840845,50.0688795
Przedszkole Urszulanek,kindergarten,19.9427715,50.0586731
Samorządowe Przedszkole nr 23,kindergarten,19.8737293,50.0164837
Przedszkole Siedmiomilowe buty,kindergarten,20.0403034,49.9913518
"Prywatne Przedszkole ""Piotrusia Pana""",kindergarten,19.9468897,50.0845028
"Przedszkole ""Pępuś świata""",kindergarten,20.012177,50.005972
Przedszkole publiczne,kindergarten,20.0052396,50.0060488
Niepubliczne Przedszkole Wesołe Tygryski,kindergarten,19.9753675,50.0907638
Krakowskie niepubliczne Przedszkole Safari,kindergarten,19.9452127,50.0082848
Żłobek i Przedszkole  FIKU MIKU,kindergarten,19.9070504,50.0161212
Przedszkole Publiczne Nasze Skarby Nr 1,kindergarten,19.9748849,50.0109984
Przedszkole Akuku nr 1,kindergarten,20.0209152,50.0973526
Samorządowe przedszkole specjalne nr 3,kindergarten,19.9896575,50.0213681
Niepubliczny Żłobek i Przedszkole Ozon,kindergarten,19.9592421,50.1017793
Niepubliczne Przedszkole Cracow International School,kindergarten,19.9677246,50.0781837
"Niepubliczne przedszkole i żłobek ""Krasnal""",kindergarten,19.9269003,50.0353989
Niepubliczne Przedszkole Jagiellońskiego Centrum Innowacji,kindergarten,19.8954647,50.0197082
Przedszkole Gabi,kindergarten,19.8901063,50.0094034
Przedszkole międzynarodowe trójjęzyczne ITSW,kindergarten,19.9402155,50.0521091
Zaczarowana Planeta - szkoła i przedszkole,school,20.0043314,50.0150688
Samorządowe Przedszkole nr 67,kindergarten,19.9239714,50.0504627
Przedszkole Samorządowe nr 1,kindergarten,20.0750162,49.9853814
"Przedszkole ""Mały Champion""",kindergarten,20.0602182,49.98619
"Przedszkole Artystyczno-Językowe ""Hippo Art""",kindergarten,20.0240064,49.9972664
"Przedszkole ""Skakanka""",kindergarten,20.0249966,49.9937926
"Niepubliczne Przedszkole Językowe ""Tuptusiowa Kraina""",kindergarten,19.9007447,50.083556
"Przedszkole Waldorfskie ""Pod Skrzydłami""",kindergarten,19.9242427,50.0871955
"Przedszkole ""Puchatkowo""",kindergarten,20.0003322,50.0425998
Samorządowe Przedszkole nr 31,kindergarten,19.9640936,50.0990063
Samorządowe Przedszkole nr 13,kindergarten,19.9070967,50.0675668
Przedszkole Montessori w Wieliczce,kindergarten,20.0410334,49.9812896
Przedszkole Samorządowe nr 162 im. Wawelskiego Smoka,kindergarten,19.9529121,50.079744
Przedszkole Nr 41 Sióstr Augustianek,kindergarten,19.9405204,50.0485368
Przedszkole Publiczne Wesołe Smoki,kindergarten,19.9330057,50.0749914
Przedszkole Happy Kids,kindergarten,20.0503293,50.022713
Przedszkole Mali Artyści,kindergarten,19.9611826,50.0084719
Kolorowe Przedszkole,kindergarten,19.9205081,50.0830827
Przedszkole Waldorfskie,kindergarten,19.9239659,50.0216307
Publiczne Przedszkole Rajskie,kindergarten,19.9758825,50.0746591
Publiczne Pozytywne Przedszkole Departament Uśmiechu,kindergarten,19.9589829,50.007836
Niepubliczne Przedszkole Ekologiczne Karuzela,kindergarten,19.9606538,50.0072392
Samorządowe Przedszkole nr 98,kindergarten,20.0391033,50.0737593
Przedszkole Publiczne Smoki2,kindergarten,19.9235881,50.0781759
"Przedszkole Publiczne ""Baby Garden""",kindergarten,20.0163774,50.0791659
Przedszkole Mikro,kindergarten,19.9683184,50.0888047
Przedszkole Montessori Małymi Kroczkami,kindergarten,19.9808579,50.0741912
Przedszkole Samorządowe nr 6,kindergarten,20.0447369,49.9847303
Przedszkole Niepubliczne TAM TAM I TU,kindergarten,19.8979738,50.0725177
Przedszkole Bajka,kindergarten,20.0580549,50.0199778
