name,shop,amenity,longitude,latitude
O! Shop,convenience,,19.9101542,50.0747804
BP Krakowiak,convenience,fuel,19.9850877,50.0870389
O! Shop Orlen,convenience,,20.0098508,50.0107398
,,parking_entrance,19.9231185,50.0329634
,,atm,19.9500481,50.0875584
Lewiatan,convenience,,19.9683061,50.0880206
Żabka,convenience,,19.9092738,50.0162384
Żabka,convenience,,19.9387584,50.0652204
,convenience,,19.9402165,50.0632092
FH Smak,convenience,,20.01246,50.0683437
Groszek,convenience,,19.7921927,50.0864171
,convenience,,19.9975681,50.075169
,,,20.0203337,50.015311
Żabka,convenience,,20.0199029,50.0161743
Lewiatan,supermarket,,19.9940047,50.0930365
Stokrotka,supermarket,,19.9718397,50.0130369
Stokrotka,supermarket,,19.9828187,50.0182986
Avita,convenience,,19.9220191,50.0667965
Lewiatan,supermarket,,19.9593012,50.0977882
India@Store,convenience,,19.9479843,50.0542405
,,,19.9975323,50.0641868
,,,20.001587,50.0648283
,,,19.9995862,50.0646062
Żabka,convenience,,20.0480814,50.0747218
Carrefour Express,convenience,,19.9141668,50.0714772
Żabka,convenience,,19.914977,50.0714289
"Delikatesy ""Metro""",supermarket,,20.0191611,49.9963969
,,,19.9002908,50.0920038
Lewiatan,supermarket,,19.985209,50.0181888
Delikatesy Centrum,supermarket,,20.0629969,49.9828433
,convenience,,19.8402007,50.0968518
Lewiatan,convenience,,20.0473061,50.0763432
Groszek,convenience,,19.8902483,50.0144459
Żabka,convenience,,19.9256083,50.0868666
Żabka,convenience,,19.8981981,50.0198564
Czyżyk Supermarket,convenience,,20.0461146,50.071107
Biedronka,supermarket,,19.9590189,50.0079619
Delikatesy Podwawelskie,supermarket,,19.9802515,50.0729414
Cash&Carry Eurocash,supermarket,,19.8787021,50.0797813
Żabka,convenience,,19.9290721,50.027853
Biedronka,supermarket,,19.9281848,50.0760303
Carrefour Express,convenience,,20.0916836,50.0137262
Pasaż 13,mall,,19.9380055,50.0602021
Biedronka,supermarket,,20.0250517,50.0732055
Lewiatan,supermarket,,19.9647139,50.0990236
Lewiatan,supermarket,,20.0289714,50.0733158
,,,19.9460876,50.0661169
U Moniki,convenience,,19.9304941,50.069111
Carrefour Express,convenience,,19.9737233,50.0345348
,,,19.931483,50.0132893
,,,19.9319812,50.0147629
Halex,convenience,,20.0277268,50.0787966
Biedronka,supermarket,,19.9686759,50.0428944
Lewiatan,convenience,,19.9830959,50.0443162
,convenience,,19.983107,50.0449345
Piekarnia Halagarda Pro,convenience,,20.0197692,50.0745268
Galeria Smaku u Jacka,convenience,,19.9059795,50.0190038
Avita,convenience,,19.9496737,50.0450417
Halagarda,convenience,,20.0744564,50.0854535
Żabka,convenience,,20.0094965,50.0731437
,convenience,,19.9762461,50.0589446
JustShop,convenience,,19.9382708,50.0576386
Biedronka,supermarket,,19.9206541,50.0269991
Globi,convenience,,19.9704658,50.0316899
,convenience,,19.9727366,50.0340947
Odido,convenience,,19.9059389,50.0870285
Lewiatan,supermarket,,19.9075832,50.0867939
Alpo,supermarket,,19.9242806,50.0719148
Carrefour Express,convenience,,19.9323851,50.0722234
Lewiatan,convenience,,20.0044809,50.0820866
"Sklep spożywczo-przemysłowy ""Jubilat""",convenience,,19.9141662,50.0881017
Żabka,convenience,,19.9166525,50.0874737
Groszek,convenience,,19.9102114,50.0126755
Lewiatan,convenience,,19.9737032,50.0791857
Carrefour Express,convenience,,19.8973024,50.0789418
Groszek,convenience,,19.8975406,50.0788623
Żabka,convenience,,19.8952153,50.080333
Żabka,convenience,,19.8963562,50.0791682
,,,19.9806227,50.0868187
,,,19.9826378,50.0869963
Żabka,convenience,,19.981111,50.0226626
Żabka,convenience,,20.0286622,50.0694022
Oliwka,convenience,,20.0284133,50.0690284
,,,20.02592,50.0792676
Żabka,convenience,,19.9256689,50.0398937
Biedronka,supermarket,,19.9625182,50.0896302
Avita,convenience,,19.9748595,50.0815357
Lewiatan,supermarket,,20.0101707,50.0868186
Avita,convenience,,20.0095348,50.0890092
Teresko,convenience,,19.8752323,50.0163455
Carrefour Express,convenience,,19.9378964,50.0595194
Lewiatan,supermarket,,19.8851777,50.0791035
Lewiatan,supermarket,,19.8826798,50.081526
Lewiatan,convenience,,20.0034856,50.0140583
,convenience,,19.8783713,50.0808424
,convenience,,19.8780735,50.0803967
,convenience,,19.8782881,50.0803846
,convenience,,19.8788272,50.080488
,convenience,,19.8781513,50.0808563
,convenience,,19.8786234,50.0807581
,convenience,,19.8785537,50.0803554
Żabka,convenience,,19.9447902,50.0568508
Żabka,convenience,,19.8822311,50.0816731
Żabka,convenience,,19.8886633,50.0813222
Paleo,supermarket,,20.0713787,49.984615
Żabka,convenience,,20.0191944,50.064106
"Sklep spożywczo-przemysłowy ""Nasz Sklep""",convenience,,20.0154143,50.0642948
,convenience,,20.0577379,50.0953121
,convenience,,20.0135015,50.1016005
,,,19.9298234,50.0276226
,,,19.9240202,50.0333172
,convenience,,19.9212215,50.1177417
Biedronka,supermarket,,20.0223255,50.0934188
,convenience,,19.9330066,50.0271255
Lewiatan,supermarket,,19.8942819,50.0863367
Żabka,convenience,,19.895584,50.0856421
Kocyk,convenience,,19.9290919,50.066645
Lewiatan,convenience,,19.8988892,50.0205342
Carrefour Express,convenience,,19.917947,50.0725501
Żabka,convenience,,19.9174464,50.0738466
Lewiatan,convenience,,19.9198715,50.0716346
