name,power,man_made,longitude,latitude
,,,19.8430844,50.0405444
,,,19.8918165,50.0512954
,,,20.0824434,50.0624802
,,,20.0280575,50.0712163
,,,20.0067445,50.0500613
,,,19.9885965,50.0273005
,,,20.0173083,50.031066
,,,20.0168883,50.0311468
,,,20.0149758,50.0334566
,substation,,19.9515514,50.0448977
,,,20.0171853,50.0719794
,,,20.0809205,50.0613646
,,,20.0861341,49.9874101
,,,20.0513512,50.0978306
,,,20.0043456,50.0943083
,substation,,19.8985789,50.069485
,substation,,19.9356556,50.0728622
,,,19.8790914,50.0820682
,,,19.9638962,50.0939352
,terminal,,19.9936253,50.0815006
,terminal,,19.9936562,50.0812574
,,,20.0150947,50.085372
,,,20.0154955,50.0853046
,,,20.004417,50.0512234
,,,19.9758567,50.0705326
,,,19.9655707,50.0544925
,,,20.0500814,50.0350747
,,,19.9542697,50.0281993
,,,19.9859672,50.0139317
,,,20.0258371,50.0135541
,,,20.0999817,50.0950085
,,,20.0971876,50.0958815
,,,20.0666977,50.0730086
,,,20.0780041,50.0696966
,,,20.0968817,50.0709356
,,,20.0963505,50.0706236
,substation,,19.9226737,50.0720211
,,,19.9200359,50.0327058
,substation,,19.9173701,50.0746846
,,,19.9464245,50.0622073
,,,19.9464611,50.0622102
,,,19.9522366,50.0643143
,,,19.959557,50.03295
,,,19.9304195,50.0306311
,,,19.9606112,50.0427549
,substation,,19.9156973,50.0697848
,,,19.9629601,50.0616737
,,,20.0880092,50.0617882
,,,19.8197592,50.0197319
,,,19.8706582,50.077905
,,,19.873757,50.0791901
,,,19.8739001,50.0791805
,,,19.8734689,50.0792109
,,,19.8735849,50.0792025
,,,19.8736551,50.0791974
,,,19.8706031,50.0783157
,,,20.0236649,50.0342729
,,,19.9718266,50.1024485
,,,20.0798773,50.057951
,,,19.8188998,50.1049348
,,,19.9664795,50.0135769
,,,19.8816933,50.0458723
,,,19.8423523,50.0421902
,,,19.9140432,50.0928505
Oczyszczalnia ścieków,,wastewater_plant,19.8187624,50.0196312
,,,19.8838212,50.036202
,,,20.0242514,50.0140713
,,,19.8232811,50.0362711
,,,20.0706334,50.0692632
,,,19.8298426,50.0389189
,,,19.8261295,50.0371381
,,,19.8256457,50.0364583
,,,19.9113744,50.0563479
,terminal,,19.9271531,50.1170087
,,,19.9496485,50.0456554
,terminal,,19.7527417,50.0752846
,,,19.9544635,50.0279671
,,,19.8842802,50.109366
,substation,,19.9372995,50.0585395
,,,19.9897859,50.0161499
,terminal,,19.8328188,50.097997
,terminal,,19.8328206,50.0980294
,terminal,,19.8327681,50.098002
,terminal,,19.8439779,50.0911865
,terminal,,19.8439409,50.0912059
,substation,,19.9220033,50.0797255
,,,19.8622053,50.0820496
,,,19.8301738,50.0386266
,,,19.9849365,50.0722855
,substation,,19.8953022,50.0232168
,,water_works,19.7527376,50.0905247
,substation,,20.0344805,50.0176158
,substation,,19.9280795,50.0609214
,substation,,19.9381178,50.0550772
,substation,,19.9492259,50.0502797
,substation,,19.9298555,50.0297864
,substation,,19.9268505,50.0401347
,substation,,19.9261985,50.0852941
,substation,,19.9306537,50.0864111
,substation,,19.9027002,50.0736993
,substation,,20.0107303,50.0827762
,substation,,20.0099686,50.08389
,substation,,20.0129644,50.0842634
,substation,,20.0150106,50.082083
,substation,,20.0118032,50.0773149
,substation,,20.0301615,50.0825517
,substation,,20.0289975,50.0820199
,substation,,20.0267364,50.0885624
,substation,,20.0088899,50.0966034
,substation,,20.0085077,50.0973458
,substation,,20.0211382,50.0988341
,substation,,20.0366535,50.0837804
,substation,,20.0341832,50.0722391
,substation,,20.0347151,50.0732192
,substation,,19.9321471,50.0774644
,substation,,19.9576009,50.0118357
,substation,,19.9599291,50.0147004
Kraków ul. Barska 10,substation,,19.9290305,50.051346
,substation,,19.9600902,50.0438257
,substation,,19.9507614,50.0457144
,substation,,19.9135046,50.0725134
,substation,,19.9111719,50.0734966
,substation,,19.9118395,50.0701411
,substation,,19.9211015,50.0682055
,substation,,19.9143263,50.0745197
,substation,,19.9304971,50.0737566
,substation,,19.9325394,50.073985
,substation,,19.9307435,50.0781866
,substation,,19.9330756,50.0798711
,substation,,19.9175771,50.089585
,substation,,19.9248091,50.0858252
,substation,,19.9327768,50.0947009
,substation,,19.9495471,50.0950945
,substation,,20.0107553,50.0966773
,substation,,20.0109758,50.0976651
,substation,,20.0069548,50.1021008
,substation,,20.0152989,50.0965639
,substation,,20.0149266,50.0978744
,substation,,20.021129,50.1007948
,substation,,20.014018,50.1027407
,substation,,20.0360369,50.0775202
,substation,,20.0379225,50.0777799
,substation,,20.041004,50.0771251
,substation,,20.0445213,50.0776304
,substation,,20.0411572,50.0792979
,substation,,20.0420964,50.0807279
,substation,,20.0458324,50.0789673
,substation,,20.0489314,50.0756876
,substation,,20.051413,50.0750721
,substation,,20.050254,50.0739671
,substation,,20.0343973,50.0780489
,substation,,20.0407176,50.071192
,substation,,20.039302,50.0730921
,substation,,20.0358247,50.0749449
,substation,,20.0169345,50.0647322
,substation,,20.0026516,50.0634417
,substation,,20.0091996,50.076711
,substation,,20.0025275,50.08475
,substation,,20.010615,50.0813113
,substation,,20.0233885,50.0795923
,substation,,20.0077819,50.0912029
,substation,,19.9572261,50.0660034
,substation,,19.9505263,50.0653793
,substation,,19.9544621,50.0664924
,substation,,19.9514256,50.0555934
,substation,,19.9492938,50.0577128
,substation,,19.9469583,50.0482408
,substation,,19.9454463,50.0485312
,substation,,19.9417673,50.0464077
,substation,,19.9593219,50.0717137
,substation,,19.9597889,50.0735353
,substation,,19.9621035,50.0692084
,substation,,19.9631236,50.0673804
,substation,,19.9671432,50.0671749
,substation,,19.9653267,50.0723156
,substation,,19.9763278,50.0778465
,substation,,19.9760041,50.0794484
,substation,,19.9423369,50.0876862
,substation,,20.0620861,50.0949875
,substation,,19.8574993,50.0694857
,substation,,19.9223104,50.0558212
,substation,,19.9146143,50.0652901
,substation,,19.9466845,50.0674111
,substation,,19.9263334,50.063746
,substation,,19.9465447,50.0438581
,substation,,19.9460528,50.0424846
,substation,,19.9731595,50.0464733
,substation,,19.9748101,50.0463336
,substation,,19.9453713,50.0119013
,substation,,20.048505,50.0301066
,substation,,20.0478998,50.0294644
,substation,,19.9233083,50.0250482
,substation,,19.9236917,50.0232491
