name,shop,amenity,longitude,latitude
Stokrotka,supermarket,,19.5265505,51.7600343
,convenience,,19.4291951,51.7765468
Aduś Alkohole,convenience,,19.4271862,51.7736491
Biedronka,supermarket,,19.4399439,51.8242581
Netto,supermarket,,19.4326795,51.8204275
,convenience,,19.4103246,51.7382949
Żabka,convenience,,19.5079312,51.7631071
Biedronka,supermarket,,19.5219538,51.7611386
Centrum Obslugi Konsultantek AVON,mall,,19.4595,51.759088
Żabka,convenience,,19.4741568,51.7327194
Żabka,convenience,,19.3954581,51.8058681
Biedronka,supermarket,,19.4389021,51.80616
,convenience,,19.4345738,51.8073669
U Kasi,convenience,,19.4298504,51.8074719
Sam-Scan,supermarket,,19.432658,51.8073409
Żabka,convenience,,19.4776683,51.7041778
,convenience,,19.4781312,51.7041439
Pokusa,convenience,,19.479122,51.7033134
,convenience,,19.480455,51.7053997
BP,convenience,fuel,19.4889357,51.7098273
,convenience,,19.4290489,51.7113526
Gama,convenience,,19.4275223,51.7110891
Polskie Smaki,convenience,,19.4620141,51.773319
Mati,convenience,,19.4802072,51.7162314
Sklep spożywczy,convenience,,19.4768924,51.7183779
Warzywniak,convenience,,19.4750559,51.7180112
Kaja - sklep spożywczy,convenience,,19.4773752,51.7185773
Warzywniak,convenience,,19.4772143,51.7185175
Sklep spożywczy „Kajtuś”,convenience,,19.4759114,51.7216418
Frajda,convenience,,19.3778497,51.7429466
Zbyszek,convenience,,19.4008497,51.750024
Ardeks,convenience,,19.4087972,51.7467956
Stokrotka,convenience,,19.4564169,51.7698191
,,atm,19.3908444,51.7976619
Euronet,,atm,19.493341,51.7205695
,,marketplace,19.4039135,51.7401994
,,,19.376726,51.8002848
Żabka,convenience,,19.4550128,51.7685263
Społem,supermarket,,19.4604016,51.7498475
,,,19.4639099,51.7581555
,,,19.4636099,51.759435
Stokrotka,supermarket,,19.4550159,51.7650221
Żabka,convenience,,19.4538085,51.7705031
Żabka,convenience,,19.4559202,51.7719908
,,,19.5041859,51.7489143
,,,19.4040532,51.7443716
Biedronka,supermarket,,19.5439119,51.7576881
Stokrotka,supermarket,,19.5489302,51.7562236
Damian,convenience,,19.5492573,51.7577792
Biedronka,supermarket,,19.5298226,51.753561
,convenience,,19.4519484,51.793511
Primus,convenience,,19.4538744,51.7949231
Biedronka,supermarket,,19.4504841,51.789747
sklep spożywczy,convenience,,19.4707045,51.7556155
Sklep „Społem”,convenience,,19.4332114,51.7596795
Żabka,convenience,,19.433412,51.759742
Zieleniak,convenience,,19.4105164,51.7383524
,convenience,,19.4103251,51.7384568
,convenience,,19.4880099,51.7285032
Delikatesy pod zegarem,convenience,,19.4195602,51.78984
Sam-Scan,convenience,,19.4175302,51.7869355
Żabka,convenience,,19.4650141,51.7264597
,convenience,,19.4385217,51.817984
,convenience,,19.4351339,51.7885119
Żabka,convenience,,19.4349327,51.7881536
Delikatesy Centrum,convenience,,19.3983066,51.7483265
Stokrotka,supermarket,,19.5341121,51.7570352
Market „Primus”,convenience,,19.4419612,51.7603275
Gust-Pol,supermarket,,19.4216377,51.8031465
Sklep Spożywczy,convenience,,19.4853537,51.7429772
,,,19.4129282,51.7021383
,,,19.4155496,51.7030435
Żabka,convenience,,19.446571,51.7285069
,convenience,,19.4498567,51.7273567
Zetka,convenience,,19.4488596,51.7274837
Odido,convenience,,19.4517369,51.736563
,convenience,,19.3746874,51.7094172
,convenience,,19.4480958,51.7307262
,convenience,,19.448236,51.7317718
Margo,convenience,,19.4321428,51.7709546
Mini Delikatesik,convenience,,19.4084425,51.750234
Żabka,convenience,,19.4101072,51.7512805
Żabka,convenience,,19.4220955,51.7496388
Żabka,convenience,,19.4224216,51.7492719
Żabka,convenience,,19.4254276,51.7518832
Bułeczka,convenience,,19.4244151,51.7490398
,convenience,,19.4581693,51.7295366
,,,19.4166804,51.7037399
Netto,convenience,,19.4674818,51.7300597
Czerwony Rynek,,marketplace,19.474907,51.7310742
,,,19.4730972,51.7327904
eLDe,convenience,,19.509914,51.7652876
,convenience,,19.5100006,51.7651175
Odido,convenience,,19.4146013,51.7862807
,convenience,,19.4225188,51.7851071
Żabka,convenience,,19.4580736,51.7727824
Home And Me,convenience,,19.4278009,51.7764869
,,,19.5056884,51.7624403
Żabka,convenience,,19.4453462,51.7965015
,,atm,19.3768017,51.8004292
,convenience,,19.4674776,51.754475
Żabka,convenience,,19.4526532,51.7786148
Artykuły spożywcze,convenience,,19.4379273,51.7708194
,convenience,,19.4129068,51.7740317
Primus,convenience,,19.3944128,51.7956844
Żabka,convenience,,19.3946152,51.7961489
Lewiatan,convenience,,19.4604607,51.7555215
Primus Market,convenience,,19.5205042,51.8262397
,convenience,,19.5477596,51.7120931
,convenience,,19.5443378,51.7097586
,convenience,,19.5071785,51.7093497
Biedronka,supermarket,,19.4887306,51.7436585
,,atm,19.4558187,51.7577014
,convenience,,19.3560746,51.8050102
Mini Bar Adaś,convenience,fast_food,19.3557063,51.8050762
Spożywczy,convenience,,19.3548432,51.8052535
Żabka,convenience,,19.4526017,51.7852696
Stokrotka,supermarket,,19.4028962,51.7947066
Żabka,convenience,,19.4488143,51.7863493
