name,railway,longitude,latitude
Łódź Lublinek,station,19.3592771,51.7209139
Łódź Chojny,station,19.4841953,51.7264089
Łódź Kaliska,station,19.4305417,51.757822
Łódź Pabianicka,halt,19.4453004,51.7262238
Łódź Radogoszcz Zachód,halt,19.4157524,51.8219706
Łódź Dąbrowa,halt,19.5106059,51.7358946
Łódź Olechów Wiadukt,halt,19.5436605,51.7236883
Łódź Arturówek,halt,19.4566295,51.8154459
Łódź Marysin,halt,19.4861551,51.8001727
Łódź Stoki,halt,19.5105621,51.7765631
Łódź Żabieniec,station,19.4070192,51.7935514
Łódź Niciarniana,halt,19.5074366,51.7668148
Łódź Widzew,station,19.5438083,51.7631038
Łódź Fabryczna,station,19.4696108,51.7695535
Łódź Zarzew,halt,19.5132392,51.7517052
Łódź Radogoszcz Wschód,halt,19.4433824,51.8266567
Łódź Warszawska,halt,19.47123,51.8080021
Łódź Retkinia,halt,19.40658,51.7403478
Zgierz,station,19.4257929,51.8494636
