name,leisure,landuse,natural,longitude,latitude
,,,,22.4573936,51.2562177
,,,,22.4850436,51.2053292
,,,,22.5137766,51.2293646
,,,,22.5207325,51.2327084
,,,,22.5154724,51.2329705
,,,,22.5963493,51.225807
,,,,22.5971657,51.236619
,,,,22.5988569,51.235882
,,,,22.6132732,51.2477304
,,,,22.5532546,51.2018047
,,,,22.6153482,51.2524419
,,,,22.5477213,51.2480901
,,,,22.6055451,51.2666493
,,,,22.5965574,51.2594483
,,,,22.6236233,51.2691672
,,,,22.6294525,51.2732221
,,,,22.6234217,51.2688043
,,,,22.5344555,51.2313128
,,,,22.5346998,51.2313288
,,,,22.5345797,51.2312091
,,,,22.486067,51.2316461
,,,,22.5316181,51.2267348
,,,,22.4659376,51.2315474
,,,,22.542582,51.2497732
,,,,22.5428396,51.2505069
,,,,22.5871215,51.2484398
,,,,22.5451622,51.1997797
,,,,22.5690918,51.2445244
,,,tree,22.4657203,51.24814
,,,tree,22.4759556,51.2399261
,,,tree,22.4759891,51.2397291
,,,tree,22.4627774,51.2216103
,,,,22.548984,51.2051609
,,,,22.5490099,51.2053658
,,,,22.5479302,51.2043876
,,,,22.5924868,51.2524575
,,,tree,22.4782101,51.1809503
,,,tree,22.474015,51.2547491
,,,tree,22.4829213,51.2550182
,,,,22.4621361,51.2318318
,,,tree,22.4564732,51.2174736
,,,tree,22.4565574,51.2175284
,,,tree,22.4624601,51.2213967
,,,tree,22.4625662,51.2214681
,,,tree,22.4626704,51.2215382
,,,,22.580197,51.2605746
,,,,22.5456109,51.1999698
,,,,22.5167198,51.2656974
,,,,22.5037176,51.2605294
,,,,22.473453,51.2338895
,,,,22.4723401,51.2375806
,,,,22.5182034,51.226983
,,,,22.5065532,51.2622412
,,,,22.4833059,51.2320771
,,,,22.4835191,51.2406807
,,,,22.4877093,51.2424484
,,,,22.4888415,51.2430322
,,,,22.4886851,51.2440185
,,,,22.4924299,51.2440607
,,,,22.4908131,51.2451424
,,,,22.4910864,51.2453137
,,,,22.4709983,51.2570272
,,,,22.5077849,51.2548951
,,,,22.4912733,51.2628948
,,,,22.488313,51.2728628
,,,,22.4858196,51.2748892
,,,tree,22.4946426,51.2790379
,,,tree,22.4948411,51.2790572
,,,tree,22.4953097,51.2791029
,,,,22.5024449,51.2771697
,,,,22.5019239,51.2767436
,,,,22.5044579,51.2747619
,,,,22.5146015,51.2590825
,,,,22.5133486,51.2614729
,,,,22.512835,51.2636234
,,,,22.5127557,51.2643663
,,,,22.5258181,51.2531666
,,,,22.5817196,51.2594793
,,,,22.5549027,51.2612997
,,,,22.5672448,51.2697189
,,,,22.5687144,51.2569465
,,,,22.5784274,51.2712283
,,,,22.5766824,51.2735831
,,,,22.5766975,51.2736272
,,,,22.5951989,51.2792904
,,,,22.5867708,51.278438
,,,tree,22.5966787,51.2789286
,,,tree,22.5951088,51.2789296
,,,tree,22.5969148,51.2789318
,,,tree,22.5952976,51.2789322
,,,tree,22.5970674,51.2789341
,,,tree,22.5965306,51.2789353
,,,tree,22.5955634,51.2789359
,,,tree,22.5973177,51.2789379
,,,tree,22.5957296,51.2789382
,,,tree,22.5982164,51.2789388
,,,tree,22.5958909,51.2789404
,,,tree,22.59757,51.2789418
,,,tree,22.5960069,51.278942
,,,tree,22.5979979,51.2789431
,,,tree,22.597784,51.278945
,,,tree,22.5946319,51.2799668
,,,,22.6019692,51.2643867
,,,,22.5960091,51.2641028
,,,,22.5964627,51.2643396
,,,,22.597864,51.2657707
,,,,22.5866403,51.2672521
,,,,22.5870684,51.2674784
,,,,22.5864067,51.2676421
,,,,22.5869504,51.2682267
,,,,22.5881579,51.2647629
,,,,22.5904937,51.2625449
,,,,22.5891492,51.2627851
,,,,22.5893357,51.2629255
,,,,22.5829064,51.2654571
,,,,22.5888834,51.262835
,,,,22.5890215,51.2629409
,,,,22.5892504,51.2631154
,,,,22.5894502,51.2632683
,,,,22.5895864,51.2633728
,,,,22.5898514,51.2635721
,,,,22.5882356,51.2643585
,,,tree,22.5802976,51.2608662
,,,,22.5816837,51.2632575
,,,,22.5814887,51.2633167
,,,,22.5811412,51.2639914
,,,,22.5814991,51.2643155
,,,,22.5851532,51.2618661
,,,,22.5818846,51.2604364
,,,tree,22.5827435,51.2613486
,,,tree,22.5761844,51.2524725
,,,,22.569088,51.2440845
,,,tree,22.5692223,51.2441474
,,,,22.569222,51.2445078
,,,tree,22.5701288,51.2463456
,,,,22.5720607,51.2475313
,,,,22.571163,51.2475781
,,,tree,22.5727503,51.2511923
,,,tree,22.5719012,51.2512792
,,,tree,22.5717288,51.2512943
,,,tree,22.5716013,51.2513055
,,,,22.5582708,51.2513955
,,,,22.5511305,51.2477943
,,,,22.5510171,51.2498424
,,,,22.5491853,51.2501061
,,,,22.5462997,51.250359
,,,,22.6076499,51.2642983
,,,,22.5412497,51.2026621
,,,,22.525463,51.2454744
,,,,22.581718,51.2265427
,,,,22.4815985,51.242319
,,,,22.5106793,51.234879
,,,,22.5463907,51.2141402
,,,,22.5197126,51.2341018
,,,,22.605922,51.2654067
,,,,22.5956094,51.2501416
,,,,22.5958178,51.2501063
,,,,22.5961415,51.249979
,,,,22.4851564,51.2325694
,,,,22.6222137,51.2303781
,,,,22.5044154,51.221625
,,,,22.5624638,51.2643838
,,,,22.5260806,51.2659621
,,,,22.5687415,51.2734476
,,,,22.540041,51.1965398
,,,,22.5841291,51.234582
,,,,22.5835694,51.2349155
,,,,22.5419811,51.192167
,,,,22.623008,51.2259913
,,,,22.5062471,51.2542262
,,,,22.5907969,51.2072315
,,,,22.5693262,51.2370277
,,,,22.5694058,51.2366947
,,,,22.5693637,51.236882
,,,,22.5693728,51.2368428
,,,,22.5693808,51.2368083
,,,,22.5693899,51.2367703
,,,,22.5693986,51.2367321
,,,,22.5693343,51.2369927
,,,,22.5693443,51.2369554
,,,,22.5693549,51.2369168
,,,,22.5605071,51.2483666
,,,,22.6337581,51.216414
,,,,22.6315655,51.2164405
,,,,22.5156531,51.249215
,,,,22.4818039,51.2258826
,,,,22.5814332,51.2027867
,,,,22.577812,51.2147594
,,,,22.5148533,51.2248747
,,,,22.532558,51.2556912
,,,,22.629215,51.2162043
,,,,22.6289927,51.2159073
,,,,22.5627588,51.2355382
,,,,22.566447,51.2151997
,,,,22.5667396,51.2151845
,,,,22.5027664,51.2771755
,,,,22.5772646,51.2419484
,,,,22.5767252,51.2417027
Koziołek Jadzia,,,,22.5677673,51.2490935
,,,,22.516463,51.2489837
,,,,22.58138,51.2027283
,,,,22.5814857,51.2026928
,,,,22.4975493,51.2219629
,,,,22.5748303,51.2242589
,,,,22.5748484,51.2242464
,,,,22.4844964,51.2241251
,,,,22.5385434,51.1954817
,,,,22.4662909,51.2551599
,,,,22.5417013,51.1965955
,,,,22.5391019,51.1952096
,,,,22.5391211,51.1953381
,,,,22.5397149,51.1952061
,,,,22.5396831,51.1952063
,,,,22.5405401,51.1950575
,,,,22.5405638,51.1950582
,,,,22.5407273,51.1949388
,,,,22.5416314,51.1944725
,,,,22.5413174,51.1950618
,,,,22.541333,51.1950623
,,,,22.550403,51.1967486
,,,,22.5520454,51.196676
,,,,22.4814152,51.255954
,,,,22.5711512,51.2392317
,,,,22.5498413,51.1995327
,,,,22.5786738,51.2423718
