name,highway,longitude,latitude
Bohaterów M. Cassino 01,bus_stop,22.5059387,51.2472486
Zbożowa 02,bus_stop,22.5044833,51.2751359
Os. Skarpa 01,bus_stop,22.5371561,51.2258837
Os. Skarpa 02,bus_stop,22.5375563,51.2258012
KUL 02,bus_stop,22.5427478,51.2486049
Muzeum Narodowe - Zamek 02,bus_stop,22.5709924,51.2516459
Kalinowszczyzna 02,bus_stop,22.5941346,51.2535186
Zana Leclerc 03,bus_stop,22.5206784,51.2407316
Zana Leclerc 02,bus_stop,22.519971,51.241198
Skrzetuskiego 01,bus_stop,22.51269,51.2395058
Szpital Wojewódzki 01,bus_stop,22.4992969,51.2393268
Ogród Saski 03,bus_stop,22.5501037,51.2477193
Skrzetuskiego 02,bus_stop,22.5146526,51.2395754
Os. Słowackiego 02,bus_stop,22.5216042,51.2433936
UMCS 02,bus_stop,22.5395939,51.2449099
Krakowskie Przedmieście 02,bus_stop,22.5527985,51.2475713
Krakowskie Przedmieście 04,bus_stop,22.5538224,51.2476122
Ogród Saski 01,bus_stop,22.5514453,51.2472001
Lipowa - cmentarz 01,bus_stop,22.5524942,51.243926
Muzyczna 01,bus_stop,22.5527041,51.2396587
Zorza NŻ 03,bus_stop,22.5955132,51.2030294
Kalinówka - stacja paliw NŻ 02,bus_stop,22.6462508,51.211492
Kalinówka - stacja paliw NŻ 01,bus_stop,22.6477213,51.2108012
Zorza NŻ 02,bus_stop,22.5952026,51.2036103
Jana Sawy 01,bus_stop,22.5256678,51.238877
Zana Leclerc 01,bus_stop,22.5176737,51.2405934
Rondo Krwiodawców 03,bus_stop,22.5239289,51.2504382
Muzeum Narodowe - Zamek 01,bus_stop,22.5697062,51.251428
Sikorskiego NŻ 05,bus_stop,22.5306643,51.2593712
Plac Litewski 02,bus_stop,22.5582031,51.248412
KUL 03,bus_stop,22.5408495,51.2491729
Rondo Krwiodawców 01,bus_stop,22.5264267,51.2520453
Lubomelska 02,bus_stop,22.5545231,51.2530479
Węglin 02,bus_stop,22.4827673,51.2313964
Brama Krakowska 02,bus_stop,22.5665831,51.2466471
Sikorskiego NŻ 02,bus_stop,22.5316103,51.2580289
KUL 01,bus_stop,22.5425469,51.2499175
Cisowa 02,bus_stop,22.5110511,51.250412
Pana Tadeusza 02,bus_stop,22.5323067,51.244245
Biskupa Fulmana 02,bus_stop,22.5425743,51.2008758
Koło NŻ 02,bus_stop,22.5370956,51.2185836
Krężnicka - kemping NŻ 02,bus_stop,22.52705,51.193018
Dąbrowa 02,bus_stop,22.542292,51.1816987
Os. Nałkowskich 02,bus_stop,22.542208,51.2108065
Os. Nałkowskich 01,bus_stop,22.5416788,51.2100391
Roztocze 01,bus_stop,22.4911926,51.2260341
Brzeskiej 01,bus_stop,22.5358278,51.2360453
Sympatyczna 02,bus_stop,22.5277693,51.2307634
Pszczela - granica miasta NŻ 02,bus_stop,22.497266,51.1815517
Zemborzyce Podleśne - skrzyżowanie NŻ 02,bus_stop,22.4899015,51.186061
Rzeckiego 01,bus_stop,22.5290514,51.2347643
Dziewanny 02,bus_stop,22.5116492,51.2345187
Konopnica - kościół 01,bus_stop,22.4579732,51.2184369
Zemborzyce Tereszyńskie NŻ 01,bus_stop,22.4512638,51.1908888
Medalionów 01,bus_stop,22.5458527,51.2181603
Rzemieślnicza 01,bus_stop,22.4884573,51.2344943
Rzemieślnicza 03,bus_stop,22.4899559,51.2341539
Mazowiecka 02,bus_stop,22.4914219,51.2326803
Biskupa Fulmana 01,bus_stop,22.5418709,51.1998929
Rzeckiego 02,bus_stop,22.5293692,51.2353695
Zemborzyce Podleśne I NŻ 01,bus_stop,22.4843744,51.1895497
Pozytywistów 02,bus_stop,22.5387576,51.2323405
Rondo Żołnierzy-Górników 02,bus_stop,22.5424201,51.2221113
Żeglarska II NŻ 02,bus_stop,22.541927,51.1950622
Rondo Żołnierzy-Górników 01,bus_stop,22.5407038,51.2235665
Rzemieślnicza 02,bus_stop,22.4905745,51.2350893
Marina NŻ 01,bus_stop,22.5254827,51.189966
Wiklinowa 02,bus_stop,22.5059473,51.2323972
Os. Widok 01,bus_stop,22.5229219,51.2233977
Poznańska 01,bus_stop,22.499252,51.2335172
Marina NŻ 02,bus_stop,22.5260221,51.190511
Wertera NŻ 02,bus_stop,22.4887736,51.2357496
Zemborzyce Podleśne 02,bus_stop,22.4845724,51.1984994
Zemborzyce Podleśne I NŻ 02,bus_stop,22.4842791,51.1895152
Letniskowa NŻ 02,bus_stop,22.5214335,51.1836533
Wertera NŻ 01,bus_stop,22.488685,51.2360468
Szmaragdowa 02,bus_stop,22.5194306,51.227347
Wiklinowa 01,bus_stop,22.5070107,51.2324631
Letniskowa NŻ 01,bus_stop,22.5206198,51.1827146
Janowska - stacja pomp NŻ 02,bus_stop,22.5353974,51.2164059
Zemborzyce Tereszyńskie - szkoła 01,bus_stop,22.4637619,51.1833672
Romera 02,bus_stop,22.5422644,51.2063613
Parczewska NŻ 02,bus_stop,22.5309264,51.2106441
Rąblowska NŻ 02,bus_stop,22.5290855,51.2061795
Os. Górki 01,bus_stop,22.5316053,51.2254203
Wąwozowa NŻ 02,bus_stop,22.5386976,51.2223097
Zalewskiego 02,bus_stop,22.5397394,51.1966598
Romera - kościół 01,bus_stop,22.5452507,51.2146864
Perłowa 01,bus_stop,22.5040018,51.2251146
Os. Świt 02,bus_stop,22.4925227,51.2299616
Pszczela - granica miasta NŻ 01,bus_stop,22.4966866,51.1820264
ZUS 04,bus_stop,22.5309402,51.2373323
Sympatyczna 01,bus_stop,22.5272974,51.2308159
Dziewanny 01,bus_stop,22.5109988,51.2352542
Koło NŻ 01,bus_stop,22.5366978,51.2184122
Ośrodek Wrotków NŻ 01,bus_stop,22.5450054,51.1885071
Janowska - stacja pomp NŻ 01,bus_stop,22.5351843,51.2163822
Lipska 01,bus_stop,22.527587,51.2006038
Poznańska 02,bus_stop,22.4979797,51.2333595
Konopnica - kościół 03,bus_stop,22.4569911,51.2195183
Zemborzyce Podleśne - skrzyżowanie NŻ 01,bus_stop,22.4901009,51.1860424
Perłowa 02,bus_stop,22.5054535,51.2253123
Jutrzenki 01,bus_stop,22.5129163,51.2300639
Zemborzyce Podleśne - sklep NŻ 02,bus_stop,22.4787474,51.1928736
Brzeskiej 02,bus_stop,22.5367341,51.2355319
Kryształowa 02,bus_stop,22.4978072,51.2247776
Wąwozowa NŻ 01,bus_stop,22.5386728,51.222064
Jutrzenki 02,bus_stop,22.513382,51.2301123
Żeglarska II NŻ 01,bus_stop,22.5404317,51.195218
Fantastyczna 01,bus_stop,22.5247839,51.2281997
Romera 01,bus_stop,22.5423549,51.2057295
Szmaragdowa 01,bus_stop,22.5196154,51.2275803
