name,shop,amenity,longitude,latitude
SPAR,supermarket,,16.8805267,52.3500031
Eurospar,supermarket,,16.8490462,52.429995
,supermarket,,16.883109,52.3642179
ABC,convenience,,16.8958389,52.3670379
,,atm,16.8801193,52.3600902
Carrefour Market,convenience,,16.9467133,52.38147
Circle K,convenience,fuel,16.9848527,52.4567936
Żabka,convenience,,16.9052615,52.4118311
Żabka,convenience,,16.9055718,52.4158812
Żabka,convenience,,16.9287631,52.403778
Żabka,convenience,,16.9356735,52.4088055
Żabka,convenience,,16.9330773,52.4062382
,convenience,,16.9382711,52.4084445
Biedronka,supermarket,,16.9602168,52.3775856
Żabka,convenience,,16.9261606,52.4037819
Netto,supermarket,,16.9413031,52.4493489
Carrefour Market,supermarket,,16.9415495,52.4384934
Jagódka,convenience,,16.9451075,52.45623
Kaufland,supermarket,,16.927955,52.4350044
Żabka,convenience,,16.9255481,52.4064041
Żabka,convenience,,16.9280708,52.407623
Żabka,convenience,,16.9201769,52.4060492
Żabka,convenience,,16.9044422,52.4126656
Jeżyk,supermarket,,16.9069734,52.4121369
Żabka,convenience,,16.907315,52.4120487
Żabka,convenience,,16.9251387,52.4078267
Żabka,convenience,,16.9087898,52.4114767
WoW Korea,convenience,,16.9211954,52.407909
Żabka,convenience,,16.9213173,52.4084554
Marcas,convenience,,16.9213665,52.4299993
Chata Polska,supermarket,,16.9034263,52.4119031
Żabka,convenience,,16.8338599,52.4104562
Rena,convenience,,16.8365893,52.4087389
U Dawida ABC,convenience,,16.9726217,52.3912482
Żabka,convenience,,16.9740232,52.3911527
Delikatesy Centrum,supermarket,,16.9540882,52.3796353
Bankomat Santander Bank,,atm,16.8900626,52.4052527
Chata Polska,supermarket,,16.9256587,52.4292715
Żabka,convenience,,16.8317815,52.3827228
delikatesy,convenience,,16.9040181,52.4009827
Stokrotka,supermarket,,16.976042,52.3952668
Bartuś,convenience,,16.9802581,52.3945074
Społem,supermarket,,16.8315443,52.3824749
Biedronka,supermarket,,16.9450547,52.3948358
Delikatesy Hentia,convenience,,16.9835335,52.3931877
Biedronka,supermarket,,16.9044894,52.3673704
Chata Polska,convenience,,16.9771493,52.4097704
Chata Polska,convenience,,17.0080889,52.3633673
Żabka,convenience,,17.0290488,52.355439
Mus,convenience,,17.041978,52.3507229
Żabka,convenience,,16.8780596,52.4070357
Aro,convenience,,16.8791196,52.4081646
Społem,convenience,,16.8827665,52.4101216
Żabka,convenience,,16.8723449,52.4121016
Żabka,convenience,,16.8800211,52.4043278
,,,16.9257208,52.4026288
Społem,supermarket,,16.9308531,52.4109304
Biedronka,supermarket,,16.9147068,52.4523704
Żabka,convenience,,16.9151024,52.4525986
Żabka,convenience,,16.9504735,52.4478618
Żabka,convenience,,16.9337382,52.4294759
Euronet,,atm,16.9342735,52.4292613
Spar,supermarket,,16.9131196,52.3868173
Lewiatan,supermarket,,16.947485,52.3696497
Żabka,convenience,,16.9475912,52.3694235
Biedronka,supermarket,,16.9509877,52.3798684
Żabka,convenience,,16.8114715,52.3901972
Biedronka,supermarket,,16.9222733,52.4381379
