name,railway,longitude,latitude
Złotniki,station,16.8363915,52.4952535
Poznań Dębina,halt,16.9106138,52.3734621
Czerwonak Osiedle,halt,16.9780464,52.4800088
Owińska,halt,16.987596,52.5114361
Maltanka,station,16.9572952,52.408425
Poznań Główny,station,16.9115788,52.4016269
Poznań Dębiec,halt,16.9010752,52.3681804
Poznań Junikowo,halt,16.8254704,52.3778621
Balbinka,halt,16.9791249,52.4047653
Ligowiec,halt,17.0369863,52.4350895
Ptyś,halt,16.9751905,52.4060356
Zwierzyniec,station,16.992445,52.3997487
Poznań Karolin,halt,16.9814064,52.4384218
Poznań Antoninek,halt,17.0281738,52.4096599
Poznań Garbary,halt,16.9368434,52.4164409
Złotniki Grzybowe,halt,16.8437402,52.4847029
Poznań Strzeszyn,halt,16.8661626,52.4601389
Poznań Podolany,halt,16.8809436,52.447276
Poznań Wschód,station,16.971483,52.4182197
Poznań Starołęka,station,16.9342759,52.3662312
Poznań Górczyn,station,16.8814902,52.3802146
Czerwonak,station,16.9796184,52.4685712
Poznań Wola,halt,16.8503707,52.433565
