name,amenity,longitude,latitude
Przedszkole Publiczne Nr 21,kindergarten,22.0215826,50.0263328
Przedszkole Publiczne nr 1,kindergarten,21.9584024,50.0058377
Publiczne przedszkole nr 35,kindergarten,22.0083099,50.0200653
Przedszkole imienia bł. Karoliny w Rzeszowie,kindergarten,21.9638033,50.0430905
Przedszkole Publiczne Nr 25,kindergarten,21.9859069,49.9696422
Przedszkole Publiczne Zgromadzenia Sióstr Franciszkanek Rodziny Maryi,kindergarten,21.9858891,49.9697176
Punkt Przedszkolny w Szkole Podstawowej Nr 8,kindergarten,21.9836548,50.049593
"Przedszkole Niepubliczne ""Kraina Uśmiechu"" w Rzeszowie",kindergarten,21.9850579,50.0457273
Przedszkole Publiczne Nr 39 w Rzeszowie,kindergarten,22.0098581,50.0451119
Punkt Przedszkolny w Szkole Podstawowej Nr 2,kindergarten,21.99165,50.04469
"Niepubliczny Integracyjno-Terapeutyczny Punkt Przedszkolny ""Kreatywne Dzieci"" w Rzeszowie",kindergarten,21.9659246,50.0444131
Punkt Przedszkolny w Szkole Podstawowej Nr 28,kindergarten,21.97538,50.04407
Niepubliczne Przedszkole Anglojęzyczne Abc University w Rzeszowie,kindergarten,21.963818,50.0440783
Niepubliczne Przedszkole Niebieski Motylek,kindergarten,22.0495899,50.03985
Przedszkole Publiczne Nr 29,kindergarten,21.9865715,50.0394081
Niepubliczne Przedszkole Malinowa Żyrafa,kindergarten,21.9665279,50.0399971
Punkt Przedszkolny w Szkole Podstawowej Nr 1,kindergarten,22.0017548,50.0390498
Przedszkole Publiczne Nr 8,kindergarten,22.0271673,50.038273
Punkt Przedszkolny w Szkole Podstawowej Nr 16,kindergarten,21.982699,50.0376642
Prywatne Przedszkole Akademia Małych Odkrywców,kindergarten,22.000834,50.0374961
Przedszkole Anglojęzyczne Promar,kindergarten,21.9810208,50.0373366
"Przedszkole ""Pałacyk Malucha""",kindergarten,21.9955163,50.0370352
Przedszkole Maluszkowo 3 w Rzeszowie,kindergarten,22.0567963,50.0368743
Przedszkole Montessori Tuptuś w Rzeszowie,kindergarten,22.0308472,50.0364506
Przedszkole Publiczne Nr 2,kindergarten,22.009855,50.034197
"Niepubliczne Przedszkole Francuskie ""Mały Ambasador""",kindergarten,22.0087915,50.0342022
"Niepubliczne Przedszkole ""Gumisiowa Dolina"" w Rzeszowie",kindergarten,21.9955704,50.0324273
Zespół Przedszkolny Kreatywne Kidsy,kindergarten,22.018032,50.0295873
Niepubliczne Przedszkole Kreatywne Kidsy Ii,kindergarten,22.018032,50.0296473
Niepubliczne Przedszkole Kreatywne Kidsy,kindergarten,22.018032,50.0296773
Punkt Przedszkolny w Szkole Podstawowej Nr 17,kindergarten,21.99966,50.0275294
"Niepubliczne Przedszkole ""Mały Medyk"" w Rzeszowie",kindergarten,21.9910063,50.0262788
Przedszkole Publiczne Nr 34,kindergarten,22.0114151,50.025175
Punkt Przedszkolny w Szkole Podstawowej Nr 5,kindergarten,22.04738,50.0252
Przedszkole Publiczne Nr 44,kindergarten,21.9810979,50.022289
"Niepubliczne Przedszkole ""Szczęśliwe Smyki"" w Rzeszowie",kindergarten,22.0124282,50.0219022
Punkt Przedszkolny w Szkole Podstawowej Nr 10,kindergarten,21.98875,50.02141
Niepubliczne Przedszkole Wesołe Smyki w Rzeszowie,kindergarten,22.0152904,50.0208532
Przedszkole Maluszkowo 2,kindergarten,21.98051,50.01979
"Niepubliczne Przedszkole Specjalne - ""Selfiki""",kindergarten,21.97148,50.01859
"Niepubliczne Przedszkole ""Bajkowa Przygoda""",kindergarten,22.0542788,50.0177206
"Publiczne Przedszkole ""Lucky Kids""",kindergarten,21.9710639,50.0200548
"Niepubliczne Przedszkole Specjalne ""Niezapominajka"" Polskiego Stowarzyszenia Na Rzecz Osób Z Niepełnosprawnością Intelektualną Koło w Rzeszowie",kindergarten,21.988276,50.0171458
Niepubliczne Przedszkole Madagaskar w Rzeszowie,kindergarten,21.9995,50.0147199
Niepubliczne Przedszkole Kraina Odkrywcy 2 w Rzeszowie,kindergarten,22.03244,50.00526
Punkt Przedszkolny w Szkole Podstawowej Nr 24,kindergarten,22.03143,50.00487
"Punkt Przedszkolny ""Titum""",kindergarten,21.9927606,50.0045972
Niepubliczne Przedszkole Specjalne Solis Radius w Rzeszowie,kindergarten,22.0245688,50.0020632
Niepubliczne Przedszkole Terapeutyczne Hen,kindergarten,22.0241,50.0024911
Punkt Przedszkolny w Szkole Podstawowej Nr 9,kindergarten,22.00378,49.99577
Punkt Przedszkolny Przy Szkole Podstawowej Nr 34 w Rzeszowie,kindergarten,22.0563221,49.9988176
