name,amenity,longitude,latitude
Prywatna Szkoła Podstawowa Leonarda Piwoni,school,14.5289019,53.4317545
Szkoła Podstawowa dla Dorosłych nr 4 im. Komisji Edukacji Narodowej,school,14.5625705,53.4277364
Szkoła Podstawowa nr 33 im. Osadników Wojskowych i Pionierów Ziemi Szczecińskiej,school,14.5629677,53.4278433
Szkoła Podstawowa Nr 15,school,14.5402924,53.4282832
Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi,school,14.4878873,53.4525703
Publiczna Katolicka Szkoła Podstawowa im. św. Stanisława Kostki,school,14.4985938,53.4514841
Szkoła Podstawowa nr 42 im. Stefanii Sempołowskiej,school,14.5780028,53.4622346
"Szkoła Podstawowa ""Odkrywcy""",school,14.5175709,53.4332093
Szkoła Podstawowa Towarzystwa Salezjańskiego im. św. Józefa,school,14.503031,53.4209534
"Niepubliczna Szkoła Podstawowa ""Dobry Start""",school,14.5408804,53.4367238
Niepubliczna Szkoła Podstawowa Specjalna Dobry Start,school,14.5625288,53.4262409
Niepubliczna Szkoła Podstawowa „Promyk”,school,14.5603936,53.43018
Szkoła Podstawowa Nr 46,school,14.5345223,53.436346
Szkoła Podstawowa Nr 6,school,14.5478844,53.4402292
Szkoła Podstawowa Specjalna nr 17,school,14.5041954,53.4479648
Szkoła Podstawowa nr 75 w Okręgowym Ośrodku Wychowawczym,school,14.4815141,53.4532508
Szkoła Podstawowa Specjalna nr 30,school,14.5812528,53.4569873
Szkoła Podstawowa Specjalna nr 31,school,14.594607,53.4965387
Szkoła Podstawowa SAIL International School,school,14.5286914,53.4559754
Szkoła Podstawowa nr 61 im. Michała Kmiecika,school,14.548566923030354,53.421735840379114
Szkoła Podstawowa nr 65 im. prof. Antoniego Bolesława Dobrowolskiego,school,14.637344519461143,53.38186459426819
Szkoła Podstawowa nr 54 im. Janusza Korczaka,school,14.54933590336524,53.434108265676144
Szkoła Podstawowa nr 21 z Oddziałami Integracyjnymi,school,14.510024288545154,53.43235060733526
