name,railway,longitude,latitude
Szczecin Drzetowo,halt,14.569757,53.4495299
Szczecin Port Centralny,station,14.5658023,53.4133077
Szczecin Pomorzany,halt,14.5299987,53.4139208
Szczecin Pogodno,halt,14.5231946,53.4375215
Szczecin Gocław,halt,14.6019877,53.4746469
Szczecin Podjuchy,station,14.5857672,53.3599161
Szczecin Główny,station,14.5494069,53.4182413
Szczecin Gumieńce,station,14.4976184,53.3980028
Szczecin Turzyn,halt,14.5283035,53.4291693
Szczecin Niebuszewo,halt,14.5543688,53.4485317
Szczecin Łękno,halt,14.52187,53.4462999
Szczecin Zdroje,halt,14.636904,53.3788244
Szczecin Łasztownia,halt,14.5597737,53.418227
Szczecin Żydowce,halt,14.5739079,53.3524764
Szczecin Cmentarz Centralny,halt,14.5272287,53.4220622
Szczecin Niemierzyn,halt,14.5319028,53.4510505
