name,shop,amenity,longitude,latitude
,,parking_entrance,21.0058132,52.1794359
Auchan Warszawa Jubilerska,supermarket,,21.1188913,52.2354104
Carrefour Express,convenience,,21.0086308,52.2075043
,,parking_entrance,20.9840935,52.2586836
E. Leclerc,supermarket,,21.0412809,52.1534708
Żabka,convenience,,21.0418487,52.1471715
Netto,supermarket,,21.0916229,52.2220922
,,,21.0187513,52.1725522
,,,21.018895,52.1724096
Żabka,convenience,,21.100124,52.239461
Marpol,supermarket,,21.114403,52.277844
Kwiryna,supermarket,,20.9854939,52.2466534
Żabka,convenience,,21.0035651,52.2263456
Biedronka,supermarket,,21.0960624,52.2448251
Biedronka,supermarket,,21.0567708,52.2473216
Żabka,convenience,,21.0377241,52.161661
Biedronka,supermarket,,20.9974293,52.2271892
Biedronka,supermarket,,21.199971,52.1738517
Biedronka,supermarket,,21.0423029,52.2500097
Żabka,convenience,,21.0014554,52.2271486
Carrefour,supermarket,,20.9515606,52.2133727
Żabka,convenience,,21.1147485,52.2401839
Meble Kuchenne,convenience,,21.1073483,52.2415738
Carrefour Express,convenience,,21.0545952,52.2330409
Carrefour Express,convenience,,21.0588405,52.1398122
Żabka,convenience,,20.9822534,52.2180936
Vogat,convenience,,20.9861791,52.2225344
Żabka,convenience,,21.0638345,52.246742
Inmedio Trendy,convenience,,21.0594447,52.3204033
Żabka,convenience,,21.0597941,52.320426
Max,convenience,,21.0589772,52.3181733
,convenience,,21.0939829,52.2437073
,,,21.0033156,52.2298986
Delikatesy Aga,supermarket,,21.0214155,52.2082233
ABC Market,convenience,,21.0187629,52.1324783
Żabka,convenience,,21.0227069,52.2195859
,convenience,,21.0031351,52.1752848
,,parking_entrance,21.0036765,52.2305233
Żabka,convenience,,21.0480759,52.2580868
Carrefour Express,convenience,,21.0517735,52.2913432
Warus,supermarket,,21.052578,52.156238
,convenience,,21.0551392,52.1816767
Żabka,convenience,,21.0495018,52.2477048
,,,20.9537406,52.2412672
,,post_box,20.9351589,52.1706362
Carrefour Express,convenience,,21.0010213,52.2009592
Żabka,convenience,,20.9918835,52.2376801
Carrefour Market,supermarket,,20.9378533,52.2389317
Żabka,convenience,,21.0641808,52.2266315
Carrefour Express,convenience,,21.0567524,52.2306723
Biedronka,supermarket,,20.9346101,52.2220578
,,post_box,20.9050079,52.1812827
Społem,supermarket,,21.0790035,52.2458489
Carrefour Express,convenience,,21.0106814,52.2496
Żabka,convenience,,21.1045473,52.245623
ML Delikatesy,convenience,,21.0109933,52.2493643
Żabka,convenience,,21.0897228,52.2411866
Sam Plus,convenience,,21.0069198,52.2533812
"Sklep spożywczy ""Alpejski""",convenience,,21.0632173,52.2393738
Biedronka,supermarket,,21.0633017,52.2392354
Biedronka,supermarket,,21.0633777,52.2325974
Delikatesy Paula,convenience,,21.05178,52.2366933
Żabka,convenience,,21.06275,52.2363264
Select,convenience,,21.0551552,52.2331216
Carrefour Market,convenience,,20.9009382,52.1884938
Delikatesy Jago,convenience,,20.9552473,52.2835758
Netto,supermarket,,20.9526451,52.3176151
Carrefour,supermarket,,20.9305127,52.2639678
Społem,convenience,,21.1914034,52.2075234
Żabka,convenience,,20.9029265,52.3304309
Mokpol,convenience,,21.0133913,52.1924476
,,,20.9839334,52.2560977
Żabka,convenience,,20.9808682,52.270295
Biedronka,supermarket,,21.0840168,52.2485186
Merkury,supermarket,,20.9824063,52.270196
Top Market,supermarket,,20.9811291,52.2158147
Żabka,convenience,,21.0157818,52.1893185
,convenience,,21.1092803,52.2508664
,,parking_entrance,20.9505339,52.2119092
Żabka,convenience,,20.9886338,52.2784485
Stokrotka,supermarket,,20.9131087,52.2528951
Żabka,convenience,,20.9907746,52.2249235
Żabka,convenience,,21.0133265,52.228283
,convenience,,21.1075218,52.2410225
Społem,supermarket,,20.9927681,52.2419252
,,,21.0025669,52.2279361
,,,21.0026193,52.2278197
Żabka,convenience,,21.1080161,52.2414589
Carrefour Express,convenience,,21.0855245,52.245447
Baltona,supermarket,,20.9711124,52.1718218
Żabka,convenience,,20.9878109,52.1925083
Delikatesy Organic,convenience,,20.9887416,52.1935179
Biedronka,supermarket,,20.9816309,52.201852
Żabka,convenience,,20.9620995,52.2438121
Borowik,supermarket,,21.163209,52.2195556
Carrefour,supermarket,,21.0049206,52.1799352
Żabka,convenience,,21.0511368,52.1552144
Carrefour Express,convenience,,21.0167817,52.2306412
DH Tarchomin,convenience,,20.956996,52.3140363
Żabka,convenience,,20.9184484,52.2543369
Top Market,supermarket,,20.920672,52.2561196
Żabka,convenience,,20.9244531,52.2513815
Carrefour Express,convenience,,21.01741,52.1873387
Mokpol,convenience,,21.0186675,52.1873899
Carrefour Express,convenience,,21.0565149,52.139725
,,,21.0396057,52.1536107
U Agentki,convenience,,20.9461296,52.3233676
DH Tarchomin,supermarket,,20.9507864,52.3216395
Kaufland,supermarket,,21.0932807,52.2325141
Kalina Express,convenience,,21.0763977,52.2500397
Żabka,convenience,,21.0449231,52.1852569
Lidl,supermarket,,20.8819242,52.1972837
Orlen,convenience,,20.8594839,52.1927613
Sklepik wiejski czarodziejski,convenience,,20.8530311,52.2647147
Odido,convenience,,20.8581512,52.1989253
,supermarket,,20.8624682,52.1952637
,supermarket,,20.8630691,52.1955465
Biedronka,supermarket,,20.9357681,52.2847747
,,,21.0946295,52.232051
,,,21.0951347,52.2330664
Żabka,convenience,,20.9403972,52.2428458
Delikatesy Kameleon,convenience,,21.0638449,52.1759863
abc,convenience,,21.0380151,52.2495497
Spożywczy Groszek,convenience,,21.0376432,52.2492322
Żabka,convenience,,21.0388727,52.2491191
Lewiatan,convenience,,20.9306617,52.2822545
Stokrotka,supermarket,,20.9274517,52.2757172
