name,railway,longitude,latitude
Warszawa Wschodnia,station,21.0523678,52.2515889
Ratusz-Arsenał,station,21.0008823,52.2452163
Ząbki,halt,21.113404,52.2924744
Marymont,station,20.9717196,52.2716615
Stare Bielany,station,20.9493596,52.2818172
Wawrzyszew,station,20.9395965,52.2863179
Młociny,station,20.9298695,52.2907599
Warszawa Włochy,halt,20.9145689,52.206084
Opacz,halt,20.9046686,52.1813883
Reguły,halt,20.8586538,52.1703525
Warszawa Gocławek,halt,21.1326399,52.2386653
Warszawa Jeziorki,halt,20.9931266,52.1103103
Warszawa Śródmieście WKD,station,20.9993834,52.2274779
Słodowiec,station,20.9602351,52.2768253
Warszawa Lotnisko Chopina,station,20.9753321,52.1696266
Warszawa Ursus Niedźwiadek,halt,20.8700172,52.1914638
Warszawa Śródmieście,halt,21.0076448,52.2294144
Warszawa Dawidy,halt,20.9911229,52.1285606
Warszawa Płudy,halt,20.9859058,52.3340318
Warszawa Aleje Jerozolimskie,halt,20.9408396,52.2060562
Zielonka,station,21.1576638,52.3118146
Dworzec Wileński,station,21.0355034,52.2540622
Stadion Narodowy,station,21.0428426,52.2469808
Centrum Nauki Kopernik,station,21.0317878,52.2399148
Nowy Świat-Uniwersytet,station,21.016788,52.236833
Rondo ONZ,station,20.9982821,52.2331101
Rondo Daszyńskiego,station,20.9828946,52.2300827
Kabaty,station,21.0650711,52.1320765
Stokłosy,station,21.0347233,52.1560759
Natolin,station,21.0564351,52.1411007
Imielin,station,21.0461062,52.1493
Ursynów,station,21.0276283,52.1620456
Służew,station,21.0262866,52.1727624
Racławicka,station,21.0121943,52.1989416
Wierzbno,station,21.016599,52.1899435
Wilanowska,station,21.0231369,52.1818
Pole Mokotowskie,station,21.0077851,52.208529
Politechnika,station,21.0153582,52.2184572
Centrum,station,21.0101683,52.2310122
Warszawa Stadion,halt,21.0439637,52.2447987
Warszawa Zachodnia,station,20.9651719,52.2201572
Warszawa Ursus,halt,20.8852512,52.1964007
Warszawa Ochota,halt,20.9908403,52.2258253
Warszawa Reduta Ordona,halt,20.9478636,52.2143854
Warszawa Ursus Północny,halt,20.889622,52.2057501
Warszawa Gołąbki,halt,20.8640568,52.2084041
Warszawa Rembertów,station,21.158478,52.2571084
Warszawa Olszynka Grochowska,halt,21.1064928,52.2498804
Warszawa Anin,halt,21.1599414,52.212993
Warszawa Międzylesie,halt,21.168978,52.2039216
Warszawa Radość,halt,21.1871497,52.1857228
Warszawa Rakowiec,halt,20.9661819,52.1967848
Warszawa Żwirki i Wigury,halt,20.9803082,52.193416
Warszawa Służewiec,halt,20.9870352,52.1807488
Warszawa Okęcie,station,20.9873566,52.1657359
Warszawa Gdańska,station,20.9923588,52.2590955
Dworzec Gdański,station,20.9941857,52.2580586
Warszawa Wola,halt,20.957835,52.2297953
Warszawa Młynów,halt,20.9584665,52.2391381
Warszawa ZOO,halt,21.0178245,52.2635233
Warszawa Praga,halt,21.0223526,52.2775107
Warszawa Toruńska,halt,21.0130377,52.2941826
Warszawa Żerań,halt,20.9988691,52.3142173
Warszawa Zacisze-Wilno,halt,21.0802097,52.2779433
Warszawa Wawer,station,21.1496097,52.2233538
Warszawa Ochota WKD,halt,20.9895212,52.2254065
Warszawa Zachodnia WKD,halt,20.9655716,52.2194559
Warszawa Raków,halt,20.9358485,52.1944814
Warszawa Salomea,halt,20.9243847,52.1864599
Michałowice,halt,20.88126,52.175364
Plac Wilsona,station,20.9843885,52.2692519
Kobyłka Ossów,halt,21.1933059,52.3272995
Warszawa Mokry Ług,halt,21.1704615,52.2772783
Zielonka Bankowa,halt,21.1540209,52.2914516
Warszawa Powiśle,halt,21.0281295,52.2337064
Płocka,station,20.9663854,52.2324546
Trocka,station,21.0550586,52.2751021
Świętokrzyska,station,21.0078988,52.2350954
Księcia Janusza,station,20.9443771,52.2391822
Młynów,station,20.9601093,52.2376798
Warszawa Koło,halt,20.9590147,52.2462235
Szwedzka,station,21.0455232,52.2634709
Targówek Mieszkaniowy,station,21.0513658,52.2692518
Warszawa Powązki,halt,20.9723781,52.2560783
Bemowo,station,20.915319,52.2391847
Ulrychów,station,20.9300041,52.240322
Warszawa Główna,station,20.9850425,52.2250393
Warszawa Aleje Jerozolimskie WKD,halt,20.9422822,52.2053112
Warszawa Targówek,halt,21.0517396,52.2642483
Warszawa Centralna,station,21.00316,52.2288207
Bródno,station,21.0289387,52.293585
Kondratowicza,station,21.0486889,52.2920848
Zacisze,station,21.062148,52.2837496
Warszawa Zachodnia peron 9,halt,20.961427,52.2220348
Warszawa Wileńska,station,21.0385505,52.2558006
Warszawa Grochów,halt,21.0842391,52.2555011
