name,power,man_made,longitude,latitude
,,,20.9814507,52.2131514
,,,20.8777703,52.2153807
,,,21.0503783,52.1308675
,,,21.1293227,52.2871587
,,,20.8562362,52.1487816
,,,20.9952707,52.2234203
,substation,,21.0384459,52.2487321
,,,20.9582593,52.3236799
,,,20.9453656,52.3251199
,,,20.9376207,52.2988691
,,,20.9817055,52.2492726
,,,20.8814505,52.2919226
,,,20.987403,52.3094918
,substation,,21.0087628,52.2496869
,,,20.9956076,52.2234039
,,,21.1257301,52.2637443
,,,21.0976388,52.2366353
,,,21.1171146,52.2489845
,,,20.8553918,52.2070284
,,,20.9598875,52.3508927
,,,21.0082379,52.1788484
,,,20.9692834,52.2018035
,,,20.8531063,52.1257519
,,,20.9900895,52.2208303
,,,21.0227397,52.2645095
,,,20.927285,52.2207067
,,,20.8897775,52.2051751
,,,20.952386,52.3557248
,,,21.1429227,52.1021165
,,,21.0446087,52.2479011
,,,20.9901175,52.3001489
,,,20.9539743,52.3182532
,,,20.9654373,52.3514139
,,,20.9672611,52.3524364
,,,20.9522368,52.3551002
,,,20.9711815,52.3502248
,,,20.9943508,52.1876915
,,water_works,20.9490813,52.242613
,,water_works,20.9543169,52.2494749
,substation,,21.021936,52.1624073
,substation,,21.1346201,52.2801307
,substation,,21.1177864,52.2790472
,,water_works,21.1312925,52.2829188
,substation,,21.1314399,52.2829319
,substation,,21.023827,52.1645795
,substation,,21.0222091,52.1614559
,substation,,21.0258867,52.1615946
,substation,,21.0239205,52.1616605
,substation,,21.0284732,52.1631974
,substation,,21.0301433,52.1635856
,substation,,21.0282709,52.1651752
,substation,,21.0286781,52.1653251
,substation,,21.025989,52.157562
,substation,,21.0222668,52.1574261
,substation,,21.0270414,52.1581497
,substation,,21.0237641,52.1587853
,substation,,21.024866,52.1590953
,substation,,21.0272237,52.1608158
,substation,,21.0264031,52.1627213
,substation,,21.0260561,52.1635865
,substation,,21.0258762,52.1641087
,,,21.0470952,52.1570618
,substation,,20.9954392,52.2365502
,substation,,20.9947568,52.2378972
,,,21.0912029,52.1511724
,substation,,20.9925437,52.2533434
,,,21.0277587,52.1457968
,,,21.1251347,52.2648369
,substation,,21.0541187,52.2584829
,substation,,21.0528825,52.2589274
,,,21.05655,52.1399779
,,,21.0713016,52.1738679
,,,20.9085917,52.2970731
,,,21.0971977,52.2178048
,,,20.9948914,52.233912
,,,20.995629,52.2340318
,,,20.9587299,52.2309446
,substation,,21.0874883,52.3000829
,,water_works,20.9470893,52.2416908
,,,20.9258206,52.2600073
,,water_works,20.9656063,52.2367172
,,,20.9480222,52.1796272
,,,21.0189884,52.18409
,,,21.0948516,52.3163797
,,,21.0939922,52.2547561
,,,20.9697946,52.3138555
,,water_works,20.9686315,52.2375572
,,,20.9429543,52.3352982
,,,20.9880412,52.1686596
,,,20.9698209,52.212057
,,,21.0892227,52.1526524
,,,21.0900455,52.153145
,substation,,21.1565967,52.3106246
,,,20.9817826,52.2134245
,,,20.9850579,52.2658528
,,,20.9818903,52.2232994
,,,20.9770189,52.1158614
,,,20.9890372,52.3012959
,,,21.0931574,52.2548255
,,,21.1778779,52.1982662
,,,21.1621974,52.208338
,substation,,21.0934122,52.3045199
