name,amenity,leisure,tourism,longitude,latitude
Kino Forum,cinema,,,23.1582957,53.1297451
,,,,23.1575558,53.1317724
,,,,23.1573263,53.1327122
,,,,23.1575112,53.1327917
Klub Rokoko 2.0 Białystok,nightclub,,,23.1589159,53.1304596
,,,,23.158425,53.1298543
,,,,23.1588352,53.1295365
,,sports_centre,,23.0766656,53.1271822
,,,,23.1693927,53.1300351
Pomnik Ludwika Zamenhofa,,,attraction,23.1570715,53.1334564
,,,,23.1652579,53.1306771
,,,,23.1497701,53.1293239
,,,,23.1496247,53.1299705
,,,,23.1500233,53.1308998
Centrum Kultury Prawosławnej,arts_centre,,,23.1540194,53.1319943
,,,,23.1600493,53.1321336
,,,,23.1600857,53.1321367
,,,,23.1597771,53.1321017
,,,,23.1549788,53.1090618
,,,,23.1550038,53.1091293
Diamond Club,nightclub,,,23.1536252,53.1288635
Skatepark,,sports_centre,,23.0821731,53.1539379
"Klub Osiedlowy ""Stoczek""",arts_centre,,,23.1181599,53.1448385
,,,,23.1572598,53.1323657
Magic Gym fitness,,sports_centre,,23.1568306,53.150272
,,,,23.1619666,53.1334625
,,,,23.1617907,53.1335242
Calypso,,sports_centre,,23.1629398,53.1366535
Helios,cinema,,,23.1625642,53.1368413
,,,,23.1295329,53.1471289
,,,,23.1364155,53.1474516
Siłownia pod chmurką,,sports_centre,,23.1729905,53.123706
,,,,23.1671744,53.1210008
,,,,23.1651815,53.1213029
,,,,23.1593987,53.1320761
,,,,23.1501473,53.1300327
Zespół Obiektów Sportowych Zwierzyniec,,sports_centre,,23.1597276,53.121294
,,,,23.1611087,53.1212423
Strefa Wysokich Lotów,,sports_centre,,23.1653029,53.1578287
"Dom Kultury ""Zachęta""",arts_centre,,,23.1881147,53.130359
Herkulesy,nightclub,,,23.1667968,53.1293015
Zmiana Klimatu,nightclub,,,23.1666666,53.1353616
Cosmic Bowling,,sports_centre,,23.1565343,53.1371411
,,,,23.2332433,53.0591764
"Ośrodek Sportów Wodnych ""Dojlidy""",,sports_centre,,23.2188035,53.1096214
Cresovia,,sports_centre,,23.2181258,53.1139045
,,,,23.0562758,53.1672574
,community_centre,,,23.2185777,53.1724501
KIBICE RAZEM Jagiellonia Białystok,community_centre,,,23.1499469,53.1265393
Podlaski Instytut Kultury,arts_centre,,,23.166263,53.1325555
,,,,23.162054,53.132556
,,,,23.1684322,53.0965391
Kino Helios,cinema,,,23.1768244,53.1224255
,,,,23.1681923,53.0966136
The Hell Club,nightclub,,,23.1558819,53.1333142
Weselny Klimat,nightclub,,,23.1717599,53.1317668
,community_centre,,,23.1180409,53.1666321
,,,,23.0770209,53.1301818
,,,,23.0771521,53.1296948
Kino Ton,cinema,,,23.1621866,53.1325802
,,,,23.1667183,53.1201748
Royal Casino,casino,,,23.1589822,53.1320108
Bungee Jumping Mario,,,attraction,23.2008027,53.1391159
Klub Bokserski Gladiator,,sports_centre,,23.1275246,53.1005974
"Osiedlowy Dom Kultury ""Jubilat""",arts_centre,,,23.138645,53.1429908
"Osiedlowy Dom Kultury ""Metafora""",arts_centre,,,23.1338707,53.1408381
"Osiedlowy Dom Kultury ""Mikron""",arts_centre,,,23.1654242,53.1403457
"Osiedlowy Dom Kultury ""Meteoryt""",arts_centre,,,23.1819993,53.1376937
"Osiedlowy Dom Kultury ""Miraż""",arts_centre,,,23.149932,53.1407736
"Osiedlowy Dom Kultury ""Gaj""",arts_centre,,,23.1216508,53.1544762
"Osiedlowy Dom Kultury ""Kalina""",arts_centre,,,23.1283671,53.150973
"Osiedlowy Dom Kultury ""Millenium""",arts_centre,,,23.1500554,53.1217036
"Osiedlowy Dom Kultury ""Relax""",arts_centre,,,23.1248373,53.1363794
"Osiedlowe Centrum ""Stok""",arts_centre,,,23.1015316,53.1291668
"Osiedlowy Dom Kultury ""Kaktus""",arts_centre,,,23.1009415,53.1243015
"Klub Osiedlowy ""Puchatek""",arts_centre,,,23.1411585,53.1317755
Świetlica wiejska w Ignatkach,community_centre,,,23.100564,53.069475
,,,,23.1650149,53.1231705
PIĘTRO Music Club,nightclub,,,23.1541291,53.1339253
Dawna Austeria,,,attraction,23.1608985,53.1325377
Dom rodzinny Jakuba Szapiro,,,attraction,23.1508157,53.1334745
Szkoła żydowska Tarbut,,,attraction,23.1492987,53.1322137
,,,,23.1909363,53.1329709
Węglówka,,sports_centre,,23.1704088,53.1450007
,,,,23.1501057,53.1310051
,,,,23.1508037,53.1308484
,,,,23.1504623,53.1308542
,,,,23.1505749,53.1309101
Disco Polo LOFT Club,nightclub,,,23.1560357,53.129912
,,,,23.1297511,53.1579724
Dom Kultury Śródmieście,arts_centre,,,23.1654536,53.1322427
Marchand,,,gallery,23.1655372,53.132438
,,,,23.161476,53.1325491
Nie Teatr,theatre,,,23.1612088,53.1325281
SkyClub,nightclub,,,23.1601835,53.1326019
,,,,23.1619057,53.1325534
,,,,23.1616066,53.1325495
,,,,23.1601839,53.1321478
Podlaski Instytut Kultury,arts_centre,,,23.142064,53.1347989
,,,,23.1610909,53.1212182
Rokoko Cubano,nightclub,,,23.1589122,53.1300964
Podświetlane kręgi z archiwalnymi zdjęciami Rynku Kościuszki,,,attraction,23.1593509,53.1323531
,,,,23.1613442,53.1325272
,,,,23.1610848,53.1325167
,,,,23.1612194,53.132491
,,sports_centre,,23.0853866,53.1237824
Niebo Nocą,nightclub,,,23.1604882,53.1329008
#JUTRO,nightclub,,,23.1530319,53.1331576
,,track,,23.1877971,53.1318343
,,,,23.1516882,53.1185767
,,,,23.1660169,53.1305615
,,,,23.1663238,53.1306971
,,,,23.1650107,53.1308144
,,,,23.1652745,53.1311418
,,,,23.1655738,53.1312848
"Klub Sportowy ""Kaliber""",,sports_centre,,23.1445016,53.1302323
#Białystok,,,attraction,23.1610351,53.1322834
"Ramka selfie ""Dumni z Białegostoku""",,,attraction,23.1599975,53.1323742
,,,,23.1594819,53.132617
,,,,23.159379,53.1326262
"Stadion lekkoatletyczny ""Zwierzyniec""",,stadium,,23.159728092791404,53.12044314720998
,,pitch,,23.149261087972114,53.105959372432665
Ogród Zoologiczny Akcent,,,zoo,23.165892136539632,53.12062392606102
Żubrowisko,pub,,,23.158390849999996,53.13233889999999
Białostocki Ośrodek Kultury,arts_centre,,,23.158439813976,53.129606823022414
Hala sportowa VI Liceum Ogólnokształcącego,,sports_centre,,23.166428925467734,53.13455235716459
Galeria Arsenał - Stara Elektrownia,arts_centre,,,23.171324621869456,53.129480217547474
,,track,,23.195545978865592,53.125287098843685
"Klub Zenit S.M. ""Zachęta""",arts_centre,,,23.190954248551723,53.133052711241255
Teatr Dramatyczny im. Aleksandra Węgierki,theatre,,,23.169721072340103,53.129886641511284
Lodowisko,,ice_rink,,23.1606026145026,53.12143022643429
Cerkiew Świętego Ducha,place_of_worship,,attraction,23.12163191417402,53.1467286657948
Akademickie Centrum Sportu,,sports_centre,,23.14610573223649,53.118701512099
Młodzieżowy Dom Kultury,arts_centre,,,23.14897436415167,53.13760867612188
Cmentarz parafialny prawosławny,,,attraction,23.057075950003703,53.166865217378124
,,track,,23.111217349626383,53.14511641415458
Ośrodek treningowy Jagiellonii Białystok,,sports_centre,,23.078093171805236,53.13033827715092
,,stadium,,23.120688899999998,53.13097524999999
,,stadium,,23.12011923343175,53.130994078188145
Centrum im. Ludwika Zamenhofa,arts_centre,,,23.169914505527252,53.13370421601721
Uniwersytet w Białymstoku - Hala Sportowa,,sports_centre,,23.148620300000005,53.114715800000006
Sala Koncertowa Opery i Filharmonii Podlaskiej,theatre,,,23.165490589178795,53.123101480625245
Strzelnica Hubertus,,sports_centre,,23.08045806001257,53.16540428582643
Ratusz,,,,23.158675573456218,53.13234577784874
Galeria Arsenał,,,gallery,23.16639644844077,53.13038823866154
Pałac Branickich,,,attraction,23.16542913199491,53.13073687920185
Miejski Ośrodek Szkolenia Piłkarskiego,,sports_centre,,23.135190789200912,53.14821589429972
Opera i Filharmonia Podlaska - Europejskie Centrum Sztuki,theatre,,,23.149823118396817,53.12979569577974
Cerkiew pw. Podwyższenia Krzyża Świętego,place_of_worship,,attraction,23.05781694440352,53.16888486410095
,,track,,23.153750195490357,53.14926832730116
Cerkiew pw. Świętych Apostołów Piotra i Pawła,place_of_worship,,attraction,23.207251123869085,53.19901258446629
,theatre,,,23.102133338506157,53.12179268893994
,,track,,23.208733225559538,53.09696080107783
Młodzieżowy Dom Kultury,arts_centre,,,23.18202560409958,53.12878670792937
Białostocki Teatr Lalek,theatre,,,23.150432762169142,53.130838425621214
,,,attraction,23.154013299816867,53.12912185039987
,,track,,23.207002749999997,53.1201347
Cerkiew cmentarna Archanioła Michała,place_of_worship,,attraction,23.056537286915407,53.16673379627519
Centrum Tenisowe Richi,,sports_centre,,23.130068898665474,53.146983730092856
,,track,,23.164228089247846,53.13374685761449
,,track,,23.184684552034174,53.13561462336128
,,stadium,,23.231851649999996,53.05866405
Dwór,,park,attraction,23.23346214143785,53.05829403513425
Ruiny dworu,,,attraction,23.192486823751768,53.05770614340207
Park poddworski,,park,attraction,23.103099798946467,53.090262073783215
,theatre,,,23.1029036819954,53.12881330008
Kręgielnia,,sports_centre,,23.074455175491607,53.133855301995105
,,track,,23.104290192333274,53.152644368472735
,,track,,23.116274993213448,53.14894103403015
,,track,,23.12300922234999,53.15656267166446
,,track,,23.121595793459544,53.14521401879397
,,track,,23.155443617427576,53.15435662288925
,,track,,23.11132815016394,53.144918896703835
,,track,,23.1108918512409,53.14520775623875
,,sports_centre,,23.202679392700325,53.14491303911417
,enclosing,,attraction,23.166901686564888,53.12076457374789
Żbik,enclosing,,attraction,23.165586910223098,53.12098901156856
,enclosing,,attraction,23.167089971289347,53.12075016194849
,enclosing,,attraction,23.167037949999997,53.12066745
Czubatka polska,enclosing,,attraction,23.166903745543586,53.120525629192805
Jeleń,enclosing,,attraction,23.166213721477806,53.11987289798643
Osioł,enclosing,,attraction,23.165535902761995,53.1197645965962
,enclosing,,attraction,23.1671254,53.12083815
Ryś,enclosing,,attraction,23.16544982392051,53.12123080949819
Puchacz,enclosing,,attraction,23.1653909,53.12099355
Puszczyk,enclosing,,attraction,23.16527084302124,53.12118420371508
Myszołów,enclosing,,attraction,23.165326750000002,53.121117399999996
Konik polski,enclosing,,attraction,23.166506234845794,53.121347326049005
Daniele,enclosing,,attraction,23.16575087187593,53.121356921835286
Świnka wietnamska,enclosing,,attraction,23.16649739177095,53.12034419656322
Wilk,enclosing,,attraction,23.16500967094059,53.12098011140218
Żubr,enclosing,,attraction,23.16488380466053,53.11994575795044
Kuc szetlandzki,enclosing,,attraction,23.164802920296033,53.12024457438081
Dzik,enclosing,,attraction,23.164897617538966,53.12054242547853
Niedźwiedź,enclosing,,attraction,23.165413920652778,53.120575199804186
Koza karłowata,enclosing,,attraction,23.16586389740161,53.12078348244133
Bocian biały,enclosing,,attraction,23.165884378800985,53.120574296895285
Królik,enclosing,,attraction,23.16636368938848,53.120389111695495
Kura domowa,enclosing,,attraction,23.166209641978284,53.12043011524406
,,track,,23.155426050000006,53.1285295
Uniwersyteckie Centrum Kultury,community_centre,,,23.154748135365367,53.109112802514424
Powersquash,,sports_centre,,23.1298603052535,53.157798705682474
,,track,,23.21394921483437,53.149149281112486
,,track,,23.14270825,53.132737649999996
,theatre,,,23.087888875693384,53.147356200404126
Parasolki,,,attraction,23.164480765647244,53.132191880369824
"Stadion lekkoatletyczny ""Zwierzyniec""",,stadium,,23.159731416559197,53.120444576174215
,,pitch,,23.149261091545295,53.10595937187644
Ogród Zoologiczny Akcent,,,zoo,23.165852138724567,53.12061698648492
Żubrowisko,pub,,,23.15839085,53.1323389
Białostocki Ośrodek Kultury,arts_centre,,,23.15844220606025,53.129606416933306
Hala sportowa VI Liceum Ogólnokształcącego,,sports_centre,,23.16637638321117,53.1345652269352
Galeria Arsenał - Stara Elektrownia,arts_centre,,,23.171352309594198,53.1294750938971
Stadion Miejski w Białymstoku,,stadium,,23.14929616263274,53.10596437356653
,,track,,23.195545995673804,53.12528716457066
Akademia Teatralna im. A. Zelwerowicza - Filia w Białymstoku,theatre,,,23.162175128775747,53.13342156976375
"Klub Zenit S.M. ""Zachęta""",arts_centre,,,23.190954185418505,53.13305277444729
Teatr Dramatyczny im. Aleksandra Węgierki,theatre,,,23.16971053267891,53.1298723747849
Lodowisko,,ice_rink,,23.16057961027673,53.121424333281446
Cerkiew Świętego Ducha,place_of_worship,,attraction,23.121645564689658,53.146724711247685
Akademickie Centrum Sportu,,sports_centre,,23.146134635205083,53.11868681112767
Młodzieżowy Dom Kultury,arts_centre,,,23.148966631613572,53.137610501980845
Cmentarz parafialny prawosławny,,,attraction,23.057053557898662,53.16685795511805
,,track,,23.11121666772309,53.145116949694
Ośrodek treningowy Jagiellonii Białystok,,sports_centre,,23.078120508079646,53.13028520573425
,,stadium,,23.120688899999998,53.13097525
,,stadium,,23.120119227633822,53.130994079192405
Centrum im. Ludwika Zamenhofa,arts_centre,,,23.169902049394377,53.13369488554131
Uniwersytet w Białymstoku - Hala Sportowa,,sports_centre,,23.1486203,53.114715800000006
Sala Koncertowa Opery i Filharmonii Podlaskiej,theatre,,,23.16547519167068,53.12313552427787
Strzelnica Hubertus,,sports_centre,,23.080458058853804,53.165404281247895
Rynek Kościuszki,,,attraction,23.15956991466406,53.13231775755984
Ratusz,,,,23.158675528070997,53.13234583543556
Galeria Arsenał,,,gallery,23.166404620784302,53.13038650915714
Pałac Branickich,,,attraction,23.165384450382614,53.13067652641652
Miejski Ośrodek Szkolenia Piłkarskiego,,sports_centre,,23.135371074458526,53.14826489784672
Opera i Filharmonia Podlaska - Europejskie Centrum Sztuki,theatre,,,23.14984109560927,53.12977602964719
Cerkiew pw. Podwyższenia Krzyża Świętego,place_of_worship,,attraction,23.057826355377532,53.16888329767655
,,track,,23.153750084133456,53.14926958067226
Cerkiew pw. Świętych Apostołów Piotra i Pawła,place_of_worship,,attraction,23.207264899176817,53.199012375856455
,theatre,,,23.102133870499305,53.121794483387326
,,track,,23.16748186701572,53.13861481773066
"Klub Studencki ""Gwint""",nightclub,,,23.151189428158936,53.118737073189045
,,track,,23.20873322644741,53.096960800365714
Młodzieżowy Dom Kultury,arts_centre,,,23.182017425677042,53.128782944288815
Białostocki Teatr Lalek,theatre,,,23.150424668071484,53.13082274628078
,,,attraction,23.154013299470257,53.129121850727266
,,track,,23.20700275,53.12013470000001
Cerkiew cmentarna Archanioła Michała,place_of_worship,,attraction,23.05653717562266,53.166733734414194
,,track,,23.190605611291076,53.13234156287942
,,track,,23.18638367006039,53.1362751412944
Centrum Tenisowe Richi,,sports_centre,,23.130095227853207,53.146984782741946
,,track,,23.164236292861773,53.1337436676257
,,track,,23.184684548229693,53.13561461058262
,,track,,23.160516461268024,53.122431044198066
,,stadium,,23.23185165,53.058664050000004
Dwór,,park,attraction,23.233340178843974,53.05831674944497
Tor Białystok,,track,,23.16554912109094,53.09791561783905
Ruiny dworu,,,attraction,23.192486824430485,53.05770614700972
Park poddworski,,park,attraction,23.1030884861951,53.09026065256551
,theatre,,,23.10290197248313,53.12881170471146
,,track,,23.183127166404,53.12957467030718
Kręgielnia,,sports_centre,,23.0744553956593,53.13385534032773
,,track,,23.104290111641024,53.15264431108185
,,track,,23.116274897981175,53.14894106592427
,,track,,23.12301113211521,53.156562582781014
,,track,,23.105663134150138,53.12150060426225
,,track,,23.130111749999987,53.1414827
,,track,,23.121597013863084,53.14521192853236
,,track,,23.155738912315698,53.15421451772386
,,track,,23.15544031374822,53.15435591268141
,,track,,23.11132806797261,53.14491883717384
,,track,,23.110854632186662,53.14518095660576
,,sports_centre,,23.202680805927844,53.14491258193722
,,track,,23.17706324999999,53.13661065
,,track,,23.15972950179512,53.12044405381996
,enclosing,,attraction,23.166901690072955,53.120764573532625
Żbik,enclosing,,attraction,23.165588826683965,53.120987635201196
,enclosing,,attraction,23.16708997601698,53.12075016387546
,enclosing,,attraction,23.16703795,53.120667450000006
Czubatka polska,enclosing,,attraction,23.166903751909903,53.12052563204552
Jeleń,enclosing,,attraction,23.166205325345665,53.119867507399086
Osioł,enclosing,,attraction,23.165546331369328,53.11976700804525
,enclosing,,attraction,23.1671254,53.12083815
Ryś,enclosing,,attraction,23.16545760694158,53.12122586302437
Puchacz,enclosing,,attraction,23.1653909,53.12099355
Puszczyk,enclosing,,attraction,23.165270833571505,53.121184202858075
Myszołów,enclosing,,attraction,23.165326749999995,53.12111740000001
Konik polski,enclosing,,attraction,23.1664777274974,53.12137006860774
Daniele,enclosing,,attraction,23.165747010298663,53.12136113507872
Świnka wietnamska,enclosing,,attraction,23.166501524315922,53.1203439866895
Wilk,enclosing,,attraction,23.164993526578638,53.120964370196376
Żubr,enclosing,,attraction,23.164880142947567,53.119944510914976
Kuc szetlandzki,enclosing,,attraction,23.16480370915243,53.12024460470322
Dzik,enclosing,,attraction,23.164896964172055,53.120541977603175
Niedźwiedź,enclosing,,attraction,23.16541239017158,53.120586300621014
Koza karłowata,enclosing,,attraction,23.165833934111014,53.12080339178184
Bocian biały,enclosing,,attraction,23.16590045267115,53.12057396986682
Królik,enclosing,,attraction,23.166362219767482,53.120388877220975
Kura domowa,enclosing,,attraction,23.166205493695326,53.12043029345042
Tor Kartingowy Sadkarting,,track,,23.20276444600827,53.14042634340982
,,track,,23.190705149999996,53.1324927
,,track,,23.155426050000006,53.1285295
,,track,,23.15585305152167,53.12830214183874
,,track,,23.123256254293345,53.10060861971919
,,track,,23.09607265,53.1190056
Uniwersyteckie Centrum Kultury,community_centre,,,23.15475962164723,53.109123172726854
,,track,,23.1702910002568,53.12267073345808
,,track,,23.094329946503013,53.132779090522895
Powersquash,,sports_centre,,23.129860308481554,53.15779870610848
,,track,,23.213949344061653,53.149149330304134
,,track,,23.14270825,53.132737649999996
,,track,,23.173294099999993,53.13524505
,theatre,,,23.087885876437543,53.14735586019941
Tor Kartingowy,,track,,23.0675870870054,53.16168121718104
Parasolki,,,attraction,23.1644814328859,53.13219168529531
