name,shop,amenity,longitude,latitude
Żabka,supermarket,,19.0855143,50.7885104
Słoneczko,supermarket,,19.0933249,50.7854174
Biedronka,supermarket,,19.1065434,50.8274666
Żabka,convenience,,19.0974969,50.8160187
Żabka,convenience,,19.0785005,50.822415
Żabka,convenience,,19.0843829,50.8315249
"Delikatesy ""Rarytas""",convenience,,19.0822533,50.8316536
"Delikatesy ""Lewiatan""",convenience,,19.0727039,50.8297751
Biedronka,supermarket,,19.0688952,50.8305205
Społem,supermarket,,19.1398855,50.7833023
Lewiatan,convenience,,19.137436,50.7863168
Carrefour Express,convenience,,19.1492245,50.7834788
Żabka,convenience,,19.137706,50.7833194
,,marketplace,19.1393234,50.7820717
Lux Mini Społem,convenience,,19.1380248,50.7868009
Biedronka,supermarket,,19.1178952,50.8233079
Auchan,supermarket,,19.116236,50.8372287
,,,19.121021,50.814092
Żabka,convenience,,19.0982456,50.7807915
A&D Wafelek,supermarket,,19.0976662,50.7759123
Netto,supermarket,,19.1476091,50.7865192
Kaufland,supermarket,,19.099772,50.8249787
Biedronka,supermarket,,19.1266315,50.8393245
Lewiatan,convenience,,19.1202333,50.892743
Żabka,convenience,,19.0631492,50.7605607
Żabka,convenience,,19.1111313,50.8040676
Żabka,convenience,,19.1068732,50.8119622
Społem,supermarket,,19.1188429,50.8109792
Delikatesy ELMAS (Czynne 24h),convenience,,19.1281424,50.8520347
Biedronka,supermarket,,19.1239271,50.834441
Żabka,convenience,,19.1086432,50.8249152
Lewiatan,convenience,,19.1172959,50.8263852
,convenience,,19.1223793,50.8264234
Żabka,convenience,,19.116708,50.8278471
Żabka,convenience,,19.1262295,50.8113283
,convenience,,19.1181505,50.8151555
Gama,convenience,,19.1151774,50.8155472
Aldi,supermarket,,19.1390337,50.7829434
IWA - sklep spożywczy,convenience,,19.1341026,50.7839258
,,marketplace,19.1509453,50.8016251
,,atm,19.1299049,50.8134241
Wafelek,supermarket,,19.1400144,50.7840022
,,atm,19.1424238,50.7837501
Euronet,,atm,19.1465752,50.7808971
Sklep spożywczy,convenience,,19.0932684,50.8233721
,,,19.0938779,50.8212785
Sklep spożywczy,convenience,,19.0914513,50.8217889
Żabka,convenience,,19.1121442,50.8101977
Biedronka,supermarket,,19.1322609,50.8082729
Żabka,convenience,,19.1059134,50.8024642
Lewiatan,convenience,,19.1567077,50.7813661
Biedronka,supermarket,,19.0830824,50.8120452
,,,19.0990803,50.8169009
Żabka,convenience,,19.1151412,50.832075
Paśnik,convenience,,19.1069448,50.8081257
Żabka,convenience,,19.1160928,50.8087884
,convenience,,19.1161378,50.8299736
PSS Społem Jedność,convenience,,19.1160624,50.8302982
MA-AN,convenience,,19.1169958,50.8268276
Żabka,convenience,,19.112329,50.8253609
Fresh,convenience,,19.118073,50.8229325
Lewiatan,convenience,,19.1135047,50.8259659
Żabka,convenience,,19.1075681,50.8103562
Grosik,convenience,,19.1115595,50.8099554
,convenience,,19.1096185,50.8100673
Spar,supermarket,,19.0999191,50.8210038
Lewiatan,supermarket,,19.0959843,50.8230327
Żabka,convenience,,19.1225289,50.8104857
Żabka,convenience,,19.1181381,50.8147378
Lewiatan,convenience,,19.1183205,50.8218542
Karina,convenience,,19.1076399,50.8462401
Odido,convenience,,19.1077606,50.8471115
,convenience,,19.1092868,50.86102
ABC,convenience,,19.1090173,50.8621404
,convenience,,19.1183044,50.8908736
Biedronka,supermarket,,19.1511302,50.7719012
,convenience,,19.1506226,50.7742858
POLOmarket,supermarket,,19.1280341,50.8448057
Spożywczo-monopolowy,convenience,,19.1491148,50.775689
,convenience,,19.113452,50.831996
,convenience,,19.1135432,50.8322468
Społem,convenience,,19.1291496,50.8160623
Społem,convenience,,19.1192571,50.8116643
Alex-Pol,convenience,,19.1114687,50.8275048
,convenience,,19.1110798,50.8274251
,convenience,,19.1068489,50.8142628
Społem,convenience,,19.1077797,50.814274
Delikatesy Jędryka,convenience,,19.1076332,50.8142719
,convenience,,19.1697836,50.8720822
Żabka,convenience,,19.1104957,50.8275497
Społem,supermarket,,19.1598797,50.8394471
Żabka,convenience,,19.1450361,50.8054504
Lewiatan,convenience,,19.1456172,50.8048785
Społem,convenience,,19.1108753,50.8013464
abc,convenience,,19.1104554,50.8014009
Żabka,convenience,,19.1158043,50.7997364
Społem,convenience,,19.1057257,50.8024979
,,,19.109906,50.8018289
,,,19.1100636,50.8019102
,,,19.1082149,50.8013663
,,,19.1082822,50.80135
,,,19.1086755,50.8014913
,,,19.1086442,50.8014284
,,,19.1104426,50.7998969
,,,19.1105317,50.7998852
,,,19.1105654,50.7999872
Żabka,convenience,,19.1318799,50.8464426
Lewiatan,convenience,,19.1309355,50.8471501
Lewiatan,supermarket,,19.1358197,50.8437466
Żabka,convenience,,19.1107853,50.8068667
Lewiatan,supermarket,,19.090054,50.8041363
,,,19.0550291,50.8778358
Żabka,convenience,,19.0695646,50.8212382
,,,19.1229142,50.8123676
Żabka,convenience,,19.1219934,50.8129651
Zdrowa Żywność,convenience,,19.1212468,50.8144167
,,,19.1197303,50.8137435
Żabka,convenience,,19.1197882,50.8121286
,,,19.123246,50.8120269
,,,19.1230248,50.8120387
,,,19.1228092,50.8120345
Żabka,convenience,,19.1270203,50.8121809
,,,19.1116377,50.8113571
,convenience,,19.1088066,50.811916
Żabka,convenience,,19.1173088,50.8117315
Żabka,convenience,,19.1144515,50.8122406
Lewiatan,convenience,,19.1077026,50.8056322
,convenience,,19.0953828,50.8159764
Żabka,convenience,,19.0994986,50.8102676
Żabka,convenience,,19.1126641,50.813507
Społem,convenience,,19.1258737,50.8421763
Świtezianka,,,19.1103594,50.7999751
Żabka,convenience,,19.1243623,50.8115826
Sklep spożywczo-monopolowy,convenience,,19.1482655,50.7760311
Carrefour,supermarket,,19.1433287,50.8243109
"Sklep ogólnospożywczy ""U chłopaków""",convenience,,19.1684936,50.8358005
,,,19.0985397,50.7832159
,,,19.1119124,50.8116915
,,,19.1116323,50.8118553
Spar,supermarket,,19.1117679,50.8113712
Odido,convenience,,19.0640885,50.7612858
Żabka,convenience,,19.0982727,50.8249308
Społem,convenience,,19.2033603,50.8193371
Żabka,convenience,,19.1191639,50.8180959
Odido,convenience,,19.1341354,50.8426078
"Abc ""Agata""",convenience,,19.1342633,50.8417383
Społem,convenience,,19.13423,50.8423943
Żabka,convenience,,19.1356009,50.8395292
Sklep spożywczo-monopolowy,convenience,,19.1356304,50.8394101
Abc - sklep spożywczy,convenience,,19.1356451,50.8393523
Wafelek,convenience,,19.162284,50.8395675
Żabka,convenience,,19.1726121,50.8402333
Biedronka,supermarket,,19.1737754,50.8408633
Żabka,convenience,,19.1634707,50.8387741
Lewiatan,supermarket,,19.1627866,50.8390579
Żabka,convenience,,19.1179135,50.8089349
Żabka,convenience,,19.1175393,50.8056609
Społem,convenience,,19.1180727,50.8022397
Kurczak z rożna,,fast_food,19.1184987,50.8105589
Społem,convenience,,19.1285718,50.8127405
,,,19.117982,50.8101424
,,,19.1156745,50.8367171
Żabka,convenience,,19.1224344,50.8081759
Lewiatan,convenience,,19.1287797,50.8165125
,,,19.1297299,50.8076835
,,,19.1433246,50.8236389
Społem,convenience,,19.1560455,50.8370253
Żabka,convenience,,19.117531,50.8015697
,,,19.1437635,50.8238574
,,,19.1432164,50.8236656
,convenience,,19.1223954,50.8076183
Żabka,convenience,,19.1311304,50.8137
Społem,convenience,,19.1189772,50.8161055
Żabka,convenience,,19.118044,50.8125047
Delikatesy Centrum,convenience,,19.1488087,50.7867073
Rynek Prezydenta RP Gabriela Narutowicza,,marketplace,19.138446700050654,50.8116737297347
M1 Częstochowa,mall,,19.11697086619535,50.83760619369352
Centrum Handlowe Estakada,mall,,19.14205451915751,50.78336190071838
Społem,convenience,,19.107875855005627,50.8110045464925
Żabka,convenience,,19.10575093854137,50.81137432550667
Aniołów Park,mall,,19.143913191945316,50.824030608783985
Netto,supermarket,,19.101892284478918,50.804741915722815
Biedronka,supermarket,,19.10173159591604,50.80672792063027
Pasaż 49,mall,,19.1116411077197,50.81160768212649
Żabka,convenience,,19.11605261200501,50.815386528041046
Lidl,supermarket,,19.147272173602616,50.78012601980131
Lidl,supermarket,,19.098673225756723,50.816953091935765
Galeria Jurajska,mall,,19.131384553697938,50.807698581673925
C.H. Fortuna,mall,,19.144245635419743,50.781114377571654
"Targowisko ""Wały Dwernickiego""",,marketplace,19.121025885552935,50.81326938978539
Biedronka,supermarket,,19.098202099988786,50.7833085132503
Auchan,supermarket,,19.115748878535705,50.8062329870555
