name,amenity,leisure,tourism,longitude,latitude
,,,,19.9356345,50.0543899
Narodowy Stary Teatr imienia Heleny Modrzejewskiej,theatre,,,19.9354782,50.0631682
,,,artwork,19.9355003,50.0612874
Teatr Groteska,theatre,,,19.9265845,50.0631883
Scena El-Jot,theatre,,,19.9436495,50.0522868
Centrum Kultury Żydowskiej,arts_centre,,,19.9443835,50.0513734
Gorzko Gorzko,nightclub,,,19.9363632,50.0641583
Slot Club,casino,,,19.9346281,50.0636209
The Legends,nightclub,,,19.9347486,50.0634887
Big Bull,nightclub,,,19.9355742,50.0617962
Piwnica Pod Baranami,theatre,,,19.9353977,50.0616022
Międzynarodowe Centrum Kultury,community_centre,,,19.9356568,50.0611897
Teatr 38,theatre,,,19.9382486,50.0608041
Frantic Club,nightclub,,,19.935688,50.0623304
Shakers,nightclub,,,19.9356875,50.0623201
"Przychodnia Towarzyska ""Rewolucja""",nightclub,,,19.9342159,50.0629131
"Galeria Sztuki ""Pod Złotym Lewkiem""",arts_centre,,gallery,19.9337436,50.062918
Galeria Kocioł,,,gallery,19.9375994,50.0639913
Galeria Osobliwości,,,gallery,19.9376506,50.0640809
Rust,nightclub,,,19.938098,50.0640715
Społem Deluxe,nightclub,,,19.94135,50.0644129
"Galeria Sztuki Współczesnej ""Labirynt""",,,gallery,19.9408172,50.0643299
Jazz Club U Muniaka,nightclub,,,19.9395855,50.0621882
Stalowe Magnolie,nightclub,,,19.9405662,50.0620917
Galeria Nautilus,,,gallery,19.9380022,50.0652135
Kawerna Kostrze,,,,19.8626994,50.0312486
Kawerna Pod Kapliczką,,,,19.8588554,50.0306324
Kawerna Wielkanoc,,,,19.858328,50.0358862
Kawerna Bodzów 5,,,,19.8693934,50.0341626
Kawerna Pychowice I,,,,19.8839404,50.0341968
Kawerna Pychowice I,,,,19.8844917,50.0339322
,,,,19.9469632,50.065222
,,,,19.9469422,50.0656192
,,,,19.9473191,50.0656543
,,,,19.9354053,50.0529108
Siłownia KS Clepardia,,sports_centre,,19.9443089,50.0940908
Cinema City,cinema,,,19.9543024,50.0534233
Teatr Łaźnia Nowa,theatre,,,20.0479573,50.0781895
Ośrodek Kultury im. Cypriana Kamila Norwida,arts_centre,,,20.0363605,50.0797896
Kino Studyjne Sfinks,cinema,,,20.036472,50.0797129
Brama Bartłomieja Berrecciego,,,,19.9358886,50.0545179
Brama Bartłomieja Berrecciego,,,,19.9362886,50.0545721
Fitness Klub,,sports_centre,,19.9145075,50.0265963
,,,,19.9576027,50.087642
,,,,19.9077925,50.057218
Okno Papieskie,,,attraction,19.935167,50.0594822
Teatr Ludowy - Scena Stolarnia,theatre,,,20.0321366,50.0802195
,,sports_centre,,19.9321807,49.9922648
Parowóz TKp-2316 „Śląsk”,,,attraction,20.0530438,49.9835521
,,,,19.9381509,50.0749509
,,,,19.9381547,50.0749546
"Dom kultury ""Podgórze""",arts_centre,,,19.9530094,50.0451784
,,,,19.8925954,50.0548837
Śródmiejski Ośrodek Kultury w Krakowie,arts_centre,,,19.940767,50.0616883
Krakowskie Studio Formy,,sports_centre,,19.8970767,50.0175195
Scena przy Pompie,theatre,,,19.9423554,50.0631438
Pomnik Józefa Dietla,,,attraction,19.936759,50.059086
,,sports_centre,,19.9690069,50.0330561
Centrum Sportu i Rekreacji Politechniki Krakowskiej,,sports_centre,,19.9957139,50.0763045
Lokomotywa AGH,,,attraction,19.9173564,50.0673537
Międzyszkolny Ośrodek Sportowy,,sports_centre,,20.0344564,50.0761014
Kompleks Rekreacyjny Comarch,,sports_centre,,19.9930875,50.0801338
Teatr Praska 52,arts_centre,,,19.9107841,50.0463067
Młyn,,sports_centre,,19.9278938,50.0640125
,atm,,,19.936152,50.0621529
Mikro,cinema,,,19.9238098,50.0695341
Krakowski Park Linowy,,sports_centre,,19.8809568,50.036089
Fitness Platinium Zachodnia KKF,,sports_centre,,19.9047951,50.026082
Wieliczanka,,sports_centre,,20.0377303,49.9895964
,,sports_centre,,20.0324034,49.9915036
,,,,19.9251604,50.0583608
Schron dla broni maszynowej Olszanica,,,attraction,19.8387496,50.0671611
,,,,19.9463119,50.077843
,,,,19.936891,50.0539299
,,,,19.9376958,50.060867
,,,,19.9376481,50.0609093
Brama Herbowa,,,,19.9351622,50.055048
Klub Kwadrat,nightclub,,,19.9960192,50.0838332
Galerie d'Art Naif,,,gallery,19.9453585,50.0507227
Lider Club,,sports_centre,,19.9389675,49.9933997
Kinokawiarnia Kika,cinema,,,19.9406074,50.0418096
DOM EQ - Krakowskie Centrum Równości,community_centre,,,19.9429034,50.03581
"Podwawelski Ośrodek Sportu, Kultury i Rekreacji",,sports_centre,,19.9318859,50.0428707
Klub Kultury Mydlniki,community_centre,,,19.8459765,50.08414
"Centrum Kultury ""Rotunda""",arts_centre,,,19.9212336,50.0603635
Kotowate,,,attraction,19.8506315,50.052584
Salwatorskie Studio Artystyczne,arts_centre,,,19.9142588,50.0553958
,,,,19.9330136,50.0588451
Agrafka,cinema,,,19.9375014,50.0673661
Stowarzyszenie Apostołów Bożego Miłosierdzia „Faustinum”,arts_centre,,,19.9373135,50.0216018
,,,,19.9578397,50.0428443
Single Scena Music Bar,nightclub,,,19.9406024,50.0634966
,,,,19.9364717,50.0615139
Studzienka Badylaka,,,attraction,19.9369161,50.0623975
,,,,19.9377221,50.0608429
,,,,19.9396,50.0615893
,,,,19.938842,50.0616615
,,,,19.93721,50.061189
Pure,,sports_centre,,19.951091,50.0262218
,,,,19.936504,50.061865
,,,,19.9364802,50.0618731
,,,,19.9365179,50.0618818
,,,,19.9364941,50.0618899
Piotr Skrzynecki,,,attraction,19.9357975,50.0617718
,,,,19.9449792,50.0496145
,,,,19.9445178,50.04967
,,,,19.9447794,50.0499143
Kolejka przetokowa wozów kopalnianych,,,attraction,19.9191646,50.0669307
Manufaktura Zdrowia,,sports_centre,,19.8281014,50.1047514
Bloki skalne po trzęsieniu ziemi 1786 rok.,,,attraction,19.8010304,50.0187225
Teatr Scena STU,theatre,,,19.9264434,50.0564127
Klub Dziekanat,nightclub,,,19.9392223,50.0711481
Lapidarium,,,attraction,19.9293148,50.0616567
Czerwonoprądnicki Dom Kultury,arts_centre,,,19.9679483,50.0879528
Droga z macew (pozostałość scenografii do filmu „Lista Schindlera”),,,attraction,19.9565707,50.0367512
Fitness & Wellness Azik,,sports_centre,,19.9606118,50.0078102
Punkt przecięcia 50°N/20°E,,,attraction,19.999997,50.0000071
Strzelnica Pasternik,,sports_centre,,19.8658025,50.1046345
Klub Kuźnia,community_centre,,,20.00177,50.0967933
,,,,19.9925157,50.0677523
,,,,19.9339887,50.0369088
Wellness Club Park Wodny,,sports_centre,,19.982912,50.0890494
,,,,19.935294,50.0550372
,,,,19.9413698,50.0649001
My Fitness Place,,sports_centre,,20.0565749,50.0912714
,,,,19.9061783,50.0577791
,,,,19.9058521,50.0579944
,,,,19.88684,50.0029462
,,,,19.9321362,50.0481036
,,,,19.93208,50.0477062
,,,,19.9078701,50.046475
,,,,19.9691684,50.1052188
,,,,19.942747,50.0641728
,,,,19.9425847,50.063969
,,,,19.9574105,50.0606173
,,,,19.9145895,50.0654824
Józef,,,attraction,19.93441,50.0079852
,,,,19.9352998,50.0391054
Mury Getta żydowskiego,,,attraction,19.9575477,50.0446208
EM-10 Bielik,,,attraction,19.993668,50.0771414
SAAB J35J Draken,,,attraction,19.9921426,50.0775445
WSK TS-11 Iskra,,,attraction,19.9934815,50.0775615
SAAB AJSF 37 Viggen,,,attraction,19.9921912,50.0776259
WSK Lim-1,,,attraction,19.9933799,50.0776466
Canadair CF-104 Starfighter,,,attraction,19.9921011,50.0774743
Ilyushin Il-14S,,,attraction,19.991617,50.077725
Lisunow Li-2,,,attraction,19.9922683,50.0768703
Republic F-84F Thunderstreak,,,attraction,19.9910201,50.0778074
Hawker Siddeley Harrier GR3,,,attraction,19.9914235,50.0778263
WSK Lim-2,,,attraction,19.9933759,50.0778799
LTV A-7P Corsair II,,,attraction,19.9911561,50.077916
Ilyushin Il-28R,,,attraction,19.9919935,50.0779476
WSK SBLim-2,,,attraction,19.9933507,50.0779862
Ilyushin SIl-28,,,attraction,19.991706,50.0780122
WSK SBLim-2A,,,attraction,19.9933418,50.0780912
Jakowlew Jak-40,,,attraction,19.9914243,50.0781465
Mikojan MiG-15UTI,,,attraction,19.9933297,50.0781843
,,,attraction,19.9931347,50.0781495
WSK Lim-5R,,,attraction,19.9933134,50.0782793
WSK Lim-6Bis,,,attraction,19.9932957,50.0783763
,,,attraction,19.9931459,50.0783858
WSK Lim-6MR,,,attraction,19.9932793,50.0784816
Mikojan MiG-29GT,,,attraction,19.9909807,50.0785481
WSK Lim-6M,,,attraction,19.9932744,50.0785959
Sukhoj Su-22UM3K,,,attraction,19.9916792,50.0786504
Sukhoi Su-22M-4,,,attraction,19.9909775,50.0786533
Mikojan MiG-23MF,,,attraction,19.9912047,50.0786597
Mikojan MiG-19PM,,,attraction,19.9932557,50.0786756
Sukhoj Su-22M-4,,,attraction,19.991878,50.0786796
,,,attraction,19.9903426,50.0786636
Mikojan MiG-21bis,,,attraction,19.9922998,50.0787241
WSK Mi-2R,,,attraction,19.9906821,50.0787231
Mikojan MiG-21M,,,attraction,19.9924991,50.0787312
WSK Mi-2T Wiarus,,,attraction,19.9903035,50.0787309
,,,attraction,19.9926582,50.078733
,,,attraction,19.992818,50.0787353
Sukhoj Su-20,,,attraction,19.9912524,50.0787461
,,,attraction,19.9902844,50.078764
Sukhoj Su-7UM,,,attraction,19.9914469,50.0787765
Sukhoj Su-7BKŁ,,,attraction,19.9916689,50.0787805
Sukhoj Su-7BM,,,attraction,19.9918798,50.0787894
Mikojan MiG-21US,,,attraction,19.9920145,50.0788196
PZL-101 Gawron,,,attraction,19.9906081,50.0788272
,,,attraction,19.9902509,50.0788343
Mikojan MiG-21U,,,attraction,19.9921696,50.0788269
Mikojan MiG-21MF,,,attraction,19.9923425,50.0788312
Mikojan MiG-21R,,,attraction,19.9925156,50.0788391
Mikojan MiG-21PFM,,,attraction,19.9926855,50.0788536
Mikojan MiG-21PF,,,attraction,19.992863,50.0788614
Mikojan MiG-21F-13,,,attraction,19.9930368,50.0788701
Antonov An-26,,,attraction,19.9899427,50.0790578
PZL-106AR Kruk,,,attraction,19.9904161,50.079091
WSK PZL An-2R,,,attraction,19.9903468,50.0792724
PZL M-15 Belphegor,,,attraction,19.9902828,50.0794574
Mil Mi-8PS,,,attraction,19.9904302,50.0768761
Klub30,nightclub,,,19.9267671,50.0551016
,,,,19.9307378,50.0478989
Sala audytoryjna,theatre,,,19.9315055,50.0478081
Sala kameralna,theatre,,,19.9309257,50.0477467
Sala teatralna,theatre,,,19.9312514,50.0481177
Squash4You Północ,,sports_centre,,19.9574911,50.0898374
Scena pod Ratuszem,theatre,,,19.9363219,50.0614753
"Skała ""Krzywy Sąd""",,,attraction,19.7506141,50.0892974
Jak-23,,,attraction,19.8197711,50.0433677
Kawerna Pychowice III,,,,19.8814032,50.0327983
Kawerna Pychowice II,,,,19.881594,50.0325714
,,,,19.9726393,50.0939999
,,,,19.9860957,50.0029628
,,,,19.9841187,50.0040645
,,,,19.9760941,50.0767742
,,,,19.9570395,50.0887499
,,,,19.9573835,50.0888948
Lustrzany Labirynt,,,attraction,19.9380154,50.0596033
Klub Bilardowy PiK,,sports_centre,,19.9456456,50.0514472
