name,power,man_made,longitude,latitude
,,wastewater_plant,14.563545,53.4143812
,,,14.5163732,53.4060881
,,,14.503983,53.4321712
,,,14.5039756,53.4320988
,,,14.504067,53.4320955
,,,14.5040744,53.4321678
,,,14.5062695,53.4323645
,,,14.5061881,53.4324147
,,,14.5062728,53.4324134
,,,14.5061861,53.432366
,,,14.5135643,53.4315121
,,,14.5137292,53.4315596
,,,14.5136483,53.4314826
,,,14.5136458,53.4315918
,,,14.5089733,53.4251311
,,,14.5089104,53.4251327
,,,14.5089136,53.4251785
,,,14.5089765,53.425177
,,,14.5199701,53.432003
,,,14.5198961,53.4319739
,,,14.5198264,53.4320378
,,,14.5199035,53.4320667
,,,14.5401394,53.4303693
,,,14.5402175,53.430358
,,,14.540149,53.4303958
,,,14.5402292,53.4303846
,,,14.5399425,53.4155625
,,,14.5399653,53.4155909
,,,14.5399145,53.4155701
,,,14.5399373,53.4155985
,,,14.5629108,53.4530121
,,,14.5512013,53.4540234
,,,14.562977,53.4480285
,,,14.5513287,53.4540209
,,,14.5629906,53.4480797
,,,14.5628095,53.4529755
,,,14.5629088,53.4480874
,,,14.5576149,53.4531267
,,,14.5513319,53.4540739
,,,14.5628926,53.4529643
,,,14.5575091,53.4531925
,,,14.5576312,53.4531767
,,,14.5512053,53.4540778
,,,14.5628276,53.4530233
,,,14.5628952,53.4480362
,,,14.5574919,53.4531418
,,,14.5660512,53.4616872
,,,14.5762979,53.4639989
,,,14.56599,53.4617159
,,,14.5659399,53.4616782
,,,14.5764464,53.463972
,,,14.5659994,53.4616491
,,,14.5764732,53.4640227
,,,14.5763245,53.4640502
,,,14.5837252,53.4563813
,,,14.587063,53.456021
,,,14.5805651,53.4570678
,,,14.5837604,53.4564285
,,,14.5804525,53.4570041
,,,14.5837021,53.4564443
,,,14.5890002,53.4581744
,,,14.585703,53.451569
,,,14.5804921,53.4569797
,,,14.5836666,53.4563977
,,,14.5871467,53.4560055
,,,14.5889932,53.4581438
,,,14.5854935,53.4514971
,,,14.5847867,53.4534951
,,,14.5806792,53.4569973
,,,14.5847821,53.4535573
,,,14.5890219,53.4581622
,,,14.5856356,53.4514644
,,,14.5848145,53.4535514
,,,14.5870362,53.4559692
,,,14.5871201,53.4559536
,,,14.5889714,53.4581563
,,,14.5855605,53.4516021
,,,14.584754,53.4535011
