name,railway,longitude,latitude
Wrocław Główny,station,17.0379512,51.097916
Wrocław Sołtysowice,station,17.0835373,51.1425485
Wrocław Leśnica,station,16.8673226,51.1419203
Smolec,halt,16.8819566,51.0715937
Wrocław Świniary,halt,16.9697587,51.1980793
Wrocław Popowice,halt,17.001416,51.1273621
Wrocław Osobowice,station,16.9966038,51.1670923
Wrocław Mikołajów,halt,16.998395,51.1162965
Wrocław Pawłowice,halt,17.1083776,51.1687803
Wrocław Żerniki,halt,16.9163642,51.1261582
Wrocław Nowy Dwór,halt,16.9551819,51.1196824
Wrocław Muchobór,halt,16.9748716,51.1110689
Wrocław Grabiszyn,halt,16.9742551,51.0966298
Wrocław Nadodrze,station,17.0329905,51.1256579
Wrocław Brochów,halt,17.0846294,51.0642772
Wrocław Psie Pole,station,17.1185445,51.150452
Wrocław Pracze,station,16.9031293,51.1700195
Wrocław Kuźniki,station,16.9522088,51.1280409
Wrocław Stadion,halt,16.9406255,51.1370304
Wrocław Różanka,halt,17.00371,51.1379872
Ramiszów,halt,17.0983438,51.1931981
Wrocław Zakrzów,halt,17.1221927,51.1587445
Wrocław Zachodni,station,16.949504,51.0899487
Wrocław Swojczyce,station,17.1213443,51.1158639
Wrocław Kowale,halt,17.1001696,51.134977
Mokronos Górny,halt,16.9087418,51.0788759
Wrocław Popiele,halt,17.1142732,51.1224546
Wrocław Szczepin,halt,17.0142423,51.1229484
Iwiny,halt,17.068808,51.0546671
Wrocław Wojszyce,halt,17.0321678,51.069076
Wrocław Partynice,halt,16.9976665,51.0611197
Wrocław Strachocin,halt,17.1457051,51.1098233
