name,railway,longitude,latitude
Sopot,station,18.5623213,54.4400543
Gdańsk Stocznia,halt,18.6417851,54.3646358
Pępowo Kartuskie,halt,18.4014002,54.3666953
Gdańsk Politechnika,halt,18.6274077,54.3741905
Rębiechowo,halt,18.4216153,54.3887311
Gdańsk Stadion Expo,halt,18.6331559,54.387496
Gdańsk Lipce,halt,18.6358986,54.3015204
Gdańsk Orunia,halt,18.6344756,54.324252
Gdańsk Żabianka - AWFiS,halt,18.5684877,54.4207672
Sopot Wyścigi,halt,18.5652352,54.4312893
Gdańsk Zaspa,halt,18.591526,54.3897726
Gdańsk Brętowo,halt,18.5735495,54.3651261
Gdańsk Kiełpinek,halt,18.5284794,54.3553796
Gdańsk Matarnia,halt,18.506331,54.3735398
Gdańsk Niedźwiednik,halt,18.5720594,54.3781238
Gdańsk Jasień,halt,18.5500839,54.3536518
Gdańsk Śródmieście,halt,18.6443526,54.3468793
Gdańsk Główny,station,18.6441946,54.3564345
Gdańsk Wrzeszcz,station,18.6055111,54.3817696
Gdańsk Oliwa,halt,18.5718547,54.4098972
Gdańsk Port Lotniczy,halt,18.4663071,54.3827919
Gdańsk Przymorze - Uniwersytet,halt,18.5766182,54.4007278
Gdańsk Osowa,station,18.4526329,54.4222198
Gdańsk Rębiechowo,station,18.4463312,54.3874918
Gdańsk Strzyża,halt,18.5788423,54.3917637
Gdańsk Firoga,station,18.4870051,54.3782911
