name,amenity,leisure,tourism,longitude,latitude
Giszowiec,,,attraction,19.0677859,50.2218038
Park Linowy Silesia,,sports_centre,,18.9983118,50.2773781
,,,,18.9844225,50.2798922
Piwnice Gorywodów,nightclub,,,18.9231032,50.3476049
Museum Music Republic,nightclub,,,18.9256365,50.3491996
Cinema City Silesia,cinema,,,19.0019739,50.2705946
,,,,18.9911026,50.2807258
Wieża spadochronowa,,,attraction,19.0077116,50.2462704
Teatr Rozrywki,theatre,,,18.9561094,50.2960271
Teatr Bez Sceny,theatre,,,19.0189535,50.2598449
Światowid,cinema,,,19.0198249,50.2598477
Pomnik górników KWK Wujek,,,attraction,18.9896859,50.2439107
4 Rano,nightclub,,,18.9156409,50.3492169
Giszowieckie Centrum Kultury,arts_centre,,,19.0628389,50.2246402
Młodzieżowy Dom Kultury w Katowicach,community_centre,,,18.9813458,50.2753298
Klub Muzyczny Faust,nightclub,,,18.9926076,50.2721131
Stadion Śląski,,,attraction,18.9746461,50.2897821
Wesołe Miasteczko,,,attraction,18.9965392,50.275662
Szyb Prezydent,,,attraction,18.967025,50.297966
GKS Urania Ruda Śląska,,stadium,,18.9024534,50.2599615
,,,,18.9293115,50.3374521
,,,,18.9285648,50.3376421
,,,,18.9326105,50.3290841
,,,,18.9966123,50.2702714
Cinema City,cinema,,,18.9198523,50.3475425
Szyb Jerzy,,,attraction,19.0049249,50.2694129
,,,,19.0132208,50.2871036
Ośrodek Jeździecki,,sports_centre,,18.9050149,50.2610857
ZOO,,,,18.9972597,50.2797499
,,,,18.9978056,50.2801007
,,,,18.9794275,50.2736163
,,,,18.9794101,50.2740728
Hasta la Vista,nightclub,,,19.0127539,50.2604814
Energy 2000 Katowice,nightclub,,,19.020874,50.2558946
,,,,18.9184516,50.2999166
,,,,18.9189433,50.3021356
Kręgielnia Galaktyka,,sports_centre,,19.0100923,50.2631855
Klub Bilardowy B8,,sports_centre,,19.0101524,50.2631928
Klub Garage,nightclub,,,19.0101427,50.263163
Teatr Własny,theatre,,,18.9594218,50.2885111
