name,highway,longitude,latitude
Ochojec Wapienna,bus_stop,18.9896572,50.2210272
Ochojec Sadowa,bus_stop,18.9899278,50.2161415
Ochojec Ziołowa,bus_stop,18.9887092,50.2131734
Piotrowice Skrzyżowanie,bus_stop,18.9740975,50.2092333
Piotrowice Dworzec PKP,bus_stop,18.9717151,50.2158699
Giszowiec Karolinki,bus_stop,19.0566072,50.2267089
Siemianowice Kolonia Wojewódzka [nż],bus_stop,19.0484733,50.2928771
Zawodzie Waleriana,bus_stop,19.0473396,50.2596028
Osiedle Kukuczki Podhalańska,bus_stop,19.0489339,50.2718764
Muchowiec Park,bus_stop,19.0261771,50.2347552
Dąbrówka Mała Centrum Handlowe,bus_stop,19.057076,50.2679228
Giszowiec Kościół,bus_stop,19.063466,50.2241659
Giszowiec Kolista Pętla,bus_stop,19.059942,50.2286518
Zawodzie Ośrodek Sportowy,bus_stop,19.0559892,50.2593059
Zawodzie Centrum Przesiadkowe,bus_stop,19.0643205,50.2596847
Giszowiec Mysłowicka,bus_stop,19.068644,50.2265593
Giszowiec Mysłowicka,bus_stop,19.0698846,50.2260424
Giszowiec Szyb Roździeński,bus_stop,19.0757153,50.2221156
Giszowiec Przyjemna,bus_stop,19.0715464,50.2195449
Giszowiec Radosna,bus_stop,19.0669877,50.2233377
Nikiszowiec Szyb Wilson,bus_stop,19.08192,50.2499648
Kolonia Wysockiego Kulika,bus_stop,19.0734412,50.2361655
Kolonia Wysockiego Woźniaków,bus_stop,19.0699907,50.2341666
Giszowiec Przyjazna,bus_stop,19.0702916,50.2220111
Giszowiec Przyjazna,bus_stop,19.0703915,50.2215808
Janów Zamkowa,bus_stop,19.0889435,50.2422193
Nikiszowiec Kościół,bus_stop,19.0818416,50.2435778
Giszowiec Kopalnia Staszic,bus_stop,19.0489915,50.2245318
Janów Lwowska Szkoła,bus_stop,19.0894981,50.2477785
Bytom Krakowska,bus_stop,18.9284175,50.3454367
Zawodzie Waleriana,bus_stop,19.0474842,50.2597664
Zawodzie Bohaterów Monte Cassino,bus_stop,19.0532187,50.259902
Murcki Osiedle,bus_stop,19.0430359,50.2037677
Murcki Dolina Murckowska,bus_stop,19.0522003,50.1999856
Murcki Szyb Stanisław,bus_stop,19.0419426,50.2064917
Janów Zamkowa Skwer,bus_stop,19.0852477,50.2439367
Muchowiec 73 Pułku Piechoty n/ż,bus_stop,19.0276742,50.2270433
Ochojec Szpital,bus_stop,18.9993349,50.2120241
Piotrowice Osiedle,bus_stop,18.9825822,50.21044
Piotrowice Fabryka Maszyn,bus_stop,18.9730835,50.2128278
Ligota Poleska,bus_stop,18.9696542,50.2230235
Ligota Szpital,bus_stop,18.9577859,50.2247483
Ligota Akademiki,bus_stop,18.9585562,50.218075
Janów Lwowska Szkoła,bus_stop,19.0898392,50.247866
Ligota Bronisławy,bus_stop,18.9596442,50.22103
Katowice Mariacka,bus_stop,19.0281369,50.257109
Giszowiec Przyjemna,bus_stop,19.0727939,50.2193781
Osiedle Paderewskiego Trzy Stawy,bus_stop,19.0361425,50.243434
Dąbrówka Wielka Przyjaźni [nż],bus_stop,18.9923897,50.3465529
Brzeziny Śląskie EkoPark,bus_stop,18.967493,50.3457573
Brzeziny Śląskie Skrzyżowanie,bus_stop,18.9797799,50.3456516
