name,amenity,longitude,latitude
,,22.5708712,51.2542674
Kępa Auto Szkoła,school,22.6002948,51.2494514
Best,school,22.5140069,51.2221137
XIX Liceum Ogólnokształcące im. M. i J. Kuncewiczów,school,22.5341198,51.2339306
,,22.53624,51.2491282
,,22.5370136,51.2494989
,,22.5374345,51.2494308
,,22.5180679,51.2375963
,,22.5635772,51.2466615
,,22.5461524,51.2699875
,,22.6335569,51.2203015
,,22.6338555,51.220342
XVIII Liceum Ogólnokształcące im. Stanisławy Filipiny Paleolog,school,22.5865656,51.2434002
,,22.5870752,51.2434979
,,22.5706299,51.2421174
XXIV Liceum Ogólnokształcące,school,22.5529388,51.267677
Technikum Gastronomiczno-Hotelarskie,school,22.5534237,51.2677282
,,22.5403977,51.2606478
,,22.5483685,51.2704982
,,22.5519005,51.2725992
,,22.5514086,51.2733262
,,22.4939758,51.2306475
,,22.4966661,51.2395476
,,22.5099722,51.2458762
,,22.5070911,51.2458654
,,22.5072395,51.2465664
,,22.5489772,51.272633
Międzynarodowe Liceum Ogólnokształcące Paderewski w Lublinie,school,22.5548675,51.2692549
,,22.5462043,51.2666153
,,22.540943,51.2608578
,,22.5496384,51.2581928
,,22.5511537,51.2590449
,,22.5495982,51.2591364
,,22.5731233,51.2539421
Lubelskie Centrum Kształcenia Zawodowego i Ustawicznego,school,22.5783303,51.2647964
,,22.5788849,51.2643254
,,22.5778536,51.2645577
,,22.5769615,51.255379
,,22.5755633,51.2559274
,,22.5797431,51.2551975
,,22.5920924,51.252733
,,22.5902961,51.2529668
,,22.570662,51.2482934
,,22.5605576,51.2497358
,,22.5425556,51.2505789
,,22.5407212,51.2508748
,,22.5420718,51.2510386
,,22.5414967,51.251245
,,22.6364158,51.2394571
,,22.5828359,51.2184303
,,22.5785794,51.2641614
,,22.5903797,51.2285972
,,22.580037,51.2546088
XX Liceum Ogólnokształcące,school,22.5884553,51.2602105
XII Liceum Ogólnokształcące,school,22.5398511,51.2495808
XI Liceum Ogólnokształcące,school,22.5414524,51.2493306
,,22.6007657,51.2311973
,,22.5999854,51.2301176
,,22.5997051,51.2298024
,,22.5326862,51.246678
,,22.532788,51.246928
,,22.5106701,51.2711118
,,22.5176289,51.2374376
,,22.5755675,51.2560645
,,22.5327959,51.2469481
,,22.5685421,51.2614929
,,22.5695271,51.2619927
Społeczne Szkoły im. Hansa Ch. Andersena,school,22.5873113,51.2437815
,,22.5188599,51.2231391
,,22.5590929,51.2441339
,,22.5584588,51.2439227
,,22.5314584,51.253111
,,22.5079215,51.2703714
,,22.5076372,51.2703544
BEST Centrum Językowe,school,22.5354124,51.253276
,,22.5508469,51.2580393
,,22.553381,51.2421018
,,22.5192866,51.223332
,,22.5319018,51.2530409
,,22.5774883,51.2633456
,,22.5070077,51.2454609
,,22.5444657,51.2085472
,,22.5944198,51.2279708
,,22.5943855,51.2279335
,,22.5941464,51.2276737
,,22.5941095,51.2276335
W Hołdzie Bolesławowi Rybczyńskiemu,,22.5781616,51.2167797
,,22.5139704,51.2440103
Leonardo School Lublin,school,22.5406114,51.1964763
,,22.4747961,51.2339905
,,22.4789795,51.2248657
Collegium Gostynianum Zespół Szkół Prywatnych im. bł. ks. Kazimierza Gostyńskiego,school,22.5866318,51.2321714
,,22.5956633,51.2064847
,,22.5736067,51.2549991
,,22.5731028,51.2539697
