name,amenity,longitude,latitude
Szkoła Podstawowa Nr 28 im. Synów Pułku Ziemi Lubelskiej,school,22.5313763,51.2286719
Szkoła Podstawowa,school,22.4788922,51.2133081
Szkoła Podstawowa nr 22 im. Bolesława Prusa,school,22.5334332,51.2344394
Szkoła Podstawowa Nr 11 im. Stanisławy Filipiny Paleolog,school,22.5863542,51.2431673
Szkoła Podstawowa nr 44 w Lublinie,school,22.5880583,51.2599738
Publiczna Szkoła Podstawowa im. św. Wincentego Pallotiego,school,22.5231864,51.2538272
Szkoła Podstawowa nr 7 im. ks. Jana Twardowskiego,school,22.5532411,51.2378118
Międzynarodowa Szkoła Podstawowa Paderewski w Lublinie,school,22.555006,51.2696726
Szkoła Podstawowa Specjalna nr 54,school,22.5687307,51.2617845
Dwujęzyczna Szkoła Podstawowa Europejczyk w Szerokiem,school,22.4681262,51.2548442
"Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi ""Bajkowa Akademia"" w Lublinie",school,22.5735743,51.2673527
Katolicka Szkoła Podstawowa im. Świętej Jadwigi Królowej W Lublinie,school,22.54464,51.26764
Szkoła Podstawowa nr 45 w Lublinie,school,22.549731,51.2586851
Szkoła Podstawowa nr 21 im. Królowej Jadwigi w Lublinie,school,22.531437,51.2533676
Prywatna Szkoła Podstawowa,school,22.5415216,51.2506508
Szkoła Podstawowa Specjalna nr 41,school,22.5608679,51.2595359
Społeczna Terapeutyczna Szkoła Podstawowa,school,22.5875883,51.243931
Niepubliczna Szkoła Podstawowa i Niepubliczne Przedszkole Dzieci Montessori,school,22.5129144,51.2434353
Szkoła Podstawowa im. Bolesława Chrobrego w Lublinie,school,22.4959116,51.2399146
Niepubliczna Szkoła Podstawowa Montessori w Lublinie,school,22.5393684,51.2214076
Katolicka Szkoła Podstawowa,school,22.5864521,51.2321925
Niepubliczna Szkoła Podstawowa Domowa Szkoła,school,22.5142501,51.2303025
Niepubliczna Szkoła Podstawowa Świętego Jana Bosko w Lublinie,school,22.5461647,51.2240066
Szkoła Podstawowa Specjalna nr 56 w Lublinie,school,22.5588993,51.2027277
"Rodzinna Szkoła Podstawowa ""Leon"" w Lublinie",school,22.54516,51.19927
Szkoła Podstawowa nr 3 im. Juliusza Słowackiego,school,22.517842013172988,51.245367337340845
Społeczna Szkoła Podstawowa im. Sebastiana Fabiana Klonowica w Lublinie,school,22.508162940005096,51.260694469843905
Szkoła Podstawowa nr 27 im. Marii Montessori w Lublinie,school,22.598079164563064,51.2468993855052
Szkoła podstawowa Nr 27 im Marii Montessori w Lublinie,school,22.59601043255062,51.244584031089865
Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza,school,22.5184011434305,51.237158716469956
Szkoła Podstawowa nr 31 im. Lotników Polskich,school,22.587712443084417,51.235706849322085
Szkoła Podstawowa nr 1 im. Ks. Stanisława Konarskiego,school,22.57732139615031,51.22264989831289
Szkoła Podstawowa im. ks. Jana Twardowskiego,school,22.461334176256376,51.183552708690584
Szkoła Podstawowa nr 52 im. Marii Konopnickiej w Lublinie,school,22.634587350927468,51.21943278145377
Szkoła Podstawowa nr 16 im. Fryderyka Chopina w Lublinie,school,22.546912825156674,51.27080477323413
Szkoła Podstawowa nr 5 im. Króla Władysława Łokietka w Lublinie,school,22.546818792686157,51.26583812518852
Szkoła Podstawowa nr 34 im. Kornela Makuszyńskiego,school,22.5415023819644,51.260448411391415
Szkoła Podstawowa nr 43 im. Ignacego Jana Paderewskiego,school,22.550468957751278,51.27238448933432
Szkoła Podstawowa nr 50 im. Stefana Kardynała Wyszyńskiego,school,22.49381802136503,51.230096879208595
Szkoła Podstawowa nr 55 dla Dzieci Niesłyszących i Słabo Słyszących,school,22.60346152806648,51.228647192755574
Szkoła Podstawowa Specjalna nr 26,school,22.543774700830884,51.260446800042665
Szkoła Podstawowa nr 24 im. Partyzantów Lubelszczyzny,school,22.560991680542028,51.24971187944856
Szkoła Podstawowa Nr 33 im. 27 Wołyńskiej Dywizji Piechoty Armii Krajowej,school,22.597622549990348,51.23193198653291
Szkoła Podstawowa Specjalna nr 26 im. Janusza Korczaka w Lublinie,school,22.580289783720144,51.24082406216307
Szkoła Podstawowa nr 47 im. Józefa Ignacego Kraszewskiego w Lublinie,school,22.599858937821047,51.18928855428378
Szkoła Podstawowa nr 29 im. Adama Mickiewicza,school,22.52335213015281,51.24349864472088
Szkoła Podstawowa nr 23 im. Olimpijczyków Polskich w Lublinie,school,22.576580120795494,51.25582023181858
Szkoła podstawowa nr 2 im. Jana Kochanowskiego,school,22.5824313113926,51.21784595269499
Szkoła Podstawowa nr 40 im. Lubelskiego Lipca 1980,school,22.56977454204452,51.21289945541865
Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi Skala,school,22.56010288210546,51.202385710395504
Szkoła Podstawowa nr 4. im. Adama Mickiewicza w Lublinie,school,22.578370657695288,51.263582417628164
Szkoła Podstawowa nr 32 z Oddziałami Integracyjnymi im. Pamięci Majdanka w Lubline,school,22.59125638254414,51.228217567115706
Szkoła Podstawowa nr 18 im. Macieja Rataja,school,22.54211225005334,51.250696560203174
Prywatna Szkoła Podstawowa i Liceum im. Królowej Jadwigi,school,22.541498551119425,51.250814747665096
Szkoła Podstawowa nr 10 im. Henryka Sienkiewicza,school,22.591199988383973,51.252854461088496
Szkoła Podstawowa nr 42 im. Konstantego Ildefonsa Gałczyńskiego,school,22.508080032616625,51.234073667575394
Szkoła Podstawowa Nr 6 im. Romualda Traugutta,school,22.531923661761937,51.24707435611795
Szkoła Podstawowa nr 14 im. Tadeusza Kościuszki,school,22.508009371077733,51.27139399683898
Szkoła Podstawowa nr 46 im. Króla Jana III Sobieskiego,school,22.506720746683886,51.22958715445652
Szkoła Podstawowa Specjalna nr 53 w Lublinie,school,22.59643030565311,51.20586717143869
"Niepubliczna Szkoła Podstawowa ""Skrzydła""",school,22.51415273242425,51.23006330100035
Szkoła Podstawowa nr 20 im. Jarosława Dąbrowskiego w Lublinie,school,22.567834405734647,51.23574127939236
Szkoła Podstawowa nr 48 im. Józefa Piłsudskiego w Lublinie,school,22.631450163408434,51.261822567643314
Szkoła Podstawowa nr 51 im. Jana Pawła II w Lublinie,school,22.519091475172395,51.22390174979981
Szkoła Podstawowa nr 3 im. Juliusza Słowackiego,school,22.517957318388966,51.24492261801879
Szkoła Podstawowa Specjalna Nr 56,school,22.591763277822277,51.22877981129914
Szkoła Podstawowa nr 57 im. Jana Kochanowskiego,school,22.514469606794652,51.24224650332782
Niepubliczna Szkoła Podstawowa SKRZYDŁA,school,22.51415258488135,51.230093374435654
Szkoła Podstawowa nr 30 im. Kazimierza Wielkiego,school,22.545223662955543,51.209063283691535
Szkoła podstawowa nr 15 im. Jana Pawła II,school,22.586530325417872,51.22992627698637
Niepubliczna Szkoła Podstawowa im. Alberta Einsteina w Lublinie,school,22.474532972297897,51.234474751138066
Szkoła Podstawowa nr 58,school,22.491983235728256,51.2218924608255
Szkoła Podstawowa Sióstr Urszulanek UR w Lublinie,school,22.562379665895385,51.245438109828406
Szkoła Podstawowa nr 25 im. Władysława Broniewskiego,school,22.569531044030573,51.25758661693713
Szkoła Podstawowa nr 19 im. Józefa Czechowicza,school,22.57148356175435,51.254349828845804
Szkoła Podstawowa nr 3 im. Juliusza Słowackiego,school,22.517862284449883,51.24536865309252
Społeczna Szkoła Podstawowa im. Sebastiana Fabiana Klonowica w Lublinie,school,22.508162519177027,51.26069425139533
Szkoła Podstawowa nr 27 im. Marii Montessori w Lublinie,school,22.59804680414189,51.24687478999952
Szkoła podstawowa Nr 27 im Marii Montessori w Lublinie,school,22.595999480369276,51.24458690901247
Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza,school,22.51839883954721,51.237157045351005
Szkoła Podstawowa nr 31 im. Lotników Polskich,school,22.58771250949131,51.2357068792802
Szkoła Podstawowa nr 1 im. Ks. Stanisława Konarskiego,school,22.577315069467712,51.2226526325479
Szkoła Podstawowa im. ks. Jana Twardowskiego,school,22.46133156303867,51.18355477772028
Szkoła Podstawowa nr 52 im. Marii Konopnickiej w Lublinie,school,22.634588457570967,51.21943182888764
Szkoła Podstawowa nr 16 im. Fryderyka Chopina w Lublinie,school,22.54692398236681,51.270820889304474
Szkoła Podstawowa nr 5 im. Króla Władysława Łokietka w Lublinie,school,22.546848199478177,51.2658829613058
Szkoła Podstawowa nr 34 im. Kornela Makuszyńskiego,school,22.5415446989256,51.26044202312004
Szkoła Podstawowa nr 43 im. Ignacego Jana Paderewskiego,school,22.550412667773575,51.27235371414988
Szkoła Podstawowa nr 50 im. Stefana Kardynała Wyszyńskiego,school,22.493789443850844,51.23009317427742
Szkoła Podstawowa nr 55 dla Dzieci Niesłyszących i Słabo Słyszących,school,22.6034839453297,51.228617018060646
Szkoła Podstawowa Specjalna nr 26,school,22.543768483112444,51.26043569620956
Szkoła Podstawowa nr 24 im. Partyzantów Lubelszczyzny,school,22.56099487886062,51.24970128498941
Szkoła Podstawowa Nr 33 im. 27 Wołyńskiej Dywizji Piechoty Armii Krajowej,school,22.59762031825733,51.23192975706239
Szkoła Podstawowa Specjalna nr 26 im. Janusza Korczaka w Lublinie,school,22.580259842678593,51.24083506447798
Szkoła Podstawowa nr 47 im. Józefa Ignacego Kraszewskiego w Lublinie,school,22.599843048998263,51.189282633513834
Szkoła Podstawowa nr 29 im. Adama Mickiewicza,school,22.523403438030996,51.24348945215683
Szkoła Podstawowa nr 23 im. Olimpijczyków Polskich w Lublinie,school,22.576555638712918,51.25581311918316
Szkoła podstawowa nr 2 im. Jana Kochanowskiego,school,22.58241553433858,51.217832998355526
Szkoła Podstawowa nr 40 im. Lubelskiego Lipca 1980,school,22.569780096663703,51.212900190347234
Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi Skala,school,22.56008080526601,51.2024169646762
Szkoła Podstawowa nr 4. im. Adama Mickiewicza w Lublinie,school,22.578380378987564,51.263587601858056
Szkoła Podstawowa nr 32 z Oddziałami Integracyjnymi im. Pamięci Majdanka w Lubline,school,22.59125426546214,51.22821996405628
Szkoła Podstawowa nr 18 im. Macieja Rataja,school,22.542121704957548,51.250697873910646
Prywatna Szkoła Podstawowa i Liceum im. Królowej Jadwigi,school,22.54151557541298,51.25081404801133
Szkoła Podstawowa nr 10 im. Henryka Sienkiewicza,school,22.591182967968567,51.25286626422057
Szkoła Podstawowa nr 42 im. Konstantego Ildefonsa Gałczyńskiego,school,22.508064902230924,51.23407916971806
Szkoła Podstawowa Nr 6 im. Romualda Traugutta,school,22.531925054398712,51.24707490839648
Szkoła Podstawowa nr 14 im. Tadeusza Kościuszki,school,22.508012749020434,51.27141259571031
Szkoła Podstawowa nr 46 im. Króla Jana III Sobieskiego,school,22.506720759485148,51.22958714923641
Szkoła Podstawowa Specjalna nr 53 w Lublinie,school,22.59642774753818,51.20586441253507
"Niepubliczna Szkoła Podstawowa ""Skrzydła""",school,22.514152691025934,51.23006335797969
Szkoła Podstawowa nr 20 im. Jarosława Dąbrowskiego w Lublinie,school,22.56785615386738,51.23572965478183
Szkoła Podstawowa nr 48 im. Józefa Piłsudskiego w Lublinie,school,22.631448131802422,51.26182727001919
Szkoła Podstawowa nr 51 im. Jana Pawła II w Lublinie,school,22.519002140676506,51.22393465975716
Szkoła Podstawowa nr 3 im. Juliusza Słowackiego,school,22.51798543375028,51.24490439252864
Szkoła Podstawowa Specjalna Nr 56,school,22.591763822964495,51.22877920979219
Szkoła Podstawowa nr 57 im. Jana Kochanowskiego,school,22.514468076706116,51.24225118758143
Niepubliczna Szkoła Podstawowa SKRZYDŁA,school,22.514167385879887,51.23011069439009
Szkoła Podstawowa nr 30 im. Kazimierza Wielkiego,school,22.545224937337444,51.20906384327101
Szkoła podstawowa nr 15 im. Jana Pawła II,school,22.586518715721372,51.2299019670938
Niepubliczna Szkoła Podstawowa im. Alberta Einsteina w Lublinie,school,22.474553727269534,51.23447768882175
Szkoła Podstawowa nr 58,school,22.49200033744613,51.22187727200055
Szkoła Podstawowa nr 21 im. Królowej Jadwigi w Lublinie,school,22.531952279601946,51.253513692680585
Szkoła Podstawowa Sióstr Urszulanek UR w Lublinie,school,22.562396770877875,51.24539022869358
Szkoła Podstawowa nr 25 im. Władysława Broniewskiego,school,22.56949477896594,51.25758178408238
Szkoła Podstawowa nr 19 im. Józefa Czechowicza,school,22.571498777567847,51.2543533265623
