name,amenity,longitude,latitude
,,16.9244923,52.3992042
,,16.9022818,52.4141999
Medyczne Studium Zawodowe,school,16.8809224,52.414317
,,16.9489393,52.3755497
Wyższa Szkoła Języków Obcych,school,16.9221503,52.4067459
Studium Języków Obcych,school,16.9224327,52.4070858
,,16.9339765,52.3712314
"Centrum Języków Obcych ""Kontakt""",school,16.936225,52.404223
Publiczne Liceum Ogólnokształcące im. Romka Strzałkowskiego,school,16.9077872,52.4124315
,,16.8640558,52.3982918
,,17.019917,52.4078729
Internat Liceum Ogólnokształcącego Mistrzostwa Sportowego,school,16.9101552,52.3653846
,,16.9014678,52.3666251
,,16.9417005,52.3869242
,,16.9442903,52.3940523
,,16.8732996,52.4063088
XXI Liceum Ogólnokształcące im. gen. Władysława Andersa,school,16.9304026,52.4009219
Technikum Budowlane im. gen. Władysława Andersa,school,16.9302692,52.4007109
Technikum Mechaniczne dla dorosłych,school,16.8994831,52.3722882
Technikum Mechaniczne,school,16.898132,52.3723027
Zasadnicza Szkoła Zawodowa nr 29,school,16.8987601,52.3722955
XXIX Liceum Ogólnokształcące,school,16.8973913,52.3723353
Zespół Szkół Budowlano-Drzewnych im. Bolesława Chrobrego,school,16.8705461,52.3868001
XXVIII Liceum Ogólnokształcące,school,16.8707339,52.3868964
,,16.8674015,52.382596
Szkoła Policealna nr 1,school,16.866081,52.4010112
Technikum Ekonomiczno-Admnistracyjne nr 1,school,16.8666204,52.4008562
Technikum Gastronomiczne,school,16.868203,52.4018484
Branżowa Szkoła I st. nr 3,school,16.8684269,52.4021426
Branżowa Szkoła I st. nr 34,school,16.9458503,52.4251834
Technikum Łączności,school,16.9460364,52.425384
Szkoła Policealna nr 34,school,16.9462294,52.425592
,,16.9454356,52.425037
Szkoła Specjalna Przysposabiająca do Pracy nr 4,school,16.9270332,52.4235727
XVIII Liceum Ogólnokształcące,school,16.8811367,52.4077165
Technikum Geodezyjno-Drogowe,school,16.881832,52.4076241
Branżowa Szkoła I st. nr 18,school,16.8815051,52.4076675
Zasadnicza Szkoła Zawodowa nr 8,school,16.9282853,52.4279894
Technikum Środowiska,school,16.8808724,52.4333254
Ośrodek Szkolenia Zawodowego,school,16.9703561,52.3757377
,,16.9770733,52.3851793
,,16.8813004,52.4186577
,,16.9908572,52.4443887
,,16.9911265,52.4445583
,,16.9821676,52.4648239
,,16.954742,52.3923857
,,16.9861596,52.3907429
,,16.9553386,52.411889
,,16.966406,52.3802956
,,16.9668018,52.3806187
,,16.9399013,52.4018821
,,16.9384986,52.4013471
,,16.9389828,52.4015213
,,16.9396144,52.401775
,,17.0308275,52.387662
,,16.8835389,52.394942
,,16.9860724,52.3896228
,,16.9853112,52.4703265
,,16.9674069,52.3806815
,,16.9673717,52.3806912
,,16.9325485,52.4039394
,,16.9318971,52.4003275
,,16.9326467,52.4152322
,,16.9338865,52.4151179
,,16.9217353,52.4142697
,,16.9209489,52.4148408
,,16.9274017,52.4123982
,,16.9274592,52.4124748
,,16.922921,52.4135723
,,16.9279619,52.4128675
,,16.925769,52.4127628
,,16.9238439,52.4116304
,,16.9242597,52.4119938
,,16.9227503,52.4028118
,,16.9224706,52.4030309
,,16.9301835,52.40059
,,16.9306672,52.4007274
,,16.9308409,52.400868
,,16.9334792,52.401347
,,16.9345407,52.4013676
,,16.93986,52.4021308
,,16.9389715,52.4021451
,,16.9387841,52.4023254
,,16.9391468,52.4028547
,,16.9386643,52.4028849
,,16.9396773,52.4032783
,,16.9374632,52.4041345
,,16.9384127,52.404183
,,16.9387654,52.4103827
,,16.9387725,52.4104224
,,16.9387777,52.4104514
,,16.9534452,52.4114418
,,16.9540558,52.4115194
,,16.9134412,52.4244707
,,16.9137696,52.4249183
,,16.9135672,52.4258088
,,16.8688613,52.4029274
,,16.9779546,52.392946
,,16.9769479,52.3937429
,,16.9865284,52.3896407
,,16.9860371,52.389948
,,16.9869846,52.3899841
,,16.985421,52.3901766
,,16.9855588,52.3903883
,,16.8715383,52.402776
,,16.9721271,52.3900365
,,16.9783242,52.3841468
,,16.9786099,52.3845971
,,16.9590841,52.3793027
,,16.9584776,52.3798279
,,16.9590919,52.3792249
,,16.9565067,52.3792382
,,16.9614434,52.3908173
,,16.9541815,52.3920002
,,16.9534953,52.379572
,,16.9517399,52.379477
,,16.9512923,52.3793585
,,16.9504158,52.3837424
,,16.9509436,52.3832852
,,16.9513861,52.3837403
,,16.9515362,52.383778
,,16.9518757,52.3882807
,,16.95061,52.388109
,,16.9509958,52.3864955
,,16.9518533,52.3867635
,,16.9511431,52.3861837
,,16.9506206,52.3877189
,,16.9554437,52.3901228
,,16.9549608,52.3910385
,,16.95399,52.3913505
,,16.953684,52.3905921
,,16.9399852,52.3818079
,,16.9400545,52.3818176
,,16.9238379,52.4140713
,,16.9244092,52.4143942
,,16.9274098,52.4136679
,,16.9413696,52.3873958
,,16.9406139,52.3873059
,,16.9448153,52.3911013
,,16.9450824,52.3911187
,,16.9452721,52.3908268
,,16.9443851,52.3938143
,,16.94304,52.3931796
,,16.8944863,52.4176396
,,16.9007869,52.4120987
,,16.9330726,52.4042706
,,16.932846,52.4044307
II Liceum Ogólnokształcące Dla Dorosłych,school,16.900104,52.4034749
1349 International Baccalaureate School,school,16.9001347,52.4036087
II Liceum Ogólnokształcące im. generałowej Jadwigi Zamoyskiej i Heleny Modrzejewskiej,school,16.9001649,52.4038692
,,16.9331321,52.4253291
,,16.9345695,52.4254238
,,16.9356759,52.4247992
,,16.9352054,52.424846
Szkoła Specjalna Przysposabiająca do Pracy nr 2,school,16.9462792,52.4260517
Branżowa Szkoła Specjalna I st. nr 2,school,16.9464446,52.4262872
,,16.8877354,52.4511159
,,16.9413749,52.4314776
,,16.9108668,52.416341
,,16.9113322,52.415592
,,16.9099551,52.4158145
,,16.9017126,52.4132428
,,16.9289723,52.428734
,,16.9107428,52.4622079
,,16.9288086,52.4286016
,,16.9287561,52.4286949
,,16.9076033,52.4651684
,,16.9140495,52.4541501
,,16.8100215,52.3623304
,,16.8099777,52.3623106
Szkoła Specjalna Przysposabiająca do Pracy nr 5,school,16.8824875,52.4130116
Szkoła Policealna Specjalna,school,16.8826565,52.4132804
IV Liceum Ogólnokształcące Specjalne,school,16.8818413,52.413098
Branżowa szkoła Specjalna I st. nr 4,school,16.8818596,52.4132344
,,16.9225638,52.4305223
,,16.9225705,52.4305434
,,16.9233516,52.4307662
,,16.9234813,52.4303735
,,16.9411575,52.3824759
,,16.8656772,52.4008369
,,16.8702251,52.3912475
,,16.93958,52.410157
,,17.0071623,52.364655
,,17.0075331,52.3644662
,,17.0085169,52.3640362
Cosinus,school,16.9221267,52.4072455
,,16.8892932,52.3895686
,,16.8900981,52.3892617
,,16.8900889,52.3892858
,,16.8882213,52.3888707
,,16.8498834,52.4249765
Belward,school,16.9197281,52.3986503
,,16.8978327,52.3899066
,,16.8991618,52.3901239
,,16.8991164,52.3901585
,,16.897557,52.3893548
,,16.8721075,52.4023943
,,16.8717422,52.4018121
Max von Laue,,16.9326764,52.4045085
Hm. Florian Marciniak,,16.9327432,52.4044778
,,16.8969537,52.3931085
,,16.8969298,52.3930841
,,16.8964845,52.3926773
,,16.8969032,52.3930569
,,16.8958536,52.3928095
,,16.8960128,52.3936233
,,16.942924,52.4391652
,,16.814371,52.3848568
,,16.9100801,52.4210158
,,16.9438423,52.4399452
,,16.9362752,52.440748
,,16.9360542,52.4413482
,,16.9376174,52.4407887
,,16.9438741,52.4393112
,,16.942654,52.4398983
,,16.9330719,52.4382212
,,16.934299,52.4375829
,,16.9329093,52.4374562
,,16.9365277,52.4390441
,,16.9435902,52.3558529
,,16.9439153,52.3554078
,,16.8946414,52.3970981
,,17.0110865,52.3906005
,,16.9910172,52.4454016
,,16.9406797,52.4502545
,,16.9400798,52.4496393
,,16.8688814,52.4037487
,,16.9010359,52.3977726
,,16.9021527,52.3980589
,,16.9012498,52.3983117
,,16.9403806,52.4315421
,,16.9447605,52.3556174
,,16.9448538,52.3573169
,,16.9447566,52.3573356
,,16.9337007,52.401834
,,16.9514788,52.4511267
,,16.9515028,52.4511668
,,16.8903031,52.3862834
,,16.8923743,52.3867942
,,16.8906316,52.386521
Jedz masło roślinne,,16.9255721,52.3984433
,,16.9334779,52.4014655
"Fragment pieśni ""O dobrej sławie""",,16.9404818,52.4315309
Św. Michał Archanioł,,16.9023675,52.4118007
,,16.9478044,52.4557239
Tablica uczniów poległych w Powstaniu Poznańskim,,16.924437,52.4115839
Tablica poległych i zamordowanych nauczycieli,,16.9165628,52.3906204
Tablica poległych Harcerzy Wildeckiego Hufca,,16.9165208,52.3905686
Miejsce pierwszej harcówki VII Hufca Harcerzy ZHP,,16.9011627,52.4120514
Roman Strzałkowski,,16.9398173,52.4104207
Wiesław Kuźnicki,,16.881971,52.407634
Rudolf Modrzejewski,,16.8819552,52.4075917
Inż. Tadeusz Tański,,16.9409809,52.3819465
,,16.9371519,52.4033324
,,16.9236136,52.4152133
,,16.9479292,52.4565168
Roman Strzałkowski,,16.8975185,52.3933038
Szkoła Specjalna Przysposabiająca do Pracy nr 7,school,16.9567067,52.4114615
III Liceum Ogólnokształcące Specjalne,school,16.9567187,52.4115028
Szkoła Policealna Specjalna nr 2 dla Młodzieży Niesłyszącej i Słabo Słyszącej,school,16.9567307,52.4115442
Technikum Specjalne,school,16.9567427,52.4115855
Branżowa Szkoła Specjalna I st. nr 3,school,16.9567547,52.4116268
,,16.8694539,52.4094284
,,16.8705884,52.4106272
,,16.8702073,52.4104904
Zespół Szkół Komunikacji im. Hipolita Cegielskiego,school,16.9216196,52.4086295
,,16.890546,52.4095747
Branżowa Szkoła Specjalna I st. nr 1,school,16.9268375,52.4234651
Branżowa Szkoła I st. nr 2,school,16.9266418,52.4233574
XXXIII Liceum Ogólnokształcące z Oddziałami Sportowymi,school,16.8946579,52.3989237
,,16.9849756,52.4703017
,,16.9819041,52.4647008
,,16.9198594,52.385218
Chrześcijańskie Placówki im. Króla Dawida,school,16.9392215,52.4019921
,,16.9384266,52.4719139
,,16.9373146,52.4708534
,,16.9403305,52.4713902
,,16.9396359,52.4718876
,,16.9376849,52.4713854
,,16.9397278,52.4718856
,,16.912855,52.4657402
,,16.9128214,52.4657087
,,16.9448347,52.3910192
Mural dla jerzyków,,16.9584309,52.3796953
Jan Brzechwa,,16.8734292,52.4075778
World Primary School,school,16.8726991,52.4764017
,,16.8229806,52.4095958
,,16.8227724,52.4099772
,,16.9610289,52.3909905
,,16.9615632,52.3904866
,,16.9605236,52.3908714
Policealne studium kosmetyczne Anieli Goc,school,16.8756587,52.3901135
,,16.8690067,52.4037176
,,16.8131906,52.3838457
,,16.8142005,52.3853856
,,16.8142268,52.3854011
,,16.8136164,52.3850425
,,16.8137075,52.3850963
,,16.8702026,52.4094745
,,16.8848802,52.3945897
,,16.8848468,52.3946013
Ventzi szkoła rysunku,school,16.9383254,52.405707
,,16.9209221,52.3854632
,,16.9198985,52.3852153
,,16.9208656,52.3852578
,,16.9210089,52.3857778
,,16.918678,52.3851582
,,16.9190055,52.3851759
,,16.9220799,52.4144232
Zespół Szkół Mechanicznych im. Komisji Edukacji Narodowej,school,16.898596927224943,52.372637804121105
International School of Poznan,school,16.869974016758174,52.39068035910795
Technikum w Poznaniu,school,16.951640054223684,52.45101782952514
,,16.93417657886071,52.37146052096984
Liceum Ogólnokształcące Mistrzostwa Sportowego,school,16.977276035240283,52.39332299479918
Zespół Szkół z Oddziałami Sportowymi nr 1,school,16.94099560885564,52.431878884016825
Zespół Szkół Odzieżowych im. Władysława Reymonta,school,16.93956617285401,52.4010814000298
XII Liceum Ogólnokształcące,school,16.933182687446923,52.41556063744047
Zakład Poprawczy,school,16.948836870730663,52.374764153378024
,,16.93362590948924,52.37163491011784
IV Prywatne Liceum Ogólnokształcące im. Augustyna Aureliusza,school,16.92096623035998,52.3538806984944
Zespół Szkół Budowlanych im. Rogera Sławskiego,school,16.860834204194838,52.393512708049954
Zespół Szkół Handlowych nr 2 im. J. Drwęskiego,school,16.90977884809209,52.36635940335677
X Liceum Ogólnokształcące im. Przemysława II,school,16.951851323983465,52.38629141056172
XIV Liceum Ogólnokształcące im. Kazimierza Wielkiego,school,16.94097771779671,52.38669363702251
Branżowa Szkoła I st. nr 42,school,16.92205743417886,52.39127859000095
Zespół Szkół Budowlano-Drzewnych im. Bolesława Chrobrego,school,16.87013511238577,52.387075518952344
Zespół Szkół Ekonomicznych im. Stanisława Staszica,school,16.866546237349603,52.40127880597876
Zespół Szkół Gastronomicznych im. Karola Libelta,school,16.86757975531372,52.40215813944614
Publiczne Liceum Ogólnokształcące im. bł. Natalii Tułasiewicz,school,16.896179570766435,52.393051022064576
Zespół Szkół Łączności im. Mikołaja Kopernika,school,16.946673086583438,52.42510414758389
