name,amenity,leisure,tourism,longitude,latitude
Pionier,cinema,,,14.5455779,53.4264063
Helios,cinema,,,14.5420729,53.4269689
Hormon,nightclub,,,14.5445499,53.4326109
Pinokio,nightclub,,,14.5299923,53.4222309
Teatr Współczesny,theatre,,,14.5648557,53.4300016
Pomnik Jana Pawła II,,,attraction,14.5410725,53.4394082
Szczeciński Dom Sportu,,sports_centre,,14.5482498,53.4389263
Szwedzki Młyn,,,attraction,14.636639,53.3570247
Pomnik Adama Mickiewicza,,,attraction,14.5619957,53.4310347
Kino Zamek,cinema,,,14.5609695,53.4262029
Pałac pod Globusem,,,attraction,14.5542763,53.4261223
,,,,14.559376,53.4260133
Harcówka i klub radiowy SP1ZCV,community_centre,,,14.5392522,53.4393188
13 Muz,arts_centre,,,14.5539754,53.4282169
City Hall,nightclub,,,14.5492004,53.4198211
Pływalnia kryta Szkoły Podstawowej nr 55,,sports_centre,,14.5237321,53.4066419
,,,,14.5595598,53.4266625
,,,,14.5236252,53.4244231
,,,,14.5229934,53.4244188
,,,,14.5237619,53.4248215
,,,,14.5230266,53.4247811
,,,,14.5237132,53.4245401
,,,,14.5238041,53.4245451
,,,,14.5237255,53.4244594
,,,,14.5235872,53.4244506
,,,,14.5230604,53.4245287
,,,,14.5229765,53.4245239
,,,,14.5216671,53.4331107
,,,,14.5216329,53.4332413
,,,,14.5221281,53.4331267
,,,,14.5220312,53.4331185
,,,,14.5223025,53.4331715
,,,,14.5221206,53.4331539
,,,,14.5220242,53.4331448
,,,,14.5215931,53.4333946
,,,,14.5215916,53.4333946
,,,,14.5222279,53.4334539
,,,,14.5222291,53.4334541
,,,,14.5280237,53.4339392
,,,,14.5283842,53.4338472
,,,,14.528375,53.4338609
,,,,14.5283809,53.4338721
,,,,14.5283344,53.433881
,,,,14.5280659,53.4340456
,,,,14.5285132,53.4338458
,,,,14.5284299,53.4338596
,,,,14.5284248,53.4338492
,,,,14.5284054,53.4338431
,,,,14.528557,53.4339517
Kabaret Rewia & Show,nightclub,,,14.5522923,53.4255549
Bahia Club,nightclub,,,14.5314358,53.4289477
,,sports_centre,,14.5187,53.4306392
Multikino,cinema,,,14.5555856,53.4334465
Squash Zone Club,,sports_centre,,14.5302944,53.4276243
Holiday Club,nightclub,,,14.5491458,53.4196768
Lulu Club,nightclub,,,14.5494714,53.4238335
Rocker Club,nightclub,,,14.5496393,53.4238873
,,,,14.5053901,53.4570464
Marina Squash & Fitness,,sports_centre,,14.596305,53.3708949
Squash center,,sports_centre,,14.4806248,53.4472335
Disco Fama,nightclub,,,14.5557222,53.4322376
Coyote Club,nightclub,,,14.5437721,53.4310291
PLR,nightclub,,,14.5312473,53.4330377
Love Club,nightclub,,,14.5530623,53.4275272
Pralnia,nightclub,,,14.5312234,53.4199613
Teatr Kameralny,theatre,,,14.5504143,53.424972
Centrum,arts_centre,,,14.5828827,53.4687054
Senso Beach,nightclub,,,14.5522475,53.4265754
Elefunk The Club,nightclub,,,14.5538568,53.4282311
Świetlica,community_centre,,,14.5062635,53.3651662
Opera na Zamku,theatre,,,14.5604367,53.4258286
,,,,14.5685158,53.4263875
,,,,14.5689571,53.4265134
Rotunda Północna,nightclub,,,14.5659047,53.4303195
Tęczowa Planeta,,,attraction,14.5127126,53.4328375
Słowianin,community_centre,,,14.5512036,53.4202402
Grey Club,nightclub,,,14.5438033,53.4296216
,,,,14.5136081,53.4604011
,,,,14.5106542,53.4613834
,,,,14.5686906,53.4264374
,,,,14.5285162,53.4123428
,parking_entrance,,,14.5583219,53.4290538
,,,,14.5578746,53.4291303
Disco na deptaku,nightclub,,,14.5438,53.4298687
K4 - Szczeciński Loft Kultury,community_centre,,,14.5476048,53.4166961
OFF Marina,arts_centre,,,14.5326783,53.4020221
Teatr Mały,theatre,,,14.5439769,53.4301575
Labirynth Laser Tag,,sports_centre,,14.5522984,53.4266835
Stella Maris,community_centre,,,14.557458,53.4221704
Henryk Sawka,,,gallery,14.5421871,53.4301062
Fit town,,sports_centre,,14.4909797,53.4083132
Fundacja Eureka,,,gallery,14.5316194,53.4316661
,,,,14.6524743,53.3686065
,,,,14.6516969,53.368354
,,,,14.6516388,53.3692243
Rada osiedla Pogodno,community_centre,,,14.5136894,53.449159
Rada osiedla Bukowo,community_centre,,,14.5881736,53.4766363
Bada bing,nightclub,,,14.545584,53.4271097
SkiPark,,sports_centre,,14.5246038,53.4318185
