name,amenity,longitude,latitude
"Przedszkole Nr 56 ""Wesołe Kubusie""",kindergarten,21.0689742,52.1743491
Niepubliczne Przedszkole Sióstr Niepokalanek,kindergarten,21.075272,52.1279985
"Przedszkole nr 349 ""Barcelonka""",kindergarten,21.0554115,52.1760806
"Punkt Przedszkolny ""Ptasie Radio""",kindergarten,20.8900473,52.2539765
"Niepubliczne Przedszkole ""Inspiracja""",kindergarten,20.9641045,52.336328
Przedszkole WIĄZANA,kindergarten,21.1467141,52.2007498
Domek Przedszkolaka,kindergarten,20.9036946,52.1843407
Przedszkole z Oddziałami Integracyjnymi nr 345,kindergarten,20.9125041,52.2257699
Little Tigers Przedszkolandia,kindergarten,21.159855,52.1737306
"Niepubliczne Przedszkole Montessori ""Ciekawi Świata""",kindergarten,21.1149034,52.2373973
"Przedszkole Niepubliczne ""Raj Krasnali""",kindergarten,20.9419222,52.3303557
Niepubliczne Przedszkole Małego Kopernika,kindergarten,21.1273193,52.2792855
Przedszkole nr 249,kindergarten,21.0892323,52.2463001
"Artystyczno-Językowe Przedszkole Niepubliczne ""Jagódka""",kindergarten,21.1274944,52.2855171
Niepubliczne Przedszkole im. Jana Pawła II,kindergarten,21.102147,52.2979273
"Publiczne Przedszkole nr 1 ""Zielony Dinek""",kindergarten,21.1039182,52.2972184
Niepubliczne Przedszkole Językowe 4Kids,kindergarten,21.0235394,52.1944231
Muzyczne Przedszkole Montessori MocArt,kindergarten,21.0133461,52.1933755
Przedszkole Nr 142,kindergarten,21.0172071,52.2014916
"Niepubliczne przedszkole artystyczno-sportowe ""Nasza Lokomotywa""",kindergarten,21.1312834,52.2933305
Przedszkole Sportowe Karate Kids,kindergarten,21.0718749,52.1654064
"Niepubliczne Przedszkole ""Kraina Uśmiechu""",kindergarten,20.9764094,52.3063359
Niepubliczny Punkt Przedszkolny Akademia Harmonika,kindergarten,21.0787722,52.3022597
"Przedszkole Niepubliczne ""Przedszkolaki""",kindergarten,20.9437518,52.3195882
Przedszkole Ciepełko,kindergarten,20.9442886,52.3210412
"Niepubliczne Przedszkole ""Zaczarowane Motylki""",kindergarten,20.9478165,52.2246858
Przedszkole nr 25,kindergarten,21.0189017,52.2141766
"Niepubliczne Przedszkole ""Szkrabki""",kindergarten,21.0767094,52.134219
Przedszkole Integracyjne nr 314,kindergarten,20.9682655,52.1946727
Bezpieczny Przedszkolak,kindergarten,21.1296993,52.281983
Przedszkole nr 406,kindergarten,20.9253358,52.2495048
Przedszkole nr 402,kindergarten,20.9270747,52.2505926
