name,highway,longitude,latitude
Plac Strzegomski (Muzeum Współczesne),bus_stop,17.0063843,51.1142439
Jelenia,bus_stop,16.9967567,51.1242816
Jelenia,bus_stop,16.9960225,51.1235776
Krzeptów - Boisko,bus_stop,16.884911,51.0906502
Smolec - Chłopska/Wrzosowa,bus_stop,16.9105547,51.0866101
Smolec - Chłopska/Wrzosowa,bus_stop,16.9102676,51.0863393
Smolec - Chłopska/Cisowa,bus_stop,16.8972761,51.0806788
Smolec - Chłopska/Cisowa,bus_stop,16.8973513,51.0805269
,bus_stop,16.9244235,51.0614572
Radwanice - Poprzeczna,bus_stop,17.1099338,51.0530113
Radwanice - Poprzeczna,bus_stop,17.1107852,51.052254
Radwanice - szkoła,bus_stop,17.1151055,51.0488377
Adamczewskich,bus_stop,16.8695353,51.120845
Adamczewskich,bus_stop,16.8695655,51.1209506
Adamieckiego,bus_stop,16.9636586,51.0732879
Adamieckiego,bus_stop,16.9630038,51.0742614
Borowska (Szpital),bus_stop,17.0325429,51.0746715
Borowska (Szpital),bus_stop,17.0331118,51.0753118
Aleja Pracy,bus_stop,16.9865615,51.0912863
Aleja Pracy,bus_stop,16.9853801,51.0918654
Aleja Pracy,bus_stop,16.9864263,51.0922601
Aleja Wędrowców,bus_stop,16.9918872,51.0879887
Aleja Wędrowców,bus_stop,16.9923073,51.0886682
Arabska,bus_stop,17.0922887,51.0511106
Arabska,bus_stop,17.0924331,51.0511186
Arena,bus_stop,17.02727,51.0950308
Arkady (Capitol),bus_stop,17.0297717,51.1018966
Arkady (Capitol),bus_stop,17.0294025,51.1019644
Armii Krajowej,bus_stop,17.0683328,51.0878161
Auchan,bus_stop,16.9740602,51.0520697
Azaliowa,bus_stop,17.111943,51.1639772
Azaliowa,bus_stop,17.1119582,51.1641748
Bulwar Dedala,bus_stop,16.9630089,51.1267842
Bulwar Dedala,bus_stop,16.9639282,51.1273411
Bardzka (Cmentarz),bus_stop,17.0528743,51.0723883
Bardzka (Cmentarz),bus_stop,17.0533086,51.0732399
Bardzka,bus_stop,17.0508253,51.0827765
Bardzka,bus_stop,17.0493022,51.0834762
Bartoszowice,bus_stop,17.1160707,51.1025531
Biskupin,bus_stop,17.1088227,51.1009732
Biskupin,bus_stop,17.1086469,51.101116
Blacharska,bus_stop,16.9895891,51.0820961
Brochów (Stacja kolejowa),bus_stop,17.0837452,51.063611
Brochów (Stacja kolejowa),bus_stop,17.0825008,51.063753
Brochów,bus_stop,17.0863451,51.0590347
Brochów,bus_stop,17.08732,51.0589093
Bacciarellego,bus_stop,17.1117708,51.1054212
Bacciarellego,bus_stop,17.110487,51.1056437
Bagatela,bus_stop,17.0700665,51.1522105
Bagatela,bus_stop,17.0693936,51.1527665
Bajana,bus_stop,16.9669648,51.1304876
Bajana,bus_stop,16.9657492,51.1312
Bałtycka,bus_stop,17.0306304,51.1366389
Bałtycka,bus_stop,17.0294612,51.1371851
Bałtycka,bus_stop,17.0306136,51.1375907
Bałtycka,bus_stop,17.0294131,51.1382031
Berenta,bus_stop,17.0577777,51.1349756
Berenta,bus_stop,17.0564729,51.1355075
Berenta,bus_stop,17.0575789,51.1355106
Berenta,bus_stop,17.0576384,51.1357898
Bezpieczna,bus_stop,17.0250804,51.1412449
Bezpieczna,bus_stop,17.0263255,51.141433
Bezpieczna,bus_stop,17.0253116,51.1428903
Białych Goździków,bus_stop,17.1009257,51.1568091
Białych Goździków,bus_stop,17.0993349,51.1569299
Bierdzany,bus_stop,17.0925437,51.091727
Bierdzany,bus_stop,17.0912927,51.0921262
Bierutowska (Wiadukt),bus_stop,17.1465846,51.1582454
Bierutowska (Wiadukt),bus_stop,17.1477205,51.1584367
Bierutowska 75,bus_stop,17.139987,51.155762
Bierutowska 75,bus_stop,17.1406843,51.1559686
Bierutowska,bus_stop,17.1363643,51.1537912
Bierutowska,bus_stop,17.136764,51.1541535
Blizanowicka,bus_stop,17.0929603,51.0758365
Blizanowicka,bus_stop,17.0924269,51.0760666
Bociania,bus_stop,17.0981991,51.1296981
Bociania,bus_stop,17.0967863,51.1299998
Bojanowska,bus_stop,16.8819192,51.1653323
Bojanowska,bus_stop,16.88138,51.1651452
Borowska,bus_stop,17.0364747,51.0880601
Borowska,bus_stop,17.0341529,51.0892995
Borowska,bus_stop,17.0339011,51.0893144
Braterska,bus_stop,16.9979598,51.0673476
Brochowska,bus_stop,17.0943749,51.0677737
Brochowska,bus_stop,17.0942101,51.0681109
Brochowska,bus_stop,17.0948156,51.0690171
Księże Wielkie,bus_stop,17.0975758,51.0698201
Brochowska,bus_stop,17.0929492,51.0691094
Królewiecka (Park),bus_stop,16.9307806,51.1482213
Królewiecka (Park),bus_stop,16.930188,51.1491944
Brodzka,bus_stop,16.9229988,51.1568889
Brodzka,bus_stop,16.9241604,51.1575738
Brodzka,bus_stop,16.9219552,51.1575964
Brodzka,bus_stop,16.9223722,51.1581647
Broniewskiego,bus_stop,17.0365059,51.1351048
Broniewskiego,bus_stop,17.0375463,51.135874
Broniewskiego,bus_stop,17.0353222,51.1359064
Broniewskiego,bus_stop,17.0366861,51.1363206
Brzezińska,bus_stop,16.866627,51.1494429
Brzezińska,bus_stop,16.8667329,51.1496752
Brücknera,bus_stop,17.0817879,51.1384638
Brücknera,bus_stop,17.0814357,51.1385919
Brücknera,bus_stop,17.0807161,51.1391366
Brücknera,bus_stop,17.0810758,51.1395152
Buforowa – Rondo,bus_stop,17.0538706,51.070708
Buforowa – Rondo,bus_stop,17.053757,51.0690798
Bujwida,bus_stop,17.0669099,51.1133678
Bujwida,bus_stop,17.0677559,51.1137043
Bukowskiego,bus_stop,16.977792,51.0765102
Bystrzycka,bus_stop,16.9582194,51.123949
Bystrzycka,bus_stop,16.958731,51.1233566
Bzowa (Centrum Zajezdnia),bus_stop,16.9913381,51.0975085
Bzowa (Centrum Zajezdnia),bus_stop,16.9930786,51.0976617
Olsztyńska,bus_stop,17.0940698,51.1404699
Centrum Handlowe Korona,bus_stop,17.0873039,51.1409998
Centrum Handlowe Korona,bus_stop,17.0933751,51.1418012
Centrum Handlowe Korona,bus_stop,17.0927689,51.1421405
Giełdowa (Centrum Hurtu),bus_stop,16.9695295,51.068118
Ceglana,bus_stop,17.1208878,51.1210313
Ceglana,bus_stop,17.1210219,51.1211437
Chińska,bus_stop,17.0817626,51.0608908
Ćwiczebna,bus_stop,17.0088948,51.1584692
Chełmońskiego,bus_stop,17.0914609,51.1035947
Chełmońskiego,bus_stop,17.0908745,51.1037652
Chińska,bus_stop,17.0832745,51.0604208
Chociebuska,bus_stop,16.9580692,51.1146677
Chociebuska,bus_stop,16.9585731,51.1157861
Chwałkowska,bus_stop,16.9107662,51.1595284
Chwałkowska,bus_stop,16.9101466,51.1598016
Chłodna,bus_stop,16.9968332,51.0749922
Chłodna,bus_stop,16.9966953,51.0751122
Ciechocińska,bus_stop,16.8840636,51.1527704
Ciechocińska,bus_stop,16.8834773,51.1525489
Czajkowskiego,bus_stop,17.065109,51.1391541
Dom Handlowy Astra,bus_stop,16.9759871,51.1278521
Dom Handlowy Astra,bus_stop,16.9756762,51.1284262
Dworzec Świebodzki,bus_stop,17.0176253,51.1089772
Dworzec Główny (Dworcowa),bus_stop,17.0391456,51.1000571
Dworzec Główny (Dworcowa),bus_stop,17.0392179,51.1003271
Dworzec Główny (Dworcowa),bus_stop,17.039389,51.1009609
Dworzec Główny (Dworcowa),bus_stop,17.0400381,51.1011371
Dworzec Autobusowy,bus_stop,17.0329551,51.0965844
Dworzec Autobusowy,bus_stop,17.0322924,51.097242
Dworzec Główny,bus_stop,17.0343687,51.0991893
Dworzec Główny,bus_stop,17.0341187,51.0992172
Dworzec Główny,bus_stop,17.0351679,51.099629
Dworzec Główny,bus_stop,17.035464,51.0996488
Dworzec Główny,bus_stop,17.036076,51.1007867
Dworzec Nadodrze,bus_stop,17.0340923,51.1248159
Dworzec Nadodrze,bus_stop,17.0349905,51.1247575
Dworzec Nadodrze,bus_stop,17.0348212,51.1248451
Damrota,bus_stop,17.0548868,51.1264747
Daszyńskiego,bus_stop,17.0476706,51.1263145
Daszyńskiego,bus_stop,17.0484484,51.1267452
Kępa Mieszczańska,bus_stop,17.0234493,51.1169888
Kępa Mieszczańska,bus_stop,17.0253407,51.1169163
Dobroszycka,bus_stop,17.1282632,51.1514669
Kozanów (Dokerska),bus_stop,16.9637587,51.1415734
Kozanów (Dokerska),bus_stop,16.9635986,51.1415693
Dolnobrzeska,bus_stop,16.8590184,51.1550173
Dolnobrzeska,bus_stop,16.8594203,51.1550221
Drukarska,bus_stop,17.0214157,51.0897766
Drukarska,bus_stop,17.0202436,51.0900704
Drzewieckiego,bus_stop,16.9679146,51.1215755
Drzewieckiego,bus_stop,16.9675782,51.1217711
Dubois,bus_stop,17.0333009,51.1164098
Dubois,bus_stop,17.0341963,51.1169429
Dubois,bus_stop,17.0332651,51.1170168
Joannitów,bus_stop,17.0344259,51.0939298
Dyrekcyjna,bus_stop,17.0322341,51.0943062
Działdowska,bus_stop,17.105799,51.1331613
Dzielna,bus_stop,16.9768953,51.1386388
Dzielna,bus_stop,16.9747546,51.1388666
Długa (ogrody działkowe),bus_stop,17.0106334,51.1238053
Długa (ogrody działkowe),bus_stop,17.0105903,51.1245658
Michalczyka,bus_stop,17.0148715,51.1188794
Michalczyka,bus_stop,17.0153153,51.1190842
Kromera (Czajkowskiego),bus_stop,17.0690841,51.1355832
Kromera (Czajkowskiego),bus_stop,17.0704487,51.1363185
EPI,bus_stop,17.0294933,51.0978246
EPI,bus_stop,17.0289787,51.097589
