name,railway,longitude,latitude
Kraków Mydlniki,station,19.8596997,50.0835967
Kraków Batowice,station,19.9954682,50.1075321
Kraków Główny,station,19.947802,50.0686663
Kraków Płaszów,station,19.9754459,50.0345327
Wieliczka Bogucice,halt,20.0366956,49.998474
Zabierzów,station,19.7985948,50.1178616
Zabierzów Rząska,halt,19.8235796,50.1056421
Kraków Prokocim,halt,19.9988858,50.0265465
Kraków Bieżanów Drożdżownia,halt,20.0352677,50.0106932
Kraków Bieżanów,station,20.0300095,50.0214492
Kokotów,halt,20.0698506,50.0178259
Kraków Mydlniki Wapiennik,halt,19.8444108,50.091229
Kraków Łobzów,halt,19.9179042,50.0819615
Kraków Lubocza,halt,20.07464,50.0905797
Kraków Zabłocie,halt,19.9574154,50.0481266
Wieliczka Rynek-Kopalnia,halt,20.0566478,49.9856441
Wieliczka Park,station,20.0493336,49.9891052
Kraków Zakliki,halt,19.8494117,50.0797969
Kraków Młynówka,halt,19.8584636,50.081791
Kraków Olszanica,halt,19.8255173,50.0764912
Kraków Olsza,halt,19.9605879,50.0789773
Kraków Bonarka,station,19.9462275,50.0293189
Kraków Łagiewniki,halt,19.9337391,50.0230861
Kraków Swoszowice,halt,19.9281054,50.0003673
Kraków Sidzina,halt,19.8746169,49.9855309
Kraków Sanktuarium,halt,19.9343496,50.0141171
Kraków Podgórze,halt,19.9596733,50.0412518
Kraków Bronowice,halt,19.8927105,50.0828929
Skawina Jagielnia,halt,19.84144,49.9812125
Kraków Opatkowice,halt,19.8985395,49.9884408
Kraków Złocień,halt,20.0511101,50.0181057
Kraków Lotnisko,halt,19.8013725,50.070941
