name,amenity,longitude,latitude
Szkoła Podstawowa Specjalna nr 39,school,19.4681104,51.8078891
Szkoła Podstawowa Specjalna,school,19.4822752,51.8350509
Szkoła Podstawowa Mistrzostwa Sportowego Marcina Gortata,school,19.4037716,51.7645374
Integracyjna Szkoła Podstawowa nr 67 im. Janusza Korczaka,school,19.3902082,51.741529
Międzynarodowa Szkoła Podstawowa Edukacji Innowacyjnej w Łodzi,school,19.4730796,51.7781213
Bernardyńska Szkoła Podstawowa im. o. Anastazego Pankiewicza,school,19.4814322,51.7878771
"Mikron, Prywatna Szkoła Podstawowa i Liceum Ogólnokształcące",school,19.4514995,51.7372745
Szkoła Podstawowa Kompas,school,19.4476463,51.7366775
Szkoła Podstawowa Specjalna nr 105,school,19.4728191,51.7891134
Szkoła Podstawowa nr 12 im. Mariana Batki,school,19.5454901,51.7608284
Szkoła Podstawowa Specjalna nr 90,school,19.4367826,51.7588095
Niepubliczna Szkoła Podstawowa British International School of the University of Łódź,school,19.4721672,51.75656
Szkoła Podstawowa nr 198,school,19.5409588,51.7554156
Katolicka Szkoła Podstawowa im. Jana Pawła II w Łodzi,school,19.3689857,51.7976524
Szkoła Podstawowa z Oddziałami Dwujęzycznymi im. św. Ignacego Loyoli,school,19.4460913,51.7709965
Salezjańska Szkoła Podstawowa im. księdza Bosko,school,19.4765631,51.7633434
Szkoła Podstawowa nr 139,school,19.533868980942216,51.78075688767778
Szkoła Podstawowa nr 172,school,19.45472614846933,51.803926327183504
Szkoła Podstawowa nr 143,school,19.425548793420123,51.7047211906185
Szkoła Podstawowa nr 173,school,19.463546129184337,51.763733746789654
Szkoła Podstawowa nr 169,school,19.384822358604243,51.77954416160629
Szkoła Podstawowa nr 6,school,19.388219399890506,51.747485092739005
Szkoła Podstawowa nr 152,school,19.442410909717353,51.76338072470399
Szkoła Podstawowa nr 3,school,19.389999330838425,51.79570418703763
Szkoła Podstawowa nr 149,school,19.491877218264282,51.742338592998706
Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego,school,19.443745939738506,51.82404186419456
Szkoła Podstawowa Fundacji Oświatowej „Nasza Szkoła”,school,19.502701955338676,51.74099882857539
Szkoła Podstawowa nr 170,school,19.477880898610913,51.76166171611685
Szkoła Podstawowa nr 29 im. Jana Kochanowskiego,school,19.484307527912087,51.7551322903668
Szkoła Podstawowa nr 30,school,19.4583538909079,51.796760456266014
Szkoła Podstawowa nr 206,school,19.430854515690303,51.826318174733856
Szkoła Podstawowa nr 193,school,19.500751108734065,51.744288339097075
Szkoła Podstawowa nr 193,school,19.497160880532377,51.743054049723064
Szkoła Podstawowa nr 182,school,19.398377062975378,51.790295531822515
Szkoła Podstawowa nr 71,school,19.374414718263655,51.792382926225734
Szkoła Podstawowa nr 71,school,19.378344774023972,51.79454495938647
Szkoła Podstawowa nr 84,school,19.380573779979752,51.79871265583924
Szkoła Podstawowa nr 48,school,19.373005132200642,51.79707121764941
Szkoła Podstawowa nr 182,school,19.398845074289934,51.79283278582506
Szkoła Podstawowa nr 164,school,19.42652613464664,51.75010451801067
Szkoła Podstawowa nr 56,school,19.415544428845124,51.79005484714877
Szkoła Podstawowa nr 166,school,19.423758730869146,51.7874997948747
Szkoła Podstawowa nr 5,school,19.48420816810657,51.745913550512995
Szkoła Podstawowa nr 14,school,19.461901324004344,51.75661288423993
Szkoła Podstawowa nr 2,school,19.46191898952754,51.75460586722943
Szkoła Podstawowa Specjalna nr 97,school,19.49479975253851,51.772257936661966
Szkoła Podstawowa nr 116,school,19.374016217454557,51.81072774187517
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 111,school,19.46571735140776,51.77402907885462
Szkoła Podstawowa nr 70,school,19.4596469951771,51.775690203615426
Szkoła Podstawowa nr 175 im. Henryka Ryla w Łodzi,school,19.46103959092668,51.77677577358516
Szkoła Podstawowa nr 1,school,19.470013768288272,51.77565359136754
Szkoła Podstawowa nr 26,school,19.441814847704148,51.77026516300689
Szkoła Podstawowa nr 36,school,19.447171576390677,51.77247694577172
Szkoła Podstawowa nr 23 im. Marii Bohuszewiczówny,school,19.45005229743629,51.77523116915032
Szkoła Podstawowa nr 94,school,19.476797994742977,51.77779158296713
Szkoła Podstawowa nr 64,school,19.498655012326907,51.7342545852745
Szkoła Podstawowa nr 174,school,19.49265332600748,51.73096374533417
Szkoła Podstawowa nr 91 im. Leonida Teligi,school,19.428061311066344,51.77841388445444
Szkoła Podstawowa nr 55,school,19.435796146607693,51.79566222440438
Szkoła Podstawowa nr 10,school,19.465890913265998,51.74288651526735
Szkoła Podstawowa nr 120 im. Konstytucji 3 Maja,school,19.481797875012134,51.80570068635297
Szkoła Podstawowa nr 46,school,19.45301291331178,51.75578750458766
Szkoła Podstawowa nr 125,school,19.44636629299199,51.71142835416565
Szkoła Podstawowa Specjalna nr 176,school,19.460957568374187,51.76060603625965
Szkoła Podstawowa nr 42,school,19.445825656981505,51.73225190830588
Szkoła Podstawowa ZNP,school,19.445665496275073,51.72990671813833
Prywatna Szkoła Podstawowa Scholasticus,school,19.434501050160357,51.7961975901026
