name,amenity,leisure,tourism,longitude,latitude
Baobab,community_centre,,,22.5572691,51.2483116
Reland,,sports_centre,,22.5406053,51.1918087
,,,,22.5702281,51.2498494
,,,,22.5701919,51.2498267
,,,,22.566547,51.2475918
,,,,22.5700965,51.2497684
,,,,22.5701691,51.2498091
,,,,22.5680414,51.2471165
,,,,22.568055,51.2469938
,,,,22.5433963,51.242363
,,,,22.5436174,51.2422897
,,,,22.5704642,51.2500065
,,,,22.5532305,51.2351619
Teatr Stary,theatre,,,22.5692,51.2473889
Hala MOSiR im. Zdzisława Niedzieli,,sports_centre,,22.56834,51.2375632
kamienica Rynek 10,,,attraction,22.5684845,51.2477154
kamienica Złota 5,,,attraction,22.5692468,51.2478082
kamienica Rynek 4,,,attraction,22.5675061,51.2481244
Grota Solna,,,attraction,22.6369329,51.2685031
Kino Bajka,cinema,,,22.5438808,51.2464605
,,,,22.5319508,51.2384808
,,,,22.5327642,51.2389763
Centrum Sportu Akademos,,sports_centre,,22.5561943,51.2694651
Akademia Aikido,,sports_centre,,22.5333379,51.2386518
Karate,,sports_centre,,22.5326514,51.2383915
,,,,22.5332898,51.2386862
Lubelskie Podziemia,,,attraction,22.5678201,51.2477625
Głaz Katowski-Kamień Nieszczęścia,,,attraction,22.5680117,51.2471673
kamienica Klonowica,,,attraction,22.5672437,51.2480324
kamienica Konopniców,,,attraction,22.5683681,51.2474876
Cinema City,cinema,,,22.5508333,51.245075
fundamenty fary św. Michała,,,attraction,22.5694207,51.2487666
Teatr im. Juliusza Osterwy,theatre,,,22.5613828,51.2464884
"Dom Kultury "" Błonie """,community_centre,,,22.5050478,51.2357578
Warsztaty Kultury w Lublinie,community_centre,,,22.5686916,51.2484615
Opera Lubelska,theatre,,,22.5484982,51.2462386
Filharmonia Lubelska,theatre,,,22.5482193,51.2464669
Lubelska Akademia Aikido,,sports_centre,,22.5504116,51.2721087
,,,,22.569271,51.2485182
,,,,22.5484692,51.2489623
Cinema City 4Dx,cinema,,,22.6150133,51.2321079
Multikino,cinema,,,22.5711216,51.2669865
Helium Club,nightclub,,,22.5574899,51.2453632
Fabryka Formy,,sports_centre,,22.6147728,51.2317593
,,,,22.5481647,51.2465094
,,,,22.5487631,51.2472358
Pracownie Kultury Dziesiąta,community_centre,,,22.5709654,51.2145026
Komitet,nightclub,,,22.5625522,51.2474609
Dzielnicowy Dom Kultury „Bronowice”,community_centre,,,22.5905117,51.2324653
Młodzieżowy Dom Kultury nr 2,community_centre,,,22.565712,51.2462129
"Galeria ""Labirynt""",,,gallery,22.5411418,51.2525106
Wojewódzki Dom Kultury,community_centre,,,22.563823,51.2458163
"Dom Kultury ""Skarpa""",community_centre,,,22.5340928,51.2257204
"Dom Kultury "" Ruta """,community_centre,,,22.5164643,51.2320672
"Dom Kultury "" Łęgi """,community_centre,,,22.5072741,51.2313097
"Dom Kultury "" Pod Akacją """,community_centre,,,22.5347755,51.2395994
"Młodzieżowy Dom Kultury ""Pod Akacją""",community_centre,,,22.5694582,51.2489985
Dom Kultury „Czechów”,community_centre,,,22.5447222,51.2597386
Osiedlowy Dom Kultury „Odeon”,community_centre,,,22.5827216,51.2555021
Klub Osiedlowy „Miniatura”,community_centre,,,22.5547901,51.2733628
"Fiat 126p ""Ceramik""",,,attraction,22.5236535,51.2459453
Dom Kultury Kolejarza,community_centre,,,22.5719388,51.2291307
Baszta Gotycka,,,attraction,22.5669814,51.2470959
Dom Kultury,nightclub,,,22.5633512,51.2479164
Koyot,nightclub,,,22.5631098,51.2475546
Soho Club,nightclub,,,22.5543226,51.2475695
kamienica Chociszewska,,,attraction,22.5681141,51.2481376
kamienica Lubomelskich,,,attraction,22.5684348,51.2480372
Kamienica złotników,,,attraction,22.5690165,51.2479738
kamienica pod lwami,,,attraction,22.5686509,51.2478221
kamienica Rynek 11,,,attraction,22.5684331,51.2476236
kamienica straży pożarnej,,,attraction,22.5680194,51.2474009
kamienica muzyków,,,attraction,22.5677842,51.2474886
kamienica Wieniawskich,,,attraction,22.5676267,51.2475088
kamienica cukierników,,,attraction,22.5673142,51.2477958
kamienica Jana Kochanowskiego,,,attraction,22.5673647,51.2476911
kamienica żaków,,,attraction,22.5682669,51.2474068
,,,,22.5664149,51.2475591
CITYFIT LUBLIN,,sports_centre,,22.5711211,51.2634584
KIBICE RAZEM Motor Lublin,community_centre,,,22.5671555,51.2489551
"Riviera, Klub Plażowy",nightclub,,,22.5573871,51.2454274
El Cubana,nightclub,,,22.5572886,51.2454782
The Moon,nightclub,,,22.5632776,51.2471089
Klub NOC,nightclub,,,22.5612667,51.2474177
,,,,22.5079611,51.2450079
Klub Nadzieja,nightclub,,,22.5670113,51.2441074
,,,,22.5682327,51.2376379
"Pracownie Kultury ""Tatary""",community_centre,,,22.5956176,51.2427303
"""Wirydarz"" - Galeria Sztuki Współczesnej",,,gallery,22.5696982,51.2494946
Brain Damage Gallery,,,gallery,22.5481523,51.2472221
"Galeria ""Atu""",,,gallery,22.5691455,51.2478317
"Ośrodek Praktyk Teatralnych ""Gardzienice""",theatre,,,22.5688069,51.2484461
Strefa Wysokich Lotów,,sports_centre,,22.5124095,51.251205
Hit Casino,casino,,,22.5551512,51.2416369
Kasyno Wojskowe,casino,,,22.550594,51.2467859
Pałac Lubomirskich XVII w.,,,attraction,22.5607502,51.2492277
,parking_entrance,,,22.5049146,51.2338044
Warsztaty Kultury w Lublinie,community_centre,,,22.568705,51.2486485
Kino Grażyna,cinema,,,22.524397,51.2405868
"Wake Park ""Relaks""",,sports_centre,,22.4566281,51.2564678
Letnie Kino Perła,cinema,,,22.5674172,51.2437325
dawna warzelnia,,,attraction,22.5675404,51.2435634
Pozostałość po wałach obronnych Lublina,,,attraction,22.5511292,51.2482224
Galeria Labirynt 2,,,gallery,22.5684041,51.2484549
Warsztat Fotograficzny Warsztatów Kultury,community_centre,,,22.5676188,51.2496993
Świetlica Kowalska 3,community_centre,,,22.5674318,51.2497808
,,,,22.5486612,51.2461255
The Mist Club,nightclub,,,22.5558518,51.2461233
Lokomotywa wąskotorowa WLs40,,,attraction,22.5595402,51.2252816
,,,,22.5452467,51.2098985
,,sports_centre,,22.5173224,51.2621695
Wyrko,nightclub,,,22.5535845,51.2460959
"Neon ,,Apollo""",,,artwork,22.557929,51.245865
Dom kultury Kalinowszczyzna,community_centre,,,22.5866375,51.2600496
Galeria sztuki Sceny Plastycznej KUL,,,gallery,22.5685819,51.2480639
Biblioteka Azyl,library,,gallery,22.549124,51.2448916
Kino Plenerowe w Bramie,cinema,,,22.5657242,51.2468368
,,sports_centre,,22.5640536,51.2585331
Hej,community_centre,,,22.5593168,51.2468189
Dydaktyczny ogród roślin wodnych,,,attraction,22.5588943,51.2363612
Dydaktyczna ścieżka procesów przemijania,,,attraction,22.5593518,51.2381774
Labirynt,,,attraction,22.5589819,51.2384281
Portal Wilno-Lublin,,,attraction,22.5597989,51.2478137
Українська Домівка,community_centre,,,22.5570886,51.2484126
Płast Lublin,community_centre,,,22.5570846,51.2483295
Uniwersytecka Galeria Sztuki UMCS,,,gallery,22.5249762,51.2467908
Sempre a Frente,community_centre,,,22.5681848,51.2522532
Piłsudski,,,,22.4627402,51.2678069
,,,,22.4942889,51.2297688
,,,,22.4943759,51.2298401
,,,,22.5972628,51.2308378
Punkt Kultury,community_centre,,,22.5788111,51.2387237
"UMCS Akademickie Centrum Kultury i Mediów ""Chatka Żaka""",community_centre,,,22.538237075692276,51.24516161220952
Lubelski Dom Technika NOT,community_centre,,,22.54950113611606,51.24613306993537
Dom Żołnierza im. Marszałka Józefa Piłsudskiego,community_centre,,,22.55038697011968,51.24662146259044
Hala Globus im. Tomasza Wójtowicza,,sports_centre,,22.532640606782504,51.23867108416341
,,sports_centre,,22.53192592890561,51.238703884835296
,,sports_centre,,22.53345663283623,51.238578078092864
Dom Kultury LSM,community_centre,,,22.524444793237468,51.24061127994112
Dom Akcji Katolickiej,community_centre,,,22.520994114353158,51.22780371402101
Hala Sportowa KUL,,sports_centre,,22.500068058896282,51.238146706992985
,,stadium,,22.561242324315575,51.22003499234447
Amfiteatr,theatre,,,22.54341185,51.1898717
Wieża Trynitarska,,,attraction,22.56810923431505,51.247057610805946
,,sports_centre,,22.57145371444463,51.24824516456328
Brama Rybna,,,attraction,22.567786549564705,51.248219897175666
,,sports_centre,,22.532459101512,51.245553891924295
Centrum Kultury Fizycznej UMCS,,sports_centre,,22.53333990183083,51.24536196159412
,,sports_centre,,22.532824777586676,51.24543890990603
Biuro sportu UMCS,,sports_centre,,22.53345318961239,51.245175328618906
,,sports_centre,,22.533009629419873,51.24527350969803
,,sports_centre,,22.53275631578857,51.24526479481287
Pływalnia AOS,,sports_centre,,22.53321553698335,51.245052622233665
,,sports_centre,,22.5526495837167,51.235069816479836
