name,power,man_made,longitude,latitude
,,,17.0309113,51.0861758
,substation,,17.1388385,51.1594866
,terminal,,16.9194357,51.1209846
,terminal,,16.9194783,51.1209854
,substation,,16.963403,51.1319317
,,,16.9312841,51.0857623
,substation,,16.9338792,51.0730316
,,,17.0578723,51.0996284
,,,16.9665487,51.0616122
,,,16.9745274,51.1038109
,,,16.9859624,51.1002274
,,,16.9871872,51.1044678
,,,16.9863752,51.1051345
,,,16.9872442,51.1049015
,,,16.9466272,51.1370945
,,,17.0130132,51.124415
,,,17.0129777,51.1235247
,,,17.0711024,51.0893362
,,,17.0454768,51.098998
,,,17.1290415,51.1210792
,,,17.0713945,51.1375913
,,,17.0330468,51.1419833
,,,17.0604212,51.1192804
,,,17.0611065,51.1187048
,,,17.0607298,51.1194342
,,,16.8828336,51.1491988
,,,16.9989746,51.0786846
,,,17.1204859,51.0718443
,,,16.9064487,51.1915679
,,,16.9063648,51.1918015
,,,16.9059171,51.1957089
,,,16.9058522,51.1972565
,,,17.0558841,51.1039755
,,,17.0568149,51.1042917
,,,17.0581276,51.1040288
,,,17.0599445,51.1037802
,,,17.0628913,51.1033503
,,,17.0648745,51.1027309
,,,17.0664575,51.1021311
,,,17.1128342,51.1527298
,substation,,17.0457764,51.1146581
,,,17.0122747,51.1246052
,,,17.0756665,51.0792549
,,,17.0664688,51.0998691
,,,17.0561957,51.1041762
,,,17.0578351,51.0996257
,,,17.0953156,51.1432133
,,,16.9017642,51.1714906
,,,16.9305992,51.0856409
,substation,,17.084996,51.1071646
,,,16.9999561,51.0783981
,,,17.0446823,51.0989697
,,,17.1154902,51.0731528
,terminal,,17.0293353,51.1829588
,,,17.0109336,51.0961739
,,,17.010045,51.0965408
,,,17.0568577,51.1042829
,,,17.0671654,51.1013846
,,surveillance,17.0579561,51.1040693
,,,17.0563963,51.1041947
,,,16.9305732,51.1213695
,terminal,,16.9306341,51.1213841
,substation,,17.145684,51.1451326
,substation,,16.911706,51.0867279
,terminal,,16.8879008,51.0730037
,,,16.9941234,51.1268932
,substation,,17.1411951,51.1578131
,substation,,17.130253,51.1659299
,substation,,16.9788156,51.112594
ESV-0335,substation,,16.9784111,51.1120265
,,,17.0104834,51.0958485
,,,17.1128712,51.1527101
,terminal,,16.9646083,51.1673561
,substation,,16.9956536,51.1685864
,substation,,16.9631743,51.1587645
,substation,,16.9629829,51.1586523
,portal,,17.0181734,51.1924511
,substation,,17.0419003,51.0787163
,substation,,17.0404627,51.0776281
,substation,,17.0173002,51.0745166
,substation,,17.0194761,51.0763517
,substation,,17.1469366,51.0757091
,substation,,17.0366479,51.0781362
,substation,,17.0398599,51.0789346
,substation,,17.0397403,51.0763852
,substation,,17.0478247,51.0796836
,substation,,17.0361708,51.0809819
,substation,,17.0468821,51.0817047
,substation,,17.0473406,51.0824326
,substation,,17.0327836,51.1131752
,substation,,17.0438312,51.0782245
,substation,,17.0463233,51.077756
,substation,,17.0342876,51.0913288
,substation,,17.0286798,51.1035544
,substation,,17.0290679,51.1037353
,substation,,17.0303864,51.1121577
,substation,,17.0465491,51.072654
,substation,,17.0214281,51.0932813
,substation,,17.0391226,51.0729308
,substation,,17.0483018,51.0804552
,substation,,17.0492627,51.0806867
,substation,,17.0430898,51.072188
,substation,,17.0430894,51.0722173
,terminal,,16.8790217,51.0699505
,substation,,17.0544799,51.1147331
,substation,,17.0292916,51.1002229
,substation,,17.0520365,51.1147327
,substation,,17.0549831,51.1140279
,substation,,17.1274446,51.1399189
,substation,,17.0542755,51.1047227
,substation,,17.0543662,51.1048976
,substation,,17.0557546,51.1048091
,,,16.8662842,51.1405759
,substation,,17.0375976,51.081052
,substation,,17.0666254,51.1145636
,substation,,17.0018608,51.0668204
,substation,,17.0243172,51.1037544
,substation,,17.0330819,51.0963687
,substation,,17.0386723,51.1067363
,substation,,16.9982084,51.068757
,substation,,16.9999965,51.0685975
,substation,,17.0008111,51.0690187
,substation,,17.0018568,51.0685984
,substation,,17.0531954,51.1131586
,,,17.0115513,51.1243855
,,,17.0268528,51.1212379
,substation,,17.0617091,51.1314149
,substation,,16.9975951,51.0692621
,substation,,17.0329086,51.1050286
,substation,,16.9991637,51.0692048
,substation,,17.0294097,51.1122796
,substation,,17.0269781,51.1099658
,substation,,16.9992142,51.0892935
,substation,,17.0335681,51.1082927
,substation,,16.9714049,51.0528403
,substation,,17.0302505,51.1108175
,substation,street_cabinet,16.9399863,51.1585516
,substation,,17.0422519,51.1220474
,substation,,17.032651,51.111505
,,,17.004402,51.1130431
,,,17.064145,51.0871085
,,,17.0639012,51.0870996
,substation,,17.0448926,51.1008515
,substation,,17.0505944,51.117117
WRW 4593,substation,,17.0154955,51.1238758
,substation,,17.0481479,51.1208415
,substation,,17.0316867,51.1222169
,substation,,17.0416569,51.1105612
"Stacja elektroenergetyczna 110kV R-148 ""Psie Pole"" PSP",substation,,17.113165182305927,51.153084670220665
,substation,,16.96850032870005,51.05915406626833
,substation,,16.996515978556083,51.058186737237385
,substation,,17.08692572945231,51.05827269261222
,substation,,17.09591879009381,51.06648288690741
,substation,,17.006158311755826,51.06484096381121
,substation,,16.98295235,51.067605300000004
,substation,,17.036166612456643,51.069360773643695
,substation,,17.00568261076286,51.06410183846301
,substation,,17.025820999836636,51.060766649904295
,substation,,16.985933193105474,51.062718925373055
,substation,,17.001225532304858,51.06781075170506
,substation,,17.0855244117539,51.055160486614895
,substation,,16.96836992841963,51.06031025472039
,substation,,16.991224606378267,51.06769978123818
,substation,,17.036154633726195,51.0693212087778
,substation,,16.988106583588863,51.05791901674544
,substation,,16.97026813117267,51.0686724322967
,substation,,16.99353888248618,51.06474595768671
,substation,,16.976997668034414,51.06193207406297
,substation,,17.083873865945776,51.05253172078961
,substation,,17.022190913965026,51.05663193437662
,substation,,17.038260914992286,51.06539994393104
,substation,,17.09443703589808,51.06838947222513
,substation,,16.995522512570414,51.066069469892874
,substation,,16.982184036328217,51.06314244456856
,substation,,17.093097900000004,51.05948525
,substation,,16.979244205056087,51.06238831949804
,substation,,17.02119516873435,51.05759478446975
,substation,,17.005674705024234,51.064179594106015
,substation,,17.04048085,51.06894915
,substation,,17.025896362899445,51.06076709418935
,substation,,17.008575909963483,51.070022701319665
,substation,,17.08694874198779,51.069696445861005
,substation,,16.982743050978556,51.06119689798689
,substation,,17.005646963078984,51.0592150369117
