name,shop,amenity,longitude,latitude
Sklep spożywczy,convenience,,23.1406153,53.1404859
Aga,convenience,,23.1399679,53.1419876
PSS Społem,convenience,,23.136816,53.1432782
Chorten,convenience,,23.0841444,53.1204982
GJM,convenience,,23.0747062,53.1240817
Carrefour,supermarket,,23.0986311,53.1234842
,supermarket,,23.0767151,53.1272054
,,parking_entrance,23.0973527,53.1236636
Kukułka,supermarket,,23.1238743,53.0966992
Mars,convenience,,23.1181881,53.1027818
Biedronka,supermarket,,23.1406251,53.1165132
,convenience,,23.1186896,53.1047432
Mini Delikatesy,convenience,,23.1397496,53.1135464
Owoce i warzywa,convenience,,23.1401167,53.1140797
Minimarket,convenience,,23.1299041,53.1085536
Lewiatan,supermarket,,23.1469111,53.1142468
Top Market,supermarket,,23.1247649,53.1080201
bi1,supermarket,,23.1766003,53.1227441
,convenience,,23.1749441,53.1187024
Rarytas,convenience,,23.1718592,53.1253312
Kąsek,convenience,,23.1712534,53.1250863
,convenience,,23.1767498,53.1249898
,convenience,,23.1790981,53.117242
,convenience,,23.1768764,53.1152509
,convenience,,23.0769163,53.1273761
,convenience,,23.0776461,53.1269494
,convenience,,23.121784,53.0985394
,convenience,,23.1709091,53.1412571
"Sklep Mięsno-Spożywczy ""U Kaśki""",convenience,,23.186656,53.1372057
Chorten,convenience,,23.1880526,53.1360655
Galeria Ciesielska,mall,,23.2015666,53.1211071
,,parking_entrance,23.1704752,53.1258454
,,parking_entrance,23.1693255,53.1259999
Biedronka,supermarket,,23.1750264,53.1406759
,,,23.0989311,53.1607022
,,,23.0967262,53.1610421
,,,23.0967475,53.1611293
,,,23.0974331,53.1608127
,,,23.0975779,53.1608034
,,,23.1001942,53.1610378
,,,23.098786,53.1607147
Żak,convenience,,23.1515392,53.1202704
Stokrotka,supermarket,,23.1065216,53.1434273
,convenience,,23.1435723,53.1122026
,,,23.1424197,53.1054402
Lewiatan,convenience,,23.1570065,53.1364101
,,parking_entrance,23.1799249,53.1241658
,,parking_entrance,23.1793735,53.1229793
,,parking_entrance,23.1795012,53.1231148
Akademicki,convenience,,23.1524426,53.1201922
Lewiatan,supermarket,,23.2095775,53.1175238
Sklep Tefal,supermarket,,23.0972586,53.161373
Arhelan,supermarket,,23.1838772,53.130388
Lewiatan,convenience,,23.1561475,53.126281
Lewiatan,convenience,,23.1560114,53.1263631
Żabka,convenience,,23.1353728,53.1351773
Chorten,supermarket,,23.2021778,53.1992846
,,,23.2084396,53.1477848
,,,23.2080249,53.1478151
,,,23.2084582,53.1479365
,,,23.208034,53.1479555
,,,23.2080639,53.1479643
Karolinka,convenience,,23.0960464,53.1249322
Sklep Groszek,supermarket,,23.0972767,53.1280182
PSS Społem Białystok - Delikatesy,supermarket,,23.1576003,53.131529
Biedronka,supermarket,,23.1320772,53.145137
Arhelan,convenience,,23.1513456,53.1240431
Chorten,convenience,,23.1495708,53.1222031
"PSS Społem ""Wars""",supermarket,,23.1807341,53.128028
Biedronka,supermarket,,23.1556689,53.1513514
abc,convenience,,23.1135328,53.1445034
Lewiatan,supermarket,,23.1090485,53.1463705
Żabka,convenience,,23.11975,53.1452171
Chorten - Pod Słońcem. Delikatesy,convenience,,23.1146433,53.1460311
Biedronka,supermarket,,23.1541054,53.1343086
Biedronka,supermarket,,23.1322369,53.1381617
Biedronka,supermarket,,23.1045054,53.1266915
Stokrotka,supermarket,,23.1036277,53.130459
Żabka,convenience,,23.1018328,53.1551687
Biedronka,supermarket,,23.1563762,53.1497542
Lewiatan,supermarket,,23.1023834,53.132569
Stokrotka,supermarket,,23.15197,53.1457263
abc,convenience,,23.111323,53.1429262
Stokrotka,supermarket,,23.123374,53.1091012
Livio,convenience,,23.1172724,53.1457424
TOPI Market,convenience,,23.1213536,53.1542407
TOPI Market,convenience,,23.1158841,53.1503332
TOPI Market,convenience,,23.1151883,53.1492767
Chorten,convenience,,23.122754,53.1510974
abc,convenience,,23.1219568,53.1510029
Lewiatan,convenience,,23.1984442,53.1331267
Top Market,convenience,,23.1905173,53.1335024
Konkurencja - Piwa Regionalne,convenience,,23.1090109,53.1480126
Chorten,convenience,,23.1392417,53.1316863
Spożywczy,convenience,,23.1268467,53.1516072
Spożywczy,convenience,,23.1190917,53.1423742
Mini Delikatesy,convenience,,23.1823672,53.1348506
Lewiatan,convenience,,23.1025183,53.0824815
Podlaska Chata,convenience,,23.0839857,53.1505383
Żabka,convenience,,23.0846042,53.1526189
Swojak,convenience,,23.1244429,53.1456171
,,,23.1705033,53.1258092
,,,23.1706433,53.1259738
,,,23.1703909,53.1262639
,,,23.167712,53.1252692
,,,23.1677445,53.1253224
,,,23.1692668,53.1259723
,,,23.1693021,53.1259888
,,,23.1787269,53.1224675
Żabka,convenience,,23.1782113,53.1304411
Top Market,convenience,,23.1822021,53.1378041
,convenience,,23.1756799,53.1373007
Auchan,supermarket,,23.0987231,53.1618025
Auchan,supermarket,,23.1169554,53.1354236
"Chorten ""Rarytas""",convenience,,23.1086449,53.1473616
,convenience,,23.2381925,53.1902915
Lewiatan,supermarket,,23.1680643,53.1225526
Żabka,convenience,,23.1063458,53.1448344
Żabka,convenience,,23.1541859,53.1282969
Chorten,convenience,,23.1016675,53.1404191
,,,23.1912207,53.1350171
,,,23.1933808,53.1350786
,,,23.1865087,53.1302984
Biedronka,supermarket,,23.1524025,53.1368458
,,,23.1702941,53.1263413
Lewiatan,convenience,,23.1533487,53.1547878
,,,23.1563276,53.1496046
U sąsiada,convenience,,23.0861158,53.1492116
Chorten,convenience,,23.1500155,53.1461218
Społem,supermarket,,23.1473024,53.1354805
Żabka,convenience,,23.1648805,53.1362467
,convenience,,23.1686256,53.137478
U Andrzeja,convenience,,23.1776746,53.143958
Żabka,convenience,,23.1732733,53.1337454
,,parking_entrance,23.1629134,53.1368039
,convenience,,23.1929142,53.1932423
,,,23.1914155,53.1105609
Żabka,convenience,,23.1577188,53.1336535
Stokrotka,supermarket,,23.1622266,53.1367689
,,,23.1631397,53.1360142
,,,23.1631755,53.1360378
,,,23.1311329,53.1556925
Społem,convenience,,23.1239172,53.1447462
Żabka,convenience,,23.1659441,53.1384847
Carrefour,supermarket,,23.1853142,53.1626648
Stokrotka,supermarket,,23.1510278,53.1243742
,,,23.19005,53.130999
,convenience,,23.1250858,53.154903
Żabka,convenience,,23.1848853,53.1365719
magazyn Media Markt,,,23.1776132,53.1233357
,convenience,,23.133084,53.083673
Lewiatan,convenience,,23.1885458,53.1444031
Top Market,convenience,,23.169705,53.1328794
"PSS Społem ""Krystynka""",convenience,,23.1726952,53.1274886
PSS Społem Białystok,convenience,,23.1530387,53.1220531
Żabka,convenience,,23.1335408,53.1406832
Groszek,convenience,,23.0821833,53.15305
Lewiatan,convenience,,23.0823013,53.1501643
,,,23.1191496,53.1345375
,,,23.1322875,53.154115
Chorten Beta,convenience,,23.1721833,53.1250186
Groszek,convenience,,23.1725828,53.1252036
Chorten U Mnicha,convenience,,23.1477475,53.1315214
Skorpion,supermarket,,23.1410132,53.1167114
Stokrotka,supermarket,,23.1964611,53.1313105
Biedronka,supermarket,,23.150326,53.125594
,convenience,,23.2177887,53.118046
Żabka,convenience,,23.1981084,53.1311145
Lewiatan,convenience,,23.1013982,53.1451974
Żabka,convenience,,23.1520181,53.1333269
Żabka,convenience,,23.1487376,53.1341194
Żabka,convenience,,23.1162217,53.1432307
Żabka,convenience,,23.1712841,53.1260643
,,marketplace,23.1013889,53.1324218
Chorten,convenience,,23.1997327,53.1606541
Żabka,convenience,,23.1694794,53.121516
Żabka,convenience,,23.1436222,53.1276485
Lewiatan,convenience,,23.1010094,53.1275623
,,,23.2125773,53.1434036
Lewiatan,supermarket,,23.085457,53.1306801
Chorten,convenience,,23.0848435,53.1307627
Stokrotka,convenience,,23.1406899,53.1116013
,convenience,,23.0733339,53.1574555
Żabka,convenience,,23.1137101,53.1450094
Żabka,convenience,,23.1757278,53.1397775
Żabka,convenience,,23.155153,53.151186
Żabka,convenience,,23.1248513,53.1353176
Żabka,convenience,,23.1520562,53.1247142
Czternastka,convenience,,23.1612251,53.1329786
Żabka,convenience,,23.1561907,53.1335094
Lewiatan,convenience,,23.1476394,53.1340412
,convenience,,23.1694787,53.1370766
Żabka,convenience,,23.1767574,53.127506
,,,23.2166123,53.1234413
Żabka,convenience,,23.1599821,53.1391671
,,,23.1855965,53.1252886
,,,23.1852154,53.1257495
,,,23.1740534,53.133953
,,,23.1737113,53.1338776
,,,23.1689424,53.1414353
Chorten,convenience,,23.1559687,53.1422803
Żabka,convenience,,23.1745586,53.1369032
Biedronka,supermarket,,23.1647078,53.1375642
,,,23.1176332,53.1361461
,,,23.1184356,53.1356835
Żabka,convenience,,23.1348225,53.1321084
Żabka,convenience,,23.155258,53.1293177
,,,23.1585922,53.1454336
,,,23.100181,53.1406376
Lewiatan,supermarket,,23.0772317,53.1669702
Trójka,convenience,,23.1737699,53.1369142
,,atm,23.1874614,53.1346112
,,,23.1875964,53.1345125
Żabka,convenience,,23.1860778,53.1491436
Chorten,convenience,,23.1580904,53.1275022
"PSS Społem ""Pogodny""",supermarket,,23.1424042,53.1174938
Chorten,convenience,,23.0942152,53.1182925
,,,23.1680612,53.1255239
,,,23.1679133,53.1254587
Arhelan,supermarket,,23.0760999,53.1186792
Lewiatan,convenience,,23.2277712,53.1408599
Żabka,convenience,,23.227373,53.1408903
Żabka,convenience,,23.1464533,53.1219864
Żabka,convenience,,23.2195493,53.1266157
Chorten,convenience,,23.1556811,53.0888272
,,,23.1629901,53.1367553
Regionalne Przysmaki u Andzi,convenience,,23.2272899,53.1408967
Żabka,convenience,,23.140897,53.1094459
Biedronka,supermarket,,23.1954118,53.1554186
Arhelan,convenience,,23.1329129,53.0977178
Chorten,convenience,,23.1451142,53.1220483
GLOBI,convenience,,23.1518035,53.1368042
Żabka,convenience,,23.1979078,53.1184669
Żabka,convenience,,23.1279359,53.1148218
,,loading_dock,23.1305106,53.1562586
,,,23.1223899,53.1541236
Top Market,convenience,,23.1650123,53.1356173
,,,23.1256558,53.1502831
,,,23.1303892,53.1561126
,,,23.130658,53.15594
,,loading_dock,23.1219712,53.1543575
Żabka,convenience,,23.1243826,53.1084716
TOP MARKET,convenience,,23.1320979,53.0989899
ARHELAN,convenience,,23.1273185,53.1132823
,convenience,,23.1250849,53.1518463
Żabka,convenience,,23.1105381,53.1427707
Lewiatan,convenience,,23.1472294,53.1347056
Żabka,convenience,,23.179823,53.1217683
,,,23.1683263,53.1256122
Żabka,convenience,,23.0858124,53.1158671
Żabka,convenience,,23.1646846,53.1320861
Żabka,convenience,,23.1811092,53.1348323
Żabka,convenience,,23.1253347,53.1131465
Żabka,convenience,,23.199866,53.1552399
Wierzbowa Park,mall,,23.1311134,53.1438081
Kaufland,supermarket,,23.131271,53.1440113
Chorten,convenience,,23.1615178,53.1259511
Żabka,convenience,,23.1237349,53.1463671
Żabka,convenience,,23.1491187,53.1327635
,,,23.0766537,53.1488118
,,,23.0756073,53.1485148
Żabka,convenience,,23.18153,53.1281011
Żabka,convenience,,23.1975299,53.1278357
Gama Mini,convenience,,23.1081718,53.143305
Stokrotka Market,convenience,,23.1911789,53.1278731
Żabka,convenience,,23.139495,53.1335785
Żabka,convenience,,23.1483974,53.1287376
Żabka,convenience,,23.1433913,53.1306216
Żabka,convenience,,23.1445443,53.1225813
Arhelan,supermarket,,23.081354,53.0694974
Żabka,convenience,,23.1503729,53.1256845
,,parking_entrance,23.099652,53.124545
Lewiatan,convenience,,23.1320079,53.1231813
Żabka,convenience,,23.1323198,53.1233132
Alkohole Wrzos,convenience,,23.1059123,53.1327938
Żabka,convenience,,23.1700674,53.1376553
,,,23.1774787,53.1217612
Żabka,convenience,,23.1352516,53.1339856
ALDI,supermarket,,23.1811277,53.1401836
Maxim,convenience,,23.125491,53.1361738
Żabka,convenience,,23.215615,53.1227463
Groszek,convenience,,23.1811496,53.1432515
Żabka,convenience,,23.1579141,53.1286288
Żabka,convenience,,23.1669666,53.1372079
Carrefour Express,convenience,,23.1354685,53.1352049
Żabka,convenience,,23.1611401,53.1379888
Żabka,convenience,,23.1337991,53.1444362
Lewiatan,convenience,,23.1542034,53.1214939
Żabka,convenience,,23.1548073,53.1204639
,,,23.2123632,53.1432966
"PSS Społem ""KEN""",supermarket,,23.0911524,53.1494394
Żabka,convenience,,23.1038561,53.1425466
,,,23.1345809,53.1311969
Żabka,convenience,,23.161115,53.1334216
,,,23.1493659,53.1394241
TOP Market,convenience,,23.0885365,53.1518615
Żabka,convenience,,23.2137111,53.1686084
Auchan Hetmańska,mall,,23.117753782635873,53.13522973430267
PSS Społem Zodiak,supermarket,,23.089586928051002,53.1224474522344
Galeria Zielone Wzgórze,mall,,23.098639061088946,53.12387092685832
Stokrotka,supermarket,,23.11632451166648,53.10650117633277
Biedronka,supermarket,,23.116938453770278,53.10524276230593
Arhelan,supermarket,,23.169196349790493,53.14158406532752
"PSS Społem ""Opałek""",supermarket,,23.159672387791108,53.127170399211316
Atrium Biała,mall,,23.177731081530514,53.12291785641628
Lewiatan,convenience,,23.14159053816825,53.14238036309237
Lidl,supermarket,,23.185153629566553,53.12544630446543
Dukat,convenience,,23.200380040656498,53.12124125574816
Biedronka,supermarket,,23.241984806930926,53.126184082407484
,convenience,,23.21738402468391,53.16753944881131
Netto,supermarket,,23.182939859683813,53.14538514658396
Biedronka,supermarket,,23.193324358818938,53.134858853956715
"PSS Społem ""Mieszko""",supermarket,,23.187583484136034,53.13433921457254
"PSS Społem ""Tęcza""",supermarket,,23.21231912598214,53.14350374523643
Stokrotka,supermarket,,23.20824773190319,53.14787520574954
,convenience,,23.209884890291075,53.09612464011501
"PSS Społem ""Wygoda""",supermarket,,23.1793987,53.1436626
Biedronka,supermarket,,23.090095991908072,53.1147184863802
Top Market,supermarket,,23.185918378245187,53.129429297517454
Biedronka,supermarket,,23.186431842720204,53.13012766972088
handlowiec,mall,,23.130553351054036,53.13618263729179
abc,convenience,,23.131353937481357,53.108677161852604
Bazar Pałacowy,mall,,23.17033100391172,53.13338656298087
Biedronka,supermarket,,23.143094547090207,53.129743798245244
Rzemieślnik,mall,,23.142452924684047,53.133110846902014
