name,amenity,longitude,latitude
Przedszkole nr 24,kindergarten,17.9800074,53.1134572
Przedszkole nr 9,school,18.0519255,53.1097797
Przedszkole Niepubliczne Kacperkowy Światek w Bydgoszczy,kindergarten,17.9098301,53.1626229
Przedszkole Biedroneczka,kindergarten,18.0476229,53.1278227
Przedszkole O to chodzi!,kindergarten,18.1055605,53.1558374
"PRZEDSZKOLE PUBLICZNE ""IGUŚ"" w BYDGOSZCZY",kindergarten,17.9600499,53.1391484
Niepubliczne Przedszkole „4 Pory Roku”,kindergarten,17.9065126,53.0772102
"Przedszkole Niepubliczne ""Oświata I""",kindergarten,18.1607842,53.1580491
"Przedszkole nr 26 ""Pod Tęczowym Parasolem""",kindergarten,18.0139492,53.1263497
Przedszkole nr 49,kindergarten,18.034092715985867,53.11004940246407
Przedszkole 61,kindergarten,18.04118633288914,53.10472800682748
"Przedszkole Niepubliczne ""Pinokio""",kindergarten,18.038225068615727,53.103830795275805
Przedszkole Niepubliczne Pinokio,kindergarten,18.03816958966915,53.103687617074115
Przedszkole nr 9,kindergarten,18.057095929290544,53.105814048321065
Przedszkole nr 18,kindergarten,18.052774007942894,53.10719290026093
Zespół Szkolno-Przedszkolny nr 3,school,18.051332974332958,53.10966144331809
Przedszkole nr 66 w Bydgoszczy,kindergarten,18.00190406025964,53.11134369308293
"Przedszkole Niepubliczne ""Wesołe Serduszka""",school,17.975957759494467,53.112479059108416
"Przedszkole ""Wróżka""",kindergarten,17.919671061493876,53.09554225737963
"Przedszkole niepubliczne ""Promyczek""",kindergarten,18.24852432360595,53.07892777971971
"Przedszkole Niepubliczne ""Puchatek""",kindergarten,18.006031841182192,53.13687857351257
Przedszkole nr 19,kindergarten,17.98466594125999,53.126431752343294
"Przedszkole nr 80 ""Królestwo Maciusia""",kindergarten,18.007116881951788,53.13427466164971
Przedszkole Nr 39 „Sto Pociech”,kindergarten,18.158812313887566,53.145464067839015
Przedszkole Niepubliczne nr II im. Marii Montessori,kindergarten,18.011577715952956,53.13194273577448
Przedszkole nr 4 w Bydgoszczy,kindergarten,18.106162385651544,53.09338466035458
Przedszkole nr 28 Angielskojęzyczne,kindergarten,18.041510462332198,53.096946548125
Przedszkole Radość,kindergarten,18.053638062506263,53.127792727628105
"Przedszkole Niepubliczne ""Słoneczko""",kindergarten,17.958274733600557,53.116363524466635
"Kujawsko-Pomorskie Przedszkole Publiczne ""Kacperek""",kindergarten,17.975091222268677,53.11923637879807
Przedszkole nr 34,kindergarten,17.968637673189455,53.117142464201855
Zasadnicza Szkoła Zawodowa Rzemiosła i Przedsiębiorczości,school,18.05378280650727,53.122369285911304
Przedszkole Publiczne Nr 16,kindergarten,18.026028779226177,53.14276859839429
Przedszkole nr 59,kindergarten,18.05024518123229,53.127216597722644
Przedszkole Niepubliczne Jagódka,kindergarten,18.02852931944105,53.13069937269784
"Przedszkole Niepubliczne ""Źródełko""",kindergarten,18.047963350188407,53.12373977761221
Zespół Szkolno-Przedszkolny nr 1,school,18.176681796872362,53.161681472420035
"Przedszkole Niepubliczne ""Tęcza""",kindergarten,18.03190910552757,53.14145584923901
"Przedszkole Niepubliczne ""PROMYCZEK""",kindergarten,18.02904464135086,53.10700142247152
"Przedszkole Niepubliczne ""Sezamkowe""",kindergarten,18.04203892705672,53.10635225075459
Przedszkole nr 20,kindergarten,18.021087296193105,53.11217956379789
Przedszkole Panda,kindergarten,18.03998944738102,53.1275641558746
"Przedszkole nr 48 ""Pod Sosnami""",kindergarten,18.127911518604716,53.15014754485283
"Przedszkole Akademickie Wyższej Szkoły Gospodarki ""Uniwersytet Dziecięcy""",kindergarten,17.99499718451391,53.127009915603814
"Przedszkole Niepubliczne ""Pod Akacjami""",kindergarten,18.141893910515545,53.1520059626094
Przedszkole nr 22,kindergarten,18.01330822961192,53.12961648888051
Przedszkole nr 33,kindergarten,18.035039317230588,53.1256952642067
Przedszkole Krasnal,kindergarten,18.000733395504785,53.13329775512559
"Przedszkole ""Centuś""",kindergarten,17.99445070123496,53.13517365418677
Przedszkole nr 22,kindergarten,18.13856631306427,53.15381964116592
Przedszkole Polanka,kindergarten,18.132314861809373,53.14974202284908
Przedszkole nr 70,kindergarten,17.991745235888196,53.110838348902945
"Anglojęzyczne Przedszkole Niepubliczne ""Figielek""",kindergarten,18.158186081245184,53.160701754563874
Przedszkole Społecznego Towarzystwa Edukacji Przedszkolnej,kindergarten,18.049633394521273,53.10955843466815
"Przedszkole niepubliczne ""Chatka Puchatka""",kindergarten,18.062752990718696,53.18469856484786
Przedszkole Publiczne nr 1 w Osielsku,kindergarten,18.06161641211744,53.183579226487126
Przedszkole Nr 43 - U Krecika Szybownika,kindergarten,18.151822514671363,53.15617685907379
Przedszkole Niepubliczne Zaczarowany Zakątek,kindergarten,18.150328596083156,53.15825531327112
"Przedszkole niepubliczne ""Serduszko""",kindergarten,17.998187058826435,53.11695541815625
Przedszkole nr 11,kindergarten,18.005603156978715,53.11544267213439
Przedszkole Sióstr Elżbietanek,kindergarten,17.99073189313599,53.11538191174951
Przedszkole nr 68,kindergarten,17.992697120039633,53.1316738249962
Szkoła Podstawowa nr 34 Oddzial przedszkolny,kindergarten,17.96053111852928,53.18643885724031
"Przedszkole niepubliczne ""OLILudki""",kindergarten,18.170870886971283,53.151579855399326
Przedszkole nr 58,kindergarten,17.97803715694434,53.14091175202801
Niepubliczne Przedszkole Bajkolandia. Kraina Dziecięcych Marzeń,kindergarten,18.137477018491484,53.14608411523557
Przedszkole Green Garden,kindergarten,18.002989813565115,53.11934670185562
Zielona Kraina. Przedszkole niepubliczne,kindergarten,17.922657289288473,53.13442910016992
"Przedszkole Niepubliczne ""Buziaczek""",kindergarten,18.03699314266311,53.10650858473423
"Przedszkole Publiczne ""IGUŚ"" w Bydgoszczy",kindergarten,17.960228950985112,53.13921041611565
Żłobek Lucky Baby / Dobre Przedszkole,kindergarten,18.03065498841924,53.12322015470455
Przedszkole Niepubliczne Zameczek,kindergarten,18.059287699948758,53.1672835632103
Przedszkole nr 49,kindergarten,18.03411814554283,53.11002788771013
Przedszkole 61,kindergarten,18.041180977474347,53.104732644070886
"Przedszkole Niepubliczne ""Pinokio""",kindergarten,18.038225071523318,53.10383079809937
Przedszkole Niepubliczne Pinokio,kindergarten,18.038170312641142,53.10368635033511
Przedszkole nr 9,kindergarten,18.057089619563552,53.10580954251196
Przedszkole nr 18,kindergarten,18.0527740152404,53.10719290138545
Zespół Szkolno-Przedszkolny nr 3,school,18.051278771250576,53.10964069235188
Przedszkole nr 66 w Bydgoszczy,kindergarten,18.001912702568557,53.11133479892589
"Przedszkole Niepubliczne ""Wesołe Serduszka""",school,17.97592544101081,53.11250967194002
"Przedszkole ""Wróżka""",kindergarten,17.91968694885379,53.09553929266026
"Przedszkole niepubliczne ""Promyczek""",kindergarten,18.248545546610654,53.07892792673351
"Przedszkole Niepubliczne ""Puchatek""",kindergarten,18.006019916491102,53.136871301195015
Przedszkole nr 19,kindergarten,17.984704090784433,53.126442997047384
"Przedszkole nr 80 ""Królestwo Maciusia""",kindergarten,18.007132840718413,53.134271843206804
Przedszkole Nr 39 „Sto Pociech”,kindergarten,18.158814672075675,53.145461704047335
Przedszkole Niepubliczne nr II im. Marii Montessori,kindergarten,18.011577617581853,53.13194291683764
Przedszkole nr 4 w Bydgoszczy,kindergarten,18.106171160138462,53.093388210681
Przedszkole nr 28 Angielskojęzyczne,kindergarten,18.04151593149639,53.09694801780101
Przedszkole Radość,kindergarten,18.05363438176248,53.12779743146309
"Przedszkole Niepubliczne ""Słoneczko""",kindergarten,17.958279940152682,53.11636440051907
"Kujawsko-Pomorskie Przedszkole Publiczne ""Kacperek""",kindergarten,17.97507847550871,53.119236725537725
Przedszkole nr 34,kindergarten,17.968618734663043,53.11715804140307
Zasadnicza Szkoła Zawodowa Rzemiosła i Przedsiębiorczości,school,18.05381196814121,53.122366319777896
Przedszkole Publiczne Nr 16,kindergarten,18.02602109416945,53.142764686793534
Przedszkole nr 59,kindergarten,18.050246388352882,53.12721744171127
Przedszkole Niepubliczne Jagódka,kindergarten,18.028377417260952,53.13065889065861
"Przedszkole Niepubliczne ""Źródełko""",kindergarten,18.047958632307775,53.12374132912902
Zespół Szkolno-Przedszkolny nr 1,school,18.17673938399709,53.161668639169385
"Przedszkole Niepubliczne ""Tęcza""",kindergarten,18.03190493964361,53.141462585842206
"Przedszkole Niepubliczne ""PROMYCZEK""",kindergarten,18.029044718911496,53.10699472933165
"Przedszkole Niepubliczne ""Sezamkowe""",kindergarten,18.04203954196022,53.106352234994205
Przedszkole nr 20,kindergarten,18.02110606123642,53.11217645432471
Przedszkole Panda,kindergarten,18.039994855112436,53.127563485569496
"Przedszkole nr 48 ""Pod Sosnami""",kindergarten,18.127921575086,53.15014459318969
"Przedszkole Akademickie Wyższej Szkoły Gospodarki ""Uniwersytet Dziecięcy""",kindergarten,17.995034324571588,53.127013074744106
"Przedszkole Niepubliczne ""Pod Akacjami""",kindergarten,18.141864558146292,53.152026032562915
Przedszkole nr 22,kindergarten,18.01330814410048,53.12961675043432
Przedszkole nr 33,kindergarten,18.035036456617988,53.12568080604599
Przedszkole Krasnal,kindergarten,18.00073322491577,53.133297804570326
"Przedszkole ""Centuś""",kindergarten,17.994462785541728,53.135191320850126
Przedszkole nr 22,kindergarten,18.13855628053881,53.15381903940892
Przedszkole Polanka,kindergarten,18.13234385297077,53.14972867171082
Przedszkole nr 70,kindergarten,17.99174504117268,53.11083892787507
"Anglojęzyczne Przedszkole Niepubliczne ""Figielek""",kindergarten,18.15819081663837,53.16070389025522
Przedszkole Społecznego Towarzystwa Edukacji Przedszkolnej,kindergarten,18.049641205806743,53.10955577193782
"Przedszkole niepubliczne ""Chatka Puchatka""",kindergarten,18.062751365306948,53.18469930388502
Przedszkole Publiczne nr 1 w Osielsku,kindergarten,18.06169261133624,53.183593522792485
Przedszkole Nr 43 - U Krecika Szybownika,kindergarten,18.151813261488435,53.15618235631189
Przedszkole Niepubliczne Zaczarowany Zakątek,kindergarten,18.150330120270343,53.158261401814386
"Przedszkole niepubliczne ""Serduszko""",kindergarten,17.99819232942187,53.116958281028616
Przedszkole nr 11,kindergarten,18.005614723158637,53.115444941446505
Przedszkole Sióstr Elżbietanek,kindergarten,17.9907605576778,53.11537068804042
Przedszkole nr 68,kindergarten,17.992713137569755,53.13167064838361
Szkoła Podstawowa nr 34 Oddzial przedszkolny,kindergarten,17.96054092624458,53.18644067168988
"Przedszkole niepubliczne ""OLILudki""",kindergarten,18.170982393672784,53.15161586037396
Przedszkole nr 58,kindergarten,17.978058886861984,53.140892311268765
Niepubliczne Przedszkole Bajkolandia. Kraina Dziecięcych Marzeń,kindergarten,18.137474102995505,53.14608627798368
Przedszkole Green Garden,kindergarten,18.002990248418488,53.11934589449423
Zielona Kraina. Przedszkole niepubliczne,kindergarten,17.922648660383366,53.134446613066274
"Przedszkole Niepubliczne ""Buziaczek""",kindergarten,18.03699855349909,53.10650467035858
"Przedszkole Publiczne ""IGUŚ"" w Bydgoszczy",kindergarten,17.960225681098745,53.139213337723426
Żłobek Lucky Baby / Dobre Przedszkole,kindergarten,18.030654885893775,53.12322017355385
Przedszkole Niepubliczne Zameczek,kindergarten,18.05928943413447,53.16728248154552
