name,railway,longitude,latitude
Bytom,station,18.9121893,50.3428344
Bytom Wąskotorowy,halt,18.9139494,50.3425779
Chorzów Stary,station,18.9574773,50.3164554
ZOO,halt,18.9972597,50.2797499
Katowice Ligota,station,18.9778134,50.2260023
Katowice Brynów,halt,18.983371,50.2442339
Katowice Piotrowice,halt,18.9699649,50.2132694
Katowice Zawodzie,station,19.0574498,50.2572998
Wesołe Miasteczko,halt,18.9924375,50.2733535
Świętochłowice,halt,18.9181057,50.2890774
Katowice,station,19.0171456,50.2576071
Chorzów Batory,station,18.9446804,50.2784252
Katowice Załęże,halt,18.9895811,50.2638657
Katowice Szopienice Południowe,halt,19.092466,50.2589152
Chorzów Miasto,station,18.9494087,50.2985177
,halt,18.949249832419387,50.298334937009386
,halt,18.949152240167862,50.29829527103821
