name,leisure,landuse,natural,longitude,latitude
,,,,19.918584,50.0645527
,,,,19.9121861,50.0609839
,,,,19.91064,50.0612218
Smocza Jama,,,cave_entrance,19.9336431,50.0531432
,,,,19.9100549,50.0412515
,,,,19.9062891,50.0431437
,,,,19.9139659,50.0361229
,,,,19.9871247,50.0725695
,,,,19.9868644,50.0725069
,,,,19.9864738,50.0726392
,,,,19.986181,50.0727227
,,,,19.9857687,50.0723468
,,,,19.9863654,50.0720543
,,,,19.9865533,50.0717079
,,,,19.9897932,50.0705853
,,,,20.0528043,50.0814586
,,,,20.0151372,50.0130825
,,,,20.0112534,50.0099248
,,,,20.0116932,50.0103454
,,,,19.9468695,50.0405525
,,,,20.0513845,50.0183795
,,,,19.9570649,50.0654358
,,,,19.9975044,50.0666026
,,,,19.9958445,50.0683161
,,,,19.7898893,50.087762
,,,,19.7959038,49.9950076
,,,,19.7965056,49.9958011
,,,,19.9833147,50.0283741
,,,,19.9897459,50.0272985
,,,,19.9579727,50.0653224
,,,,19.9578735,50.0653415
,,,,19.9588037,50.0648599
,,,,20.0214059,50.0157576
,,,,20.0344325,50.0132948
,,,,20.0324845,50.0168212
,,,,19.9221433,50.0590475
,,,,19.9206908,50.0596731
,,,,20.0493963,50.0675022
,,,,20.022919,50.0678083
,,,,19.994619,50.033018
,,,,19.9980556,50.0318511
,,,,19.9698334,49.9981239
,,,,19.9500606,50.0135399
,,,,19.9478547,50.0139091
,,,,19.9561646,50.0124558
,,,,19.9560764,50.0121825
,,,,19.9530189,50.0127717
,,,,19.9503379,50.0133453
,,,,19.9559613,50.0121722
,,,,19.950038,50.013592
,,,,19.9502802,50.0134869
,,,,19.9534983,50.0130344
,,,,19.984453,50.0284096
,,,,19.9838816,50.02853
,,,,19.9841198,50.0285478
,,,,19.9606989,50.0065707
,,,,19.9623223,50.0063276
,,,,19.9641893,50.0067918
,,,,19.9611973,50.0076864
,,,,19.9620914,50.0067315
,,,,19.9607321,50.0068193
,,,,19.9648299,50.0065284
,,,,19.9623404,50.0065659
,,,,19.9594439,50.007954
,,,,19.9612128,50.007809
,,,,19.9610817,50.0074501
,,,,19.9643611,50.0067892
,,,,19.9606373,50.0068238
,,,,19.9648538,50.0064229
,,,,19.9622456,50.006571
,,,,19.9641935,50.0069575
,,,,19.9518185,50.0068443
,,,,19.9612661,50.0074417
,,,,19.9594286,50.0078259
,,,,19.9606545,50.0069606
,,,,19.9639904,50.0063242
,,,,19.964085,50.0069622
,,,,19.96051,50.0065789
,,,,19.9621167,50.0063398
,,,,19.9604586,50.0069741
,,,,19.9612851,50.0076841
,,,,19.9622635,50.0067264
,,,,19.9612376,50.0062605
,,,,19.9640936,50.0071792
,,,,20.0606852,50.0722237
,,,,19.9137957,50.0359856
,,,,19.8961087,50.0159952
,,,,19.9540798,49.9911475
,,,,19.8679223,50.0731239
,,,,19.9308757,50.0247536
,,,,20.0209195,50.0733272
,,,,19.9866843,50.0717162
,,,,19.7941898,50.0418135
,,,,20.0265149,50.0798413
,,,,19.9976836,50.0696568
,,,,20.0176216,50.0915353
,,,,19.9726597,50.013061
,,,,19.9110985,50.0763446
,,,,19.9962267,50.0723921
,,,,19.9957225,50.0729308
,,,,20.0369306,50.0203326
,,,,19.984217,50.0285471
,,,,19.9841635,50.0285475
,,,,19.9842791,50.0281156
,,,,19.9837515,50.0285161
,,,,19.9837959,50.0285208
,,,,19.9839033,50.0285324
,,,,19.9339838,50.0686597
,,,,19.93082,50.0075197
,,,,19.9937399,50.0762959
,,,,19.9908397,50.076325
,,,,19.9773561,50.0058165
,,,,19.9840755,50.1027423
,,,,20.0095695,50.0889991
,,,,19.7723918,50.081625
,,,,20.0709308,50.0193078
,,,,20.041984,50.0707906
,,,,20.0420415,50.0708979
,,,,20.0420762,50.0709716
,,,,20.0405711,50.0710963
,,,,20.0402528,50.071168
,,,,20.0407995,50.0711657
,,,,20.0408088,50.0711838
,,,,20.0406395,50.0712214
,,,,20.0410777,50.0712314
,,,,20.040319,50.0712906
,,,,20.0401361,50.071312
,,,,20.0401445,50.0713286
,,,,20.0419228,50.0713502
,,,,20.0422678,50.0714057
,,,,20.0390853,50.071419
,,,,20.042099,50.0714357
,,,,20.0419685,50.0714501
,,,,20.0419725,50.071459
,,,,20.0399854,50.0714857
,,,,20.0393167,50.0714904
,,,,20.0393238,50.0715074
,,,,20.0398135,50.0715229
,,,,20.0391507,50.0715444
,,,,20.041263,50.071586
,,,,20.0409651,50.0715985
,,,,20.0404103,50.0717194
,,,,20.0401394,50.0718514
,,,,20.0399637,50.0718263
,,,,20.0397043,50.0721481
,,,,20.0397498,50.0721607
,,,,20.0396451,50.0722391
,,,,20.0398524,50.0722944
,,,,20.0397651,50.0724424
,,,,20.0423207,50.073046
,,,,20.0425547,50.0731094
,,,,20.0532676,50.0183487
,,,,20.0045929,50.0093433
,,,,20.0037202,50.0102212
,,,,20.0064373,50.0109207
,,,,20.0083797,50.0100357
,,,,19.9178338,50.0604246
,,,,19.9136029,50.0610514
,,,,19.9192886,50.0619884
,,,,19.9137504,50.0647857
,,,,19.9166273,50.0650104
,,,,19.8951498,49.998681
,,,,19.8997943,50.0012521
Spyrlaczowa Jama,,,cave_entrance,19.7893397,50.0130076
,,,,19.9977213,50.0219295
,,,,19.9463119,50.077843
,,,,19.9937666,50.0353
,,,,20.017916,50.0761721
,,,,20.0066443,50.0993627
,,,,19.9494106,50.0650305
,,,,19.9502184,50.0651457
,,,,19.9492397,50.0651898
,,,,19.9504558,50.067195
,,,,19.9581296,50.0640216
,,,,19.9371389,50.0678409
,,,,19.9899076,50.0819576
,,,tree,20.0452915,50.0208386
,,,tree,20.0453366,50.0210732
,,,tree,20.0453582,50.0211724
,,,tree,20.045454,50.0215946
,,,,20.0358022,50.0703197
,,,,19.9178604,50.0107768
,,,,20.0522893,50.0654085
,,,,20.0522956,50.0656667
,,,,20.0026616,50.094264
,,,,20.002225,50.0943125
,,,,19.9439441,50.0390635
,,,,19.9578397,50.0428443
,,,,19.9574384,50.0430064
,,,,19.868553,50.0978338
,,,,20.0472383,50.0957165
,,,,19.8540698,50.0638036
,,,,19.8822995,50.044999
,,,,19.9223361,50.0629748
Michałowice Dąbrowskich,,,,19.983759,50.1515476
,,,,19.9727958,50.0129846
,,,,19.9494649,50.0431256
,,,,20.0713192,50.019177
,,,,20.0372351,50.0202829
,,,,19.9646872,50.0869588
,,,,19.9655314,50.0224589
,,,,19.9017602,50.0230752
,,,,19.8914231,50.0521979
,,,,19.8856556,50.0517548
,,,,19.8830153,50.0104747
,,,,19.8898296,50.0158055
,,,,19.8894735,50.017068
,,,,19.8893157,50.0167089
,,,,19.8974574,50.0117758
,,,,19.8933579,50.0103569
,,,,19.8964294,50.0172531
,,,,19.9034769,50.0189969
,,,,20.049206,50.0659495
,,,,19.9240369,50.0625723
,,,,19.9212081,50.0199111
,,,,19.9647021,50.0864435
,,,,19.9217598,50.0170108
,,,,19.9488768,50.0633138
,,,,19.9091014,50.0483367
,,,,19.9115709,50.0425904
,,,,19.918273,50.0423637
,,,,19.9179283,50.0426491
,,,,19.9184294,50.0422311
,,,,19.9261728,50.0609628
,,,,19.9295699,50.0419715
,,,tree,19.9280425,50.028762
,,,,19.9236613,50.0165744
,,,,19.9162879,50.0109239
,,,,20.0565394,50.0814821
,,,,19.940145,50.0372204
,,,,19.940122,50.0372358
,,,,20.0806996,49.9919528
,,,,19.9729842,50.0920141
,,,,19.9734163,50.0920298
,,,,19.9735747,50.0920884
,,,,19.77881,50.0074014
,,,,19.7789964,50.0070803
,,,,19.7811105,50.0077143
,,,,19.7810914,50.0061558
,,,,19.9874578,50.0811738
,,,,19.9305307,50.0748655
