name,shop,amenity,longitude,latitude
O! Shop,convenience,,19.9101542,50.0747804
BP Krakowiak,convenience,fuel,19.9850877,50.0870389
O! Shop Orlen,convenience,,20.0098508,50.0107398
,,atm,19.9500317,50.0875959
Lewiatan Market,convenience,,19.9683061,50.0880206
Żabka,convenience,,19.9092738,50.0162384
Żabka,convenience,,19.9387584,50.0652204
Carrefour Express,convenience,,19.9410432,50.0646625
,convenience,,19.9402165,50.0632092
FH Smak,convenience,,20.01246,50.0683437
Groszek,convenience,,19.7921927,50.0864171
,convenience,,19.9975681,50.075169
,,,20.0203337,50.015311
Markiz,convenience,,20.0199029,50.0161743
Spar,convenience,,20.028702,50.0797144
Lewiatan,supermarket,,19.9940047,50.0930365
,supermarket,,20.0022253,50.0939287
Biedronka,supermarket,,20.0459144,49.9853024
Stokrotka,supermarket,,19.9718397,50.0130369
Stokrotka,supermarket,,19.9828187,50.0182986
Carrefour,supermarket,,19.8934979,50.0177032
,,atm,19.9741154,50.0899436
Avita,convenience,,19.9220191,50.0667965
Lewiatan,supermarket,,19.9593012,50.0977882
,,,19.9975323,50.0641868
,,,20.001587,50.0648283
,,,19.9995862,50.0646062
Żabka,convenience,,20.0477887,50.0746791
Carrefour Express,convenience,,19.9141668,50.0714772
Żabka,convenience,,19.914977,50.0714289
"Delikatesy ""Metro""",supermarket,,20.0191611,49.9963969
,,,19.9003423,50.0919884
Lewiatan,supermarket,,19.985209,50.0181888
Delikatesy Centrum,supermarket,,20.0629969,49.9828433
,convenience,,19.8402007,50.0968518
Lewiatan,convenience,,20.0473061,50.0763432
Groszek,convenience,,19.8902483,50.0144459
Żabka,convenience,,19.9256749,50.0868673
Żabka,convenience,,19.8981981,50.0198564
Sami Swoi,supermarket,,20.0461146,50.071107
Biedronka,supermarket,,19.9590189,50.0079619
Auchan,supermarket,,19.9814586,50.0878361
Delikatesy Podwawelskie,supermarket,,19.9802515,50.0729414
Cash&Carry Eurocash,supermarket,,19.8787021,50.0797813
Żabka,convenience,,19.9290721,50.027853
Biedronka,supermarket,,19.9281848,50.0760303
carrefour express,supermarket,,20.0916836,50.0137262
Pasaż 13,mall,,19.9380055,50.0602021
Biedronka,supermarket,,20.0250517,50.0732055
Lewiatan,supermarket,,19.9647139,50.0990236
Lewiatan,supermarket,,20.0289471,50.0732633
,,,19.9460876,50.0661169
,convenience,,19.9304941,50.069111
Carrefour Express,convenience,,19.9737233,50.0345348
,,,19.931483,50.0132893
,,,19.9319812,50.0147629
Halex,convenience,,20.0277268,50.0787966
Biedronka,supermarket,,19.9686759,50.0428944
Lewiatan,convenience,,19.9830959,50.0443162
,convenience,,19.983107,50.0449345
Galeria Smaku u Jacka,convenience,,19.9059795,50.0190038
Avita,convenience,,19.9496737,50.0450417
Halagarda,convenience,,20.0744564,50.0854535
Sklep spożywczy,convenience,,20.0095367,50.0731764
,convenience,,19.9762461,50.0589446
Spar,convenience,,19.9382708,50.0576386
Biedronka,supermarket,,19.9206541,50.0269991
Globi,convenience,,19.9704658,50.0316899
,convenience,,19.9727366,50.0340947
odido,convenience,,19.9059389,50.0870285
Lewiatan,supermarket,,19.9075832,50.0867939
Alpo,supermarket,,19.9242806,50.0719148
Carrefour Express,convenience,,19.9323851,50.0722234
Lewiatan,convenience,,20.0044809,50.0820866
"Sklep spożywczo-przemysłowy ""Jubilat""",convenience,,19.9141662,50.0881017
Żabka,convenience,,19.9166525,50.0874737
Groszek,convenience,,19.9102114,50.0126755
Lewiatan,convenience,,19.9737032,50.0791857
Żabka,convenience,,19.8973024,50.0789418
Groszek,convenience,,19.8975406,50.0788623
Żabka,convenience,,19.8952153,50.080333
Delikatesy Strefa,convenience,,19.8963562,50.0791682
"Sklep spożywczy ""Monika""",convenience,,20.0116824,50.0940811
Lewiatan,convenience,,20.0500091,50.0206955
Malinka Market,convenience,,19.9577376,50.0448567
,,,19.9806179,50.0868237
,,,19.9826291,50.0870218
Żabka,convenience,,19.981111,50.0226626
Żabka,convenience,,20.0286622,50.0694022
Oliwka,convenience,,20.0284133,50.0690284
,,,20.02592,50.0792676
Żabka,convenience,,19.9256689,50.0398937
Biedronka,supermarket,,19.9625182,50.0896302
Avita,convenience,,19.9748595,50.0815357
Lewiatan,supermarket,,20.0101707,50.0868186
,convenience,,20.0095348,50.0890092
Teresko,convenience,,19.8752323,50.0163455
Carrefour Express,convenience,,19.9378964,50.0595194
Lewiatan,supermarket,,19.8851777,50.0791035
Lewiatan,supermarket,,19.8826798,50.081526
Lewiatan,convenience,,20.0034856,50.0140583
,convenience,,19.8783713,50.0808424
,convenience,,19.8780735,50.0803967
,convenience,,19.8782881,50.0803846
,convenience,,19.8788272,50.080488
,convenience,,19.8781513,50.0808563
,convenience,,19.8786234,50.0807581
,convenience,,19.8785537,50.0803554
Żabka,convenience,,19.8822051,50.0816775
Żabka,convenience,,19.8886633,50.0813222
Żappka,convenience,,19.8813787,50.0813885
Paleo,supermarket,,20.0713787,49.984615
Żabka,convenience,,20.0191944,50.064106
"Sklep spożywczo-przemysłowy ""Nasz Sklep""",convenience,,20.0154143,50.0642948
,convenience,,20.0577379,50.0953121
,convenience,,20.0134523,50.101513
,,,19.9298234,50.0276226
,convenience,,19.9212215,50.1177417
Biedronka,supermarket,,20.0223255,50.0934188
Sklep spożywczy,convenience,,19.9330066,50.0271255
