name,amenity,longitude,latitude
Szkoła Podstawowa nr 10,school,17.1309299,51.1440024
Szkoła Podstawowa nr 38,school,16.9701214,51.1227769
Szkoła Podstawowa nr 19,school,16.9553121,51.1372791
Szkoła Podstawowa nr 15,school,16.9654079,51.0786101
"Chrześcijańska Szkoła Podstawowa ""Arka""",school,16.9990421,51.0910595
Szkoła Podstawowa nr 21,school,16.9900439,51.1426856
Szkoła Podstawowa nr 16,school,16.98979,51.07423
Szkoła Podstawowa nr 40,school,17.0728561,51.1468558
Szkoła Podstawowa nr 65,school,16.9794467,51.1234396
Dwujęzyczna Szkoła Podstawowa ATUT Fundacji Edukacji Międzynarodowej,school,16.9912062,51.0797215
Szkoła Podstawowa nr 47,school,17.0109952,51.0797264
Szkoła Podstawowa nr 45,school,17.0954327,51.1098269
Szkoła Podstawowa nr 32,school,17.0417921,51.0721921
Salezjańska Szkoła Podstawowa,school,17.0459252,51.1190049
Szkoła Podstawowa nr 22,school,16.9070806,51.1632743
Szkoła Podstawowa Unisport,school,17.0209467,51.0879708
Szkoła Podstawowa International Primary School,school,17.0215511,51.0877327
"Szkoła Podstawowa ""Zdrój""",school,17.0993969,51.1003667
"Szkoła Podstawowa ""Iskry""",school,17.0994293,51.1004934
Szkoła Podstawowa nr 67,school,17.0257627,51.1040474
Szkoła Podstawowa Specjalna nr 86,school,16.8838881,51.1348827
Szkoła Podstawowa nr 113,school,16.9517939,51.1154944
Szkoła Podstawowa Marco Polo,school,17.1270411,51.1610426
Szkoła Podstawowa nr 39,school,17.1053653,51.1660356
Szkoła Podstawowa nr 26,school,16.922443,51.1642977
Szkoła Podstawowa nr 91,school,17.1099062,51.1032388
Szkoła Podstawowa nr 17,school,17.0398449,51.0864708
Szkoła Podstawowa dla Dorosłych nr 1,school,17.0225442,51.1006319
Szkoła Podstawowa nr 58,school,17.0267732,51.1197833
Szkoła Podstawowa Integracyjna nr 103,school,16.9562451,51.1149874
