name,shop,amenity,longitude,latitude
,,parking_entrance,17.0391702,51.1084635
Rabat,supermarket,,17.0104981,51.1177474
Przystanek,convenience,,17.0152241,51.1155102
,,parking_entrance,17.0593876,51.1135174
Lidl,supermarket,,17.0828611,51.1405762
Biedronka,supermarket,,17.0263958,51.1512366
Carrefour,supermarket,,16.9879894,51.1191672
Społem,convenience,,17.0214617,51.0893364
Rabat,convenience,,17.1337284,51.1596743
,convenience,,17.1230518,51.1433342
Żabka,convenience,,17.1209399,51.146458
Żabka,convenience,,16.9578467,51.0783948
Na gramy,convenience,,17.039742,51.0835249
,,,16.995559,51.1214902
Żabka,convenience,,17.00612,51.0985691
,convenience,,17.0495673,51.1225879
Reko,convenience,,17.030181,51.1356967
Delikatesy T&J,supermarket,,17.0094627,51.0965683
Mini Market,convenience,,17.0342596,51.1350952
Alf,convenience,,17.0126878,51.087479
Biedronka,supermarket,,17.0069293,51.0919409
Żabka,convenience,,17.0121544,51.0869107
,convenience,,17.0350596,51.1365042
Społem,supermarket,,17.083649,51.0772828
,convenience,,17.0833748,51.0759821
Prima,convenience,,17.0172323,51.0993494
Biedronka,supermarket,,17.0569803,51.1109819
Biedronka,supermarket,,17.0520095,51.1231396
Biedronka,supermarket,,16.9701281,51.1292615
Biedronka,supermarket,,17.0105328,51.0848155
,,atm,17.0467698,51.0826083
Żabka,convenience,,17.0493006,51.0806876
Żabka,convenience,,17.0464951,51.0798155
Hala Strzegomska,mall,,16.9593883,51.1114008
Kaufland,supermarket,,17.0160522,51.1215232
,,,17.0409111,51.1123695
E. Leclerc,supermarket,,17.040701,51.1308463
Ponik,supermarket,,17.0323361,51.1384196
Auchan,supermarket,,17.08693,51.1427188
Biedronka,supermarket,,17.1377415,51.1447142
,,,17.0414996,51.130487
LWOWSKIE,,,17.0894395,51.1421846
Żabka,convenience,,16.9550992,51.1139163
Żabka,convenience,,17.0886834,51.0727106
,convenience,,17.0816776,51.133437
Społem,supermarket,,16.9576963,51.1406094
Astra,supermarket,,16.9759406,51.1266962
ABC,convenience,,17.0593783,51.0515304
Żabka,convenience,,17.0582358,51.111584
Biedronka,supermarket,,17.0548475,51.0958295
Biedronka,supermarket,,16.8662433,51.1462878
Żabka,convenience,,17.0578823,51.1193029
Dino,supermarket,,17.0593579,51.1180716
Biedronka,supermarket,,17.039414,51.1199636
Żabka,convenience,,16.9927477,51.0676544
Rabat,convenience,,17.1172395,51.1452843
Delikatesy T&J,supermarket,,17.0781472,51.1205131
Hewea,convenience,,17.1092505,51.1015312
Rożek,convenience,,17.1049977,51.1058711
Żabka,convenience,,17.1041436,51.1061447
Lewiatan,convenience,,17.1113478,51.1056712
Delikatesy Longinus,convenience,,17.0398141,51.1024218
Delikatesy Centrum,supermarket,,16.9864357,51.0932999
Rabat,convenience,,17.0574153,51.1270776
,convenience,,17.0578069,51.1259161
Żabka,convenience,,17.0570398,51.1278957
