name,amenity,longitude,latitude
Przedszkole Niepubliczne CHATKA PUCHATKA,kindergarten,18.4889332,54.4742105
Przedszkole Niepubliczne CHATKA PRZEDSZKOLAKA,kindergarten,18.4711674,54.4717215
Przedszkole pw. Świętej Rodziny,kindergarten,18.5401623,54.4770053
Przedszkole Samorządowe Nr 13,kindergarten,18.5073239,54.5014958
Przedszkole Samorządowe Nr 9,kindergarten,18.538238,54.505623
Przedszkole Samorządowe Nr 15 w Gdyni,kindergarten,18.4770651,54.5374537
Przedszkole Samorządowe Nr 19,kindergarten,18.5384367,54.5027128
Przedszkole przy Parafii Najświętszej Marii Panny,kindergarten,18.5426029,54.5174607
Przedszkole Samorządowe Nr 50,kindergarten,18.4684559,54.473049
Przedszkole Anioła Stróża,kindergarten,18.4191013,54.4862467
Przedszkole Stonoga,kindergarten,18.4888724,54.4729836
Przedszkole nr 53,kindergarten,18.421294,54.4922414
"Przedszkole Niepubliczne ""Bajkoland""",kindergarten,18.4599336,54.5285058
"Przedszkole Niepubliczne ""Świat Smyka""",kindergarten,18.4660488,54.5391525
Przedszkole nr 54,kindergarten,18.4970531,54.4719921
"Dwujęzyczne Przedszkole Niepubliczne ""Nasza Planeta""",kindergarten,18.490131,54.5755972
Punkt przedszkolny ELEFUN,kindergarten,18.4803691,54.5629805
Przedszkole Przytulny Kącik,kindergarten,18.4929977,54.5869669
"Przedszkole Niepubliczne ""Wyspa Odkrywców""",kindergarten,18.5141925,54.5505898
Przedszkole niepubliczne Fundacji Dobroczyńca,kindergarten,18.4796113,54.5663455
"Przedszkole nr 4 ""Nad Potokiem""",kindergarten,18.5497015,54.4559738
Integracyjny punkt przedszkolny Tuptusie,kindergarten,18.522236,54.5502619
Przedszkole Niepubliczne Akademia Małych Odkrywców,kindergarten,18.5421717,54.4991572
Przedszkole Montesori,kindergarten,18.5521598,54.455373
Integracyjne Przedszkole Niepubliczne Zdrowy Smyk,kindergarten,18.4820254,54.5316039
Przedszkole nr 56 w Gdynii,kindergarten,18.4440444,54.5470041
Niepubliczny Żłobek i Przedszkole MegaMocni Mały Kack,kindergarten,18.5148428,54.4725957
Zespół Szkolno-Przedszkolny nr 1,school,18.420480510900838,54.49208342459378
"Przedszkole nr 32 ""Cisowiaczki""",kindergarten,18.450822398969052,54.545141407252245
Przedszkole Samorządowe nr 31,kindergarten,18.481434047268536,54.536264543442044
Przedszkole Samorządowe Nr 24,kindergarten,18.54260604496513,54.49370048194663
Zespół Szkolno Przedszkolny nr 3,school,18.460183360246138,54.47102966508771
Przedszkole Samorządowe Nr 27,kindergarten,18.472312578830056,54.540108201509774
Przedszkole Samorządowe Nr 28,kindergarten,18.517164239405307,54.499202475722704
Przedszkole Samorządowe Nr 5,kindergarten,18.548056394344353,54.48045074864972
Przedszkole nr 14,kindergarten,18.542974109222538,54.48515261718696
Przedszkole Samorządowe Nr 6 w Gdyni,kindergarten,18.48627627028681,54.471719784189105
Zespół Szkolno-Przedszkolny nr 4 w Gdyni im. Franciszka Sokoła,school,18.487657954081957,54.47273477756902
Przedszkole nr 22,kindergarten,18.53969944373115,54.49875665075212
"Przedszkole nr 49 ""Bajkowy Ogród""",kindergarten,18.486014351303783,54.561537930807575
Przedszkole nr 44,kindergarten,18.505434731709492,54.471155855613894
Przedszkole Nr 26 BAJKOWA KRAINA,kindergarten,18.46765316790287,54.54158899623894
Przedszkole Samorządowe Nr 46,kindergarten,18.45090906226344,54.534222411606414
Przedszkole nr 7,kindergarten,18.53670145759063,54.51195301724828
Przedszkole nr 51,kindergarten,18.53697704643388,54.51373230353854
Przedszkole Samorządowe Nr 18 w Gdyni,kindergarten,18.516675409117312,54.549654791514726
