name,railway,longitude,latitude
Złotniki,station,16.8358474,52.4960912
Poznań Dębina,halt,16.9106138,52.3734621
Czerwonak Osiedle,halt,16.9780464,52.4800088
Owińska,halt,16.987596,52.5114361
Maltanka,station,16.9572952,52.408425
Poznań Główny,station,16.9115788,52.4016269
Poznań Dębiec,halt,16.9010752,52.3681804
Poznań Junikowo,halt,16.8254704,52.3778621
Balbinka,halt,16.9791249,52.4047653
Ligowiec,halt,17.0369863,52.4350895
Ptyś,halt,16.9751905,52.4060356
Zwierzyniec,station,16.992445,52.3997487
Poznań Karolin,halt,16.9814064,52.4384218
Poznań Antoninek,station,17.0281738,52.4096599
Poznań Garbary,halt,16.9368434,52.4164409
Złotniki Grzybowe,halt,16.8441638,52.4840942
Poznań Strzeszyn,halt,16.8654899,52.4607152
Poznań Podolany,halt,16.8805455,52.4476179
Poznań Wschód,station,16.971483,52.4182197
Poznań Starołęka,station,16.9342759,52.3662312
Poznań Górczyn,station,16.8814902,52.3802146
Czerwonak,station,16.979879081219327,52.468566736975795
Czerwonak,station,16.979878369492013,52.46856902437164
Poznań Wola,station,16.850342558486094,52.4335592115474
