name,shop,amenity,longitude,latitude
,convenience,,21.1865734,51.3700244
,convenience,,21.1933026,51.3671007
,convenience,,21.1889123,51.3683265
,convenience,,21.1821965,51.3757481
Skloep,convenience,,21.1741881,51.3883087
Żywność Ekologiczna - Sklep u Jacka,convenience,,21.1603105,51.4116046
Społem,supermarket,,21.1597662,51.412544
Biedronka,supermarket,,21.1612188,51.3851684
Sklep u Wandzi,convenience,,21.1652261,51.3791844
,convenience,,21.1620936,51.380157
,,,21.1551895,51.4052934
,convenience,,21.1805035,51.3986049
Lewiatan,supermarket,,21.154173,51.3852746
Biedronka,supermarket,,21.1565403,51.393039
,,,21.1538946,51.4052376
,,,21.1562802,51.4061398
,,,21.1563628,51.4073584
,,,21.1720296,51.381433
Netto,supermarket,,21.1580616,51.3809039
Eurospar,supermarket,,21.175541,51.3818897
abc,convenience,,21.1716773,51.3787392
,convenience,,21.1640869,51.3813933
ALDI,supermarket,,21.1474707,51.3924494
Carrefour Market,supermarket,,21.1580365,51.3837821
Feniks,mall,,21.1584303,51.3874524
Lidl,supermarket,,21.1410807,51.3915805
Żabka,convenience,,21.1463208,51.4021171
Żabka,convenience,,21.1639458,51.3746015
,convenience,,21.1625307,51.375172
,convenience,,21.1612402,51.3753235
,convenience,,21.1616302,51.3756406
,convenience,,21.1622319,51.3765073
Żabka,convenience,,21.1601676,51.3795296
,convenience,,21.1594374,51.3808064
REMAN Nocny,convenience,,21.147343,51.39396
Społem,convenience,,21.1457607,51.3945294
Carrefour Market,supermarket,,21.1547795,51.4063445
,convenience,,21.1666198,51.365624
,convenience,,21.1653282,51.3676868
Poziomka,convenience,,21.177463,51.3798334
Awex,convenience,,21.1562221,51.3859099
amic energy,convenience,fuel,21.130956,51.4129644
,convenience,,21.1566694,51.3776616
abc,convenience,,21.1273514,51.389045
,convenience,,21.1555062,51.3813258
Biedronka,supermarket,,21.1428683,51.3777749
PSS Społem nr 30,convenience,,21.1618205,51.3980133
Parking Galeria Słoneczna,,parking_entrance,21.1554879,51.4073939
Biedronka,supermarket,,21.1574908,51.4068548
,,,21.1550191,51.40526
